date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,24.11,24.93,23.87,24.1708,56953.0
2020-04-08,22.48,24.33,22.16,23.84,40506.0
2020-04-07,21.47,22.37,21.35,22.37,26991.0
2020-04-06,19.61,20.905,19.1,20.72,33848.0
2020-04-03,20.0,20.0,18.01,18.87,40801.0
2020-04-02,20.25,20.25,19.03,19.55,49137.0
2020-04-01,21.59,21.59,19.55,20.32,46176.0
2020-03-31,22.92,22.9899,21.1897,21.92,36470.0
2020-03-30,22.6,22.98,22.4485,22.68,30952.0
2020-03-27,21.75,22.82,21.589,22.17,41796.0
2020-03-26,19.58,23.95,19.58,22.36,52724.0
2020-03-25,19.13,21.38,18.48,19.67,195678.0
2020-03-24,19.1,20.08,17.7601,19.54,36149.0
2020-03-23,18.13,18.7386,15.3002,17.55,55897.0
2020-03-20,18.28,21.65,18.12,18.12,94232.0
2020-03-19,13.76,19.8499,12.73,18.02,132955.0
2020-03-18,20.8,20.8,12.1,14.97,111743.0
2020-03-17,22.06,22.105,20.85,20.87,52688.0
2020-03-16,22.07,23.47,21.4,21.68,47158.0
2020-03-13,23.0,25.0994,22.18,24.43,61962.0
2020-03-12,25.4,25.4,21.76,22.03,79501.0
2020-03-11,25.99,26.18,25.5,25.85,74031.0
2020-03-10,25.36,26.215,25.36,26.0,51693.0
2020-03-09,27.0,27.0001,24.7,25.31,36858.0
2020-03-06,27.64,27.64,27.2101,27.48,25376.0
2020-03-05,28.05,28.25,27.85,27.8911,7344.0
2020-03-04,28.09,28.35,27.73,28.3,16865.0
2020-03-03,27.7,28.53,27.7,27.86,22940.0
2020-03-02,27.15,27.6899,27.15,27.64,50694.0
2020-02-28,27.95,27.95,26.98,27.0,77981.0
2020-02-27,28.53,28.53,27.8681,28.01,25270.0
2020-02-26,28.69,28.7,28.15,28.48,30438.0
2020-02-25,28.95,29.23,28.39,28.46,39437.0
2020-02-24,28.76,29.1445,28.76,28.76,17266.0
2020-02-21,29.23,29.3,29.03,29.03,27815.0
2020-02-20,28.97,29.23,28.9,29.23,10307.0
2020-02-19,29.02,29.09,28.96,28.98,89967.0
2020-02-18,28.89,28.96,28.8,28.93,10991.0
2020-02-14,28.92,29.0004,28.83,28.83,18828.0
2020-02-13,28.8,28.93,28.8,28.85,26041.0
2020-02-12,29.32,29.36,29.15,29.2,15578.0
2020-02-11,29.32,29.4123,29.254,29.27,22394.0
2020-02-10,29.25,29.44,29.07,29.22,94546.0
2020-02-07,29.01,29.36,29.01,29.25,37933.0
2020-02-06,29.02,29.1883,29.02,29.1601,28467.0
2020-02-05,28.84,29.105,28.84,29.07,10354.0
2020-02-04,29.09,29.09,29.0112,29.02,8922.0
2020-02-03,28.98,29.0,28.94,28.97,7426.0
2020-01-31,28.97,29.02,28.8,28.98,23975.0
2020-01-30,28.78,28.9635,28.74,28.85,13761.0
2020-01-29,28.69,28.83,28.68,28.82,17268.0
2020-01-28,28.66,28.69,28.53,28.62,11652.0
2020-01-27,28.57,28.66,28.53,28.5484,4761.0
2020-01-24,28.65,28.65,28.49,28.6,28199.0
2020-01-23,28.69,28.69,28.485,28.56,18866.0
2020-01-22,28.6201,28.7157,28.59,28.59,3618.0
2020-01-21,28.69,28.79,28.48,28.48,18316.0
2020-01-17,28.7,28.7,28.51,28.63,18918.0
2020-01-16,28.8,28.8,28.6,28.68,19886.0
2020-01-15,28.64,28.8,28.58,28.8,22022.0
2020-01-14,28.83,28.83,28.63,28.74,23606.0
2020-01-13,28.68,28.84,28.4701,28.83,25138.0
2020-01-10,28.45,28.69,28.39,28.69,17109.0
2020-01-09,28.28,28.43,28.19,28.43,29987.0
2020-01-08,28.06,28.28,28.0,28.27,31788.0
2020-01-07,28.49,28.49,27.98,28.02,37681.0
2020-01-06,28.53,28.59,28.31,28.4,24901.0
2020-01-03,28.26,28.57,28.21,28.57,14648.0
2020-01-02,27.9,28.22,27.8497,28.22,36594.0
2019-12-31,27.87,27.92,27.69,27.92,6681.0
2019-12-30,27.77,27.9299,27.77,27.91,22792.0
2019-12-27,27.64,27.76,27.53,27.76,15199.0
2019-12-26,27.66,27.66,27.45,27.45,6941.0
2019-12-24,27.57,27.61,27.52,27.52,4451.0
2019-12-23,27.48,27.61,27.464,27.53,10183.0
2019-12-20,27.41,27.49,27.36,27.425,37767.0
