date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,9.6,9.62,9.6,9.62,1798.0
2020-04-08,9.68,9.68,9.63,9.63,1100.0
2020-04-07,9.6,9.6,9.6,9.6,0.0
2020-04-06,9.5,9.6,9.5,9.6,1506.0
2020-04-03,9.66,9.66,9.66,9.66,0.0
2020-04-02,9.66,9.66,9.66,9.66,2001.0
2020-04-01,9.4,9.4,9.4,9.4,200.0
2020-03-31,9.65,9.65,9.65,9.65,5032.0
2020-03-30,9.7,9.7,9.7,9.7,0.0
2020-03-27,9.7,9.7,9.7,9.7,5068.0
2020-03-26,9.5,9.5,9.5,9.5,2.0
2020-03-25,9.4,9.5,9.4,9.5,15200.0
2020-03-24,9.35,9.35,9.35,9.35,5000.0
2020-03-23,9.35,9.35,9.35,9.35,1000.0
2020-03-20,9.35,9.35,9.35,9.35,5000.0
