date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,12.55,12.82,12.39,12.7,1663126.0
2020-03-27,12.75,13.12,12.585,12.85,1684946.0
2020-03-26,12.9,13.46,12.8534,13.46,1715875.0
2020-03-25,12.55,13.1,12.33,12.91,1251439.0
2020-03-24,11.95,12.34,11.84,12.26,805564.0
2020-03-23,11.22,11.35,10.87,10.95,1193287.0
2020-03-20,11.49,11.58,11.0001,11.01,1438821.0
2020-03-19,10.79,11.35,10.72,11.13,1223424.0
2020-03-18,10.9,11.15,10.59,10.88,1517462.0
2020-03-17,11.27,11.76,11.0187,11.75,1099129.0
2020-03-16,11.1,11.75,11.01,11.25,1607276.0
2020-03-13,13.24,13.34,12.36,13.23,1610932.0
2020-03-12,13.24,13.27,12.2,12.29,4249181.0
2020-03-11,14.79,14.89,14.3,14.39,6519817.0
2020-03-10,15.22,15.2549,14.59,15.15,1736184.0
2020-03-09,14.99,15.16,14.41,14.41,2158283.0
2020-03-06,16.16,16.35,16.04,16.29,1914522.0
2020-03-05,16.52,16.67,16.36,16.43,1165262.0
2020-03-04,16.96,17.16,16.77,17.15,3677460.0
2020-03-03,17.19,17.3623,16.59,16.72,1564472.0
2020-03-02,16.79,17.1,16.61,17.1,1483842.0
2020-02-28,16.755,17.0,16.51,16.95,2370710.0
2020-02-27,17.37,17.5967,17.11,17.11,1787684.0
2020-02-26,17.95,18.07,17.765,17.83,1268046.0
2020-02-25,18.29,18.29,17.745,17.76,2611392.0
2020-02-24,18.35,18.46,18.29,18.32,1605769.0
2020-02-21,19.18,19.2,19.1,19.14,471543.0
2020-02-20,19.34,19.37,19.15,19.24,859768.0
2020-02-19,19.42,19.44,19.37,19.42,460307.0
2020-02-18,19.47,19.48,19.37,19.38,1407794.0
2020-02-14,19.62,19.6204,19.52,19.57,329804.0
2020-02-13,19.56,19.65,19.53,19.58,1011821.0
2020-02-12,19.68,19.69,19.62,19.65,1194837.0
2020-02-11,19.47,19.5399,19.465,19.51,326408.0
2020-02-10,19.27,19.35,19.27,19.34,232194.0
2020-02-07,19.28,19.35,19.255,19.28,420386.0
2020-02-06,19.34,19.39,19.265,19.31,679684.0
2020-02-05,19.06,19.14,19.04,19.11,536823.0
2020-02-04,18.86,18.9,18.8223,18.84,653762.0
2020-02-03,18.56,18.66,18.53,18.53,1071756.0
2020-01-31,18.65,18.66,18.455,18.55,809034.0
2020-01-30,18.65,18.89,18.64,18.87,614281.0
2020-01-29,18.8,18.8563,18.7472,18.78,350764.0
2020-01-28,18.61,18.74,18.59,18.74,586548.0
2020-01-27,18.5,18.58,18.43,18.43,1223113.0
2020-01-24,19.09,19.15,18.812,18.86,671568.0
2020-01-23,18.98,18.99,18.815,18.96,2204344.0
2020-01-22,19.08,19.08,19.02,19.05,1259011.0
2020-01-21,19.12,19.16,19.01,19.01,643671.0
2020-01-17,19.24,19.24,19.15,19.21,1381163.0
2020-01-16,19.09,19.18,19.0513,19.18,757850.0
2020-01-15,19.1,19.1,19.02,19.03,1355211.0
2020-01-14,19.21,19.28,19.2,19.23,1298701.0
2020-01-13,19.2,19.3,19.18,19.29,926284.0
2020-01-10,19.45,19.45,19.265,19.28,1258758.0
2020-01-09,19.48,19.52,19.42,19.52,999487.0
2020-01-08,19.34,19.51,19.34,19.45,1074929.0
2020-01-07,19.4,19.41,19.33,19.33,588212.0
2020-01-06,19.24,19.43,19.24,19.43,229938.0
2020-01-03,19.4,19.52,19.4,19.42,584326.0
2020-01-02,19.66,19.8,19.66,19.8,812160.0
2019-12-31,19.38,19.49,19.33,19.49,894900.0
2019-12-30,19.49,19.49,19.35,19.35,915989.0
2019-12-27,19.46,19.48,19.42,19.46,562524.0
2019-12-26,19.33,19.41,19.33,19.41,240827.0
2019-12-24,19.34,19.35,19.3,19.31,132474.0
2019-12-23,19.31,19.33,19.28,19.31,317769.0
2019-12-20,19.4,19.42,19.32,19.35,1885919.0
2019-12-19,19.37,19.41,19.325,19.38,786127.0
2019-12-18,19.43,19.44,19.4,19.42,608326.0
2019-12-17,19.46,19.49,19.43,19.46,1483224.0
2019-12-16,19.57,19.59,19.54,19.55,1080925.0
2019-12-13,19.46,19.63,19.35,19.44,2476258.0
2019-12-12,18.93,19.1799,18.92,19.17,1134204.0
2019-12-11,18.7,18.78,18.69,18.77,320427.0
2019-12-10,18.66,18.73,18.62,18.69,338028.0
2019-12-09,18.74,18.8,18.68,18.68,566922.0
2019-12-06,18.73,18.76,18.66,18.73,508175.0
2019-12-05,18.6,18.63,18.51,18.56,964268.0
2019-12-04,18.46,18.58,18.455,18.58,651648.0
2019-12-03,18.27,18.33,18.175,18.3,536162.0
2019-12-02,18.57,18.57,18.41,18.44,599967.0
2019-11-29,18.64,18.649,18.57,18.57,246379.0
2019-11-27,18.72,18.77,18.71,18.74,879579.0
2019-11-26,18.66,18.67,18.6136,18.66,168508.0
2019-11-25,18.65,18.72,18.64,18.72,352735.0
2019-11-22,18.58,18.64,18.53,18.6,537822.0
2019-11-21,18.51,18.53,18.44,18.48,641775.0
2019-11-20,18.52,18.56,18.45,18.5,598721.0
2019-11-19,18.79,18.81,18.64,18.65,1989650.0
2019-11-18,18.58,18.66,18.545,18.65,656104.0
2019-11-15,18.61,18.65,18.59,18.64,401248.0
2019-11-14,18.54,18.57,18.49,18.57,375109.0
2019-11-13,18.47,18.6,18.45,18.58,859571.0
2019-11-12,18.83,18.9,18.789,18.84,604542.0
2019-11-11,18.75,18.83,18.705,18.82,383349.0
2019-11-08,18.81,18.81,18.74,18.81,480303.0
2019-11-07,18.93,18.99,18.91,18.93,731341.0
2019-11-06,18.81,18.84,18.75,18.8,1409214.0
2019-11-05,18.8,18.825,18.75,18.79,658934.0
2019-11-04,18.77,18.825,18.74,18.78,637341.0
2019-11-01,18.49,18.58,18.445,18.58,305792.0
2019-10-31,18.38,18.41,18.29,18.4,1166203.0
2019-10-30,18.43,18.54,18.32,18.5,486672.0
2019-10-29,18.57,18.66,18.57,18.62,806446.0
2019-10-28,18.62,18.69,18.62,18.69,283055.0
2019-10-25,18.58,18.685,18.51,18.65,872145.0
2019-10-24,18.79,18.84,18.64,18.71,1263525.0
2019-10-23,18.61,18.71,18.55,18.71,862760.0
2019-10-22,18.66,18.755,18.58,18.59,1965939.0
2019-10-21,18.77,18.8,18.7,18.72,1367062.0
2019-10-18,18.4,18.495,18.3728,18.47,4668219.0
2019-10-17,18.49,18.53,18.315,18.38,740186.0
2019-10-16,18.26,18.3253,18.24,18.28,1042540.0
2019-10-15,17.86,18.27,17.85,18.21,1234514.0
2019-10-14,17.71,17.83,17.71,17.79,343238.0
2019-10-11,17.89,18.02,17.89,17.94,1705692.0
2019-10-10,17.05,17.25,17.04,17.25,678821.0
2019-10-09,16.86,16.91,16.83,16.9,438907.0
2019-10-08,16.83,16.875,16.765,16.77,820734.0
2019-10-07,16.99,17.095,16.99,17.02,308190.0
2019-10-04,16.86,17.04,16.85,17.04,319288.0
2019-10-03,16.87,16.98,16.74,16.98,734810.0
2019-10-02,17.06,17.09,16.86,16.88,839649.0
2019-10-01,17.56,17.56,17.33,17.33,2073021.0
2019-09-30,17.59,17.635,17.575,17.6,496484.0
2019-09-27,17.51,17.605,17.48,17.53,877528.0
2019-09-26,17.47,17.525,17.4407,17.48,1538746.0
2019-09-25,17.32,17.435,17.25,17.42,721317.0
2019-09-24,17.6,17.6,17.44,17.44,592539.0
2019-09-23,17.57,17.65,17.51,17.64,683488.0
2019-09-20,17.86,17.88,17.77,17.79,730533.0
2019-09-19,17.8,17.855,17.78,17.8,472162.0
2019-09-18,17.62,17.665,17.55,17.64,463502.0
2019-09-17,17.57,17.6875,17.53,17.65,865389.0
2019-09-16,17.79,17.835,17.76,17.77,510721.0
2019-09-13,18.03,18.09,17.98,18.05,889933.0
2019-09-12,17.52,17.7452,17.5,17.74,1520514.0
2019-09-11,17.58,17.65,17.52,17.65,1538913.0
2019-09-10,17.54,17.575,17.48,17.57,3426807.0
2019-09-09,17.21,17.29,17.2061,17.29,1204097.0
2019-09-06,16.99,17.009,16.95,16.97,528886.0
2019-09-05,16.91,16.98,16.89,16.93,386378.0
2019-09-04,16.59,16.62,16.545,16.62,343748.0
2019-09-03,16.29,16.3368,16.25,16.3,250253.0
2019-08-30,16.47,16.5,16.335,16.41,311241.0
2019-08-29,16.4,16.41,16.325,16.39,482225.0
2019-08-28,16.17,16.27,16.12,16.22,876474.0
