date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,4.27,4.27,3.71,3.85,45888.0
2020-03-27,4.55,4.65,4.27,4.27,68186.0
2020-03-26,3.94,4.59,3.9146,4.59,35187.0
2020-03-25,3.97,4.17,3.755,3.9,51062.0
2020-03-24,3.79,4.35,3.71,4.01,50836.0
2020-03-23,3.59,4.1,3.425,3.56,37665.0
2020-03-20,4.65,4.75,3.41,3.42,80545.0
2020-03-19,3.42,4.55,3.41,4.55,64064.0
2020-03-18,3.5,3.7059,3.255,3.47,50660.0
2020-03-17,3.28,3.6279,3.1871,3.55,74166.0
2020-03-16,3.38,3.38,3.01,3.21,35310.0
2020-03-13,4.47,4.47,3.31,3.53,114895.0
2020-03-12,3.98,4.32,3.01,4.32,100460.0
2020-03-11,4.6,4.75,3.81,4.37,197484.0
2020-03-10,4.81,4.95,4.4492,4.69,43004.0
2020-03-09,4.7,4.84,3.77,4.75,94071.0
2020-03-06,5.05,5.159,4.89,4.98,34639.0
2020-03-05,5.54,5.63,5.02,5.17,36768.0
2020-03-04,5.76,6.15,5.42,5.58,92338.0
2020-03-03,5.0,5.86,5.0,5.74,79751.0
2020-03-02,5.12,5.51,4.7,4.95,81987.0
2020-02-28,4.78,5.37,4.78,5.06,46007.0
2020-02-27,5.02,5.28,4.86,4.96,50578.0
2020-02-26,5.09,5.5375,5.09,5.15,74098.0
2020-02-25,5.27,5.32,4.95,5.06,64929.0
2020-02-24,5.74,5.8,5.06,5.14,66820.0
2020-02-21,6.02,6.06,5.83,5.88,65224.0
2020-02-20,6.55,6.6293,5.91,5.99,141236.0
2020-02-19,5.58,6.8171,5.58,6.52,223653.0
2020-02-18,4.92,6.4539,4.886,5.53,166013.0
2020-02-14,4.27,5.18,4.26,5.02,305231.0
2020-02-13,4.99,5.11,4.15,4.39,104070.0
2020-02-12,4.6,5.38,4.52,4.93,198827.0
2020-02-11,4.69,5.3329,4.15,4.29,137357.0
2020-02-10,5.0,5.05,4.57,4.7,26729.0
2020-02-07,5.02,5.02,4.8,4.8,27671.0
2020-02-06,4.98,5.4,4.92,5.03,135340.0
2020-02-05,5.0,5.075,4.9201,4.99,47771.0
2020-02-04,4.75,5.27,4.75,5.0,120311.0
2020-02-03,5.86,5.86,4.578,4.81,187944.0
2020-01-31,6.65,6.65,5.83,5.87,46804.0
2020-01-30,6.97,6.99,6.44,6.74,116177.0
2020-01-29,7.26,7.39,7.0,7.05,177912.0
2020-01-28,6.83,7.09,6.27,7.06,152739.0
2020-01-27,5.86,6.94,5.7993,6.78,214295.0
2020-01-24,6.02,6.4399,5.88,6.01,130301.0
2020-01-23,5.48,6.5,5.4,6.01,348162.0
2020-01-22,4.7,5.54,4.6886,5.37,95436.0
2020-01-21,4.35,4.82,4.35,4.62,76124.0
2020-01-17,4.29,4.4,4.29,4.34,22270.0
2020-01-16,4.19,4.3,4.17,4.24,31550.0
2020-01-15,4.28,4.48,4.14,4.18,84794.0
2020-01-14,4.25,4.48,4.1,4.25,67664.0
2020-01-13,4.22,4.515,4.2,4.25,83918.0
2020-01-10,4.13,4.65,4.13,4.22,151448.0
2020-01-09,3.83,4.34,3.83,4.17,121236.0
2020-01-08,3.66,3.84,3.585,3.76,78623.0
2020-01-07,3.65,3.95,3.58,3.62,29676.0
2020-01-06,3.63,3.9,3.61,3.74,51932.0
2020-01-03,3.72,3.89,3.62,3.67,72328.0
2020-01-02,4.11,4.11,3.68,3.72,95999.0
2019-12-31,4.24,4.33,3.92,4.06,107739.0
2019-12-30,4.46,4.47,4.15,4.21,64253.0
2019-12-27,4.44,4.55,4.2,4.44,100335.0
2019-12-26,4.49,4.65,4.08,4.48,70269.0
2019-12-24,4.47,4.61,4.41,4.44,42677.0
2019-12-23,4.21,4.5,4.21,4.47,54541.0
2019-12-20,4.18,4.5011,4.15,4.17,118419.0
2019-12-19,3.86,4.21,3.82,4.15,57348.0
2019-12-18,4.0,4.32,3.77,3.81,97730.0
2019-12-17,4.43,4.5,3.99,4.0,74913.0
2019-12-16,4.41,4.52,4.28,4.35,110010.0
2019-12-13,4.45,4.5,4.3,4.38,43009.0
2019-12-12,4.44,4.5009,4.43,4.43,40088.0
2019-12-11,4.15,4.5,4.15,4.39,62430.0
2019-12-10,4.14,4.2,3.89,4.19,84613.0
2019-12-09,4.25,4.53,3.79,4.11,73032.0
2019-12-06,4.6,4.605,4.16,4.18,43642.0
2019-12-05,4.58,4.8,4.4331,4.495,86724.0
2019-12-04,4.39,4.66,4.3322,4.44,89543.0
2019-12-03,4.46,4.46,4.16,4.33,148369.0
2019-12-02,4.47,5.61,4.3,4.465,99919.0
2019-11-29,4.9203,4.99,4.3825,4.51,40237.0
2019-11-27,4.99,5.0,4.72,4.91,42041.0
2019-11-26,4.86,5.0996,4.69,4.95,151921.0
2019-11-25,5.14,5.168,4.885,4.9,115586.0
2019-11-22,5.28,5.4406,5.04,5.16,67768.0
2019-11-21,5.47,5.51,4.98,5.45,79000.0
2019-11-20,5.6954,5.93,5.5,5.55,46857.0
2019-11-19,6.19,6.3026,5.55,5.64,35543.0
2019-11-18,6.54,6.54,5.95,6.1,11236.0
2019-11-15,6.28,6.36,6.07,6.11,15354.0
2019-11-14,6.24,6.402,6.14,6.15,26946.0
2019-11-13,6.58,6.58,6.1607,6.33,21807.0
2019-11-12,6.46,6.56,6.0922,6.53,9983.0
2019-11-11,6.6,6.6721,6.24,6.39,17834.0
2019-11-08,6.63,6.72,6.5,6.58,17543.0
2019-11-07,6.78,6.8,6.53,6.69,29468.0
2019-11-06,6.52,6.82,6.51,6.78,21597.0
2019-11-05,7.5,8.08,6.69,6.75,145486.0
2019-11-04,7.33,7.5,7.01,7.01,28470.0
2019-11-01,6.7575,6.99,6.46,6.92,10783.0
2019-10-31,6.54,6.55,6.0,6.53,43840.0
2019-10-30,6.77,6.77,6.25,6.61,26456.0
2019-10-29,7.3685,7.3685,6.75,6.82,50294.0
2019-10-28,7.26,7.45,6.86,7.07,35762.0
2019-10-25,7.05,7.33,7.0,7.26,14581.0
2019-10-24,7.41,8.3,7.03,7.1,50695.0
2019-10-23,7.41,7.68,7.32,7.45,17690.0
2019-10-22,6.87,7.64,6.69,7.06,57593.0
2019-10-21,6.63,6.93,6.6183,6.88,16215.0
2019-10-18,6.61,6.62,6.47,6.53,33961.0
2019-10-17,6.63,6.71,6.4,6.69,15458.0
2019-10-16,6.46,6.7,6.46,6.69,7689.0
2019-10-15,6.03,6.45,6.0,6.41,7663.0
2019-10-14,6.0,6.22,5.94,6.08,13000.0
2019-10-11,5.92,6.72,5.92,6.01,49945.0
2019-10-10,5.83,5.93,5.74,5.89,19990.0
2019-10-09,5.9,5.94,5.76,5.77,7847.0
2019-10-08,5.92,5.96,5.57,5.86,74165.0
2019-10-07,5.95,6.06,5.77,5.92,68275.0
2019-10-04,6.13,6.17,5.89,6.04,15663.0
2019-10-03,5.93,6.04,5.74,6.01,28909.0
2019-10-02,5.92,6.0899,5.66,6.02,142129.0
2019-10-01,6.1,6.12,5.82,5.96,98580.0
2019-09-30,6.28,6.28,5.9,6.1,33838.0
2019-09-27,6.15,6.41,5.56,6.24,38155.0
2019-09-26,6.3,6.966,5.85,6.05,62023.0
2019-09-25,6.6,6.879,6.16,6.27,93862.0
2019-09-24,7.25,7.25,6.28,6.54,65356.0
2019-09-23,7.94,7.94,7.06,7.13,46710.0
2019-09-20,8.17,8.38,7.87,7.87,242992.0
2019-09-19,8.78,9.265,8.1,8.16,95659.0
2019-09-18,8.44,9.0,7.83,8.72,185522.0
2019-09-17,8.01,8.67,7.755,8.4,122414.0
2019-09-16,7.95,8.72,7.85,8.08,82434.0
2019-09-13,8.02,8.42,7.31,7.93,143837.0
2019-09-12,6.81,8.21,6.7,7.89,62114.0
2019-09-11,6.5,7.06,6.34,6.75,88275.0
2019-09-10,6.55,7.32,6.4,6.48,82568.0
2019-09-09,6.02,6.64,5.96,6.53,74183.0
2019-09-06,6.05,7.32,5.85,5.92,95837.0
2019-09-05,6.0,6.1599,5.85,5.96,38311.0
2019-09-04,5.7,5.95,5.67,5.91,31120.0
2019-09-03,5.42,5.78,5.4,5.68,60214.0
2019-08-30,5.55,5.79,5.15,5.49,222662.0
2019-08-29,5.79,6.2115,5.65,5.7,35065.0
2019-08-28,5.87,6.37,5.66,5.7,83510.0
2019-08-27,6.33,6.34,5.8,5.87,19655.0
2019-08-26,6.28,6.3305,5.85,6.25,9387.0
2019-08-23,7.01,7.05,6.22,6.25,34163.0
2019-08-22,7.0353,7.0353,6.74,6.76,11430.0
2019-08-21,6.89,7.05,6.85,6.94,15758.0
2019-08-20,6.39,7.09,6.39,6.72,80965.0
2019-08-19,6.2,6.558,6.1707,6.39,12510.0
2019-08-16,5.79,6.46,5.41,6.11,48894.0
2019-08-15,5.9,5.9,5.7,5.77,25444.0
2019-08-14,5.98,5.98,5.67,5.81,32490.0
2019-08-13,6.1,6.73,5.55,5.98,46841.0
2019-08-12,5.46,6.3326,5.46,6.08,45979.0
2019-08-09,5.8814,6.02,5.38,5.45,46136.0
2019-08-08,5.44,6.22,5.44,5.87,58219.0
2019-08-07,6.0,6.43,5.4648,5.79,93419.0
2019-08-06,5.69,7.05,4.8973,5.9,246778.0
2019-08-05,5.79,6.17,5.56,5.57,55889.0
2019-08-02,6.19,6.22,5.55,5.91,28546.0
2019-08-01,6.18,6.3,6.17,6.27,22377.0
2019-07-31,6.64,7.1,6.04,6.11,40016.0
2019-07-30,6.7634,6.91,6.62,6.72,13688.0
2019-07-29,6.93,7.2,6.49,6.72,67029.0
2019-07-26,7.12,7.49,6.89,6.9,22208.0
2019-07-25,7.44,7.59,7.08,7.1,10571.0
2019-07-24,7.69,7.72,7.44,7.51,10425.0
2019-07-23,7.475,7.9,7.38,7.51,41623.0
2019-07-22,7.81,7.875,7.28,7.5,22116.0
2019-07-19,8.11,8.3799,7.71,7.86,20425.0
2019-07-18,8.8334,8.8334,8.17,8.28,12492.0
2019-07-17,7.62,8.88,7.62,8.62,40649.0
2019-07-16,7.0101,8.145,7.0101,7.65,19960.0
2019-07-15,7.55,7.89,7.381,7.62,8588.0
2019-07-12,8.08,8.08,7.43,7.46,21034.0
2019-07-11,8.2,8.215,7.92,8.0,9025.0
2019-07-10,7.9427,8.57,7.73,7.92,21084.0
2019-07-09,8.17,8.8,7.775,8.19,90722.0
2019-07-08,8.09,8.275,7.92,7.96,46024.0
2019-07-05,8.51,8.99,7.99,8.04,53445.0
2019-07-03,8.23,8.55,7.5191,8.55,20485.0
2019-07-02,8.88,9.21,7.49,7.69,50207.0
2019-07-01,9.03,9.82,8.79,8.8,40772.0
2019-06-28,9.06,9.25,8.66,8.98,424115.0
2019-06-27,8.98,9.62,8.66,8.99,30555.0
2019-06-26,8.79,8.89,8.22,8.67,20210.0
2019-06-25,8.69,9.17,8.25,8.69,8763.0
2019-06-24,9.3,10.09,8.49,8.64,88272.0
2019-06-21,8.02,9.6,8.02,9.42,74606.0
2019-06-20,9.07,9.075,8.12,8.23,56191.0
2019-06-19,8.0,8.8,7.1956,8.78,18999.0
2019-06-18,7.59,8.47,7.3219,8.13,26082.0
2019-06-17,7.15,7.66,7.15,7.51,11340.0
2019-06-14,6.91,7.4,6.66,7.02,26367.0
2019-06-13,7.07,7.4,6.99,7.3,15021.0
2019-06-12,6.82,7.255,6.82,7.07,17136.0
2019-06-11,6.705,6.86,6.3201,6.77,10674.0
2019-06-10,6.73,6.84,6.525,6.78,10139.0
2019-06-07,6.7,7.04,6.7,6.81,11500.0
2019-06-06,6.49,6.74,6.49,6.67,12311.0
2019-06-05,6.65,6.795,6.52,6.52,28252.0
2019-06-04,7.2,7.2,6.49,6.71,58029.0
2019-06-03,7.5325,7.59,7.3471,7.51,8273.0
2019-05-31,7.68,7.8319,7.19,7.48,7591.0
2019-05-30,7.72,7.92,7.72,7.8,18122.0
2019-05-29,7.4,7.89,7.32,7.75,44632.0
2019-05-28,7.76,8.08,7.16,7.41,20047.0
