date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,9.85,9.85,9.85,9.85,10.0
2020-04-08,9.85,9.85,9.85,9.85,0.0
2020-04-07,9.85,9.85,9.85,9.85,0.0
2020-04-06,9.85,9.85,9.85,9.85,1200.0
2020-04-03,9.845,9.845,9.845,9.845,0.0
2020-04-02,9.845,9.87,9.78,9.845,307564.0
2020-04-01,9.96,10.0,9.96,10.0,5751.0
2020-03-31,9.63,9.67,9.63,9.67,721.0
2020-03-30,9.71,9.71,9.68,9.68,960.0
2020-03-27,9.55,9.98,9.53,9.96,61931.0
2020-03-26,9.98,9.98,9.98,9.98,43598.0
2020-03-25,9.98,9.98,9.98,9.98,6.0
2020-03-24,9.62,9.98,9.28,9.98,1071735.0
2020-03-23,9.7,9.7,9.7,9.7,0.0
2020-03-20,9.7,9.7,9.7,9.7,55500.0
2020-03-19,9.5,9.5,9.36,9.36,249218.0
2020-03-18,9.45,9.59,9.35,9.59,1891921.0
2020-03-17,9.5,9.57,9.46,9.55,29932.0
2020-03-16,9.72,9.72,9.72,9.72,0.0
2020-03-13,9.85,9.85,9.6875,9.72,509543.0
2020-03-12,9.9,9.9,9.7,9.899,10340.0
2020-03-11,9.98,10.01,9.96,9.96,650611.0
2020-03-10,10.0,10.0,10.0,10.0,625000.0
2020-03-09,10.04,10.04,10.04,10.04,0.0
2020-03-06,10.05,10.05,10.04,10.04,3229.0
2020-03-05,9.94,10.05,9.91,10.05,85971.0
2020-03-04,9.94,9.94,9.94,9.94,200000.0
2020-03-03,9.95,9.95,9.92,9.94,53144.0
2020-03-02,9.95,9.95,9.95,9.95,0.0
2020-02-28,9.97,9.97,9.95,9.95,10364.0
2020-02-27,10.0,10.0,10.0,10.0,1.0
2020-02-26,10.0,10.0,10.0,10.0,4.0
2020-02-25,10.0,10.0,10.0,10.0,0.0
2020-02-24,10.0,10.0,10.0,10.0,214.0
2020-02-21,10.0,10.05,10.0,10.0,326232.0
2020-02-20,10.0,10.0,10.0,10.0,2.0
2020-02-19,10.0,10.0,10.0,10.0,0.0
2020-02-18,10.0,10.0,10.0,10.0,1.0
2020-02-14,10.05,10.05,10.0,10.0,931.0
2020-02-13,9.99,10.0,9.99,10.0,154562.0
2020-02-12,9.97,9.97,9.97,9.97,2.0
2020-02-11,9.97,9.97,9.97,9.97,0.0
2020-02-10,10.0,10.0,9.97,9.97,5158.0
2020-02-07,10.0,10.01,10.0,10.01,50500.0
2020-02-06,10.01,10.02,10.01,10.02,105648.0
2020-02-05,10.0,10.02,10.0,10.02,50199.0
2020-02-04,10.02,10.02,10.02,10.02,300.0
2020-02-03,10.0,10.0,10.0,10.0,0.0
2020-01-31,10.0,10.0,10.0,10.0,238.0
2020-01-30,10.02,10.02,10.02,10.02,17852.0
2020-01-29,10.0,10.0,10.0,10.0,160005.0
2020-01-28,10.0,10.0,10.0,10.0,134071.0
2020-01-27,10.0,10.0,10.0,10.0,921.0
2020-01-24,10.02,10.02,10.02,10.02,20.0
2020-01-23,10.02,10.02,10.02,10.02,352200.0
2020-01-22,10.01,10.02,10.0,10.02,100246.0
2020-01-21,10.0,10.0,10.0,10.0,1521.0
2020-01-17,10.0,10.0,10.0,10.0,727.0
2020-01-16,10.0,10.0,9.99,10.0,305182.0
2020-01-15,10.0,10.0,10.0,10.0,102955.0
2020-01-14,10.0,10.0,10.0,10.0,656.0
2020-01-13,10.0,10.0,9.97,10.0,185148.0
2020-01-10,10.0,10.0,9.96,10.0,49299.0
2020-01-09,9.88,10.285,9.88,10.02,157630.0
2020-01-08,9.92,9.92,9.87,9.92,164271.0
2020-01-07,9.88,9.88,9.88,9.88,0.0
2020-01-06,9.88,9.88,9.88,9.88,201000.0
2020-01-03,9.88,9.88,9.87,9.87,364813.0
2020-01-02,9.83,9.83,9.83,9.83,40.0
2019-12-31,9.83,9.83,9.83,9.83,0.0
2019-12-30,9.83,9.83,9.83,9.83,0.0
2019-12-27,9.83,9.83,9.83,9.83,80.0
2019-12-26,9.83,9.83,9.83,9.83,0.0
2019-12-24,9.83,9.83,9.83,9.83,80.0
2019-12-23,9.83,9.83,9.83,9.83,0.0
2019-12-20,9.83,9.83,9.83,9.83,0.0
2019-12-19,9.83,9.83,9.83,9.83,0.0
2019-12-18,9.83,9.83,9.83,9.83,250100.0
2019-12-17,9.8498,9.85,9.8498,9.85,2414.0
2019-12-16,9.83,9.85,9.83,9.85,250800.0
2019-12-13,9.82,9.82,9.82,9.82,0.0
2019-12-12,9.82,9.82,9.82,9.82,0.0
2019-12-11,9.8049,9.82,9.8049,9.82,5500.0
2019-12-10,9.8,9.8,9.8,9.8,0.0
2019-12-09,9.8,9.8,9.8,9.8,40.0
2019-12-06,9.8,9.8,9.8,9.8,1002.0
2019-12-05,9.79,9.79,9.79,9.79,0.0
2019-12-04,9.79,9.79,9.79,9.79,200000.0
2019-12-03,9.78,9.78,9.78,9.78,0.0
2019-12-02,9.78,9.78,9.78,9.78,5.0
2019-11-29,9.78,9.78,9.78,9.78,0.0
2019-11-27,9.78,9.78,9.78,9.78,0.0
2019-11-26,9.78,9.78,9.78,9.78,5.0
2019-11-25,9.78,9.78,9.78,9.78,0.0
2019-11-22,9.78,9.78,9.78,9.78,0.0
2019-11-21,9.78,9.78,9.78,9.78,3719.0
2019-11-20,9.78,9.78,9.78,9.78,0.0
2019-11-19,9.78,9.78,9.78,9.78,700.0
2019-11-18,9.72,9.72,9.72,9.72,150000.0
2019-11-15,9.73,9.73,9.73,9.73,0.0
2019-11-14,9.74,9.75,9.73,9.73,372179.0
2019-11-13,9.75,9.76,9.75,9.75,400420.0
2019-11-12,9.75,9.75,9.75,9.75,0.0
2019-11-11,9.75,9.75,9.75,9.75,0.0
2019-11-08,9.75,9.75,9.75,9.75,200.0
2019-11-07,9.77,9.77,9.77,9.77,50000.0
2019-11-06,9.7,9.75,9.7,9.75,211000.0
2019-11-05,9.75,9.75,9.75,9.75,25000.0
