date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,1.0,1.1,0.9501,1.06,236166.0
2020-04-08,0.8537,1.0,0.8151,0.9293,368489.0
2020-04-07,0.8452,0.89,0.8,0.8155,98484.0
2020-04-06,0.75,0.85,0.71,0.805,242838.0
2020-04-03,0.84,0.86,0.82,0.84,219551.0
2020-04-02,0.9322,1.02,0.87,0.9497,126480.0
2020-04-01,0.9477,0.99,0.88,0.9602,148386.0
2020-03-31,0.82,1.01,0.82,0.9947,771899.0
2020-03-30,2.26,2.5306,1.0,1.14,1131077.0
2020-03-27,2.52,2.55,2.05,2.3393,38576.0
2020-03-26,3.1,3.1,2.43,2.73,62234.0
2020-03-25,2.8,2.8,2.39,2.79,59603.0
2020-03-24,2.15,2.5,2.0,2.42,54563.0
2020-03-23,2.8,2.8,1.81,2.18,86581.0
2020-03-20,3.07,3.07,2.41,2.54,55296.0
2020-03-19,2.48,2.98,2.34,2.88,27300.0
2020-03-18,3.0,3.0,2.5501,2.6184,29791.0
2020-03-17,2.67,3.02,2.55,3.0,38712.0
2020-03-16,3.0,3.06,2.75,2.75,26111.0
2020-03-13,3.31,3.4144,3.01,3.06,30933.0
2020-03-12,3.48,3.48,3.3,3.33,28016.0
2020-03-11,3.89,3.89,3.53,3.53,25251.0
2020-03-10,3.67,4.0,3.6,3.9545,62736.0
2020-03-09,3.79,3.98,3.5,3.5,74606.0
2020-03-06,4.1,4.1581,3.91,3.98,28508.0
2020-03-05,4.1,4.2554,4.0,4.0588,30814.0
2020-03-04,4.38,4.38,4.15,4.2,30085.0
2020-03-03,4.51,4.74,4.25,4.25,44894.0
2020-03-02,4.32,4.54,4.25,4.47,19478.0
2020-02-28,4.14,4.38,3.93,4.31,61029.0
2020-02-27,4.72,4.8605,4.18,4.27,55230.0
2020-02-26,4.89,5.06,4.8,4.92,29509.0
2020-02-25,5.17,5.3281,4.95,4.98,34337.0
2020-02-24,5.65,5.69,4.76,5.15,112883.0
2020-02-21,5.39,5.75,5.23,5.71,29679.0
2020-02-20,5.44,5.49,5.32,5.41,50196.0
2020-02-19,5.28,5.68,5.2,5.65,17648.0
2020-02-18,5.63,5.63,5.21,5.34,32214.0
2020-02-14,5.87,5.9999,5.6097,5.7,50652.0
2020-02-13,6.0,6.2,5.63,5.85,37537.0
2020-02-12,5.82,6.0,5.78,5.98,35804.0
2020-02-11,6.03,6.15,5.6491,5.81,98528.0
2020-02-10,5.18,6.22,5.15,5.96,151557.0
2020-02-07,4.99,5.23,4.72,5.21,56874.0
2020-02-06,5.1,5.1099,4.7901,5.01,40312.0
2020-02-05,4.93,5.2065,4.7708,5.145,52700.0
2020-02-04,5.19,5.49,4.8553,4.943,96223.0
2020-02-03,6.1,6.4,5.045,5.18,136552.0
2020-01-31,5.25,6.2299,5.25,6.05,109734.0
2020-01-30,4.98,5.4752,4.98,5.23,43176.0
2020-01-29,4.87,5.02,4.5301,5.02,78940.0
2020-01-28,4.4,4.83,4.3388,4.81,60651.0
2020-01-27,4.4,4.4236,4.17,4.33,101094.0
2020-01-24,3.95,4.3879,3.88,4.33,56551.0
2020-01-23,4.19,4.19,3.56,3.89,165978.0
2020-01-22,4.56,4.69,4.1899,4.1903,66939.0
2020-01-21,5.02,5.02,4.55,4.6,36572.0
2020-01-17,5.11,5.19,4.9291,5.02,25997.0
2020-01-16,5.29,5.3,5.0,5.12,22495.0
2020-01-15,5.43,5.49,5.13,5.27,31441.0
2020-01-14,5.53,5.6,5.2802,5.51,33491.0
2020-01-13,5.5,5.59,5.27,5.53,51498.0
2020-01-10,5.04,5.65,4.89,5.5352,94647.0
2020-01-09,4.8,5.06,4.66,5.04,91777.0
2020-01-08,4.75,4.96,4.6,4.84,83092.0
2020-01-07,5.21,5.2462,4.5,4.73,86977.0
2020-01-06,5.45,5.45,4.6924,5.21,80582.0
2020-01-03,0.736,0.7421,0.6501,0.675,556777.0
2020-01-02,0.739,0.75,0.731,0.7366,103079.0
2019-12-31,0.77,0.77,0.731,0.742,220777.0
2019-12-30,0.74,0.7674,0.725,0.7516,303920.0
