date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.0899,0.09,0.061,0.061,1322.0
2020-04-23,0.07,0.09,0.058,0.058,3260.0
2020-04-22,0.0799,0.08,0.0552,0.0552,13728.0
2020-04-21,0.0799,0.087,0.0642,0.0642,17882.0
2020-04-20,0.0675,0.08,0.0675,0.08,21250.0
2020-04-17,0.087,0.087,0.05,0.0625,12222.0
2020-04-16,0.07,0.0899,0.052,0.0697,26711.0
2020-04-15,0.09,0.09,0.06,0.07,104666.0
2020-04-14,0.07,0.07,0.0556,0.0699,39226.0
2020-04-13,0.07,0.07,0.07,0.07,491.0
2020-04-09,0.052,0.07,0.05,0.07,67953.0
2020-04-08,0.07,0.07,0.07,0.07,43842.0
2020-04-07,0.05,0.07,0.05,0.07,13246.0
2020-04-06,0.07,0.0793,0.05,0.078,35126.0
2020-04-03,0.07,0.08,0.05,0.07,13870.0
2020-04-02,0.051,0.09,0.05,0.0648,57174.0
2020-04-01,0.07,0.09,0.05,0.06,42743.0
2020-03-31,0.07,0.12,0.0697,0.0697,117263.0
2020-03-30,0.5001,0.55,0.0353,0.0679,263933.0
2020-03-27,0.64,0.64,0.575,0.64,1006.0
2020-03-26,0.6501,0.6501,0.5001,0.65,2024.0
2020-03-25,0.65,0.65,0.65,0.65,100.0
2020-03-24,0.5101,0.66,0.5101,0.65,502.0
2020-03-23,0.6011,1.2675,0.6,0.6,2157.0
2020-03-20,0.75,0.75,0.75,0.75,900.0
2020-03-19,0.14,0.65,0.14,0.65,293.0
2020-03-18,0.5012,0.6515,0.5012,0.596,10881.0
2020-03-17,0.749,0.749,0.749,0.749,100.0
2020-03-16,0.745,0.745,0.745,0.745,205.0
2020-03-13,0.46,0.75,0.46,0.75,10162.0
2020-03-12,0.7566,1.1,0.75,0.8079,3673.0
2020-03-11,1.0,1.0,1.0,1.0,50.0
2020-03-10,1.0,1.0,1.0,1.0,100.0
2020-03-09,0.76,0.82,0.7501,0.8199,1442.0
2020-03-06,1.0,1.0,1.0,1.0,40.0
2020-03-04,0.7711,1.0,0.7711,1.0,250.0
2020-03-02,1.0,1.0,1.0,1.0,103.0
2020-02-28,1.0,1.0,1.0,1.0,100.0
2020-02-27,0.76,1.0,0.76,0.81,465.0
2020-02-26,0.9,1.0,0.9,1.0,1100.0
2020-02-25,0.71,0.7501,0.71,0.7501,825.0
2020-02-24,1.25,1.25,1.25,1.25,1.0
2020-02-21,1.29,1.49,1.25,1.25,5262.0
2020-02-18,1.5,1.5,1.5,1.5,300.0
2020-02-13,1.0,1.0,0.996,0.996,303.0
2020-02-11,1.19,1.3,1.19,1.3,1425.0
2020-02-10,0.6302,0.8,0.6302,0.7969,2796.0
2020-02-07,0.8299,0.8299,0.8299,0.8299,206.0
2020-02-03,0.85,0.85,0.85,0.85,2342.0
2020-01-31,0.7163,0.7163,0.7163,0.7163,2.0
2020-01-30,0.7163,0.7163,0.7163,0.7163,44.0
2020-01-29,0.5001,0.75,0.5001,0.7163,2392.0
2020-01-28,0.7,0.75,0.7,0.7,8775.0
2020-01-24,0.7,0.73,0.6598,0.7,9836.0
2020-01-23,0.8,0.8,0.7,0.7,2383.0
2020-01-22,0.9,0.9,0.9,0.9,14.0
2020-01-21,0.8,0.94,0.8,0.9,1895.0
2020-01-17,0.8201,0.8201,0.7001,0.7001,3876.0
2020-01-16,0.8201,0.8201,0.8201,0.8201,1.0
2020-01-15,0.8201,0.8201,0.8201,0.8201,18.0
2020-01-14,0.8201,0.8201,0.8201,0.8201,278.0
