date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,35.8107,36.46,35.72,36.4354,7428.0
2020-03-27,35.59,36.625,35.56,35.8291,25441.0
2020-03-26,36.94,37.6093,36.739,37.3958,25979.0
2020-03-25,34.1,36.922,33.604,35.4915,8723.0
2020-03-24,31.45,34.2344,31.45,34.2344,4545.0
2020-03-23,31.78,31.78,30.41,30.88,22204.0
2020-03-20,33.1,34.305,32.045,32.045,14496.0
2020-03-19,31.74,33.8129,31.74,33.5288,8388.0
2020-03-18,33.83,33.92,31.2137,32.249,10826.0
2020-03-17,34.86,36.22,33.75,35.8831,9095.0
2020-03-16,34.4,36.75,33.89,34.5056,10770.0
2020-03-13,36.84,39.1135,36.775,39.1135,10153.0
2020-03-12,36.67,38.18,36.28,36.3848,6089.0
2020-03-11,41.595,41.595,40.61,41.0077,3848.0
2020-03-10,42.9,44.0,41.39,43.6729,8156.0
2020-03-09,43.31,43.337,41.84,41.9866,3743.0
2020-03-06,46.93,46.9871,46.51,46.9871,28343.0
2020-03-05,48.68,48.6806,47.93,48.102,3111.0
2020-03-04,49.2471,50.09,48.99,50.012,3648.0
2020-03-03,49.88,50.314,48.7429,48.7429,21638.0
2020-03-02,48.6986,50.1541,48.32,50.1541,7460.0
2020-02-28,47.7,48.58,47.48,48.5157,6380.0
2020-02-27,50.59,51.0473,49.24,49.3783,19663.0
2020-02-26,52.71,52.71,51.3175,51.3175,4999.0
2020-02-25,53.46,53.5182,52.28,52.3535,2896.0
2020-02-24,54.65,54.6982,54.4308,54.4828,2640.0
2020-02-21,56.4017,56.4017,56.3897,56.3897,635.0
2020-02-20,56.9119,56.9644,56.77,56.89,9646.0
2020-02-19,56.97,56.97,56.65,56.7447,10186.0
2020-02-18,56.63,56.63,56.23,56.5294,1837.0
2020-02-14,56.92,56.92,56.66,56.7976,1189.0
2020-02-13,57.15,57.155,56.9,57.125,2502.0
2020-02-12,56.97,57.3,56.97,57.225,2988.0
2020-02-11,56.89,56.9212,56.74,56.7901,2408.0
2020-02-10,56.15,56.225,55.97,56.1976,2805.0
2020-02-07,56.2457,56.3967,56.1781,56.23,3040.0
2020-02-06,57.5,57.5,56.9661,56.9661,2165.0
2020-02-05,56.17,57.27,56.17,57.1851,22334.0
2020-02-04,55.93,55.93,55.83,55.83,510.0
2020-02-03,55.22,55.2437,55.0954,55.0954,6217.0
2020-01-31,55.29,55.29,54.89,54.91,2565.0
2020-01-30,55.73,56.1223,55.38,56.1223,12520.0
2020-01-29,56.45,56.45,56.0782,56.0782,1662.0
2020-01-28,56.0154,56.48,56.0154,56.405,2379.0
2020-01-27,55.9018,56.0594,55.84,55.9275,2015.0
2020-01-24,57.25,57.25,56.61,56.82,1645.0
2020-01-23,57.16,57.75,57.16,57.7199,9818.0
2020-01-22,57.73,57.85,57.645,57.645,1778.0
2020-01-21,57.7943,57.94,57.66,57.705,25604.0
2020-01-17,58.34,58.4137,58.21,58.315,3910.0
2020-01-16,58.03,58.3539,58.03,58.3503,3432.0
2020-01-15,57.46,57.93,57.46,57.68,39107.0
2020-01-14,57.66,57.98,57.66,57.8184,7985.0
2020-01-13,57.11,57.605,57.11,57.5937,3725.0
2020-01-10,57.62,57.62,57.2992,57.2992,13033.0
2020-01-09,57.99,57.99,57.5,57.615,1814.0
2020-01-08,57.67,57.7953,57.55,57.645,4838.0
2020-01-07,57.69,57.69,57.48,57.6003,3890.0
2020-01-06,57.55,57.71,57.55,57.645,11313.0
2020-01-03,57.64,57.72,57.54,57.675,9819.0
2020-01-02,58.2598,58.2598,57.82,57.93,8633.0
