date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,49.68,50.0481,49.41,49.875,6241.0
2020-04-23,50.18,50.55,49.99,49.99,6411.0
2020-04-22,50.4274,50.4274,50.2,50.2,2045.0
2020-04-21,50.695,50.695,50.4,50.5896,11147.0
2020-04-20,50.59,50.98,50.59,50.885,2107.0
2020-04-17,50.96,51.1415,50.8932,50.95,16628.0
2020-04-16,51.09,51.15,50.743,50.94,3800.0
2020-04-15,51.25,51.3,51.0008,51.0635,16506.0
2020-04-14,51.1,51.11,50.7041,50.91,2866.0
2020-04-13,51.25,51.25,50.6973,50.815,5472.0
2020-04-09,50.35,51.2,50.225,50.525,8615.0
2020-04-08,50.1799,50.1799,49.874,50.0952,2026.0
2020-04-07,50.55,50.55,49.8531,50.0,3879.0
2020-04-06,49.65,49.8129,49.3615,49.74,3821.0
2020-04-03,49.3225,49.471,49.15,49.41,938.0
2020-04-02,49.1267,49.47,49.1267,49.42,8027.0
2020-04-01,50.5,50.52,48.67,49.22,6451.0
2020-03-31,51.4,51.4,51.09,51.11,6527.0
2020-03-30,51.96,51.96,51.08,51.4411,185172.0
2020-03-27,51.0,51.73,51.0,51.18,13004.0
2020-03-26,50.27,51.67,50.27,51.49,11060.0
2020-03-25,48.64,49.9175,48.64,49.885,15122.0
2020-03-24,47.83,48.25,47.53,47.935,32126.0
2020-03-23,46.9,47.9999,46.515,47.23,15070.0
2020-03-20,47.54,48.025,45.32,46.9,71056.0
2020-03-19,49.56,49.96,47.97,48.67,16327.0
2020-03-18,47.83,50.9197,47.83,50.385,12709.0
2020-03-17,51.65,51.65,50.0,51.07,9209.0
2020-03-16,51.4059,51.9541,49.99,51.645,34587.0
2020-03-13,50.91,51.8699,50.75,51.32,20009.0
2020-03-12,51.7,52.08,49.86,50.7,81782.0
2020-03-11,54.12,54.1412,53.18,53.315,68592.0
2020-03-10,54.68,54.68,53.98,54.145,16154.0
2020-03-09,55.27,55.45,54.68,54.975,19710.0
2020-03-06,55.0299,55.0499,54.932,54.95,7710.0
2020-03-05,55.09,55.09,54.865,54.865,3699.0
2020-03-04,54.872,55.0399,54.872,54.92,14005.0
2020-03-03,55.0436,55.06,54.9274,55.04,6270.0
2020-03-02,55.0498,55.21,54.9556,55.02,3880.0
2020-02-28,55.32,55.32,54.9,55.055,21034.0
2020-02-27,55.0199,55.02,54.95,55.0,24797.0
2020-02-26,54.91,55.04,54.91,54.985,5210.0
2020-02-25,54.93,55.01,54.8965,54.93,27294.0
2020-02-24,54.85,54.95,54.85,54.9,5468.0
