date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,39.47,40.16,39.169,40.14,93482.0
2020-03-27,39.11,40.02,38.88,39.3,538261.0
2020-03-26,38.98,40.69,38.98,40.5291,180420.0
2020-03-25,38.21,39.6906,37.7601,38.8775,219639.0
2020-03-24,37.03,37.92,36.7925,37.89,275324.0
2020-03-23,35.08,35.24,34.1712,34.5,144805.0
2020-03-20,36.14,36.7503,34.9045,34.94,152696.0
2020-03-19,34.41,35.76,33.96,35.085,151521.0
2020-03-18,34.76,35.651,33.3,34.54,149856.0
2020-03-17,36.49,37.4916,35.9877,37.07,302356.0
2020-03-16,35.64,37.67,35.1937,36.1803,507100.0
2020-03-13,41.06,41.088,38.7801,40.73,270417.0
2020-03-12,40.24,40.24,38.26,38.76,375922.0
2020-03-11,44.93,44.9968,43.47,43.84,193741.0
2020-03-10,46.38,46.43,44.8257,46.2,301931.0
2020-03-09,45.21,46.64,44.3701,44.78,413258.0
2020-03-06,48.51,48.922,48.1714,48.71,251754.0
2020-03-05,49.63,49.9683,49.1817,49.45,57656.0
2020-03-04,50.26,50.86,49.96,50.86,100400.0
2020-03-03,50.11,50.829,49.1617,49.6,272390.0
2020-03-02,49.13,49.75,48.6026,49.75,173799.0
2020-02-28,48.4,49.11,47.9825,48.94,153352.0
2020-02-27,50.17,50.5761,49.4716,49.4716,84840.0
2020-02-26,51.35,51.6732,50.87,51.07,127092.0
2020-02-25,51.98,51.98,50.84,50.955,70958.0
2020-02-24,51.65,52.0079,51.46,51.8,123483.0
2020-02-21,54.0527,54.09,53.85,53.96,49865.0
2020-02-20,54.45,54.5094,53.9535,54.28,41815.0
2020-02-19,54.75,54.8299,54.6776,54.79,54372.0
2020-02-18,54.39,54.6,54.3616,54.49,121467.0
2020-02-14,54.94,55.0034,54.6732,54.7903,62154.0
2020-02-13,54.77,54.9451,54.5927,54.84,47274.0
2020-02-12,55.14,55.224,55.0744,55.2,85770.0
2020-02-11,54.93,55.119,54.83,54.95,42406.0
2020-02-10,54.34,54.5,54.316,54.5,38091.0
2020-02-07,54.62,54.634,54.32,54.43,41514.0
2020-02-06,55.11,55.11,54.9619,55.11,68437.0
2020-02-05,54.95,54.98,54.78,54.98,73720.0
2020-02-04,54.3,54.4521,54.2635,54.3701,40909.0
2020-02-03,53.3624,53.6487,53.341,53.45,88175.0
2020-01-31,53.6,53.6635,53.0691,53.23,51300.0
2020-01-30,53.74,54.18,53.6085,54.18,37545.0
2020-01-29,54.49,54.537,54.22,54.365,69058.0
2020-01-28,54.19,54.47,54.08,54.42,45555.0
2020-01-27,54.1,54.3983,54.01,54.05,32637.0
2020-01-24,55.79,55.879,55.2613,55.4304,39030.0
2020-01-23,55.66,55.76,55.3354,55.71,33003.0
2020-01-22,56.07,56.1716,55.891,55.952,26558.0
2020-01-21,56.0,56.1702,55.7901,55.8524,113427.0
2020-01-17,56.21,56.3184,56.1101,56.225,34659.0
2020-01-16,55.89,56.1,55.85,56.0711,56690.0
2020-01-15,55.72,55.9067,55.72,55.82,104444.0
2020-01-14,55.68,55.9711,55.6523,55.91,43623.0
2020-01-13,55.59,55.89,55.4741,55.68,27648.0
2020-01-10,55.49,55.62,55.3419,55.38,48391.0
2020-01-09,55.53,55.63,55.4014,55.58,32489.0
2020-01-08,55.23,55.5295,55.2016,55.37,50488.0
2020-01-07,55.35,55.4327,55.25,55.3126,40484.0
2020-01-06,55.03,55.35,55.03,55.3249,124874.0
2020-01-03,55.3,55.57,55.21,55.21,46912.0
2020-01-02,55.82,56.04,55.79,55.99,228704.0
2019-12-31,55.49,55.65,55.2701,55.64,97423.0
2019-12-30,55.73,55.73,55.28,55.48,79031.0
