date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,27.72,27.72,27.72,27.72,760.0
2020-04-23,27.72,27.72,27.72,27.72,30.0
2020-04-22,27.7098,27.72,27.6618,27.72,531.0
2020-04-21,27.46,27.46,27.12,27.175,2608.0
2020-04-20,27.9,27.9282,27.848,27.9282,1416.0
2020-04-17,28.2284,28.2284,27.42,28.11,3714.0
2020-04-16,27.43,27.495,27.43,27.495,249.0
2020-04-15,27.29,27.33,27.29,27.29,5800.0
2020-04-14,28.13,28.32,28.13,28.17,1561.0
2020-04-13,28.12,28.12,27.07,27.86,1884.0
2020-04-09,26.98,26.98,26.98,26.98,0.0
2020-04-08,26.79,27.06,26.44,27.06,7871.0
2020-04-07,25.77,25.77,25.77,25.77,56.0
2020-04-06,25.77,26.133,25.77,26.133,219.0
2020-04-03,24.77,24.8914,24.2401,24.8914,2636.0
2020-04-02,24.83,24.83,24.83,24.83,224.0
2020-04-01,25.87,25.87,25.87,25.87,84.0
2020-03-31,25.87,25.87,25.87,25.87,35.0
2020-03-30,25.87,25.87,25.87,25.87,97.0
2020-03-27,25.89,25.9556,25.305,25.87,2388.0
2020-03-26,26.3827,26.3827,26.19,26.19,314.0
2020-03-25,25.1,25.1,25.1,25.1,2097.0
2020-03-24,24.1362,24.23,24.1362,24.23,284.0
2020-03-23,22.39,22.5223,22.37,22.52,600.0
2020-03-20,23.58,23.82,22.78,22.78,1981.0
2020-03-19,22.59,22.75,22.51,22.75,1423.0
2020-03-18,23.74,23.74,22.32,23.1514,8142.0
2020-03-17,23.0173,24.0217,22.75,23.3949,18403.0
2020-03-16,23.42,24.2,23.42,24.2,699.0
2020-03-13,25.5,25.76,25.0679,25.4359,1279.0
2020-03-12,25.79,25.79,24.451,25.15,3340.0
2020-03-11,29.4,29.43,28.99,28.99,12459.0
2020-03-10,29.05,29.63,28.61,29.3742,28757.0
2020-03-09,32.42,32.42,32.42,32.42,135.0
2020-03-06,32.42,32.42,32.42,32.42,4.0
2020-03-05,32.82,32.82,32.42,32.42,2724.0
2020-03-04,32.82,33.26,32.18,32.63,36747.0
2020-03-03,33.14,33.6,32.84,32.84,36778.0
2020-03-02,32.41,32.75,32.41,32.75,871.0
2020-02-28,31.352,31.73,31.19,31.73,2722.0
2020-02-27,33.47,33.47,33.47,33.47,1.0
2020-02-26,33.71,33.74,33.47,33.47,675.0
2020-02-25,33.95,34.08,31.911,33.1,26459.0
2020-02-24,35.84,35.84,35.84,35.84,4.0
2020-02-21,35.82,35.8867,35.82,35.84,1002.0
2020-02-20,36.7601,36.7601,36.7601,36.7601,8.0
2020-02-19,36.7601,36.7601,36.7601,36.7601,2.0
2020-02-18,36.7601,36.7601,36.7601,36.7601,7.0
2020-02-14,36.83,36.94,36.7601,36.9053,1206.0
2020-02-13,36.8,36.87,36.76,36.87,918.0
2020-02-12,37.01,37.195,36.63,37.1299,1506.0
2020-02-11,36.79,36.95,36.79,36.9345,310.0
2020-02-10,36.5837,36.765,36.0278,36.765,660.0
2020-02-07,36.785,36.785,36.45,36.775,332.0
2020-02-06,37.075,37.075,36.97,36.97,499.0
2020-02-05,36.9727,37.12,36.94,37.12,1231.0
2020-02-04,36.6569,36.6569,36.4008,36.46,2132.0
2020-02-03,35.88,35.97,35.62,35.6381,32736.0
2020-01-31,36.37,36.43,36.02,36.0229,17527.0
2020-01-30,36.58,36.68,36.58,36.61,886.0
2020-01-29,37.0,37.135,36.31,37.135,913.0
2020-01-28,37.1355,37.255,37.12,37.255,622.0
2020-01-27,37.12,37.12,37.12,37.12,409.0
2020-01-24,38.01,38.01,37.82,37.82,2673.0
2020-01-23,38.1,38.105,37.99,38.105,1316.0
2020-01-22,38.4,38.4,38.25,38.2918,1128.0
2020-01-21,38.24,38.4,37.9,37.9,1199.0
2020-01-17,38.46,38.46,38.46,38.46,25.0
2020-01-16,38.4,38.46,38.4,38.46,1373.0
2020-01-15,38.3539,38.3539,38.3539,38.3539,25.0
2020-01-14,38.3539,38.3539,38.285,38.285,138.0
2020-01-13,38.2935,38.2935,38.2935,38.2935,189.0
2020-01-10,38.2935,38.2935,38.185,38.185,199.0
2020-01-09,38.351,38.351,38.31,38.31,772.0
2020-01-08,38.49,38.51,38.29,38.29,847.0
2020-01-07,38.509,38.509,38.455,38.455,254.0
2020-01-06,38.6297,38.6297,38.6297,38.6297,39.0
2020-01-03,38.6,38.6297,38.58,38.58,1256.0
2020-01-02,38.5542,38.5542,38.5542,38.5542,259.0
2019-12-31,38.6476,38.6476,38.5542,38.605,328.0
2019-12-30,38.6395,38.6395,38.6395,38.6395,5.0
2019-12-27,38.6395,38.735,38.6395,38.735,177.0
2019-12-26,38.13,38.13,38.13,38.13,52.0
2019-12-24,38.13,38.13,38.13,38.13,308.0
2019-12-23,38.19,38.32,38.19,38.32,1027.0
2019-12-20,38.5299,38.5299,38.335,38.335,1114.0
2019-12-19,37.8826,38.01,37.8826,38.01,713.0
2019-12-18,37.79,37.99,37.79,37.99,868.0
2019-12-17,37.8,37.93,37.8,37.93,392.0
2019-12-16,37.8,37.8,37.8,37.8,148.0
2019-12-13,37.99,37.99,37.8,37.93,376.0
2019-12-12,37.62,37.62,37.62,37.62,0.0
2019-12-11,37.62,37.62,37.62,37.62,0.0
2019-12-10,37.737,37.737,37.737,37.737,14.0
2019-12-09,37.737,37.737,37.737,37.737,1.0
2019-12-06,37.737,37.737,37.737,37.737,0.0
2019-12-05,37.737,37.737,37.615,37.615,204.0
2019-12-04,37.3,37.3,37.3,37.3,23.0
2019-12-03,37.3,37.3,37.3,37.3,94.0
2019-12-02,37.3,37.3,37.3,37.3,53.0
2019-11-29,37.3,37.3,37.3,37.3,348.0
2019-11-27,37.57,37.57,37.57,37.57,0.0
2019-11-26,37.34,37.67,37.34,37.565,3534.0
2019-11-25,37.345,37.4656,37.345,37.4656,267.0
2019-11-22,37.4538,37.4538,37.4538,37.4538,25.0
2019-11-21,37.4538,37.4538,37.4538,37.4538,60.0
2019-11-20,37.4538,37.4538,37.4538,37.4538,92.0
2019-11-19,37.4538,37.4538,37.445,37.445,167.0
2019-11-18,37.12,37.12,37.12,37.12,119.0
2019-11-15,37.12,37.12,37.12,37.12,5.0
2019-11-14,37.08,37.12,37.08,37.12,365.0
2019-11-13,37.28,37.28,37.28,37.28,96.0
2019-11-12,37.28,37.28,37.28,37.28,40.0
2019-11-11,37.28,37.28,37.28,37.28,54.0
2019-11-08,37.28,37.28,37.28,37.28,113.0
2019-11-07,37.445,37.57,37.445,37.555,2629.0
2019-11-06,37.0805,37.0805,37.0805,37.0805,472.0
2019-11-05,36.884,36.884,36.87,36.87,305.0
2019-11-04,36.85,36.9466,36.85,36.9466,301.0
2019-11-01,36.3087,36.3087,36.3087,36.3087,14.0
2019-10-31,36.31,36.31,36.31,36.31,0.0
2019-10-30,36.3087,36.3087,36.3087,36.3087,292.0
2019-10-29,36.1511,36.1511,36.1511,36.1511,26.0
2019-10-28,36.1511,36.1511,36.1511,36.1511,2.0
2019-10-25,36.15,36.15,36.15,36.15,0.0
2019-10-24,36.1511,36.1511,36.1511,36.1511,3.0
2019-10-23,36.1423,36.1511,36.1423,36.1511,320.0
2019-10-22,36.27,36.27,36.27,36.27,0.0
2019-10-21,36.2685,36.2685,36.2685,36.2685,312.0
2019-10-18,35.99,35.99,35.99,35.99,7.0
2019-10-17,35.99,35.99,35.99,35.99,25.0
2019-10-16,35.99,35.99,35.99,35.99,2.0
2019-10-15,35.97,35.99,35.9699,35.99,2099.0
2019-10-14,35.8064,35.8064,35.8064,35.8064,66.0
2019-10-11,35.39,35.8064,35.39,35.8064,769.0
2019-10-10,35.09,35.2251,35.09,35.2251,558.0
2019-10-09,34.77,34.77,34.77,34.77,0.0
2019-10-08,34.56,35.33,34.56,34.77,12158.0
2019-10-07,35.03,35.03,35.03,35.03,256.0
2019-10-04,34.7613,34.83,34.741,34.7412,2054.0
2019-10-03,35.21,35.21,35.21,35.21,0.0
2019-10-02,35.21,35.21,35.21,35.21,0.0
2019-10-01,35.21,35.21,35.21,35.21,402.0
2019-09-30,35.2355,35.2355,35.2355,35.2355,133.0
2019-09-27,35.026,35.026,35.026,35.026,248.0
2019-09-26,35.17,35.17,35.17,35.17,0.0
2019-09-25,35.08,35.173,35.08,35.173,559.0
2019-09-24,35.5,35.5,35.5,35.5,19.0
2019-09-23,35.6168,35.66,35.5,35.5,639.0
2019-09-20,35.6706,35.6706,35.6706,35.6706,171.0
2019-09-19,35.6057,35.6057,35.6057,35.6057,366.0
2019-09-18,34.19,34.19,34.19,34.19,0.0
2019-09-17,35.6,35.6112,35.47,35.6112,1210.0
2019-09-16,34.19,34.19,34.19,34.19,0.0
2019-09-13,35.5967,35.64,35.585,35.585,878.0
2019-09-12,35.44,35.46,35.44,35.46,454.0
2019-09-11,34.19,34.19,34.19,34.19,0.0
2019-09-10,34.99,35.04,34.99,35.04,300.0
2019-09-09,34.96,35.0,34.68,35.0,3848.0
2019-09-06,34.8912,34.8912,34.8912,34.8912,480.0
2019-09-05,34.8,34.86,34.78,34.86,2100.0
2019-09-04,34.59,34.59,34.4255,34.4255,517.0
2019-09-03,34.1376,34.1376,34.1376,34.1376,316.0
2019-08-30,34.186,34.186,34.186,34.186,286.0
2019-08-29,33.76,33.76,33.76,33.76,210.0
2019-08-28,33.61,33.61,33.5453,33.5453,1134.0
2019-08-27,33.47,33.47,33.47,33.47,39.0
2019-08-26,33.48,33.6,33.47,33.47,2185.0
2019-08-23,34.38,34.38,34.38,34.38,0.0
2019-08-22,34.38,34.38,34.38,34.38,0.0
2019-08-21,34.3082,34.38,34.18,34.38,1174.0
2019-08-20,34.0,34.02,33.8839,33.8839,952.0
2019-08-19,33.89,33.89,33.89,33.89,2.0
2019-08-16,33.87,33.89,33.87,33.89,202.0
2019-08-15,32.96,32.96,32.96,32.96,202.0
2019-08-14,33.66,33.6604,33.5193,33.5193,696.0
2019-08-13,33.83,33.89,33.83,33.89,200.0
2019-08-12,34.0,34.0,34.0,34.0,0.0
2019-08-09,34.01,34.25,34.0,34.0,1090.0
2019-08-08,34.16,34.16,34.16,34.16,716.0
2019-08-07,33.93,33.93,33.93,33.93,152.0
2019-08-06,33.85,33.93,33.7,33.93,1191.0
2019-08-05,34.44,34.45,33.31,34.11,9895.0
2019-08-02,35.14,35.1411,34.92,34.92,419.0
2019-08-01,37.32,37.32,34.8731,35.64,5595.0
2019-07-31,35.92,35.9805,35.37,35.444,6462.0
2019-07-30,35.7899,35.79,35.6501,35.6501,486.0
2019-07-29,36.16,36.16,36.16,36.16,338.0
2019-07-26,36.3,36.3,36.205,36.205,701.0
2019-07-25,36.46,36.46,36.246,36.246,1662.0
2019-07-24,36.51,36.51,36.4819,36.4819,883.0
2019-07-23,36.33,36.33,36.235,36.235,1248.0
2019-07-22,36.02,36.02,35.83,35.83,763.0
2019-07-19,35.84,35.84,35.84,35.84,120.0
2019-07-18,35.84,35.84,35.84,35.84,97.0
2019-07-17,36.03,36.066,35.7793,35.84,1229.0
2019-07-16,36.07,36.07,36.07,36.07,806.0
2019-07-15,36.2412,36.2412,36.2412,36.2412,377.0
2019-07-12,36.2,36.2,36.2,36.2,333.0
2019-07-11,36.12,36.13,36.12,36.12,752.0
2019-07-10,36.05,36.05,35.9599,35.9599,677.0
2019-07-09,35.78,35.78,35.78,35.78,779.0
2019-07-08,36.37,36.37,36.37,36.37,0.0
2019-07-05,36.3,36.3729,36.3,36.3729,395.0
2019-07-03,36.86,36.96,36.86,36.96,700.0
2019-07-02,35.93,35.93,35.93,35.93,241.0
2019-07-01,35.93,35.93,35.93,35.93,120.0
2019-06-28,35.93,35.93,35.93,35.93,144.0
2019-06-27,35.93,35.93,35.93,35.93,104.0
2019-06-26,35.93,35.93,35.93,35.93,782.0
2019-06-25,35.9801,36.0965,35.87,35.87,1973.0
2019-06-24,36.0118,36.0118,36.0118,36.0118,840.0
2019-06-21,36.0336,36.0336,36.0336,36.0336,169.0
2019-06-20,36.06,36.1407,36.06,36.1407,485.0
2019-06-19,35.6226,35.8,35.56,35.8,938.0
