date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,21.3,21.94,21.3,21.94,2934.0
2020-04-23,21.0,21.75,21.0,21.7046,7850.0
2020-04-22,20.81,21.8,20.81,20.85,2179.0
2020-04-21,21.85,21.85,21.1,21.2859,4249.0
2020-04-20,21.81,21.9588,21.8,21.8,2329.0
2020-04-17,21.8,22.3,21.8,22.3,2538.0
2020-04-16,21.9,22.427,21.9,22.427,2851.0
2020-04-15,21.5,22.0,21.1,22.0,2812.0
2020-04-14,21.0002,21.05,21.0002,21.05,303.0
2020-04-13,21.56,22.0,21.56,21.65,2286.0
2020-04-09,19.6,21.54,19.6,21.5,6691.0
2020-04-08,21.0,21.5,21.0,21.5,1098.0
2020-04-07,20.2,21.25,20.2,21.042,5125.0
2020-04-06,19.3263,20.1,19.1789,20.1,826.0
2020-04-03,19.9525,21.2734,19.52,20.14,737.0
2020-04-02,20.24,21.9825,20.24,21.9825,4037.0
2020-04-01,20.34,20.34,18.76,19.8,7434.0
2020-03-31,20.75,21.9999,20.25,20.75,4558.0
2020-03-30,19.9347,22.0,19.0908,22.0,2345.0
2020-03-27,18.55,20.6365,18.55,20.0,10795.0
2020-03-26,18.5,20.9679,18.5,20.11,6367.0
2020-03-25,17.292,19.0,16.91,18.4928,2917.0
2020-03-24,16.99,19.0,16.99,17.1688,7390.0
2020-03-23,16.5,17.0,14.25,15.99,32126.0
2020-03-20,15.5,20.0,14.74,19.03,5211.0
2020-03-19,13.5,15.67,12.7346,15.5,33738.0
2020-03-18,17.54,19.29,15.0,15.0,7192.0
2020-03-17,21.01,23.2,19.04,20.94,3185.0
2020-03-16,23.61,23.95,23.0,23.0,5436.0
2020-03-13,24.78,25.09,23.61,23.62,5641.0
2020-03-12,25.0,25.0,23.2,24.99,3076.0
2020-03-11,25.957,26.1,25.0,25.2,3420.0
2020-03-10,25.0,25.5,24.61,25.5,2332.0
2020-03-09,24.4142,25.0,24.4142,25.0,936.0
2020-03-06,25.9,25.9,25.9,25.9,776.0
2020-03-05,26.78,26.78,25.6,25.95,1356.0
2020-03-04,25.8,25.8,25.8,25.8,727.0
2020-03-03,25.8322,25.8322,25.8322,25.8322,804.0
2020-03-02,25.75,26.78,25.069,26.0,6092.0
2020-02-28,25.6,25.6,23.6653,25.6,5601.0
2020-02-27,25.7953,26.0,25.5126,26.0,1927.0
2020-02-26,26.11,26.11,26.0402,26.0402,809.0
2020-02-25,26.15,26.15,25.89,25.89,2727.0
2020-02-24,26.1,26.1,26.05,26.07,1816.0
2020-02-21,26.16,26.16,26.0493,26.0493,891.0
2020-02-20,26.1449,26.1449,26.1449,26.1449,371.0
2020-02-19,26.2,26.2,26.1449,26.1449,784.0
2020-02-18,26.19,26.19,26.19,26.19,628.0
2020-02-14,26.19,26.19,26.19,26.19,1317.0
2020-02-13,25.89,26.16,25.89,26.16,1488.0
2020-02-12,25.8917,25.8917,25.8917,25.8917,706.0
2020-02-11,25.8929,25.8929,25.8929,25.8929,350.0
2020-02-10,26.16,26.16,26.16,26.16,1018.0
2020-02-07,26.1172,26.16,26.0305,26.09,1678.0
2020-02-06,25.9307,26.04,25.9307,26.04,1084.0
2020-02-05,25.9147,26.16,25.9147,26.16,968.0
2020-02-04,25.98,25.98,25.876,25.876,382.0
2020-02-03,25.65,26.02,25.65,26.02,1289.0
2020-01-31,25.7078,25.7078,25.7078,25.7078,1015.0
2020-01-30,26.0,26.0,25.7408,25.7408,906.0
2020-01-29,25.8,25.98,25.7753,25.98,1304.0
2020-01-28,25.5681,25.8193,25.5681,25.7685,1707.0
2020-01-27,25.6252,25.6252,25.6252,25.6252,321.0
