date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,8.4,8.4,8.4,8.4,352.0
2020-04-23,8.49,8.61,8.4,8.4,2470.0
2020-04-22,8.4123,8.4123,8.4123,8.4123,1401.0
2020-04-21,8.5,8.5,8.35,8.4,3013.0
2020-04-20,8.77,8.77,8.77,8.77,206.0
2020-04-17,8.59,8.77,8.5,8.77,10768.0
2020-04-16,8.55,8.59,8.5,8.5,14744.0
2020-04-15,8.5919,8.5919,8.55,8.59,4796.0
2020-04-14,8.65,8.65,8.55,8.55,11580.0
2020-04-13,9.01,9.01,8.6,8.6002,3797.0
2020-04-09,8.55,8.78,8.54,8.78,2614.0
2020-04-08,7.9581,8.17,7.9,8.17,24306.0
2020-04-07,7.69,7.98,7.69,7.98,13114.0
2020-04-06,7.63,7.69,7.62,7.65,3382.0
2020-04-03,7.89,7.89,7.61,7.73,10530.0
2020-04-02,7.76,7.93,7.62,7.66,25131.0
2020-04-01,7.75,7.85,7.75,7.76,3619.0
2020-03-31,7.8893,7.8893,7.8893,7.8893,88.0
2020-03-30,7.86,7.8993,7.85,7.8893,1129.0
2020-03-27,7.53,8.34,7.53,8.2638,3556.0
2020-03-26,7.2,8.41,7.1757,8.34,4959.0
2020-03-25,7.1723,8.3,7.1723,7.57,37646.0
2020-03-24,7.4106,7.8844,7.41,7.82,5831.0
2020-03-23,6.75,7.31,6.7358,7.31,16209.0
2020-03-20,7.94,7.95,7.8969,7.94,10894.0
2020-03-19,8.0,8.08,7.82,7.9,11641.0
2020-03-18,8.6,8.6,7.83,7.83,6604.0
2020-03-17,8.4667,8.4667,8.342,8.36,3183.0
2020-03-16,8.5,8.79,8.19,8.2,19970.0
2020-03-13,8.3805,8.5,8.2708,8.5,15650.0
2020-03-12,8.31,8.6245,8.31,8.44,10134.0
2020-03-11,9.05,9.15,8.88,8.97,21153.0
2020-03-10,9.11,9.91,9.11,9.23,8216.0
2020-03-09,9.5688,9.77,9.15,9.15,18256.0
2020-03-06,10.13,10.19,10.02,10.04,15795.0
2020-03-05,10.1343,10.27,10.1343,10.23,4548.0
2020-03-04,10.1907,10.24,10.1793,10.24,6349.0
2020-03-03,10.2038,10.25,10.05,10.06,21686.0
2020-03-02,10.3036,10.3036,10.13,10.17,47565.0
2020-02-28,10.35,10.39,10.25,10.25,25304.0
2020-02-27,10.42,10.42,10.4,10.41,19494.0
2020-02-26,10.55,10.55,10.44,10.46,40695.0
2020-02-25,10.5795,10.5795,10.5,10.5,10552.0
2020-02-24,10.55,10.5514,10.5,10.54,21963.0
2020-02-21,10.6448,10.6448,10.61,10.63,13819.0
2020-02-20,10.6273,10.655,10.62,10.64,4786.0
2020-02-19,10.6699,10.68,10.61,10.67,12347.0
2020-02-18,10.66,10.7,10.65,10.66,17219.0
2020-02-14,10.65,10.71,10.65,10.66,33233.0
2020-02-13,10.65,10.71,10.65,10.68,41061.0
2020-02-12,10.65,10.696,10.61,10.65,17173.0
2020-02-11,10.7,10.7,10.65,10.68,9201.0
2020-02-10,10.69,10.71,10.69,10.705,25593.0
2020-02-07,10.71,10.74,10.69,10.7,14428.0
2020-02-06,10.76,10.76,10.7,10.72,8937.0
2020-02-05,10.75,10.765,10.72,10.75,3234.0
2020-02-04,10.68,10.74,10.68,10.74,15675.0
2020-02-03,10.7,10.71,10.68,10.68,29783.0
2020-01-31,10.77,10.77,10.7,10.7,74547.0
2020-01-30,10.76,10.7963,10.73,10.79,39013.0
2020-01-29,10.8,10.83,10.73,10.77,91165.0
2020-01-28,10.7,10.8,10.7,10.7745,157180.0
2020-01-27,10.66,10.7,10.56,10.64,100114.0
2020-01-24,10.7,10.7174,10.65,10.7,103066.0
2020-01-23,10.6764,10.78,10.6764,10.7,98446.0
2020-01-22,10.66,10.71,10.66,10.68,50226.0
2020-01-21,10.92,10.92,10.61,10.66,119024.0
2020-01-17,11.0,11.1,10.73,10.75,1322640.0
2020-01-16,12.1,12.18,12.09,12.18,25194.0
2020-01-15,12.1115,12.14,12.084,12.1,8593.0
2020-01-14,12.0,12.18,12.0,12.18,18806.0
2020-01-13,11.85,12.3,11.85,12.06,23741.0
2020-01-10,11.7999,11.88,11.76,11.85,9661.0
2020-01-09,11.65,11.9,11.65,11.9,5435.0
2020-01-08,11.62,11.68,11.62,11.67,5326.0
2020-01-07,11.68,11.68,11.68,11.68,4.0
2020-01-06,11.59,11.68,11.59,11.68,16836.0
2020-01-03,11.53,11.665,11.4212,11.51,26781.0
2020-01-02,11.595,11.595,11.53,11.5482,1935.0
2019-12-31,11.63,11.7,11.55,11.55,13984.0
2019-12-30,11.59,11.65,11.59,11.64,18397.0
2019-12-27,11.64,11.64,11.64,11.64,30.0
2019-12-26,11.5796,11.64,11.5796,11.64,363.0
2019-12-24,11.655,11.655,11.655,11.655,0.0
2019-12-23,11.69,11.69,11.58,11.6546,786.0
2019-12-20,11.5633,11.69,11.55,11.69,10225.0
2019-12-19,11.527,11.58,11.51,11.51,7317.0
2019-12-18,11.5,11.52,11.5,11.52,2019.0
2019-12-17,11.5,11.53,11.5,11.53,4970.0
2019-12-16,11.47,11.52,11.46,11.5,10246.0
2019-12-13,11.43,11.46,11.43,11.46,1563.0
2019-12-12,11.55,11.55,11.45,11.45,16304.0
2019-12-11,11.54,11.5887,11.54,11.5495,18419.0
2019-12-10,11.5299,11.7328,11.52,11.54,19672.0
2019-12-09,11.33,11.51,11.33,11.423,25652.0
2019-12-06,11.26,11.3,11.26,11.29,15337.0
2019-12-05,11.23,11.29,11.2298,11.26,4071.0
2019-12-04,11.2,11.23,11.2,11.21,19623.0
2019-12-03,11.2,11.2,11.1,11.1,7506.0
2019-12-02,11.21,11.248,11.21,11.2376,4938.0
2019-11-29,11.21,11.21,11.1735,11.21,2543.0
2019-11-27,11.1218,11.2139,11.1159,11.2139,26313.0
2019-11-26,11.1254,11.14,11.12,11.12,2001.0
2019-11-25,11.094,11.15,11.094,11.15,3600.0
2019-11-22,11.07,11.1453,11.07,11.1453,6362.0
2019-11-21,11.1,11.1,11.09,11.09,4155.0
2019-11-20,11.2,11.2,11.09,11.09,2717.0
2019-11-19,11.1,11.14,11.07,11.14,2796.0
2019-11-18,11.09,11.1733,11.07,11.0921,5240.0
2019-11-15,10.94,11.09,10.9,11.06,7539.0
