date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,26.79,26.79,26.27,26.6,20024.0
2020-04-23,26.06,26.7755,25.74,26.36,19394.0
2020-04-22,25.32,25.9788,25.32,25.67,18104.0
2020-04-21,25.97,26.2075,24.8,25.12,40005.0
2020-04-20,26.88,26.88,25.1411,26.6,34868.0
2020-04-17,27.65,27.7364,26.79,26.91,67922.0
2020-04-16,27.14,27.5,26.13,27.17,22984.0
2020-04-15,26.61,27.4,26.41,27.1,28400.0
2020-04-14,26.99,27.5,26.99,27.12,34035.0
2020-04-13,26.6,26.91,25.75,26.8,54191.0
2020-04-09,25.55,26.925,25.55,26.63,57020.0
2020-04-08,24.2,26.0,24.15,25.42,76586.0
2020-04-07,24.31,24.5,24.06,24.1,83984.0
2020-04-06,24.45,24.9399,24.13,24.29,75400.0
2020-04-03,24.86,24.86,23.92,24.42,31849.0
2020-04-02,24.59,24.7,23.75,24.36,32543.0
2020-04-01,25.25,25.47,24.18,24.7,57884.0
2020-03-31,25.01,26.1701,25.01,25.58,35315.0
2020-03-30,24.42,25.54,24.16,25.01,58711.0
2020-03-27,24.19,25.4,24.19,24.96,37049.0
2020-03-26,23.6,25.49,22.15,25.29,82721.0
2020-03-25,20.94,26.75,20.94,23.29,97328.0
2020-03-24,21.9,23.24,20.32,21.63,68171.0
2020-03-23,18.81,20.5,16.5,20.25,123394.0
2020-03-20,20.24,22.8935,19.3367,19.85,68454.0
2020-03-19,19.5,20.59,16.515,19.33,190170.0
2020-03-18,21.85,23.0657,18.75,19.51,108754.0
2020-03-17,23.0,23.96,21.9912,22.16,70173.0
2020-03-16,24.0,24.95,22.09,23.01,96220.0
2020-03-13,24.22,26.3402,23.76,25.15,54758.0
2020-03-12,25.7,26.41,23.0,23.01,86511.0
2020-03-11,27.45,27.81,26.78,27.1,79445.0
2020-03-10,27.35,28.39,25.71,27.9,74258.0
2020-03-09,27.96,28.4899,26.774,27.12,19131.0
2020-03-06,27.93,28.715,27.755,28.65,44262.0
2020-03-05,28.37,28.76,28.25,28.32,22922.0
2020-03-04,28.24,28.75,27.85,28.75,32565.0
2020-03-03,27.97,28.2086,27.72,28.01,32020.0
2020-03-02,27.44,27.98,26.82,27.97,27508.0
2020-02-28,27.76,28.04,26.8,27.0,75931.0
2020-02-27,28.2,28.52,27.3,27.78,31881.0
2020-02-26,28.49,28.53,27.875,28.21,54572.0
2020-02-25,28.84,28.9,27.9,28.09,61795.0
2020-02-24,28.88,29.0446,28.52,28.52,12919.0
2020-02-21,29.03,29.2,28.57,28.72,48702.0
2020-02-20,29.13,29.29,29.005,29.13,28314.0
2020-02-19,29.29,29.3719,28.89,28.95,53266.0
2020-02-18,29.43,29.44,29.269,29.27,18757.0
2020-02-14,29.22,29.44,29.22,29.31,10880.0
2020-02-13,29.17,29.29,29.11,29.2,55795.0
2020-02-12,29.33,29.42,29.0,29.15,16526.0
2020-02-11,29.4,29.48,29.4,29.43,39264.0
2020-02-10,29.42,29.48,29.395,29.44,27752.0
2020-02-07,29.38,29.48,29.33,29.36,33874.0
2020-02-06,29.44,29.44,29.29,29.39,27607.0
2020-02-05,29.37,29.45,29.29,29.39,26265.0
2020-02-04,29.46,29.46,29.3,29.35,27135.0
2020-02-03,29.29,29.48,29.29,29.46,17644.0
2020-01-31,29.45,29.48,29.23,29.24,41938.0
2020-01-30,29.35,29.45,29.2268,29.42,33923.0
2020-01-29,29.16,29.25,29.112,29.25,17960.0
2020-01-28,29.07,29.15,28.8998,29.13,22572.0
2020-01-27,28.89,29.07,28.78,29.07,17898.0
2020-01-24,28.88,28.96,28.7406,28.96,41601.0
2020-01-23,28.9,28.9,28.74,28.74,13711.0
2020-01-22,28.7,28.9,28.6601,28.88,29695.0
2020-01-21,28.92,28.92,28.64,28.64,32456.0
2020-01-17,28.89,28.93,28.72,28.79,35899.0
2020-01-16,28.77,28.97,28.76,28.855,20734.0
2020-01-15,28.84,28.8766,28.65,28.75,17521.0
2020-01-14,29.07,29.07,28.66,28.81,40339.0
2020-01-13,28.93,29.07,28.87,29.05,43961.0
2020-01-10,29.07,29.25,29.07,29.105,34667.0
2020-01-09,28.94,29.1,28.94,29.05,30249.0
2020-01-08,28.98,29.1,28.9701,29.06,32175.0
2020-01-07,29.34,29.34,28.7,28.83,55949.0
2020-01-06,29.28,29.28,29.16,29.26,32906.0
2020-01-03,29.05,29.49,29.05,29.14,48557.0
2020-01-02,28.7,29.05,28.6326,29.05,54606.0
2019-12-31,28.71,28.72,28.5,28.71,24121.0
2019-12-30,28.56,28.74,28.56,28.65,5909.0
2019-12-27,28.66,28.79,28.4527,28.79,10013.0
2019-12-26,28.5,28.68,28.4012,28.66,8814.0
2019-12-24,28.83,28.83,28.63,28.8,9523.0
2019-12-23,28.84,28.84,28.5,28.72,122783.0
2019-12-20,28.64,28.7,28.51,28.6,26682.0
2019-12-19,28.81,28.81,28.498,28.55,26067.0
2019-12-18,28.59,28.84,28.38,28.84,33966.0
2019-12-17,28.77,28.77,28.56,28.61,19869.0
2019-12-16,28.8,28.8,28.5749,28.67,18184.0
2019-12-13,28.58,28.9283,28.39,28.74,84844.0
2019-12-12,28.43,28.58,28.261,28.58,26735.0
