date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,25.76,26.47,25.76,26.38,26590.0
2020-04-08,24.1977,25.63,24.1502,25.29,21352.0
2020-04-07,23.65,24.35,23.65,23.87,22893.0
2020-04-06,23.0,23.7034,23.0,23.47,15648.0
2020-04-03,22.78,23.04,22.7,22.8,34004.0
2020-04-02,23.21,23.25,22.5441,22.91,11228.0
2020-04-01,23.62,23.62,22.79,23.25,35265.0
2020-03-31,23.44,23.7139,23.11,23.7139,48807.0
2020-03-30,23.93,23.97,22.85,23.97,6408.0
2020-03-27,23.49,23.7,22.4057,23.7,17362.0
2020-03-26,21.25,24.2,21.25,23.65,34552.0
2020-03-25,20.91,23.52,20.65,20.65,20788.0
2020-03-24,20.0,21.4503,19.7539,20.6431,36955.0
2020-03-23,21.45,21.45,17.89,18.85,32005.0
2020-03-20,18.75,21.12,18.75,20.0,21335.0
2020-03-19,18.5,19.99,16.25,18.75,32626.0
2020-03-18,20.99,20.99,14.5,17.95,30774.0
2020-03-17,22.13,23.22,22.1,22.53,37716.0
2020-03-16,23.65,23.65,20.22,21.3,13429.0
2020-03-13,24.51,25.24,24.09,24.75,17080.0
2020-03-12,25.36,25.48,23.0,24.31,30840.0
2020-03-11,25.31,25.8005,25.22,25.8,6229.0
2020-03-10,25.52,25.94,25.2,25.94,11327.0
2020-03-09,25.06,25.53,25.06,25.5,6463.0
2020-03-06,26.6,26.9145,26.3,26.39,6118.0
2020-03-05,26.8,27.0,26.8,26.93,4402.0
2020-03-04,26.61,27.3233,26.61,26.99,1770.0
2020-03-03,26.87,26.87,26.597,26.597,1188.0
2020-03-02,26.495,26.9298,26.495,26.8728,2295.0
2020-02-28,26.4,26.78,26.06,26.78,8152.0
2020-02-27,26.38,26.53,26.37,26.42,4903.0
2020-02-26,26.82,26.82,26.6,26.6,6741.0
2020-02-25,27.02,27.03,26.8,26.8,12215.0
2020-02-24,27.45,27.45,27.3566,27.3566,743.0
2020-02-21,27.4,27.53,27.35,27.35,5293.0
2020-02-20,27.49,27.5684,27.49,27.5684,1137.0
2020-02-19,27.37,27.515,27.35,27.37,1476.0
2020-02-18,27.37,27.57,27.35,27.57,8580.0
2020-02-14,27.5386,27.5386,27.5386,27.5386,1534.0
2020-02-13,27.529,27.5753,27.529,27.53,1122.0
2020-02-12,27.5,27.5,27.36,27.36,1607.0
2020-02-11,27.3041,27.57,27.3041,27.57,2221.0
2020-02-10,27.34,27.4697,27.32,27.4697,6079.0
2020-02-07,27.43,27.44,27.415,27.44,2979.0
2020-02-06,27.42,27.44,27.4,27.42,8733.0
2020-02-05,27.29,27.44,27.29,27.44,999.0
2020-02-04,27.358,27.3933,27.358,27.358,2106.0
2020-02-03,27.35,27.3703,27.27,27.28,6398.0
2020-01-31,27.19,27.42,27.19,27.42,5350.0
2020-01-30,27.17,27.41,27.17,27.37,1760.0
2020-01-29,27.23,27.33,27.16,27.16,7550.0
2020-01-28,27.28,27.42,27.23,27.24,2860.0
2020-01-27,27.35,27.4285,27.28,27.3393,4382.0
2020-01-24,27.41,27.4227,27.3,27.353,2575.0
2020-01-23,27.3882,27.4201,27.342,27.3741,5086.0
2020-01-22,27.2235,27.35,27.1915,27.35,4984.0
2020-01-21,27.27,27.44,27.12,27.44,8558.0
2020-01-17,27.35,27.35,27.25,27.25,8106.0
2020-01-16,27.34,27.45,27.3342,27.37,8648.0
2020-01-15,27.28,27.45,27.25,27.43,4943.0
2020-01-14,27.7,27.7,27.26,27.35,16280.0
2020-01-13,27.85,27.9787,27.75,27.75,12588.0
2020-01-10,27.97,28.0,27.8534,28.0,4639.0
2020-01-09,27.91,27.99,27.75,27.98,3403.0
2020-01-08,27.87,27.91,27.72,27.91,7839.0
2020-01-07,27.7631,27.865,27.7631,27.865,1620.0
2020-01-06,27.75,27.89,27.4874,27.88,14860.0
2020-01-03,27.665,27.885,27.665,27.885,22071.0
2020-01-02,27.52,27.69,27.4,27.69,15058.0
2019-12-31,27.2328,27.39,27.1105,27.39,5276.0
2019-12-30,27.45,27.45,27.1361,27.45,4506.0
2019-12-27,27.0007,27.5156,27.0007,27.45,11389.0
2019-12-26,27.1,27.1808,27.1,27.1808,1786.0
2019-12-24,27.44,27.48,27.3543,27.424,3000.0
2019-12-23,27.2156,27.4,27.1872,27.4,2695.0
2019-12-20,27.16,27.39,27.12,27.28,8761.0
2019-12-19,27.1,27.37,27.1,27.365,5138.0
2019-12-18,27.0609,27.29,26.98,27.25,11411.0
2019-12-17,27.0365,27.14,26.94,27.14,9853.0
2019-12-16,26.87,27.0,26.87,26.94,4638.0
2019-12-13,26.86,27.12,26.86,27.1,11161.0
2019-12-12,26.84,27.05,26.81,26.85,2451.0
2019-12-11,26.92,27.08,26.785,27.08,2849.0
2019-12-10,26.77,27.0,26.77,27.0,1602.0
2019-12-09,26.7505,27.03,26.7066,27.03,12020.0
2019-12-06,26.65,26.792,26.65,26.75,2758.0
2019-12-05,26.575,27.07,26.53,27.07,7787.0
2019-12-04,26.64,26.67,26.5701,26.67,2472.0
2019-12-03,26.6,26.8674,26.6,26.665,3052.0
2019-12-02,26.87,26.87,26.6,26.627,8245.0
2019-11-29,27.0236,27.098,26.8,26.8,23545.0
2019-11-27,26.98,27.0976,26.86,26.92,7278.0
2019-11-26,27.04,27.1013,26.86,26.86,7281.0
2019-11-25,27.04,27.13,27.04,27.0527,4475.0
2019-11-22,27.12,27.12,26.9806,27.1,4527.0
2019-11-21,27.01,27.05,26.96,27.04,7507.0
2019-11-20,27.04,27.04,26.9628,26.9754,2567.0
2019-11-19,27.0013,27.05,26.95,27.048,1986.0
2019-11-18,26.97,27.04,26.97,27.04,2376.0
2019-11-15,27.1077,27.14,26.94,27.02,6634.0
2019-11-14,26.98,27.06,26.9726,26.9726,3291.0
2019-11-13,26.84,26.95,26.84,26.92,10803.0
2019-11-12,26.9754,27.0597,26.85,27.03,9284.0
2019-11-11,26.92,27.09,26.92,27.04,11721.0
2019-11-08,26.85,27.0241,26.85,26.96,1644.0
2019-11-07,27.14,27.15,26.85,26.87,29442.0
2019-11-06,27.239,27.3,27.1,27.1,5575.0
2019-11-05,27.2,27.26,27.01,27.26,3468.0
2019-11-04,27.42,27.42,27.15,27.21,7041.0
2019-11-01,27.3472,27.42,27.17,27.2049,3780.0
2019-10-31,27.17,27.6501,27.17,27.46,67184.0
2019-10-30,27.3,27.6545,27.16,27.17,23792.0
2019-10-29,27.4376,27.855,27.32,27.32,5010.0
2019-10-28,27.41,27.55,27.4,27.55,10534.0
2019-10-25,27.6399,27.68,27.536,27.536,1601.0
2019-10-24,27.78,27.7814,27.6534,27.6711,2928.0
2019-10-23,27.45,27.68,27.45,27.6,12251.0
2019-10-22,27.723,27.7764,27.57,27.7,18800.0
2019-10-21,27.941,27.941,27.62,27.77,8156.0
2019-10-18,27.9682,28.35,27.75,27.79,10233.0
2019-10-17,27.6636,28.49,27.6636,28.46,15921.0
2019-10-16,27.624,27.82,27.39,27.71,18990.0
2019-10-15,27.42,27.7,27.4025,27.59,3118.0
2019-10-14,27.5034,27.56,27.37,27.41,2558.0
2019-10-11,27.2447,27.7977,27.2447,27.56,24911.0
2019-10-10,27.06,27.4,27.06,27.39,10281.0
2019-10-09,26.97,27.25,26.97,27.25,7907.0
2019-10-08,27.0267,27.19,27.0267,27.14,6910.0
2019-10-07,27.15,27.1894,26.9882,27.0442,4505.0
2019-10-04,27.09,27.0994,27.0537,27.0537,1265.0
2019-10-03,26.78,26.99,26.75,26.97,9618.0
2019-10-02,27.16,27.16,26.89,26.92,4401.0
2019-10-01,27.34,27.36,27.01,27.12,137585.0
2019-09-30,27.62,27.85,27.53,27.78,940530.0
2019-09-27,27.65,27.77,27.45,27.64,217460.0
2019-09-26,27.25,27.512,27.25,27.5,134530.0
2019-09-25,27.1,27.3,27.05,27.3,16638.0
2019-09-24,27.1,27.1,26.9999,27.1,13691.0
2019-09-23,27.05,27.1,26.86,27.1,9559.0
2019-09-20,27.1,27.1,26.8687,27.05,15211.0
2019-09-19,27.02,27.1,26.8089,27.1,15411.0
2019-09-18,27.001,27.1,26.8,27.1,15325.0
2019-09-17,26.9,27.0,26.9,26.9001,8820.0
2019-09-16,26.76,27.02,26.6,26.7678,19544.0
2019-09-13,26.85,26.922,26.76,26.76,5458.0
2019-09-12,27.0,27.04,26.78,27.04,6157.0
2019-09-11,26.9,26.9959,26.7,26.98,14018.0
2019-09-10,26.9,27.04,26.8,26.81,11073.0
2019-09-09,26.999,27.0,26.8,26.85,5661.0
2019-09-06,26.9,26.99,26.65,26.8425,7696.0
2019-09-05,27.0618,27.2,26.9,26.9,12411.0
2019-09-04,26.98,27.2,26.9267,27.0,6353.0
2019-09-03,26.9967,27.24,26.6786,27.0181,15426.0
2019-08-30,26.7,26.95,26.67,26.9,3243.0
2019-08-29,26.98,27.0,26.55,26.75,11851.0
2019-08-28,27.16,27.17,27.15,27.15,7863.0
