date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,41.78,41.92,41.68,41.89,4882.0
2020-04-23,42.2599,42.2599,41.6,41.6,1704.0
2020-04-22,41.42,41.4821,41.24,41.4821,4611.0
2020-04-21,41.11,41.11,40.62,40.9023,10441.0
2020-04-20,41.535,41.6489,41.2278,41.2278,1126.0
2020-04-17,41.1974,41.5717,41.1,41.5717,5108.0
2020-04-16,40.9818,41.44,40.9726,41.2883,22536.0
2020-04-15,41.29,41.6499,41.15,41.3563,41001.0
2020-04-14,41.75,42.18,41.6063,41.77,15916.0
2020-04-13,40.8883,41.08,40.6433,41.08,2752.0
2020-04-09,41.08,41.5279,40.81,41.08,14379.0
2020-04-08,40.19,40.55,40.11,40.4035,4978.0
2020-04-07,41.59,41.59,40.475,40.475,6103.0
2020-04-06,39.2343,40.02,39.2343,40.02,8743.0
2020-04-03,37.8,38.06,37.3989,37.6733,5082.0
2020-04-02,38.625,38.83,38.3588,38.815,3699.0
2020-04-01,38.61,39.0345,38.5464,38.5464,2314.0
2020-03-31,40.33,40.75,39.93,40.3544,15964.0
2020-03-30,41.365,41.8425,41.3,41.82,2995.0
2020-03-27,41.11,41.705,41.0988,41.18,9281.0
2020-03-26,39.93,41.0799,39.93,40.845,57464.0
2020-03-25,38.95,40.2224,38.7527,39.7624,7580.0
2020-03-24,39.47,39.6517,39.1564,39.2103,22813.0
2020-03-23,37.23,37.23,36.2485,36.745,9379.0
2020-03-20,38.15,38.64,37.712,37.82,102827.0
2020-03-19,37.27,37.9103,36.9933,37.3491,12784.0
2020-03-18,35.85,36.855,35.5,36.3994,35072.0
2020-03-17,36.21,37.2875,35.79,37.0112,46308.0
2020-03-16,34.25,36.39,34.25,35.4431,26230.0
2020-03-13,37.3784,37.83,36.35,37.6879,44730.0
2020-03-12,37.8,37.8,36.47,36.8117,46031.0
2020-03-11,41.57,41.74,40.97,41.0867,11699.0
2020-03-10,42.51,42.51,41.27,42.3503,27520.0
2020-03-09,41.79,42.0001,41.1644,41.3517,56200.0
2020-03-06,43.36,43.56,43.2099,43.5224,6543.0
2020-03-05,43.94,44.25,43.87,44.0294,14622.0
2020-03-04,44.67,45.045,44.39,45.045,3809.0
2020-03-03,44.53,44.83,43.9053,44.1339,4925.0
2020-03-02,44.01,44.625,43.6517,44.616,16485.0
2020-02-28,43.21,43.8696,42.91,43.8696,102270.0
2020-02-27,44.43,44.755,43.74,43.8772,16823.0
2020-02-26,45.6,45.8209,45.4824,45.5063,3816.0
2020-02-25,45.76,45.76,44.9828,45.1053,51882.0
2020-02-24,45.14,45.6562,45.14,45.3667,8541.0
2020-02-21,47.0,47.0,46.83,46.9156,2133.0
2020-02-20,47.1964,47.3911,47.09,47.2384,7877.0
2020-02-19,47.9,47.9818,47.76,47.76,2266.0
2020-02-18,48.0,48.0936,47.89,48.0,4262.0
2020-02-14,48.93,48.93,48.78,48.78,1647.0
2020-02-13,49.28,49.3338,49.13,49.2481,3255.0
2020-02-12,49.75,49.8206,49.6,49.75,13874.0
2020-02-11,50.2149,50.245,50.0,50.0,3851.0
2020-02-10,49.93,49.94,49.8425,49.94,17055.0
2020-02-07,50.15,50.15,49.96,49.96,1843.0
2020-02-06,50.55,50.62,50.3242,50.62,2033.0
2020-02-05,50.25,50.47,50.19,50.295,37081.0
2020-02-04,49.76,49.8249,49.72,49.7381,6673.0
2020-02-03,48.9,49.0884,48.9,48.9062,4761.0
2020-01-31,48.8,48.8,48.33,48.51,8012.0
2020-01-30,48.99,49.43,48.9131,49.43,43514.0
2020-01-29,49.7166,49.8478,49.49,49.49,7155.0
2020-01-28,49.55,49.83,49.55,49.77,6279.0
2020-01-27,49.3311,49.72,49.3311,49.5001,6700.0
2020-01-24,50.627,50.627,50.26,50.3972,5394.0
2020-01-23,50.66,50.87,50.6322,50.77,3106.0
2020-01-22,50.83,50.8675,50.64,50.7129,10512.0
2020-01-21,50.7,50.7,50.53,50.5931,2307.0
2020-01-17,50.542,50.81,50.51,50.715,7600.0
2020-01-16,50.625,50.8343,50.625,50.7956,1807.0
2020-01-15,50.7294,50.8139,50.65,50.75,4525.0
2020-01-14,50.75,50.9,50.68,50.865,9736.0
2020-01-13,50.74,51.11,50.6535,50.985,4118.0
2020-01-10,51.0,51.04,50.65,50.74,11619.0
2020-01-09,51.08,51.2654,51.06,51.2374,6749.0
2020-01-08,50.8658,51.1075,50.8515,50.9794,8920.0
2020-01-07,51.05,51.11,50.79,50.843,37429.0
2020-01-06,50.78,50.88,50.7163,50.81,17802.0
2020-01-03,50.5,50.91,50.4111,50.6,29085.0
2020-01-02,51.14,51.277,50.97,51.065,79344.0
2019-12-31,50.44,50.515,50.27,50.3557,2867.0
2019-12-30,50.93,50.93,50.3,50.31,35061.0
2019-12-27,51.05,51.18,50.87,51.02,5226.0
2019-12-26,51.125,51.1474,51.01,51.1102,4359.0
2019-12-24,50.98,51.0953,50.9101,51.065,1773.0
2019-12-23,51.07,51.21,51.0,51.08,7141.0
2019-12-20,51.21,51.2365,51.1558,51.2301,3296.0
2019-12-19,51.1916,51.2338,51.1518,51.19,4537.0
2019-12-18,51.02,51.1169,50.94,51.08,4627.0
2019-12-17,51.36,51.39,51.2932,51.39,1684.0
2019-12-16,51.35,51.53,51.3432,51.3629,8844.0
2019-12-13,51.12,51.3079,51.0639,51.18,4268.0
2019-12-12,51.8786,51.99,51.699,51.935,9663.0
2019-12-11,51.67,51.95,51.67,51.95,3062.0
2019-12-10,51.63,51.715,51.63,51.715,1583.0
2019-12-09,51.82,51.8378,51.6339,51.67,927.0
2019-12-06,51.78,51.872,51.7482,51.8033,30843.0
2019-12-05,51.3,51.3,51.12,51.2134,11437.0
2019-12-04,51.07,51.2398,50.986,51.19,3686.0
2019-12-03,50.282,50.6487,50.2296,50.61,5241.0
2019-12-02,50.64,50.64,50.155,50.385,64510.0
2019-11-29,50.445,50.445,50.415,50.415,599.0
2019-11-27,50.8503,50.94,50.73,50.92,39657.0
2019-11-26,50.65,50.74,50.4845,50.6629,3868.0
2019-11-25,50.305,50.305,50.305,50.305,293.0
2019-11-22,50.39,50.4131,50.2447,50.305,3309.0
2019-11-21,50.46,50.46,50.1939,50.29,3071.0
2019-11-20,50.45,50.629,50.3286,50.36,2719.0
2019-11-19,50.79,50.81,50.59,50.695,3650.0
2019-11-18,50.76,50.94,50.76,50.875,6139.0
2019-11-15,50.79,51.01,50.7754,50.9105,7599.0
2019-11-14,50.48,50.5845,50.3772,50.556,16333.0
2019-11-13,50.76,51.0045,50.638,50.81,2236.0
2019-11-12,51.32,51.32,51.122,51.24,6145.0
2019-11-11,50.76,50.99,50.73,50.99,1395.0
2019-11-08,50.98,51.0375,50.9223,51.0375,1280.0
2019-11-07,51.21,51.2133,51.1,51.11,9739.0
2019-11-06,50.96,51.19,50.88,50.905,4622.0
2019-11-05,50.78,51.01,50.7069,50.78,10614.0
2019-11-04,50.608,50.68,50.5401,50.68,3036.0
2019-11-01,50.33,50.3837,50.261,50.261,3161.0
2019-10-31,49.7103,49.88,49.6022,49.88,8143.0
2019-10-30,50.1,50.1,49.8294,50.0824,45607.0
2019-10-29,50.135,50.28,50.052,50.052,6746.0
2019-10-28,49.77,49.9308,49.7499,49.91,3101.0
2019-10-25,49.54,49.68,49.5064,49.6765,2762.0
2019-10-24,49.6896,49.78,49.6,49.76,8896.0
2019-10-23,49.575,49.65,49.53,49.625,15857.0
2019-10-22,49.66,49.66,49.4165,49.4675,38899.0
2019-10-21,49.42,49.6011,49.33,49.5223,7009.0
2019-10-18,48.9894,49.135,48.91,49.135,12281.0
2019-10-17,49.0253,49.12,48.8526,48.9275,4329.0
2019-10-16,48.99,49.115,48.885,49.0731,32327.0
2019-10-15,48.8768,49.3815,48.8768,49.2,18095.0
2019-10-14,48.6039,48.74,48.54,48.54,40066.0
2019-10-11,48.5,48.86,48.5,48.77,23233.0
2019-10-10,47.75,48.05,47.75,47.98,4530.0
2019-10-09,47.83,47.92,47.67,47.86,8799.0
2019-10-08,47.583,47.79,47.41,47.41,21460.0
2019-10-07,47.9073,47.96,47.7016,47.785,14421.0
2019-10-04,47.52,47.92,47.52,47.92,9267.0
2019-10-03,47.17,47.455,47.1631,47.3942,18046.0
2019-10-02,47.5812,47.5812,47.2635,47.3422,82255.0
2019-10-01,48.38,48.38,47.84,47.8972,18613.0
2019-09-30,47.7,47.8795,47.7,47.8705,9916.0
2019-09-27,47.8162,47.8162,47.6601,47.7043,3743.0
2019-09-26,48.35,48.5094,48.35,48.455,15323.0
2019-09-25,48.1959,48.2958,48.1959,48.2158,1968.0
2019-09-24,48.61,48.61,48.2524,48.3597,20260.0
2019-09-23,48.15,48.2917,48.1453,48.17,7007.0
2019-09-20,48.41,48.4594,48.23,48.32,15226.0
2019-09-19,48.5,48.705,48.4769,48.55,5397.0
2019-09-18,47.97,48.05,47.77,47.99,4600.0
2019-09-17,48.01,48.15,47.8826,48.08,6348.0
2019-09-16,48.21,48.22,48.06,48.06,11600.0
2019-09-13,48.2,48.46,48.2,48.3,2500.0
2019-09-12,47.82,47.9348,47.7117,47.87,4002.0
2019-09-11,47.64,47.72,47.48,47.6,10100.0
2019-09-10,47.1744,47.2095,47.065,47.108,4424.0
2019-09-09,46.93,46.98,46.76,46.784,19249.0
2019-09-06,46.6889,46.7546,46.5782,46.69,6319.0
2019-09-05,46.43,46.52,46.43,46.49,7800.0
2019-09-04,45.84,45.9999,45.74,45.93,36075.0
2019-09-03,45.8,45.93,45.75,45.88,26100.0
2019-08-30,46.06,46.06,45.732,45.915,6940.0
2019-08-29,45.71,45.8,45.586,45.64,4870.0
2019-08-28,45.25,45.4369,45.155,45.29,5462.0
2019-08-27,45.6447,45.6562,45.505,45.51,16921.0
2019-08-26,45.78,45.828,45.4559,45.59,39178.0
2019-08-23,45.34,45.4278,44.7901,44.965,12986.0
2019-08-22,45.63,45.69,45.22,45.59,18321.0
2019-08-21,45.6627,45.6916,45.4423,45.45,6535.0
2019-08-20,45.55,45.55,45.29,45.389,22384.0
2019-08-19,45.4363,45.5332,45.33,45.42,12528.0
2019-08-16,45.2,45.5394,45.2,45.4675,5587.0
2019-08-15,44.9899,45.05,44.8047,45.03,39596.0
2019-08-14,44.84,44.9489,44.5017,44.61,78841.0
2019-08-13,45.15,45.67,45.15,45.4407,19156.0
2019-08-12,45.58,45.627,45.1913,45.28,40679.0
2019-08-09,45.9,45.9,45.55,45.65,5564.0
2019-08-08,45.92,46.43,45.92,46.34,41875.0
2019-08-07,45.63,46.21,45.63,46.21,13497.0
