date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,2.17,2.23,2.07,2.09,196484.0
2020-04-23,2.25,2.3113,2.11,2.13,273724.0
2020-04-22,2.2,2.29,2.12,2.14,204790.0
2020-04-21,2.05,2.22,2.03,2.15,231769.0
2020-04-20,2.14,2.26,2.02,2.05,235824.0
2020-04-17,2.06,2.25,2.03,2.14,172690.0
2020-04-16,2.25,2.25,2.02,2.06,97830.0
2020-04-15,2.11,2.23,1.95,2.22,209602.0
2020-04-14,2.42,2.4586,2.17,2.18,160221.0
2020-04-13,2.5,2.655,2.38,2.4,157213.0
2020-04-09,2.43,2.59,2.34,2.42,155898.0
2020-04-08,2.35,2.42,2.26,2.37,202180.0
2020-04-07,2.45,2.4755,2.3,2.32,193655.0
2020-04-06,2.55,2.55,2.15,2.43,192873.0
2020-04-03,2.51,2.6,2.22,2.6,239317.0
2020-04-02,2.0,2.75,2.0,2.47,344146.0
2020-04-01,2.07,2.2,1.93,2.01,221213.0
2020-03-31,2.14,2.2,2.03,2.15,376928.0
2020-03-30,2.08,2.11,1.9,2.08,307230.0
2020-03-27,2.31,2.36,2.04,2.06,165497.0
2020-03-26,2.34,2.48,2.16,2.41,197251.0
2020-03-25,1.82,2.4,1.82,2.34,303361.0
2020-03-24,2.13,2.17,1.6,1.78,476390.0
2020-03-23,2.23,2.29,1.85,2.0,263705.0
2020-03-20,2.35,2.48,2.2,2.23,280043.0
2020-03-19,2.01,2.75,1.8,2.31,283327.0
2020-03-18,2.4,2.43,1.93,2.02,487619.0
2020-03-17,2.34,2.7,2.29,2.55,367587.0
2020-03-16,2.0,2.6,2.0,2.38,361977.0
2020-03-13,2.44,2.622,2.06,2.24,564333.0
2020-03-12,2.4,2.46,2.27,2.28,390089.0
2020-03-11,2.63,2.67,2.4139,2.5,368299.0
2020-03-10,2.99,3.0,2.51,2.7,473971.0
2020-03-09,2.88,3.2199,2.57,2.7,3805247.0
2020-03-06,3.41,3.54,3.25,3.54,1293588.0
2020-03-05,3.65,3.75,3.45,3.48,282587.0
2020-03-04,3.65,3.7,3.505,3.66,371536.0
2020-03-03,3.75,3.79,3.55,3.57,280601.0
2020-03-02,4.01,4.01,3.5,3.72,313812.0
2020-02-28,3.94,4.02,3.9169,3.995,342294.0
2020-02-27,3.99,4.13,3.76,4.02,1174881.0
2020-02-26,4.07,4.29,4.04,4.12,229773.0
2020-02-25,4.28,4.3,4.0,4.07,618123.0
2020-02-24,4.43,4.43,4.23,4.29,245958.0
2020-02-21,4.82,4.82,4.55,4.61,185674.0
2020-02-20,4.62,4.82,4.6,4.79,177368.0
2020-02-19,4.64,4.7,4.53,4.64,201682.0
2020-02-18,4.52,4.65,4.5,4.64,185521.0
2020-02-14,4.68,4.7173,4.51,4.54,504514.0
2020-02-13,4.65,4.77,4.6492,4.67,83096.0
2020-02-12,4.78,4.88,4.65,4.73,130355.0
2020-02-11,4.59,4.8,4.48,4.74,411039.0
2020-02-10,4.67,4.69,4.47,4.54,433398.0
2020-02-07,4.7,4.7499,4.5501,4.72,262207.0
2020-02-06,4.92,4.925,4.65,4.74,361159.0
2020-02-05,4.8,4.94,4.75,4.85,273491.0
2020-02-04,4.98,5.0448,4.76,4.765,469659.0
2020-02-03,5.02,5.42,4.75,4.95,510466.0
2020-01-31,5.4,5.54,5.285,5.5,315605.0
2020-01-30,5.6,5.65,5.36,5.48,221814.0
2020-01-29,5.81,5.895,5.64,5.66,138425.0
2020-01-28,5.76,5.91,5.74,5.8,580884.0
2020-01-27,5.88,5.94,5.5,5.695,1410595.0
2020-01-24,6.26,6.26,5.99,6.02,174945.0
2020-01-23,6.37,6.37,6.19,6.23,173823.0
2020-01-22,6.63,6.63,6.38,6.41,175836.0
2020-01-21,6.85,6.85,6.625,6.63,168447.0
2020-01-17,6.97,6.97,6.76,6.76,206885.0
2020-01-16,6.79,7.01,6.79,6.9,101608.0
2020-01-15,6.73,6.795,6.67,6.75,72160.0
2020-01-14,6.67,6.73,6.6,6.73,156500.0
2020-01-13,6.66,6.74,6.6,6.68,138785.0
2020-01-10,6.88,6.9005,6.67,6.7,139058.0
2020-01-09,6.92,6.95,6.77,6.85,238602.0
2020-01-08,7.03,7.07,6.79,6.825,141151.0
2020-01-07,7.02,7.12,7.02,7.07,74907.0
2020-01-06,7.07,7.2,6.94,7.08,157590.0
2020-01-03,7.05,7.2,6.86,6.96,177052.0
2020-01-02,7.13,7.18,6.95,6.95,124190.0
2019-12-31,6.95,7.09,6.91,7.06,100409.0
2019-12-30,6.95,7.04,6.93,6.97,146593.0
2019-12-27,7.17,7.23,6.9,6.95,247359.0
2019-12-26,7.11,7.25,7.05,7.14,106720.0
2019-12-24,7.01,7.2,6.98,7.12,75964.0
2019-12-23,6.85,7.09,6.75,7.02,211951.0
2019-12-20,6.8,6.89,6.71,6.85,888475.0
2019-12-19,6.78,6.85,6.74,6.78,274185.0
2019-12-18,6.8,6.82,6.71,6.77,221771.0
2019-12-17,6.67,6.78,6.6,6.76,197639.0
2019-12-16,6.49,6.7659,6.41,6.66,287372.0
2019-12-13,6.44,6.52,6.35,6.43,234536.0
2019-12-12,6.35,6.6,6.3,6.43,392642.0
2019-12-11,6.32,6.4,6.24,6.39,147877.0
2019-12-10,6.3,6.4,6.21,6.34,254358.0
2019-12-09,6.25,6.29,6.2,6.26,219380.0
2019-12-06,6.33,6.54,6.26,6.29,157727.0
2019-12-05,6.58,6.6983,6.3,6.31,181972.0
2019-12-04,6.54,6.85,6.54,6.56,221837.0
2019-12-03,6.38,6.54,6.34,6.47,154726.0
2019-12-02,6.46,6.525,6.38,6.46,100151.0
2019-11-29,6.44,6.6,6.31,6.45,71674.0
2019-11-27,6.48,6.65,6.45,6.48,148964.0
2019-11-26,6.42,6.55,6.41,6.42,125657.0
2019-11-25,6.32,6.5,6.2606,6.47,286648.0
2019-11-22,6.31,6.37,6.1917,6.35,139930.0
2019-11-21,6.27,6.35,6.12,6.3,175495.0
2019-11-20,6.12,6.34,6.1,6.22,226311.0
2019-11-19,6.28,6.4,6.086,6.165,491114.0
2019-11-18,6.44,6.71,6.15,6.475,390955.0
2019-11-15,6.44,6.57,6.37,6.46,2794713.0
2019-11-14,6.42,6.62,6.3,6.37,169630.0
2019-11-13,6.55,6.73,6.35,6.42,145026.0
2019-11-12,6.5,6.75,6.48,6.63,241470.0
2019-11-11,6.25,6.5,6.25,6.48,147358.0
2019-11-08,6.0,6.5179,6.0,6.395,229478.0
2019-11-07,6.34,6.43,6.12,6.38,174225.0
2019-11-06,6.43,6.49,6.25,6.27,152448.0
2019-11-05,6.53,6.54,6.3,6.44,248075.0
2019-11-04,6.43,6.54,6.3001,6.45,348668.0
2019-11-01,6.21,6.41,6.1826,6.34,657584.0
2019-10-31,6.12,6.28,6.0,6.16,143867.0
2019-10-30,6.33,6.38,6.13,6.19,435333.0
2019-10-29,6.34,6.5,6.28,6.34,212340.0
2019-10-28,6.41,6.47,6.28,6.37,138403.0
2019-10-25,6.33,6.41,6.0,6.34,216438.0
2019-10-24,6.46,6.51,6.35,6.38,85591.0
2019-10-23,6.43,6.47,6.25,6.39,104232.0
2019-10-22,6.5,6.58,6.38,6.4,305837.0
2019-10-21,6.34,6.51,6.2,6.49,283524.0
2019-10-18,6.49,6.58,6.29,6.32,246426.0
2019-10-17,6.42,6.59,6.3,6.51,254977.0
2019-10-16,6.38,6.59,6.33,6.37,201350.0
2019-10-15,6.17,6.5,6.17,6.36,205336.0
2019-10-14,6.41,6.45,6.16,6.21,329519.0
2019-10-11,6.45,7.14,6.238,6.39,913068.0
2019-10-10,5.46,6.375,5.46,6.145,627233.0
2019-10-09,5.5,5.5,5.37,5.48,70237.0
2019-10-08,5.64,5.93,5.31,5.45,220403.0
2019-10-07,5.35,5.6,5.35,5.51,195695.0
2019-10-04,5.42,5.62,5.37,5.44,98286.0
2019-10-03,5.35,5.62,5.35,5.47,175368.0
2019-10-02,5.53,5.54,5.37,5.42,89794.0
2019-10-01,5.78,5.83,5.45,5.5,144663.0
2019-09-30,5.98,6.04,5.74,5.75,339180.0
2019-09-27,6.06,6.23,5.91,6.0,151663.0
2019-09-26,6.29,6.29,6.03,6.05,120826.0
2019-09-25,6.33,6.37,6.116,6.3,149340.0
2019-09-24,6.61,6.76,6.25,6.34,122082.0
2019-09-23,6.65,6.775,6.58,6.68,212079.0
2019-09-20,6.52,6.665,6.42,6.6,654897.0
2019-09-19,6.74,6.79,6.43,6.5,75880.0
2019-09-18,6.66,6.75,6.56,6.67,124034.0
2019-09-17,6.97,6.98,6.51,6.67,141832.0
2019-09-16,7.14,7.24,6.91,7.0,194179.0
2019-09-13,6.69,6.94,6.59,6.79,152643.0
2019-09-12,6.95,7.04,6.62,6.7,145781.0
2019-09-11,6.69,7.18,6.69,7.03,486596.0
2019-09-10,6.64,7.05,6.64,6.67,248102.0
2019-09-09,6.48,6.8,6.315,6.68,148643.0
2019-09-06,6.21,6.5,6.08,6.47,294391.0
2019-09-05,6.21,6.49,6.2,6.23,215771.0
2019-09-04,5.78,6.39,5.73,6.21,377065.0
2019-09-03,5.85,5.93,5.75,5.78,214570.0
2019-08-30,5.88,6.11,5.85,5.86,138472.0
2019-08-29,5.9,5.99,5.84,5.85,101495.0
2019-08-28,5.96,5.96,5.8,5.85,238887.0
2019-08-27,6.02,6.0275,5.8,5.95,435757.0
2019-08-26,5.94,6.21,5.93,5.98,120530.0
2019-08-23,6.16,6.1747,5.885,6.0,167215.0
2019-08-22,6.48,6.7008,6.355,6.43,246497.0
