date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,0.25,0.28,0.25,0.28,1100.0
2020-03-27,0.25,0.25,0.25,0.25,2312.0
2020-03-25,0.23,0.254,0.2091,0.254,6300.0
2020-03-24,0.29,0.29,0.29,0.29,100.0
2020-03-23,0.25,0.27,0.2098,0.25,67167.0
2020-03-20,0.2502,0.2979,0.2,0.2,28450.0
2020-03-19,0.2,0.3,0.2,0.3,3000.0
2020-03-18,0.2,0.3,0.1998,0.205,73772.0
2020-03-17,0.259,0.26,0.25,0.26,35000.0
2020-03-16,0.299,0.299,0.1444,0.21,189360.0
2020-03-13,0.38,0.38,0.3,0.3299,63902.0
2020-03-12,0.3501,0.379,0.3501,0.37,7900.0
2020-03-11,0.38,0.38,0.38,0.38,200.0
2020-03-10,0.39,0.39,0.39,0.39,200.0
2020-03-09,0.39,0.3901,0.39,0.3901,800.0
2020-03-06,0.41,0.42,0.4,0.4,4300.0
2020-03-05,0.4,0.449,0.35,0.4201,205400.0
2020-03-04,0.45,0.45,0.4,0.4001,10200.0
2020-03-03,0.45,0.45,0.36,0.439,107100.0
2020-03-02,0.42,0.48,0.42,0.47,44500.0
2020-02-28,0.35,0.43,0.3,0.4,209280.0
2020-02-27,0.399,0.399,0.35,0.369,443300.0
2020-02-26,0.4,0.499,0.4,0.4,131100.0
2020-02-25,0.47,0.47,0.45,0.47,45500.0
2020-02-24,0.51,0.51,0.5,0.5,700.0
2020-02-21,0.4995,0.549,0.49,0.54,939470.0
2020-02-20,0.5,0.5,0.4991,0.5,27800.0
2020-02-19,0.5,0.5,0.5,0.5,37050.0
2020-02-18,0.53,0.6,0.48,0.5,155750.0
2020-02-14,0.58,0.64,0.58,0.6,58050.0
2020-02-13,0.5391,0.6,0.53,0.6,35850.0
2020-02-12,0.54,0.6,0.54,0.54,16000.0
2020-02-11,0.55,0.589,0.535,0.55,59200.0
2020-02-10,0.57,0.5718,0.5699,0.57,5900.0
2020-02-07,0.59,0.6166,0.5502,0.6166,850.0
