date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,1.49,1.4967,1.43,1.47,15149.0
2020-04-23,1.4999,1.55,1.4,1.48,78909.0
2020-04-22,1.6,1.64,1.46,1.5093,22399.0
2020-04-21,1.66,1.66,1.57,1.59,37689.0
2020-04-20,1.68,1.705,1.608,1.61,45255.0
2020-04-17,1.71,1.75,1.62,1.68,33990.0
2020-04-16,1.68,1.89,1.6,1.725,179025.0
2020-04-15,1.74,2.65,1.68,1.9,1872150.0
2020-04-14,1.63,1.63,1.6,1.6,239.0
2020-04-13,1.64,1.68,1.58,1.6,3711.0
2020-04-09,1.6,1.6,1.59,1.6,3624.0
2020-04-08,1.65,1.7,1.6,1.64,9414.0
2020-04-07,1.65,1.65,1.625,1.64,3040.0
2020-04-06,1.67,1.67,1.6,1.6,7819.0
2020-04-03,1.69,1.69,1.62,1.66,1684.0
2020-04-02,1.6773,1.6773,1.6605,1.6693,1223.0
2020-04-01,1.6773,1.68,1.6493,1.6493,1333.0
2020-03-31,1.7,1.7,1.67,1.67,885.0
2020-03-30,1.65,1.65,1.65,1.65,20.0
2020-03-27,1.6557,1.7,1.6273,1.65,8412.0
2020-03-26,1.65,1.7,1.62,1.6754,5209.0
2020-03-25,1.8727,1.8727,1.6,1.63,38768.0
2020-03-24,1.7035,1.8899,1.7,1.8699,4250.0
2020-03-23,1.755,1.87,1.7001,1.7001,1411.0
2020-03-20,1.61,1.69,1.5336,1.61,12134.0
2020-03-19,1.84,1.85,1.84,1.84,11250.0
2020-03-18,1.9,1.901,1.8,1.8,3721.0
2020-03-17,1.97,1.97,1.875,1.96,4101.0
2020-03-16,2.01,2.01,1.82,1.82,3100.0
2020-03-13,2.01,2.01,2.01,2.01,334.0
2020-03-12,2.03,2.03,2.03,2.03,105.0
2020-03-11,2.03,2.03,2.03,2.03,233.0
2020-03-10,2.096,2.165,2.03,2.03,1546.0
2020-03-09,2.13,2.13,2.0,2.0,3915.0
2020-03-06,2.26,2.289,2.26,2.289,2243.0
2020-03-05,2.21,2.21,2.21,2.21,369.0
2020-03-04,2.24,2.2711,2.24,2.2711,3108.0
2020-03-03,2.19,2.2164,2.19,2.2164,3035.0
2020-03-02,2.14,2.2,2.12,2.2,3286.0
2020-02-28,2.1535,2.22,2.15,2.15,2065.0
2020-02-27,2.1035,2.15,2.06,2.1004,8336.0
2020-02-26,2.105,2.14,2.04,2.05,23529.0
2020-02-25,2.28,2.28,2.1,2.115,19835.0
2020-02-24,2.12,2.13,2.0,2.11,12616.0
2020-02-21,2.15,2.2,2.1,2.11,18054.0
2020-02-20,2.13,2.33,2.13,2.33,617.0
2020-02-19,2.36,2.36,2.36,2.36,79.0
2020-02-18,2.36,2.36,2.36,2.36,140.0
2020-02-14,2.35,2.36,2.35,2.36,539.0
2020-02-13,2.1712,2.1712,2.1409,2.1409,2434.0
2020-02-12,2.26,2.26,2.26,2.26,241.0
2020-02-11,2.1501,2.26,2.1501,2.26,740.0
2020-02-10,2.21,2.3,2.12,2.2077,7559.0
2020-02-07,2.33,2.33,2.23,2.23,1214.0
2020-02-06,2.33,2.41,2.33,2.39,4705.0
2020-02-05,2.36,2.36,2.36,2.36,110.0
2020-02-04,2.358,2.3899,2.358,2.36,1462.0
2020-02-03,2.39,2.3922,2.39,2.3922,2143.0
2020-01-31,2.36,2.45,2.36,2.36,1358.0
2020-01-30,2.425,2.5027,2.415,2.49,8130.0
2020-01-29,2.3239,2.3239,2.3239,2.3239,93.0
2020-01-28,2.49,2.49,2.3239,2.3239,474.0
2020-01-27,2.37,2.37,2.3001,2.3001,274.0
2020-01-24,2.25,2.4,2.25,2.25,7232.0
2020-01-23,2.31,2.335,2.31,2.31,345.0
2020-01-22,2.39,2.39,2.31,2.31,250.0
2020-01-21,2.16,2.38,2.16,2.38,5234.0
2020-01-17,2.335,2.3998,2.335,2.38,2011.0
2020-01-16,2.2604,2.35,2.25,2.35,2802.0
2020-01-15,2.26,2.26,2.23,2.2459,1853.0
2020-01-14,2.35,2.35,2.26,2.26,1138.0
2020-01-13,2.36,2.4,2.35,2.35,4661.0
2020-01-10,2.22,2.3524,2.22,2.3523,2804.0
2020-01-09,2.22,2.23,2.1856,2.22,11175.0
2020-01-08,2.23,2.23,2.23,2.23,1616.0
2020-01-07,2.2397,2.2397,2.2397,2.2397,1.0
2020-01-06,2.1932,2.24,2.1932,2.2397,4706.0
2020-01-03,2.25,2.3,2.25,2.29,2805.0
2020-01-02,2.23,2.3,2.23,2.3,1103.0
2019-12-31,2.39,2.39,2.325,2.39,359.0
2019-12-30,2.45,2.45,2.325,2.325,628.0
2019-12-27,2.2872,2.2872,2.28,2.28,604.0
2019-12-26,2.23,2.25,2.19,2.23,5293.0
2019-12-24,2.14,2.14,2.12,2.12,5714.0
2019-12-23,2.2,2.2,2.1,2.12,3483.0
2019-12-20,2.19,2.25,2.1,2.1,8287.0
2019-12-19,2.35,2.35,2.19,2.25,3081.0
2019-12-18,2.31,2.3799,2.3,2.32,2502.0
2019-12-17,2.12,2.4361,2.12,2.38,14056.0
