date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,19.6302,19.6302,19.6302,19.6302,1.0
2020-04-23,19.6302,19.6302,19.6302,19.6302,0.0
2020-04-22,19.631,19.755,19.6302,19.755,710.0
2020-04-21,19.4,19.4093,19.4,19.4093,355.0
2020-04-20,19.58,19.66,19.56,19.5639,14842.0
2020-04-17,19.37,19.37,19.37,19.37,0.0
2020-04-16,19.33,19.33,19.33,19.33,24.0
2020-04-15,19.33,19.33,19.33,19.33,0.0
2020-04-14,19.33,19.3716,19.33,19.3716,301.0
2020-04-13,19.14,19.14,19.14,19.14,1.0
2020-04-09,19.14,19.2031,19.14,19.2031,200.0
2020-04-08,18.59,18.7989,18.49,18.7989,1001.0
2020-04-07,18.51,18.51,18.51,18.51,0.0
2020-04-06,18.39,18.5311,18.37,18.5311,370.0
2020-04-03,17.6306,17.7732,17.6306,17.7732,451.0
2020-04-02,18.0,18.025,18.0,18.025,101.0
2020-04-01,17.83,17.8604,17.83,17.8604,104.0
2020-03-31,18.47,18.4791,18.47,18.4791,203.0
2020-03-30,17.8515,17.8515,17.8515,17.8515,4.0
2020-03-27,17.8515,17.8515,17.8515,17.8515,149.0
2020-03-26,17.8515,17.8515,17.8515,17.8515,91.0
2020-03-25,18.0336,18.0336,17.9,17.9091,450.0
2020-03-24,16.23,16.23,16.23,16.23,4.0
2020-03-23,16.23,16.2578,16.23,16.2578,220.0
2020-03-20,16.2,16.2,16.2,16.2,0.0
2020-03-19,16.21,16.21,16.21,16.21,11.0
2020-03-18,16.25,16.25,16.2044,16.2044,303.0
2020-03-17,15.65,15.65,15.65,15.65,1.0
2020-03-16,15.65,15.65,15.65,15.65,105.0
2020-03-13,17.4298,17.9862,17.3431,17.9862,202.0
2020-03-12,17.11,17.1955,16.9872,16.9872,501.0
2020-03-11,18.8641,18.8646,18.8641,18.8646,200.0
2020-03-10,21.7,21.7,21.7,21.7,107.0
2020-03-09,21.7,21.7,21.7,21.7,112.0
2020-03-06,21.76,21.76,21.76,21.76,0.0
