date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,18.51,18.8,18.51,18.61,3005.0
2020-04-08,18.0687,18.2,18.02,18.08,1163.0
2020-04-07,18.1643,18.1643,17.74,17.74,2131.0
2020-04-06,17.56,17.9,17.56,17.79,3124.0
2020-04-03,17.18,17.19,17.1139,17.18,1403.0
2020-04-02,17.2502,17.2502,17.2502,17.2502,36.0
2020-04-01,17.2502,17.2502,17.2502,17.2502,73.0
2020-03-31,17.16,17.64,17.16,17.2246,2410.0
2020-03-30,17.13,17.42,17.13,17.42,1513.0
2020-03-27,16.77,16.97,16.605,16.97,5454.0
2020-03-26,16.81,17.11,16.7736,17.11,5356.0
2020-03-25,16.81,16.81,16.3071,16.3071,254.0
2020-03-24,16.4728,16.4728,15.77,16.1454,5738.0
2020-03-23,15.89,15.92,15.0673,15.2459,3823.0
2020-03-20,16.4357,16.4357,15.7264,15.7264,934.0
2020-03-19,16.12,16.48,16.12,16.2611,655.0
2020-03-18,17.0,17.0,15.79,15.99,2807.0
2020-03-17,16.43,17.1678,16.4033,17.1678,7326.0
2020-03-16,16.1762,16.75,15.9763,15.9763,12168.0
2020-03-13,17.11,17.248,17.03,17.248,454.0
2020-03-12,16.78,16.78,16.355,16.4684,1086.0
2020-03-11,18.7488,18.7488,18.7488,18.7488,141.0
2020-03-10,18.7488,19.1627,18.7488,19.1627,357.0
2020-03-09,18.62,18.8009,18.61,18.8009,662.0
2020-03-06,19.29,19.67,19.29,19.54,3031.0
2020-03-05,20.15,20.15,20.03,20.1255,1315.0
2020-03-04,20.185,20.5973,20.185,20.5973,11768.0
2020-03-03,20.38,20.38,19.9065,19.9065,3750.0
2020-03-02,20.17,20.17,20.1386,20.1386,139.0
2020-02-28,19.2656,19.3506,19.2656,19.3506,4423.0
2020-02-27,20.2288,20.2288,19.817,19.817,611.0
2020-02-26,20.7084,20.7084,20.6273,20.6273,265.0
2020-02-25,21.09,21.09,20.88,20.9218,11905.0
2020-02-24,21.4643,21.4643,21.345,21.4434,623.0
2020-02-21,21.7205,21.7838,21.7205,21.7838,105.0
2020-02-20,21.93,21.93,21.93,21.93,276.0
2020-02-19,21.93,21.93,21.93,21.93,5.0
2020-02-18,21.93,21.93,21.93,21.93,113.0
2020-02-14,23.02,23.02,23.02,23.02,40.0
2020-02-13,23.02,23.02,22.1674,22.1674,359.0
2020-02-12,22.12,22.12,22.12,22.12,18.0
2020-02-11,22.01,22.12,22.01,22.1078,325.0
2020-02-10,21.91,22.01,21.91,22.0,1241.0
2020-02-07,23.88,23.88,21.7879,21.8997,1790.0
2020-02-06,21.8593,21.8593,21.8593,21.8593,380.0
2020-02-05,21.8293,21.8293,21.8293,21.8293,11.0
2020-02-04,21.8293,21.8293,21.7469,21.7469,187.0
2020-02-03,21.6889,21.7399,21.6889,21.7055,2353.0
2020-01-31,21.69,21.71,21.62,21.62,414.0
2020-01-30,21.85,21.85,21.82,21.82,301.0
2020-01-29,21.66,21.8407,21.66,21.72,2423.0
2020-01-28,21.77,21.77,21.77,21.77,126.0
2020-01-27,21.88,21.88,21.77,21.7998,540.0
2020-01-24,22.04,22.04,21.96,21.97,5650.0
2020-01-23,22.23,22.23,22.23,22.23,61.0
2020-01-22,22.23,22.23,22.23,22.23,31.0
2020-01-21,22.17,22.237,22.17,22.237,1300.0
2020-01-17,22.2353,22.265,22.2353,22.265,1163.0
2020-01-16,22.06,22.06,22.06,22.06,13.0
2020-01-15,22.21,22.21,22.05,22.0888,883.0
2020-01-14,22.03,22.03,22.0,22.0,210.0
2020-01-13,21.8767,21.8767,21.8767,21.8767,148.0
2020-01-10,21.8767,21.8767,21.8721,21.8721,249.0
2020-01-09,21.82,21.82,21.77,21.77,11409.0
2020-01-08,21.8617,21.8719,21.83,21.83,1293.0
2020-01-07,21.99,21.99,21.99,21.99,13.0
2020-01-06,21.99,21.99,21.99,21.99,264.0
2020-01-03,21.95,22.01,21.95,22.01,7030.0
2020-01-02,22.03,22.03,22.03,22.03,193.0
2019-12-31,22.07,22.07,22.07,22.07,1060.0
2019-12-30,22.03,22.03,22.02,22.02,269.0
2019-12-27,22.11,22.11,22.07,22.07,697.0
2019-12-26,21.9801,21.9801,21.9801,21.9801,13.0
2019-12-24,22.01,22.01,21.9801,22.01,12326.0
2019-12-23,22.1,22.1,21.92,21.93,121005.0
2019-12-20,22.06,22.06,22.06,22.06,1001.0
2019-12-19,21.729,21.81,21.72,21.76,2880.0
2019-12-18,21.52,21.5395,21.511,21.5395,399.0
2019-12-17,21.59,21.59,21.58,21.58,358.0
2019-12-16,21.6098,21.61,21.6098,21.61,1955.0
2019-12-13,21.5,21.53,21.45,21.4629,17169.0
2019-12-12,21.5,21.5557,21.44,21.5557,1457.0
2019-12-11,21.61,21.61,21.6,21.6,529.0
2019-12-10,21.5901,21.65,21.5901,21.63,8717.0
2019-12-09,21.67,21.67,21.67,21.67,2.0
2019-12-06,21.75,21.75,21.6549,21.6549,1256.0
2019-12-05,21.52,21.57,21.519,21.519,1092.0
2019-12-04,21.3872,21.3872,21.3872,21.3872,3.0
2019-12-03,21.3872,21.3872,21.3872,21.3872,18.0
2019-12-02,21.32,21.4001,21.3,21.4001,5550.0
2019-11-29,21.1464,21.1464,21.1464,21.1464,2.0
2019-11-27,21.175,21.175,21.175,21.175,0.0
2019-11-26,21.1464,21.1464,21.1464,21.1464,13.0
2019-11-25,21.1604,21.175,21.1464,21.175,519.0
2019-11-22,21.01,21.01,20.855,20.855,610.0
2019-11-21,21.14,21.14,21.0771,21.0771,636.0
2019-11-20,21.27,21.27,21.2602,21.2602,107.0
2019-11-19,21.22,21.3,21.1965,21.285,674.0
2019-11-18,21.2148,21.2148,21.1506,21.1506,284.0
2019-11-15,21.036,21.1408,21.036,21.1408,998.0
2019-11-14,21.08,21.08,21.08,21.08,1125.0
2019-11-13,21.054,21.08,21.054,21.08,626.0
2019-11-12,20.83,20.83,20.83,20.83,11.0
2019-11-11,20.83,20.83,20.83,20.83,20.0
2019-11-08,20.86,20.94,20.83,20.83,10901.0
2019-11-07,21.04,21.08,21.04,21.04,4270.0
2019-11-06,21.18,21.18,21.15,21.15,697.0
2019-11-05,21.05,21.05,21.02,21.02,1522.0
2019-11-04,21.06,21.06,20.9498,20.98,3580.0
2019-11-01,21.118,21.118,21.0431,21.0696,3943.0
2019-10-31,20.843,20.86,20.8393,20.8596,1406.0
2019-10-30,20.8645,20.8645,20.8538,20.8538,452.0
2019-10-29,20.95,20.95,20.83,20.859,3761.0
2019-10-28,20.67,20.67,20.67,20.67,48.0
2019-10-25,20.67,20.67,20.67,20.67,609.0
2019-10-24,20.69,20.69,20.69,20.69,495.0
2019-10-23,20.7787,20.7787,20.76,20.76,501.0
2019-10-22,20.81,20.81,20.81,20.81,652.0
2019-10-21,20.9712,20.9712,20.87,20.88,73292.0
2019-10-18,20.95,20.97,20.9081,20.9081,2184.0
2019-10-17,20.86,20.9512,20.8453,20.88,3829.0
2019-10-16,20.8735,20.89,20.8001,20.8001,3723.0
2019-10-15,20.97,20.97,20.88,20.88,1491.0
2019-10-14,21.02,21.02,20.98,20.98,220.0
2019-10-11,21.1497,21.1497,21.02,21.02,671.0
2019-10-10,20.981,21.04,20.91,20.91,1665.0
2019-10-09,19.13,22.95,19.13,21.07,7445.0
2019-10-08,22.7131,22.7131,20.81,20.95,20924.0
2019-10-07,21.12,21.15,21.02,21.02,8512.0
2019-10-04,20.96,20.96,20.96,20.96,11.0
2019-10-03,20.96,20.96,20.96,20.96,191.0
2019-10-02,20.9106,20.92,20.857,20.88,20977.0
2019-10-01,21.25,21.25,21.25,21.25,83.0
2019-09-30,21.25,21.25,21.25,21.25,86.0
2019-09-27,21.25,21.25,21.25,21.25,142.0
2019-09-26,21.26,21.26,21.26,21.26,38.0
2019-09-25,21.26,21.26,21.26,21.26,420.0
2019-09-24,21.38,21.38,21.37,21.37,227.0
2019-09-23,21.445,21.445,21.3399,21.3399,527.0
2019-09-20,21.488,21.488,21.431,21.4346,1305.0
2019-09-19,21.4438,21.4438,21.4438,21.4438,581.0
2019-09-18,21.5556,21.5561,21.4485,21.4485,424.0
2019-09-17,21.06,21.06,21.06,21.06,217.0
2019-09-16,21.3517,21.4749,21.248,21.4127,2.0
2019-09-13,21.4127,21.4127,21.4127,21.4127,680.0
2019-09-12,21.36,21.36,21.36,21.36,157.0
2019-09-11,21.1525,21.2656,20.92,21.2656,1120.0
2019-09-10,21.07,21.17,21.05,21.17,105800.0
2019-09-09,21.28,21.28,21.25,21.25,293.0
2019-09-06,21.32,21.329,21.306,21.32,1100.0
2019-09-05,21.29,21.29,21.29,21.29,106.0
2019-09-04,21.24,21.24,21.23,21.23,860.0
2019-09-03,21.0246,21.191,20.8773,21.0318,167.0
2019-08-30,20.99,21.0318,20.99,21.0318,1637.0
2019-08-29,20.66,20.82,20.66,20.82,378.0
2019-08-28,20.77,20.83,20.7201,20.83,7228.0
2019-08-27,20.76,20.76,20.5713,20.7,2254.0
2019-08-26,20.72,20.83,20.71,20.7901,803.0
2019-08-23,20.92,20.94,20.86,20.86,692.0
2019-08-22,21.08,21.08,20.9296,20.96,3460.0
2019-08-21,20.97,20.97,20.97,20.97,316.0
2019-08-20,20.76,20.77,20.76,20.77,458.0
2019-08-19,20.9475,20.99,20.9475,20.96,431.0
2019-08-16,20.767,20.795,20.767,20.79,1391.0
2019-08-15,20.4766,20.585,20.47,20.58,2781.0
