date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,21.06,21.105,20.64,20.85,27780.0
2020-04-08,19.83,20.88,19.83,20.6,19204.0
2020-04-07,20.6,20.6,19.95,19.96,39570.0
2020-04-06,19.94,20.11,19.74,20.09,56538.0
2020-04-03,19.37,19.37,19.0,19.1216,1627.0
2020-04-02,19.0,19.36,18.87,19.2621,939.0
2020-04-01,19.0,19.0,18.57,18.665,2551.0
2020-03-31,19.61,19.61,19.24,19.41,7412.0
2020-03-30,19.0,19.38,19.0,19.233,11825.0
2020-03-27,18.46,18.63,18.46,18.5,2536.0
2020-03-26,18.774,18.9482,18.66,18.827,5279.0
2020-03-25,17.8181,18.4702,17.8181,17.9395,3102.0
2020-03-24,18.18,18.18,17.4815,17.86,2092.0
2020-03-23,16.5,16.985,16.28,16.5,11936.0
2020-03-20,17.75,17.75,17.2,17.2,2188.0
2020-03-19,17.5379,17.94,17.5379,17.657,3045.0
2020-03-18,16.82,18.0015,16.82,17.4484,13346.0
2020-03-17,17.06,18.68,17.06,18.495,16375.0
2020-03-16,16.52,18.4856,16.52,17.3711,18244.0
2020-03-13,18.79,18.947,18.035,18.75,3871.0
2020-03-12,18.79,18.79,18.3735,18.3735,2411.0
2020-03-11,19.92,20.1955,19.7871,19.8406,868.0
2020-03-10,20.4176,20.4176,19.995,20.09,1006.0
2020-03-09,20.015,20.6328,20.0,20.1463,5435.0
2020-03-06,21.21,21.4151,21.21,21.4151,521.0
2020-03-05,21.9457,21.9576,21.6632,21.8445,4196.0
2020-03-04,21.444,21.444,21.444,21.444,63.0
2020-03-03,22.05,22.05,21.2853,21.2853,1112.0
2020-03-02,21.0,21.75,21.0,21.75,1650.0
2020-02-28,20.43,20.94,20.43,20.94,2096.0
2020-02-27,21.5107,22.013,21.3372,21.3372,3100.0
2020-02-26,21.83,22.5012,21.81,22.09,2828.0
2020-02-25,23.2,23.2,22.15,22.2631,3758.0
2020-02-24,23.07,23.07,22.84,22.84,9038.0
2020-02-21,23.37,23.4687,23.33,23.3847,6987.0
2020-02-20,23.34,23.34,23.34,23.34,966.0
2020-02-19,23.55,23.625,23.53,23.625,1072.0
2020-02-18,23.5879,23.5879,23.5879,23.5879,4.0
2020-02-14,23.5879,23.6438,23.5879,23.6438,101.0
2020-02-13,23.934,23.934,23.685,23.685,936.0
2020-02-12,23.91,23.915,23.87,23.9,8148.0
2020-02-11,23.51,23.51,23.51,23.51,21.0
2020-02-10,23.51,23.8356,23.51,23.8356,555.0
2020-02-07,23.6437,23.6639,23.55,23.55,1790.0
2020-02-06,23.8656,23.8656,23.86,23.86,611.0
2020-02-05,23.73,23.8548,23.73,23.8,910.0
2020-02-04,23.4487,23.5783,23.44,23.473,1338.0
2020-02-03,23.21,23.265,23.145,23.145,1804.0
2020-01-31,22.9,22.95,22.8309,22.85,10558.0
2020-01-30,23.19,23.4,23.094,23.2227,9035.0
2020-01-29,23.5893,23.5893,23.5,23.5,657.0
2020-01-28,23.21,23.4798,23.21,23.4798,2742.0
2020-01-27,23.31,23.3786,22.98,23.3354,9834.0
2020-01-24,23.44,23.44,23.32,23.37,50370.0
2020-01-23,24.0,24.02,23.9,23.92,1580.0
2020-01-22,24.19,24.21,24.14,24.19,2986.0
2020-01-21,24.16,24.2,24.13,24.19,3631.0
2020-01-17,24.4,24.4,24.19,24.19,818.0
2020-01-16,24.46,24.46,24.2687,24.3042,571.0
2020-01-15,24.08,24.16,24.07,24.12,4121.0
2020-01-14,23.5399,23.89,23.5399,23.78,1741.0
2020-01-13,23.34,23.5,23.34,23.49,688.0
2020-01-10,23.5,23.585,23.47,23.47,1273.0
2020-01-09,23.41,23.4871,23.39,23.39,1091.0
2020-01-08,23.23,23.31,23.22,23.31,787.0
2020-01-07,23.2477,23.35,23.23,23.23,9407.0
2020-01-06,23.46,23.46,23.06,23.305,971.0
2020-01-03,23.4739,23.4739,23.4739,23.4739,47.0
2020-01-02,23.32,23.4739,23.2517,23.4497,1032.0
2019-12-31,23.405,23.405,23.29,23.29,1510.0
2019-12-30,23.4242,23.4242,23.32,23.335,8079.0
2019-12-27,23.89,23.89,23.495,23.495,337.0
2019-12-26,23.34,23.6728,23.34,23.6002,3983.0
2019-12-24,23.69,23.69,23.64,23.64,183.0
2019-12-23,23.6,23.6799,23.6,23.635,1173.0
2019-12-20,23.49,23.5999,23.49,23.5552,2538.0
2019-12-19,23.21,23.355,23.21,23.355,180.0
