date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,9.4,9.4,9.01,9.24,77852.0
2020-03-27,9.3,9.59,9.2531,9.43,94686.0
2020-03-26,9.37,9.99,9.37,9.8,200608.0
2020-03-25,8.98,9.7,8.98,9.5,249316.0
2020-03-24,8.71,9.07,8.7,8.9,357777.0
2020-03-23,8.79,8.81,8.16,8.34,314292.0
2020-03-20,9.01,9.2,8.51,8.67,245300.0
2020-03-19,8.9,9.27,8.44,8.77,409236.0
2020-03-18,10.21,10.8,8.83,8.89,823856.0
2020-03-17,10.9,11.53,10.61,11.36,231340.0
2020-03-16,9.79,10.99,9.51,10.84,289008.0
2020-03-13,11.39,11.39,10.4,10.5,332890.0
2020-03-12,10.88,10.99,10.4,10.42,329199.0
2020-03-11,11.33,11.75,11.17,11.52,157749.0
2020-03-10,11.59,11.84,11.13,11.74,286335.0
2020-03-09,12.4,12.4,10.79,10.82,594327.0
2020-03-06,12.33,13.36,12.33,13.0,301725.0
2020-03-05,12.31,12.7573,12.15,12.62,164576.0
2020-03-04,12.36,12.4,12.2,12.38,89313.0
2020-03-03,12.22,12.4027,12.0,12.09,120367.0
2020-03-02,12.0,12.2,12.0,12.2,179372.0
2020-02-28,11.87,12.0399,11.51,11.57,219438.0
2020-02-27,12.13,12.28,11.78,12.2,321001.0
2020-02-26,12.26,12.6425,12.26,12.3,97374.0
2020-02-25,12.28,12.54,12.12,12.2,163840.0
2020-02-24,12.13,12.59,12.0,12.0,302972.0
2020-02-21,13.01,13.22,12.61,12.74,244078.0
2020-02-20,13.43,14.2,12.74,12.75,485781.0
2020-02-19,13.4,13.79,13.32,13.41,288263.0
2020-02-18,12.9,13.39,12.86,13.18,163221.0
2020-02-14,12.75,13.19,12.7,12.78,166173.0
2020-02-13,12.7,12.76,12.51,12.65,97195.0
2020-02-12,13.4,13.45,12.8,12.82,230662.0
2020-02-11,11.6,13.39,11.59,13.37,1160931.0
2020-02-10,11.6,11.6462,11.42,11.61,97209.0
2020-02-07,11.11,11.4,11.11,11.36,44772.0
2020-02-06,11.21,11.2201,11.12,11.21,70965.0
2020-02-05,11.09,11.237,10.85,11.11,116667.0
2020-02-04,11.19,11.34,11.01,11.02,128666.0
2020-02-03,11.16,11.2773,10.9,10.91,121627.0
2020-01-31,11.18,11.32,11.01,11.11,87669.0
2020-01-30,11.28,12.23,11.1,11.11,646930.0
2020-01-29,10.98,11.6,10.98,11.56,128193.0
2020-01-28,10.86,11.06,10.84,10.96,69755.0
2020-01-27,10.68,10.86,10.5,10.83,125985.0
2020-01-24,11.22,11.4692,10.88,11.05,109129.0
2020-01-23,11.46,11.46,11.13,11.2,136710.0
2020-01-22,11.72,12.075,11.57,11.71,190555.0
2020-01-21,11.67,11.99,11.45,11.5,221686.0
2020-01-17,12.13,12.8,11.86,12.18,463048.0
2020-01-16,11.5,12.12,11.43,12.01,646627.0
2020-01-15,10.64,11.33,10.63,11.25,254176.0
2020-01-14,10.56,10.785,10.4601,10.63,83441.0
2020-01-13,10.4,10.57,10.35,10.57,230402.0
2020-01-10,10.5,10.58,10.31,10.34,86129.0
2020-01-09,10.58,10.7,10.58,10.58,95320.0
2020-01-08,10.4,10.546,10.36,10.48,56773.0
2020-01-07,10.37,10.48,10.37,10.41,80183.0
2020-01-06,10.26,10.4602,10.2,10.35,111298.0
2020-01-03,10.48,10.7,10.15,10.17,99571.0
2020-01-02,10.47,10.88,10.4327,10.68,243121.0
2019-12-31,9.99,10.3695,9.94,10.32,154212.0
2019-12-30,9.93,10.025,9.92,9.97,138376.0
2019-12-27,9.94,10.0173,9.92,9.93,43982.0
2019-12-26,10.09,10.09,9.91,9.94,48106.0
2019-12-24,9.95,10.01,9.88,9.98,191143.0
2019-12-23,10.07,10.07,9.85,9.92,117146.0
2019-12-20,10.1,10.11,10.0,10.0,105901.0
2019-12-19,10.05,10.14,10.0,10.1,68252.0
2019-12-18,10.08,10.13,10.0,10.02,153833.0
2019-12-17,10.12,10.16,10.0673,10.1,93565.0
2019-12-16,10.3,10.3,10.05,10.05,84876.0
2019-12-13,10.17,10.38,10.15,10.15,78382.0
2019-12-12,10.19,10.19,10.07,10.08,53942.0
2019-12-11,10.14,10.15,10.05,10.12,34829.0
2019-12-10,10.25,10.26,10.04,10.11,65154.0
2019-12-09,10.39,10.39,10.1,10.1,47793.0
2019-12-06,10.33,10.44,10.3,10.31,18412.0
2019-12-05,10.42,10.43,10.2327,10.27,21746.0
2019-12-04,10.2,10.2327,10.18,10.2,35546.0
2019-12-03,10.14,10.19,10.06,10.14,56175.0
2019-12-02,10.44,10.4427,10.12,10.13,82652.0
2019-11-29,10.56,10.56,10.45,10.45,20228.0
2019-11-27,10.54,10.61,10.45,10.53,50865.0
2019-11-26,10.6,10.7,10.51,10.56,76555.0
2019-11-25,10.62,10.68,10.46,10.66,87869.0
2019-11-22,10.9,10.97,10.61,10.66,203881.0
2019-11-21,10.91,11.17,10.91,11.14,81119.0
2019-11-20,10.97,11.29,10.84,10.93,90893.0
2019-11-19,11.16,11.313,11.0,11.0,55736.0
2019-11-18,11.13,11.2538,11.02,11.05,45361.0
2019-11-15,10.94,11.35,10.94,11.12,59676.0
2019-11-14,10.97,11.05,10.97,11.03,16085.0
2019-11-13,10.99,11.08,10.92,10.95,27899.0
2019-11-12,11.02,11.13,10.935,11.1,34953.0
2019-11-11,11.05,11.1373,11.02,11.05,38752.0
2019-11-08,11.64,11.64,11.31,11.31,39036.0
2019-11-07,11.37,11.5952,11.35,11.56,66093.0
2019-11-06,11.4,11.48,11.1804,11.29,65156.0
2019-11-05,11.0,11.35,10.93,11.2,105253.0
2019-11-04,10.81,10.9,10.77,10.89,45504.0
2019-11-01,10.86,10.95,10.74,10.75,56527.0
2019-10-31,10.88,10.88,10.76,10.77,12249.0
2019-10-30,10.62,10.86,10.62,10.79,165951.0
2019-10-29,10.82,10.86,10.79,10.81,41733.0
2019-10-28,10.8,10.95,10.71,10.87,67207.0
2019-10-25,10.64,10.8212,10.53,10.74,55958.0
2019-10-24,10.86,10.86,10.71,10.73,26991.0
2019-10-23,10.58,10.865,10.58,10.85,26814.0
2019-10-22,10.65,10.76,10.65,10.74,20394.0
2019-10-21,11.0,11.0,10.6,10.78,55021.0
2019-10-18,10.65,10.81,10.58,10.74,31005.0
2019-10-17,10.7576,10.8,10.6702,10.675,21445.0
2019-10-16,10.86,10.885,10.68,10.73,36721.0
2019-10-15,10.7,10.89,10.7,10.81,65233.0
2019-10-14,10.84,10.89,10.69,10.72,28293.0
2019-10-11,11.1,11.1,10.71,10.76,99942.0
2019-10-10,10.78,10.94,10.7,10.74,87783.0
2019-10-09,10.53,10.83,10.53,10.63,76272.0
2019-10-08,10.36,10.59,10.3,10.46,87205.0
2019-10-07,10.4,10.8,10.4,10.48,21909.0
2019-10-04,10.49,10.7,10.34,10.53,74066.0
2019-10-03,10.49,10.5,10.32,10.46,41497.0
2019-10-02,10.5,10.5,10.14,10.4,104845.0
2019-10-01,10.99,11.04,10.45,10.59,92222.0
2019-09-30,10.92,11.17,10.7,10.97,113407.0
2019-09-27,11.19,11.29,10.74,10.77,89450.0
2019-09-26,11.17,11.35,11.15,11.19,38976.0
2019-09-25,11.36,11.59,11.13,11.22,77799.0
2019-09-24,12.16,12.19,11.35,11.44,171471.0
2019-09-23,12.1,12.27,12.01,12.11,48569.0
2019-09-20,12.31,12.5,12.03,12.28,94637.0
2019-09-19,12.17,12.55,12.17,12.37,105306.0
2019-09-18,12.4,12.61,12.06,12.17,164653.0
2019-09-17,12.19,12.43,12.0011,12.42,99604.0
2019-09-16,12.05,12.23,11.97,12.2,103389.0
