date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,23.4308,23.5,22.6,22.6,12028.0
2020-04-08,23.2792,23.29,22.6,22.7971,11866.0
2020-04-07,23.31,23.31,22.0663,23.215,5683.0
2020-04-06,22.0,23.3124,22.0,22.7847,10626.0
2020-04-03,21.19,22.1,21.09,21.4,7740.0
2020-04-02,22.25,22.25,21.25,21.406,9340.0
2020-04-01,23.01,23.235,22.5001,22.5701,9487.0
2020-03-31,23.2,23.3,22.785,23.3,2792.0
2020-03-30,22.36,23.1335,22.1925,22.8705,3480.0
2020-03-27,22.8001,23.43,21.82,21.82,18215.0
2020-03-26,22.01,22.98,22.0,22.7875,7932.0
2020-03-25,21.09,22.424,21.0,21.7745,16951.0
2020-03-24,20.89,21.7454,20.31,21.312,10398.0
2020-03-23,17.89,19.01,16.11,19.0,27655.0
2020-03-20,16.99,19.3,16.5,18.0854,12851.0
2020-03-19,16.432,16.99,14.26,16.99,31555.0
2020-03-18,22.03,22.03,16.6086,16.7,38916.0
2020-03-17,23.5,23.8385,22.1,22.1,19236.0
2020-03-16,23.5,24.69,23.05,23.9194,19025.0
2020-03-13,23.82,24.81,23.7335,24.81,11010.0
2020-03-12,24.91,24.91,23.01,23.8501,21177.0
2020-03-11,25.0305,25.075,24.796,24.91,13826.0
2020-03-10,25.03,25.1,24.85,24.9,29284.0
2020-03-09,25.04,25.1899,24.45,24.6,19770.0
2020-03-06,25.25,25.3778,25.13,25.19,6683.0
2020-03-05,25.4447,25.4447,25.22,25.245,2485.0
2020-03-04,25.5385,25.5385,25.2923,25.35,3354.0
2020-03-03,25.4341,25.5757,25.39,25.39,8089.0
2020-03-02,25.22,25.45,25.1787,25.45,20900.0
2020-02-28,25.27,25.36,25.13,25.13,26408.0
2020-02-27,25.27,25.3476,25.26,25.3,7575.0
2020-02-26,25.3329,25.4105,25.31,25.4105,7525.0
2020-02-25,25.3304,25.4,25.3,25.32,8997.0
2020-02-24,25.38,25.3999,25.3226,25.38,5561.0
2020-02-21,25.35,25.474,25.35,25.4075,4030.0
2020-02-20,25.4,25.46,25.38,25.46,4277.0
2020-02-19,25.43,25.43,25.35,25.3978,8533.0
2020-02-18,25.5,25.5072,25.29,25.43,35458.0
2020-02-14,25.69,25.85,25.62,25.6698,10500.0
2020-02-13,25.6913,25.6913,25.65,25.65,540.0
2020-02-12,25.74,25.75,25.61,25.675,3000.0
2020-02-11,25.6,25.728,25.6,25.7,1070.0
2020-02-10,25.65,25.685,25.65,25.685,1567.0
2020-02-07,25.65,25.65,25.56,25.5618,2927.0
2020-02-06,25.6,25.706,25.6,25.6305,1601.0
2020-02-05,25.75,25.75,25.55,25.6,5510.0
2020-02-04,25.56,25.738,25.56,25.738,3088.0
2020-02-03,25.7,25.72,25.6718,25.68,1986.0
2020-01-31,25.65,25.6988,25.6,25.6988,921.0
2020-01-30,25.6,25.6,25.6,25.6,922.0
2020-01-29,25.57,25.5945,25.55,25.5945,2126.0
2020-01-28,25.65,25.7,25.55,25.55,2836.0
2020-01-27,25.657,25.6695,25.6395,25.6695,1533.0
2020-01-24,25.58,25.62,25.58,25.62,928.0
2020-01-23,25.6055,25.627,25.51,25.53,4546.0
2020-01-22,25.74,25.784,25.74,25.74,1762.0
2020-01-21,25.67,25.782,25.64,25.694,7884.0
2020-01-17,25.64,25.74,25.64,25.669,8311.0
2020-01-16,25.7,25.74,25.64,25.67,1641.0
2020-01-15,25.7786,25.7786,25.7054,25.7054,514.0
2020-01-14,25.68,25.7,25.6506,25.67,1347.0
2020-01-13,25.64,25.7537,25.64,25.75,3095.0
2020-01-10,25.65,25.67,25.629,25.65,7301.0
2020-01-09,25.79,25.7901,25.74,25.7635,5373.0
2020-01-08,25.75,25.81,25.65,25.7703,8038.0
2020-01-07,25.65,25.815,25.64,25.73,4649.0
2020-01-06,25.64,25.65,25.64,25.65,897.0
2020-01-03,25.646,25.65,25.6213,25.6213,1216.0
2020-01-02,25.53,25.6599,25.47,25.6,8492.0
2019-12-31,25.594,25.625,25.52,25.6071,3111.0
2019-12-30,25.49,25.66,25.45,25.66,10562.0
2019-12-27,25.5299,25.53,25.36,25.36,2500.0
2019-12-26,25.46,25.5091,25.46,25.5091,1284.0
2019-12-24,25.53,25.565,25.472,25.53,3596.0
2019-12-23,25.47,25.66,25.4601,25.5483,8150.0
2019-12-20,25.4737,25.49,25.4737,25.49,598.0
2019-12-19,25.4461,25.5,25.42,25.42,6709.0
2019-12-18,25.48,25.48,25.37,25.42,3793.0
2019-12-17,25.57,25.6,25.48,25.55,6874.0
2019-12-16,25.6,25.6,25.45,25.45,4792.0
2019-12-13,25.55,25.55,25.55,25.55,431.0
2019-12-12,25.54,25.54,25.5072,25.5078,730.0
2019-12-11,25.47,25.55,25.45,25.52,4193.0
2019-12-10,25.6394,25.6394,25.538,25.538,2701.0
2019-12-09,25.65,25.65,25.5911,25.62,5019.0
2019-12-06,25.56,25.616,25.56,25.616,1797.0
2019-12-05,25.48,25.6008,25.48,25.55,3137.0
2019-12-04,25.46,25.5745,25.46,25.54,2300.0
2019-12-03,25.64,25.65,25.45,25.45,4721.0
2019-12-02,25.575,25.575,25.47,25.5419,3218.0
2019-11-29,25.56,25.65,25.56,25.6,1032.0
2019-11-27,25.5804,25.5804,25.5,25.5534,776.0
2019-11-26,25.51,25.66,25.47,25.5,12269.0
2019-11-25,25.55,25.55,25.45,25.47,1624.0
2019-11-22,25.4864,25.53,25.44,25.53,9091.0
2019-11-21,25.432,25.4541,25.41,25.4541,987.0
2019-11-20,25.47,25.49,25.42,25.4286,5883.0
2019-11-19,25.52,25.54,25.45,25.4575,3494.0
2019-11-18,25.49,25.54,25.49,25.54,1371.0
2019-11-15,25.476,25.6146,25.476,25.56,3381.0
2019-11-14,25.53,25.56,25.5,25.5,4065.0
2019-11-13,25.5927,25.5927,25.47,25.4854,7131.0
2019-11-12,25.5984,25.5984,25.5984,25.5984,759.0
2019-11-11,25.66,25.66,25.6202,25.6202,993.0
2019-11-08,25.58,25.66,25.558,25.57,10484.0
2019-11-07,25.58,25.58,25.52,25.5399,1679.0
2019-11-06,25.53,25.53,25.52,25.52,659.0
2019-11-05,25.58,25.58,25.5481,25.5679,1756.0
2019-11-04,25.5081,25.5786,25.46,25.5786,2435.0
2019-11-01,25.5,25.5,25.5,25.5,160.0
2019-10-31,25.58,25.58,25.47,25.55,1922.0
2019-10-30,25.6,25.6,25.5209,25.5209,884.0
2019-10-29,25.5072,25.56,25.49,25.56,4441.0
2019-10-28,25.52,25.56,25.5,25.56,2250.0
2019-10-25,25.5287,25.54,25.5,25.5149,1139.0
2019-10-24,25.5,25.5799,25.5,25.57,2393.0
2019-10-23,25.5983,25.66,25.5,25.5,1142.0
2019-10-22,25.6,25.6,25.5478,25.6,1598.0
2019-10-21,25.4796,25.6,25.4796,25.5913,3920.0
2019-10-18,25.5005,25.65,25.5005,25.65,4939.0
2019-10-17,25.5,25.5,25.5,25.5,168.0
2019-10-16,25.623,25.66,25.61,25.61,6166.0
2019-10-15,25.5231,25.66,25.48,25.601,10575.0
2019-10-14,25.5016,25.5076,25.5016,25.5076,791.0
2019-10-11,25.5,25.5,25.4195,25.4195,284.0
2019-10-10,25.43,25.44,25.4,25.43,1836.0
2019-10-09,25.43,25.43,25.36,25.43,6505.0
2019-10-08,25.38,25.43,25.38,25.4,2810.0
2019-10-07,25.42,25.42,25.31,25.327,7350.0
2019-10-04,25.43,25.432,25.32,25.3356,7556.0
2019-10-03,25.3,25.41,25.3,25.36,13716.0
2019-10-02,25.3888,25.4,25.31,25.35,1569.0
2019-10-01,25.36,25.5106,25.33,25.33,8243.0
2019-09-30,25.3727,25.39,25.26,25.31,4914.0
2019-09-27,25.4288,25.4465,25.36,25.36,1183.0
2019-09-26,25.4606,25.4606,25.37,25.38,2635.0
2019-09-25,25.55,25.55,25.36,25.5499,4193.0
2019-09-24,25.4491,25.5,25.432,25.5,1550.0
2019-09-23,25.47,25.47,25.4336,25.4336,1000.0
2019-09-20,25.35,25.48,25.35,25.48,8297.0
2019-09-19,25.49,25.5,25.46,25.4609,1600.0
2019-09-18,25.545,25.59,25.38,25.46,6960.0
2019-09-17,25.5645,25.5645,25.5645,25.5645,150.0
2019-09-16,25.52,25.55,25.38,25.485,2317.0
2019-09-13,25.6098,25.6408,25.6098,25.6288,681.0
2019-09-12,25.6,25.65,25.57,25.65,6151.0
2019-09-11,25.6,25.6,25.5698,25.5698,651.0
2019-09-10,25.5611,25.5611,25.5611,25.5611,412.0
2019-09-09,25.44,25.44,25.44,25.44,139.0
2019-09-06,25.4027,25.49,25.4,25.49,2600.0
2019-09-05,25.5027,25.5027,25.468,25.468,5900.0
2019-09-04,25.4,25.4,25.4,25.4,269.0
2019-09-03,25.492,25.69,25.4474,25.46,9820.0
2019-08-30,25.5,25.5,25.4701,25.4701,1188.0
2019-08-29,25.32,25.58,25.32,25.4643,2500.0
2019-08-28,25.36,25.4146,25.2704,25.32,23184.0
2019-08-27,25.4212,25.4227,25.38,25.38,7178.0
2019-08-26,25.53,25.53,25.4127,25.45,3400.0
2019-08-23,25.62,25.62,25.494,25.5391,660.0
2019-08-22,25.7193,25.7193,25.44,25.5499,7645.0
2019-08-21,25.68,25.68,25.59,25.68,1812.0
2019-08-20,25.5664,25.625,25.5664,25.5897,1282.0
2019-08-19,25.7782,25.7782,25.5805,25.5805,2586.0
2019-08-16,25.83,25.84,25.72,25.72,2161.0
2019-08-15,25.7186,25.72,25.7186,25.72,483.0
2019-08-14,25.82,25.9,25.7117,25.84,3284.0
2019-08-13,25.79,25.79,25.64,25.64,1419.0
2019-08-12,25.87,25.87,25.87,25.87,129.0
2019-08-09,25.5921,25.95,25.5921,25.95,11321.0
2019-08-08,25.5805,25.65,25.5805,25.65,2425.0
2019-08-07,25.65,25.65,25.626,25.626,1110.0
2019-08-06,25.6223,25.6494,25.62,25.648,1100.0
2019-08-05,25.57,25.57,25.48,25.57,2239.0
2019-08-02,25.5199,25.5727,25.49,25.5727,3496.0
2019-08-01,25.52,25.5322,25.52,25.5322,349.0
2019-07-31,25.5507,25.556,25.5001,25.535,866.0
2019-07-30,25.5,25.5,25.5,25.5,276.0
2019-07-29,25.5511,25.5511,25.5511,25.5511,132.0
2019-07-26,25.43,25.5073,25.43,25.5,2441.0
2019-07-25,25.5,25.5849,25.4,25.43,6365.0
2019-07-24,25.55,25.64,25.43,25.64,6158.0
2019-07-23,25.55,25.6018,25.55,25.59,2350.0
2019-07-22,25.58,25.58,25.58,25.58,0.0
2019-07-19,25.54,25.58,25.49,25.58,1211.0
2019-07-18,25.62,25.62,25.607,25.607,200.0
2019-07-17,25.5525,25.5525,25.5525,25.5525,50.0
2019-07-16,25.5,25.5525,25.4999,25.5525,2453.0
2019-07-15,25.58,25.6,25.47,25.6,6263.0
2019-07-12,25.58,25.58,25.58,25.58,0.0
2019-07-11,25.5799,25.58,25.555,25.58,655.0
2019-07-10,25.5155,25.525,25.47,25.52,2746.0
2019-07-09,25.5,25.5799,25.5,25.555,1284.0
2019-07-08,25.5875,25.6,25.46,25.54,1630.0
2019-07-05,25.522,25.522,25.522,25.522,0.0
2019-07-03,25.522,25.522,25.522,25.522,0.0
2019-07-02,25.47,25.522,25.47,25.522,1325.0
2019-07-01,25.45,25.5095,25.45,25.5095,976.0
2019-06-28,25.48,25.5337,25.4518,25.4518,843.0
2019-06-27,25.5781,25.6,25.51,25.535,3392.0
2019-06-26,25.4955,25.6,25.4955,25.58,2873.0
2019-06-25,25.55,25.55,25.53,25.54,595.0
2019-06-24,25.5,25.59,25.42,25.42,4069.0
2019-06-21,25.4817,25.617,25.48,25.501,2850.0
2019-06-20,25.48,25.4801,25.48,25.4801,949.0
2019-06-19,25.481,25.481,25.481,25.481,259.0
2019-06-18,25.4923,25.4923,25.441,25.48,1050.0
2019-06-17,25.612,25.6153,25.612,25.6153,752.0
2019-06-14,25.59,25.6,25.56,25.6,4060.0
2019-06-13,25.4935,25.528,25.4935,25.528,866.0
2019-06-12,25.4077,25.6,25.4077,25.59,2792.0
2019-06-11,25.5,25.6,25.5,25.6,2149.0
2019-06-10,25.6,25.6,25.49,25.53,1650.0
2019-06-07,25.45,25.48,25.423,25.4797,1346.0
2019-06-06,25.388,25.4216,25.388,25.4216,954.0
2019-06-05,25.4408,25.4408,25.4408,25.4408,546.0
2019-06-04,25.3569,25.4178,25.35,25.4178,2535.0
2019-06-03,25.41,25.4871,25.3,25.3,2920.0
2019-05-31,25.5,25.501,25.4,25.4,2215.0
2019-05-30,25.5,25.56,25.5,25.5027,1216.0
2019-05-29,25.4214,25.5205,25.4214,25.5205,890.0
2019-05-28,25.535,25.535,25.4025,25.4609,2508.0
2019-05-24,25.41,25.5048,25.33,25.4,4499.0
2019-05-23,25.5192,25.5192,25.5192,25.5192,233.0
2019-05-22,25.41,25.599,25.39,25.599,1104.0
2019-05-21,25.51,25.55,25.4333,25.55,2220.0
2019-05-20,25.55,25.64,25.55,25.64,1600.0
2019-05-17,25.5,25.63,25.5,25.63,397.0
2019-05-16,25.5,25.6,25.5,25.6,589.0
2019-05-15,25.61,25.61,25.61,25.61,741.0
2019-05-14,25.42,25.6275,25.42,25.6275,2025.0
2019-05-13,25.56,25.58,25.56,25.58,1612.0
2019-05-10,25.55,25.55,25.54,25.54,3100.0
2019-05-09,25.5,25.5,25.5,25.5,1000.0
2019-05-08,25.55,25.55,25.52,25.52,360.0
2019-05-07,25.4986,25.4986,25.4986,25.4986,116.0
2019-05-06,25.49,25.49,25.49,25.49,308.0
2019-05-03,25.47,25.47,25.47,25.47,280.0
2019-05-02,25.45,25.49,25.45,25.4548,2250.0
2019-05-01,25.49,25.51,25.36,25.4899,4761.0
2019-04-30,25.38,25.52,25.38,25.38,6481.0
2019-04-29,25.4649,25.4649,25.4649,25.4649,200.0
2019-04-26,25.45,25.51,25.45,25.51,1102.0
2019-04-25,25.4387,25.5175,25.38,25.5175,970.0
2019-04-24,25.49,25.52,25.3816,25.4,3725.0
2019-04-23,25.35,25.5373,25.35,25.37,3429.0
2019-04-22,25.36,25.3919,25.35,25.3919,800.0
2019-04-18,25.44,25.44,25.3501,25.38,468.0
2019-04-17,25.49,25.5545,25.49,25.51,1914.0
2019-04-16,25.5379,25.582,25.49,25.49,2874.0
2019-04-15,25.57,25.59,25.49,25.49,3070.0
2019-04-12,25.49,25.556,25.49,25.55,992.0
2019-04-11,25.55,25.55,25.36,25.38,9235.0
2019-04-10,25.45,25.55,25.45,25.46,6258.0
2019-04-09,25.52,25.52,25.48,25.48,622.0
2019-04-08,25.52,25.52,25.48,25.48,5361.0
2019-04-05,25.4206,25.5173,25.4206,25.485,2099.0
2019-04-04,25.35,25.35,25.35,25.35,324.0
2019-04-03,25.4024,25.4024,25.4024,25.4024,1.0
2019-04-02,25.46,25.46,25.4024,25.4024,755.0
2019-04-01,25.32,25.46,25.32,25.3214,3547.0
2019-03-29,25.4211,25.45,25.4211,25.45,851.0
2019-03-28,25.2685,25.383,25.2685,25.361,984.0
2019-03-27,25.41,25.41,25.36,25.36,469.0
2019-03-26,25.3768,25.44,25.26,25.44,1121.0
2019-03-25,25.3689,25.3689,25.3689,25.3689,1000.0
2019-03-22,25.3308,25.3767,25.32,25.3767,1219.0
2019-03-21,25.299,25.41,25.23,25.32,3275.0
2019-03-20,25.35,25.35,25.14,25.3375,3210.0
2019-03-19,25.2517,25.4189,25.2517,25.4189,1222.0
2019-03-18,25.28,25.41,25.28,25.41,1272.0
