date,1. open,2. high,3. low,4. close,5. volume
2020-03-30,17.27,17.58,16.31,17.27,4105.0
2020-03-27,16.12,17.6,16.0,16.81,2662.0
2020-03-26,16.0,17.5,15.9999,16.26,5445.0
2020-03-25,14.63,15.72,13.7503,15.72,2521.0
2020-03-24,13.2,14.52,13.0879,14.52,1350.0
2020-03-23,12.5,12.5,12.0,12.0,500.0
2020-03-20,13.13,13.13,13.1,13.1,500.0
2020-03-19,10.7819,14.9,10.0,14.55,8982.0
2020-03-18,16.85,16.85,11.0,11.22,5012.0
2020-03-17,17.5,18.675,16.5,18.675,3568.0
2020-03-16,19.4,19.42,18.0,18.05,5220.0
2020-03-13,19.96,21.4,18.0001,21.4,7085.0
2020-03-12,21.09,21.29,20.5,20.5192,4808.0
2020-03-11,23.5,23.5,23.5,23.5,138.0
2020-03-10,24.28,24.29,23.5,23.72,2613.0
2020-03-09,24.7,24.7,24.3,24.3,5232.0
2020-03-06,24.7619,24.98,24.7364,24.7975,2898.0
2020-03-05,24.72,24.9399,24.72,24.9399,650.0
2020-03-04,24.7,24.99,24.7,24.7477,2500.0
2020-03-03,24.98,24.98,24.98,24.98,300.0
2020-03-02,24.94,24.94,24.6732,24.7,13070.0
2020-02-28,25.15,25.15,24.5,24.7061,15915.0
2020-02-27,25.2,25.305,25.15,25.15,3100.0
2020-02-26,25.474,25.4817,25.22,25.2622,4600.0
2020-02-25,25.25,25.27,25.22,25.23,3390.0
2020-02-24,25.3,25.5,25.3,25.38,2510.0
2020-02-21,25.3015,25.43,25.3,25.4265,2942.0
2020-02-20,25.31,25.55,25.3,25.341,3692.0
2020-02-19,25.3,25.31,25.28,25.31,494.0
2020-02-18,25.25,25.3,25.25,25.2812,1739.0
2020-02-14,25.25,25.25,25.25,25.25,102.0
2020-02-13,25.31,25.31,25.31,25.31,530.0
2020-02-12,25.2331,25.27,25.2331,25.27,1038.0
2020-02-11,25.2236,25.25,25.2,25.25,3501.0
2020-02-10,25.22,25.2398,25.22,25.2398,1170.0
2020-02-07,25.2,25.2,25.0981,25.0981,200.0
2020-02-06,25.09,25.25,25.09,25.2,2299.0
2020-02-05,25.2,25.2,25.01,25.07,11734.0
2020-02-04,25.2279,25.24,25.2052,25.2052,1736.0
2020-02-03,25.24,25.24,25.23,25.24,1100.0
2020-01-31,25.2,25.2,25.2,25.2,300.0
2020-01-30,25.25,25.25,25.25,25.25,5240.0
2020-01-29,25.19,25.1936,25.18,25.1936,950.0
2020-01-28,25.25,25.25,25.1,25.165,3839.0
2020-01-27,25.3501,25.5,25.25,25.25,4249.0
2020-01-24,25.3613,25.3613,25.3613,25.3613,1400.0
2020-01-23,25.39,25.5,25.3,25.4358,5778.0
