date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,93.5,93.5,93.5,93.5,517.0
2020-04-23,95.0,95.0,94.536,94.536,871.0
2020-04-22,93.0,95.0,92.0,95.0,487.0
2020-04-21,92.0,92.0,92.0,92.0,394.0
2020-04-20,93.95,93.95,93.95,93.95,384.0
2020-04-17,89.85,94.0,89.85,94.0,2243.0
2020-04-16,89.73,89.73,87.9999,87.9999,4175.0
2020-04-15,89.8,89.8,89.3986,89.7413,1824.0
2020-04-14,89.88,90.0,89.75,89.75,1222.0
2020-04-13,90.0,90.9999,89.5724,89.5724,2026.0
2020-04-09,90.0,92.5,90.0,92.0,2966.0
2020-04-08,90.0,90.0,90.0,90.0,953.0
2020-04-07,82.0,93.5,82.0,93.5,2306.0
2020-04-06,81.97,81.97,81.97,81.97,138.0
2020-04-03,84.47,84.47,84.47,84.47,190.0
2020-04-02,84.47,84.47,84.47,84.47,205.0
2020-04-01,83.0,84.47,79.0547,84.47,1149.0
2020-03-31,85.05,85.05,85.05,85.05,223.0
2020-03-30,78.27,87.99,78.27,87.5,1336.0
2020-03-27,88.28,88.2899,83.5,83.5,495.0
2020-03-26,82.46,89.96,80.01,80.6312,2892.0
2020-03-25,72.7,75.72,72.7,75.72,1915.0
2020-03-24,72.7,72.7,72.7,72.7,110.0
2020-03-23,80.0,85.0,72.7,72.7,1106.0
2020-03-20,90.0,94.0,85.5,87.75,1231.0
2020-03-19,65.34,79.2,65.0,79.2,5949.0
2020-03-18,78.5,78.5,70.3772,70.5,5312.0
2020-03-17,92.0,92.0,77.03,79.25,7614.0
2020-03-16,98.0,98.0,91.07,91.07,2660.0
2020-03-13,94.0,99.99,93.89,99.99,1660.0
2020-03-12,100.5,100.55,92.61,93.0725,3351.0
2020-03-11,101.0,104.0,101.0,103.9999,1247.0
2020-03-10,102.0418,102.0418,102.0418,102.0418,10.0
2020-03-09,101.8,102.725,101.8,102.0418,1039.0
2020-03-06,103.75,103.75,103.3,103.3,510.0
2020-03-05,103.05,103.75,102.14,103.75,989.0
2020-03-04,105.0,105.0,105.0,105.0,131.0
2020-03-03,104.0,104.0,104.0,104.0,200.0
2020-03-02,101.812,103.0,101.812,103.0,1453.0
2020-02-28,101.65,102.1197,101.64,101.8,1727.0
2020-02-27,103.25,103.8256,103.25,103.4865,967.0
2020-02-26,103.665,103.665,103.665,103.665,301.0
2020-02-25,105.1356,105.8808,103.8838,103.8838,888.0
2020-02-24,107.0,107.392,103.2,105.6682,2639.0
2020-02-21,107.3025,107.3025,107.3025,107.3025,370.0
2020-02-20,106.0,106.0,106.0,106.0,15.0
2020-02-19,105.8552,106.0,105.8552,106.0,406.0
2020-02-18,108.79,108.79,105.63,105.63,504.0
2020-02-14,106.58,106.58,106.58,106.58,80.0
2020-02-13,105.7596,106.58,105.7596,106.58,2183.0
2020-02-12,106.5,106.5,106.0,106.5,1503.0
2020-02-11,106.5,106.5,105.02,106.5,1904.0
2020-02-10,107.9951,107.9951,105.33,105.4,1867.0
2020-02-07,108.2522,108.2522,108.2522,108.2522,420.0
2020-02-06,108.431,108.4614,108.431,108.4614,450.0
2020-02-05,109.5,109.5,108.95,108.95,869.0
2020-02-04,108.2,109.22,108.2,109.05,2000.0
2020-02-03,108.479,108.7383,108.479,108.7383,731.0
2020-01-31,108.5,108.5,108.5,108.5,446.0
