date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.3,2.33,2.201,2.2601,6935.0
2020-03-30,2.2376,2.32,2.22,2.28,14765.0
2020-03-27,2.15,2.31,2.15,2.26,28938.0
2020-03-26,2.14,2.19,2.13,2.17,9755.0
2020-03-25,2.18,2.19,2.1108,2.14,14836.0
2020-03-24,2.15,2.2,2.12,2.12,6758.0
2020-03-23,2.18,2.2,2.06,2.1,25798.0
2020-03-20,2.32,2.35,2.2,2.2,31581.0
2020-03-19,2.03,2.27,1.96,2.24,43811.0
2020-03-18,2.09,2.0911,2.03,2.03,2288.0
2020-03-17,2.0,2.17,1.91,2.15,14622.0
2020-03-16,2.01,2.04,2.0,2.0056,15466.0
2020-03-13,2.07,2.11,2.06,2.06,14513.0
2020-03-12,2.1,2.1305,2.06,2.06,88585.0
2020-03-11,2.25,2.25,2.08,2.17,70060.0
2020-03-10,2.2595,2.33,2.1948,2.32,32528.0
2020-03-09,2.31,2.34,2.2,2.2,16701.0
2020-03-06,2.31,2.42,2.31,2.41,6668.0
2020-03-05,2.3649,2.39,2.3649,2.38,1199.0
2020-03-04,2.41,2.41,2.3456,2.4,6342.0
2020-03-03,2.41,2.41,2.32,2.35,16388.0
2020-03-02,2.35,2.41,2.35,2.41,2017.0
2020-02-28,2.392,2.48,2.328,2.37,10337.0
2020-02-27,2.36,2.41,2.32,2.32,7515.0
2020-02-26,2.43,2.43,2.37,2.43,7455.0
2020-02-25,2.52,2.53,2.4001,2.43,20051.0
2020-02-24,2.5,2.54,2.47,2.52,12543.0
2020-02-21,2.48,2.54,2.48,2.54,8142.0
2020-02-20,2.55,2.55,2.51,2.52,553.0
2020-02-19,2.45,2.45,2.42,2.43,16152.0
2020-02-18,2.48,2.48,2.416,2.46,34738.0
2020-02-14,2.44,2.61,2.44,2.51,91069.0
2020-02-13,2.44,2.47,2.32,2.4475,37210.0
2020-02-12,2.45,2.45,2.42,2.44,6814.0
2020-02-11,2.43,2.45,2.43,2.45,10713.0
2020-02-10,2.42,2.46,2.42,2.45,45988.0
2020-02-07,2.45,2.45,2.42,2.4398,24268.0
2020-02-06,2.43,2.43,2.41,2.42,3107.0
2020-02-05,2.405,2.44,2.405,2.43,16438.0
2020-02-04,2.41,2.43,2.38,2.42,7853.0
2020-02-03,2.4,2.43,2.38,2.43,15222.0
2020-01-31,2.3829,2.4,2.35,2.38,19111.0
2020-01-30,2.36,2.41,2.3499,2.35,50528.0
2020-01-29,2.35,2.3579,2.3001,2.33,20269.0
2020-01-28,2.3502,2.36,2.35,2.35,2349.0
2020-01-27,2.32,2.35,2.295,2.34,25110.0
2020-01-24,2.24,2.33,2.24,2.3065,24010.0
2020-01-23,2.16,2.25,2.16,2.2419,11585.0
2020-01-22,2.169,2.169,2.11,2.15,30819.0
2020-01-21,2.21,2.2349,2.15,2.16,30081.0
2020-01-17,2.22,2.2612,2.17,2.21,76322.0
2020-01-16,2.3,2.325,2.21,2.22,67198.0
2020-01-15,2.3,2.4115,2.27,2.343,57372.0
2020-01-14,2.27,2.39,2.2,2.34,73510.0
2020-01-13,2.26,2.4,2.25,2.3,30843.0
2020-01-10,2.3,2.31,2.26,2.27,5390.0
2020-01-09,2.12,2.3,2.12,2.2615,55646.0
2020-01-08,2.1,2.16,2.05,2.14,47428.0
2020-01-07,2.28,2.28,2.09,2.09,115628.0
2020-01-06,2.31,2.38,2.19,2.2,199413.0
2020-01-03,2.3833,2.41,2.3,2.31,36173.0
2020-01-02,2.45,2.46,2.41,2.44,3450.0
2019-12-31,2.46,2.46,2.36,2.41,26489.0
2019-12-30,2.4,2.49,2.4,2.43,19010.0
2019-12-27,2.41,2.48,2.41,2.47,4205.0
2019-12-26,2.41,2.49,2.37,2.4106,17474.0
2019-12-24,2.42,2.45,2.41,2.42,3714.0
2019-12-23,2.47,2.5,2.42,2.42,8713.0
2019-12-20,2.47,2.5,2.4385,2.5,18306.0
2019-12-19,2.47,2.51,2.44,2.475,24236.0
2019-12-18,2.48,2.51,2.4467,2.51,10027.0
2019-12-17,2.49,2.51,2.48,2.5046,5927.0
2019-12-16,2.5,2.52,2.5,2.5094,4465.0
2019-12-13,2.46,2.53,2.45,2.53,17706.0
2019-12-12,2.49,2.5,2.45,2.48,2054.0
2019-12-11,2.5,2.54,2.4876,2.505,11550.0
2019-12-10,2.54,2.55,2.44,2.54,18855.0
2019-12-09,2.49,2.5327,2.49,2.53,13898.0
2019-12-06,2.55,2.55,2.52,2.52,2184.0
2019-12-05,2.53,2.57,2.53,2.57,5961.0
2019-12-04,2.4211,2.52,2.4211,2.52,1812.0
2019-12-03,2.45,2.53,2.42,2.53,2733.0
2019-12-02,2.5,2.52,2.46,2.52,26347.0
2019-11-29,2.48,2.5,2.48,2.5,1120.0
2019-11-27,2.5,2.53,2.49,2.51,13384.0
2019-11-26,2.4901,2.58,2.4901,2.5302,26006.0
2019-11-25,2.54,2.54,2.475,2.51,14492.0
2019-11-22,2.58,2.58,2.4799,2.54,26051.0
2019-11-21,2.41,2.54,2.41,2.41,42165.0
2019-11-20,2.5,2.5054,2.4169,2.45,68819.0
2019-11-19,2.5,2.5,2.4642,2.47,4171.0
2019-11-18,2.47,2.5303,2.45,2.5,32457.0
2019-11-15,2.52,2.5309,2.44,2.5,40231.0
2019-11-14,2.47,2.51,2.4642,2.47,8684.0
2019-11-13,2.47,2.5047,2.47,2.49,3273.0
2019-11-12,2.44,2.51,2.44,2.51,6158.0
2019-11-11,2.5,2.5015,2.45,2.4635,4771.0
2019-11-08,2.48,2.54,2.48,2.5,24921.0
2019-11-07,2.489,2.489,2.48,2.485,1120.0
2019-11-06,2.5,2.5,2.5,2.5,710.0
2019-11-05,2.49,2.4946,2.48,2.48,1646.0
2019-11-04,2.43,2.48,2.43,2.48,3967.0
2019-11-01,2.5,2.53,2.41,2.41,24527.0
2019-10-31,2.4986,2.5,2.4637,2.47,7311.0
2019-10-30,2.48,2.5,2.4601,2.47,5838.0
2019-10-29,2.47,2.47,2.4665,2.47,452.0
2019-10-28,2.42,2.481,2.42,2.4616,12201.0
2019-10-25,2.44,2.44,2.43,2.4304,1430.0
2019-10-24,2.41,2.55,2.41,2.43,11579.0
2019-10-23,2.41,2.41,2.41,2.41,764.0
2019-10-22,2.5,2.54,2.4145,2.4145,8401.0
2019-10-21,2.374,2.5,2.374,2.5,675.0
2019-10-18,2.5,2.5,2.41,2.42,1333.0
