date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,23.14,23.14,21.5,22.17,1373.0
2020-03-30,20.5101,22.0,20.5101,22.0,693.0
2020-03-27,21.6,22.49,21.6,22.0,1399.0
2020-03-26,24.5,25.0,22.05,22.7,6083.0
2020-03-25,19.5,25.07,19.5,25.07,10903.0
2020-03-24,20.4,20.4,18.0,19.985,1086.0
2020-03-23,17.41,19.29,16.16,17.525,8039.0
2020-03-20,19.0,21.99,19.0,20.1,3574.0
2020-03-19,16.66,18.0,13.55,18.0,3214.0
2020-03-18,21.56,22.0,20.1,21.22,14327.0
2020-03-17,21.45,23.99,21.21,22.0,2650.0
2020-03-16,24.3,24.55,20.1,22.4,9214.0
2020-03-13,24.12,25.2,24.12,25.2,1193.0
2020-03-12,25.83,27.75,24.91,25.49,16309.0
2020-03-11,26.135,26.9125,25.48,26.9125,5369.0
2020-03-10,25.52,27.7799,25.45,26.875,2709.0
2020-03-09,26.0201,27.6784,26.0201,26.95,12383.0
2020-03-06,26.5,27.39,26.0,27.282,20902.0
2020-03-05,26.89,26.9,26.4781,26.8402,2083.0
2020-03-04,25.8808,27.71,25.8808,27.0,24949.0
2020-03-03,25.6,25.9051,25.6,25.9051,1389.0
2020-03-02,25.8871,25.95,25.8206,25.8254,1151.0
2020-02-28,25.81,25.98,25.69,25.98,2035.0
2020-02-27,26.0948,26.0948,25.91,26.0613,1545.0
2020-02-26,26.155,26.155,26.1,26.1,624.0
2020-02-25,26.15,26.2685,26.15,26.2685,759.0
2020-02-24,26.48,26.48,25.95,26.15,7222.0
2020-02-21,26.3986,26.47,26.365,26.365,556.0
2020-02-20,26.0071,26.48,25.92,26.4,2499.0
2020-02-19,26.13,26.13,25.9023,26.0481,1320.0
2020-02-18,25.91,25.91,25.9,25.9,1351.0
2020-02-14,26.0658,26.105,25.87,25.9,2927.0
2020-02-13,25.995,26.08,25.995,26.08,469.0
2020-02-12,25.935,26.14,25.935,26.03,2507.0
2020-02-11,26.13,26.15,26.0765,26.0765,1618.0
2020-02-10,25.89,26.1349,25.87,25.87,3417.0
2020-02-07,25.9745,25.9745,25.9745,25.9745,1188.0
2020-02-06,26.0761,26.18,26.0761,26.18,1105.0
