date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,21.8307,22.1,21.8307,21.93,8992.0
2020-04-08,20.76,21.52,20.5,21.52,6200.0
2020-04-07,21.45,21.45,20.5058,20.9233,2950.0
2020-04-06,19.5,20.275,19.5,19.975,858.0
2020-04-03,20.32,20.32,19.5,19.5,850.0
2020-04-02,20.77,20.77,19.02,19.8289,2473.0
2020-04-01,20.02,20.02,19.75,19.75,4125.0
2020-03-31,22.3704,22.3704,22.3704,22.3704,55.0
2020-03-30,22.82,22.82,22.0,22.3704,1490.0
2020-03-27,21.5038,22.82,19.35,22.06,2086.0
2020-03-26,21.0,22.9999,21.0,21.3356,2428.0
2020-03-25,19.1,21.0,19.0075,20.5,15716.0
2020-03-24,17.25,19.6867,17.25,17.8947,3908.0
2020-03-23,16.83,17.1955,16.83,17.187,2950.0
2020-03-20,16.25,18.7,16.25,17.0,5306.0
2020-03-19,15.2001,19.75,14.73,17.45,10434.0
2020-03-18,21.51,21.51,17.0,17.248,1411.0
2020-03-17,21.51,21.51,21.243,21.487,1426.0
2020-03-16,16.71,23.14,16.71,21.61,1546.0
2020-03-13,23.2,23.2,23.2,23.2,6.0
2020-03-12,24.7,24.7,21.95,23.2,2840.0
2020-03-11,25.0278,25.0278,24.55,24.55,3974.0
2020-03-10,25.29,25.29,25.0223,25.1824,17755.0
2020-03-09,25.5,25.5,25.0,25.059,4845.0
2020-03-06,25.5,25.52,25.3436,25.52,8640.0
2020-03-05,25.55,25.56,25.55,25.55,10925.0
2020-03-04,25.55,25.65,25.55,25.65,7148.0
2020-03-03,25.5,25.59,25.4891,25.59,2000.0
2020-03-02,25.0001,25.5,25.0001,25.3284,3300.0
2020-02-28,25.2,25.5,25.02,25.3341,7406.0
2020-02-27,25.4,25.5,25.31,25.3101,4400.0
2020-02-26,25.58,25.65,25.58,25.64,4479.0
2020-02-25,25.68,25.68,25.6423,25.68,800.0
2020-02-24,25.7,25.7,25.55,25.5897,13782.0
2020-02-21,25.7231,25.75,25.719,25.75,1664.0
2020-02-20,25.74,25.74,25.74,25.74,511.0
2020-02-19,25.74,25.74,25.74,25.74,0.0
2020-02-18,25.7456,25.75,25.6801,25.74,1500.0
2020-02-14,25.75,25.75,25.68,25.68,3533.0
2020-02-13,25.74,25.75,25.7212,25.745,2587.0
2020-02-12,25.75,25.75,25.68,25.7484,5782.0
2020-02-11,25.8,25.8,25.7301,25.7656,2116.0
2020-02-10,25.79,25.8,25.7751,25.7831,551.0
2020-02-07,25.79,25.8,25.79,25.8,2000.0
2020-02-06,25.77,25.8,25.75,25.79,6053.0
2020-02-05,25.9491,26.25,25.73,25.75,41320.0
2020-02-04,26.25,26.25,26.25,26.25,0.0
2020-02-03,26.25,26.25,26.25,26.25,24.0
2020-01-31,26.0,26.25,26.0,26.25,7750.0
2020-01-30,25.78,25.93,25.6,25.85,4527.0
2020-01-29,25.85,25.8501,25.57,25.74,19625.0
2020-01-28,25.6635,25.8182,25.6635,25.8182,500.0
2020-01-27,25.75,25.75,25.75,25.75,800.0
2020-01-24,25.84,25.84,25.7,25.7,2313.0
2020-01-23,25.84,25.95,25.84,25.95,300.0
2020-01-22,25.84,25.85,25.84,25.84,859.0
2020-01-21,25.77,25.77,25.77,25.77,164.0
2020-01-17,25.8,25.81,25.64,25.77,4153.0
2020-01-16,25.78,25.78,25.68,25.68,2030.0
2020-01-15,25.68,25.797,25.53,25.56,2660.0
2020-01-14,25.7115,25.7115,25.46,25.65,3120.0
2020-01-13,25.8623,25.8623,25.7612,25.7612,960.0
2020-01-10,25.82,25.82,25.82,25.82,0.0
2020-01-09,25.82,25.82,25.82,25.82,240.0
2020-01-08,25.76,25.76,25.76,25.76,540.0
2020-01-07,25.64,25.7842,25.64,25.7842,2920.0
2020-01-06,25.8,25.9,25.61,25.61,5400.0
2020-01-03,25.798,25.798,25.798,25.798,0.0
2020-01-02,25.77,25.7981,25.77,25.7981,275.0
2019-12-31,25.68,25.68,25.68,25.68,500.0
2019-12-30,25.7,25.75,25.56,25.68,4897.0
2019-12-27,26.254,26.254,26.254,26.254,0.0
2019-12-26,26.254,26.254,26.254,26.254,0.0
2019-12-24,26.1,26.2538,26.1,26.2538,1800.0
2019-12-23,25.684,25.684,25.684,25.684,0.0
2019-12-20,26.16,26.2,25.56,25.6842,6090.0
2019-12-19,25.9,26.1981,25.8968,26.16,2530.0
2019-12-18,25.84,25.9,25.74,25.9,4045.0
2019-12-17,25.51,25.6,25.48,25.5994,4109.0
2019-12-16,25.8302,25.8302,25.8302,25.8302,2.0
2019-12-13,25.63,25.8302,25.56,25.8302,4500.0
2019-12-12,25.75,25.75,25.75,25.75,0.0
2019-12-11,25.75,25.75,25.75,25.75,0.0
2019-12-10,25.85,25.85,25.75,25.75,4605.0
2019-12-09,25.802,25.802,25.802,25.802,0.0
2019-12-06,25.87,25.91,25.65,25.8019,1750.0
2019-12-05,25.76,25.76,25.61,25.61,5200.0
2019-12-04,25.8107,25.85,25.6597,25.6597,6775.0
2019-12-03,25.85,25.8878,25.85,25.85,14100.0
2019-12-02,25.98,26.0,25.7756,25.7756,5300.0
2019-11-29,25.84,25.84,25.81,25.83,2720.0
2019-11-27,26.0858,26.0858,25.7101,25.7101,1500.0
