date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.71,0.72,0.685,0.6993,223966.0
2020-04-23,0.73,0.7307,0.63,0.7,515834.0
2020-04-22,0.76,0.7697,0.68,0.7181,585244.0
2020-04-21,0.821,0.84,0.675,0.7495,1508181.0
2020-04-20,0.65,0.829,0.58,0.7658,2636328.0
2020-04-17,0.7,0.7,0.631,0.6398,686505.0
2020-04-16,0.6008,0.67,0.5704,0.65,846411.0
2020-04-15,0.5958,0.6,0.5701,0.59,176328.0
2020-04-14,0.6047,0.62,0.583,0.6091,150896.0
2020-04-13,0.6386,0.6399,0.5671,0.62,528740.0
2020-04-09,0.66,0.6999,0.5945,0.6389,1044200.0
2020-04-08,0.609,0.6248,0.57,0.6221,388851.0
2020-04-07,0.64,0.66,0.575,0.5945,513669.0
2020-04-06,0.5582,0.6019,0.5201,0.5682,709855.0
2020-04-03,0.59,0.5919,0.5096,0.5296,371280.0
2020-04-02,0.5741,0.649,0.5401,0.5717,911588.0
2020-04-01,0.605,0.66,0.53,0.55,723101.0
2020-03-31,0.6,0.68,0.5506,0.6051,1181713.0
2020-03-30,0.84,0.94,0.63,0.72,5488059.0
2020-03-27,0.525,0.75,0.4801,0.6,5258196.0
2020-03-26,0.4936,0.63,0.49,0.5149,824893.0
2020-03-25,0.52,0.73,0.46,0.5073,1783660.0
2020-03-24,0.455,0.52,0.4492,0.4989,558900.0
2020-03-23,0.4709,0.4869,0.42,0.4523,240668.0
2020-03-20,0.47,0.55,0.45,0.45,592654.0
2020-03-19,0.45,0.55,0.4297,0.44,339305.0
2020-03-18,0.5052,0.5495,0.45,0.45,583701.0
2020-03-17,0.45,0.75,0.4,0.56,3095433.0
2020-03-16,0.3696,0.4602,0.31,0.3608,1269297.0
2020-03-13,0.355,1.07,0.355,0.464,20489978.0
2020-03-12,0.35,0.369,0.3,0.3296,223020.0
2020-03-11,0.4,0.4098,0.3125,0.3742,253988.0
2020-03-10,0.45,0.47,0.38,0.3908,531644.0
2020-03-09,0.44,0.44,0.3358,0.37,680181.0
2020-03-06,0.455,0.55,0.45,0.47,740519.0
2020-03-05,0.5505,0.62,0.4901,0.5305,1287588.0
