date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,23.57,24.5447,23.57,24.25,45676.0
2020-04-08,22.25,23.36,21.83,23.22,40204.0
2020-04-07,23.25,23.25,21.97,22.39,42870.0
2020-04-06,23.6,23.77,22.85,23.1,50426.0
2020-04-03,22.18,22.99,21.25,22.86,39339.0
2020-04-02,21.27,22.58,21.27,22.49,24329.0
2020-04-01,22.92,22.92,21.32,21.41,27686.0
2020-03-31,22.73,23.63,22.28,23.14,53376.0
2020-03-30,21.31,23.23,21.307,23.15,30428.0
2020-03-27,23.66,24.43,20.05,20.79,28517.0
2020-03-26,23.84,25.0042,22.77,24.99,41311.0
2020-03-25,22.82,24.27,22.57,23.5,39419.0
2020-03-24,22.5,23.79,22.02,22.85,43950.0
2020-03-23,22.3,23.85,20.62,21.06,130384.0
2020-03-20,24.06,24.8,21.03,22.0,52905.0
2020-03-19,23.01,24.2,23.01,24.19,33915.0
2020-03-18,26.1,26.15,23.0,23.01,40613.0
2020-03-17,21.97,26.1,21.945,26.1,28620.0
2020-03-16,22.5,22.5,20.02,21.5,64995.0
2020-03-13,23.35,25.8,22.96,24.5,36094.0
2020-03-12,24.0,24.39,21.82,22.28,36935.0
2020-03-11,24.35,26.114,24.35,24.72,104723.0
2020-03-10,26.09,26.09,24.3,24.75,51618.0
2020-03-09,27.5,27.7,25.25,25.5,25644.0
2020-03-06,28.0,29.2,27.74,28.58,68118.0
2020-03-05,28.14,29.005,28.01,28.19,19298.0
2020-03-04,28.3,29.06,28.0,28.79,9801.0
2020-03-03,28.47,28.55,28.22,28.24,14421.0
2020-03-02,27.47,29.119,27.47,28.74,14071.0
2020-02-28,29.0,29.15,27.19,27.61,22440.0
2020-02-27,29.42,29.77,28.95,29.0,26008.0
2020-02-26,30.49,30.65,29.804,30.01,12301.0
2020-02-25,30.4399,30.49,28.695,30.2,43044.0
2020-02-24,30.15,30.2,29.6729,30.08,14360.0
2020-02-21,31.03,31.124,30.69,30.69,10017.0
2020-02-20,31.08,31.575,30.494,30.91,11347.0
2020-02-19,30.64,31.425,30.64,30.94,5788.0
2020-02-18,30.56,31.01,30.225,30.74,13238.0
2020-02-14,31.09,31.19,30.49,30.76,8195.0
2020-02-13,31.0096,31.25,30.84,31.13,7558.0
2020-02-12,31.27,31.37,30.86,31.0,7168.0
2020-02-11,31.14,31.3673,31.11,31.11,8255.0
2020-02-10,31.32,31.37,30.69,31.0,9052.0
2020-02-07,31.15,31.45,31.11,31.12,3527.0
2020-02-06,31.39,31.63,31.15,31.28,10277.0
2020-02-05,31.34,31.61,31.0213,31.59,13998.0
2020-02-04,31.01,31.25,30.91,30.91,9266.0
2020-02-03,31.06,31.375,29.5015,30.64,87321.0
2020-01-31,30.8853,31.6,30.41,30.6,19203.0
2020-01-30,31.01,31.17,30.74,31.13,10061.0
2020-01-29,31.38,31.38,30.72,31.12,9193.0
2020-01-28,31.45,31.45,31.0,31.39,6833.0
2020-01-27,31.26,31.6,31.25,31.36,6765.0
2020-01-24,32.09,32.38,31.45,31.45,14978.0
2020-01-23,32.13,32.45,32.0,32.0,8276.0
2020-01-22,32.39,32.43,31.6486,32.12,13961.0
2020-01-21,32.6,32.6,31.75,31.84,6287.0
2020-01-17,32.61,32.61,32.18,32.34,8317.0
2020-01-16,32.08,32.55,32.08,32.35,6955.0
2020-01-15,31.97,32.2,31.675,32.04,8717.0
2020-01-14,32.19,32.435,31.7701,32.15,12547.0
2020-01-13,31.96,32.5,31.96,32.49,5744.0
2020-01-10,31.8306,32.47,31.77,32.03,27214.0
2020-01-09,32.09,32.6333,31.79,32.08,19754.0
2020-01-08,32.04,32.701,31.56,32.09,10656.0
2020-01-07,32.23,32.26,31.73,32.03,9259.0
2020-01-06,32.13,32.78,32.13,32.3,10536.0
2020-01-03,32.0968,32.75,32.0968,32.42,10074.0
2020-01-02,33.0,33.0,32.3164,32.73,13513.0
2019-12-31,32.51,33.21,32.42,32.88,13868.0
2019-12-30,32.56,33.12,32.2355,32.72,17290.0
2019-12-27,33.35,33.35,31.6025,32.81,19012.0
2019-12-26,33.2671,33.2671,32.72,33.03,10871.0
2019-12-24,32.94,33.35,32.33,33.35,8280.0
2019-12-23,33.16,33.63,33.1,33.26,9246.0
2019-12-20,33.5,33.98,33.05,33.56,52519.0
2019-12-19,33.61,34.05,33.0627,33.49,16078.0
2019-12-18,34.0,34.08,33.6,33.65,7915.0
2019-12-17,33.63,34.16,33.5,33.9,15869.0
2019-12-16,33.54,34.09,33.2729,33.8,31763.0
2019-12-13,33.24,34.01,32.96,33.68,29064.0
2019-12-12,32.5,33.64,32.5,33.35,23551.0
2019-12-11,32.18,33.11,32.18,32.75,17469.0
2019-12-10,32.5,33.11,32.155,32.86,29158.0
2019-12-09,32.22,33.193,32.0,32.65,8144.0
2019-12-06,32.42,33.27,32.42,32.85,20169.0
2019-12-05,32.2,32.62,31.491,32.23,22774.0
2019-12-04,32.16,32.4,32.15,32.15,10339.0
2019-12-03,32.22,32.4039,31.6797,32.26,9722.0
2019-12-02,32.78,32.8,32.04,32.28,14050.0
2019-11-29,32.67,33.05,32.66,33.05,3786.0
2019-11-27,32.83,33.15,32.79,33.15,6055.0
2019-11-26,32.88,33.29,32.7,32.8,19500.0
2019-11-25,32.3,32.99,32.3,32.9,12717.0
2019-11-22,32.2,32.7,31.86,32.46,11304.0
2019-11-21,32.27,32.59,32.01,32.18,15194.0
2019-11-20,32.25,32.89,32.25,32.26,17479.0
2019-11-19,32.39,32.97,32.3,32.88,12831.0
2019-11-18,32.42,32.75,31.8,32.58,12827.0
2019-11-15,32.64,32.65,32.01,32.16,21148.0
2019-11-14,32.25,32.6454,32.25,32.46,7342.0
2019-11-13,32.52,32.63,31.9452,32.58,15343.0
2019-11-12,32.2915,32.8699,32.2915,32.47,10071.0
2019-11-11,32.56,32.69,32.2531,32.56,5837.0
2019-11-08,31.8812,32.985,31.7891,32.56,11152.0
2019-11-07,32.1,32.56,32.05,32.47,9632.0
2019-11-06,32.39,32.79,31.82,31.82,32347.0
2019-11-05,32.51,32.81,32.36,32.59,18565.0
2019-11-04,32.0,32.93,31.77,32.75,38962.0
2019-11-01,31.65,32.0,31.54,31.83,11335.0
2019-10-31,31.82,31.895,31.11,31.66,14163.0
2019-10-30,31.3203,32.0,31.29,31.9,17130.0
2019-10-29,31.4666,32.05,31.4666,31.96,11070.0
2019-10-28,32.75,32.75,32.03,32.33,13705.0
2019-10-25,31.6,32.98,31.3012,32.41,45449.0
2019-10-24,31.99,32.0,31.6225,31.9,17410.0
2019-10-23,31.77,31.93,31.0,31.9,17093.0
2019-10-22,30.5,32.2,30.215,31.9,53024.0
2019-10-21,30.41,30.41,30.1,30.2,17803.0
2019-10-18,29.83,30.37,29.83,30.14,10329.0
2019-10-17,30.05,30.2974,29.81,29.96,15546.0
2019-10-16,30.05,30.1,30.0,30.06,6663.0
2019-10-15,29.87,30.285,29.87,30.17,3562.0
2019-10-14,30.04,30.065,29.795,29.98,6059.0
2019-10-11,30.38,30.4595,30.0,30.05,17990.0
2019-10-10,30.2387,30.4,30.113,30.26,9550.0
2019-10-09,30.26,30.4,30.11,30.16,4249.0
2019-10-08,30.4,30.5,30.042,30.05,24187.0
2019-10-07,29.9476,31.18,29.911,30.61,59840.0
2019-10-04,29.91,30.43,29.7625,30.24,11786.0
2019-10-03,30.31,30.4,30.06,30.18,2636.0
2019-10-02,29.9,30.3,29.82,30.16,8575.0
2019-10-01,30.3829,30.5559,29.94,29.94,8808.0
2019-09-30,30.2938,30.85,30.2938,30.59,10588.0
2019-09-27,29.9,30.795,29.9,30.55,18113.0
2019-09-26,29.8301,30.48,29.76,29.79,18953.0
2019-09-25,30.5,30.75,30.5,30.57,12619.0
2019-09-24,30.6405,31.5478,30.245,30.38,15641.0
2019-09-23,31.56,31.68,30.99,31.23,23653.0
2019-09-20,30.13,31.95,29.65,31.89,63023.0
2019-09-19,30.34,30.44,30.06,30.22,27183.0
2019-09-18,30.38,30.5,29.9617,30.45,36474.0
2019-09-17,30.45,30.54,30.1,30.31,22662.0
2019-09-16,30.65,30.67,30.26,30.55,23193.0
2019-09-13,31.8,32.0,30.03,30.8,47628.0
2019-09-12,31.47,31.93,30.2434,31.82,15068.0
2019-09-11,30.81,31.45,30.1528,31.4,19397.0
