date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,19.5,20.43,18.3,18.9,6550.0
2020-04-08,19.0,19.0,17.18,18.6617,4041.0
2020-04-07,17.12,19.7461,17.12,17.6,7092.0
2020-04-06,18.0075,18.5,17.45,17.6,13742.0
2020-04-03,19.0,19.0,17.044,18.0583,3561.0
2020-04-02,18.5,19.93,18.49,18.6921,4983.0
2020-04-01,17.8,18.5,17.3,17.9,14407.0
2020-03-31,18.75,19.681,17.87,17.87,6944.0
2020-03-30,20.5859,21.0,19.0,19.0,17575.0
2020-03-27,20.99,21.0,19.85,19.85,8403.0
2020-03-26,20.5,21.4209,19.1,19.2571,13433.0
2020-03-25,19.7,21.0,19.5,20.29,23145.0
2020-03-24,17.33,21.0,17.33,20.04,22015.0
2020-03-23,14.42,19.25,14.42,19.25,6622.0
2020-03-20,18.8,20.0,18.79,18.8716,7207.0
2020-03-19,11.25,16.7561,10.5625,16.0999,13515.0
2020-03-18,17.6,18.25,10.643,11.87,24698.0
2020-03-17,21.14,21.7106,20.39,21.2,10986.0
2020-03-16,22.46,22.46,18.26,20.36,9664.0
2020-03-13,24.6,24.9899,23.0,23.0,8350.0
2020-03-12,25.06,25.06,23.88,23.9805,23621.0
2020-03-11,25.7,26.5,24.92,25.3,17047.0
2020-03-10,26.168,26.168,25.55,25.755,15783.0
2020-03-09,25.71,25.948,25.57,25.7,6987.0
2020-03-06,26.06,26.0914,25.81,25.8799,31194.0
2020-03-05,26.67,26.67,26.05,26.1092,6527.0
2020-03-04,26.1,26.83,25.958,26.667,10108.0
2020-03-03,26.1558,26.1558,26.025,26.0713,2936.0
2020-03-02,26.14,26.5305,25.87,26.3,11225.0
2020-02-28,26.25,26.25,25.768,26.0,13484.0
2020-02-27,26.375,26.4975,26.25,26.4975,3854.0
2020-02-26,26.72,26.75,26.25,26.5,6902.0
2020-02-25,26.72,27.0552,26.65,26.7616,8546.0
2020-02-24,26.7,27.21,26.7,26.8657,5477.0
2020-02-21,26.75,27.2,26.74,27.05,4075.0
2020-02-20,27.0665,27.49,26.754,27.2459,6779.0
2020-02-19,27.0,27.15,26.85,27.15,8192.0
2020-02-18,26.94,27.15,26.94,27.0,3205.0
2020-02-14,27.19,27.24,26.6718,26.7956,10108.0
2020-02-13,26.7835,27.19,26.7835,27.19,2709.0
2020-02-12,26.8,26.855,26.64,26.7509,7511.0
2020-02-11,27.0408,27.19,26.85,27.19,2510.0
2020-02-10,27.15,27.15,26.98,27.0,3783.0
2020-02-07,27.0,27.0,26.63,26.9468,1420.0
2020-02-06,27.2,27.2,26.7,26.7634,9572.0
2020-02-05,27.18,27.18,26.7,26.7,1595.0
2020-02-04,27.1652,27.1986,27.07,27.1726,12188.0
2020-02-03,27.0738,27.2288,27.0015,27.2288,2649.0
2020-01-31,27.27,27.28,26.93,26.9812,3828.0
2020-01-30,26.9001,27.1366,26.9,27.0912,4251.0
2020-01-29,26.98,27.0743,26.96,27.0743,3426.0
2020-01-28,26.91,26.97,26.88,26.93,2780.0
2020-01-27,26.86,26.9,26.64,26.9,3357.0
2020-01-24,26.8,26.8117,26.715,26.8117,4469.0
2020-01-23,26.99,26.99,26.83,26.915,16700.0
2020-01-22,27.0196,27.02,26.85,26.8563,2758.0
2020-01-21,26.8,27.0,26.8,26.85,3395.0
2020-01-17,26.84,27.11,26.6981,26.9128,18012.0
2020-01-16,26.55,26.8298,26.34,26.8298,3865.0
2020-01-15,26.85,26.85,26.65,26.84,4152.0
2020-01-14,26.83,26.83,26.57,26.635,7962.0
2020-01-13,26.78,26.82,26.65,26.82,7601.0
2020-01-10,26.449,26.78,26.32,26.78,17464.0
2020-01-09,26.5083,26.6376,26.5083,26.516,1042.0
2020-01-08,26.46,26.75,26.41,26.65,21045.0
2020-01-07,26.65,26.65,26.2634,26.5234,7864.0
2020-01-06,26.85,26.85,26.19,26.19,5304.0
2020-01-03,26.15,26.39,26.15,26.229,6195.0
2020-01-02,26.3502,26.3577,26.1812,26.3577,1332.0
2019-12-31,26.318,26.39,26.318,26.39,2257.0
2019-12-30,26.2076,26.38,26.1514,26.1514,3100.0
2019-12-27,26.3,26.56,26.2126,26.3058,2442.0
2019-12-26,26.39,26.42,26.23,26.306,25832.0
2019-12-24,26.2735,26.2735,26.1913,26.1913,503.0
2019-12-23,26.1,26.38,26.075,26.38,6465.0
2019-12-20,26.14,26.35,26.14,26.2073,1910.0
2019-12-19,26.1562,26.38,26.1,26.38,1713.0
2019-12-18,26.2442,26.38,26.23,26.23,2991.0
2019-12-17,26.1999,26.21,26.1604,26.21,1392.0
2019-12-16,26.23,26.24,26.1464,26.1464,8214.0
2019-12-13,26.178,26.19,26.15,26.16,1508.0
2019-12-12,26.13,26.1881,26.0,26.1501,35716.0
2019-12-11,26.0,26.0,26.0,26.0,694.0
2019-12-10,26.01,26.0538,25.82,25.99,6236.0
2019-12-09,26.17,26.18,26.0463,26.0463,2236.0
2019-12-06,26.02,26.15,25.9342,26.0579,13984.0
2019-12-05,26.05,26.1,25.5401,26.1,25806.0
2019-12-04,26.05,26.24,26.05,26.05,12250.0
2019-12-03,26.15,26.15,26.06,26.1374,19968.0
2019-12-02,26.1751,26.2398,26.1751,26.2398,1432.0
2019-11-29,26.2,26.24,26.1806,26.1806,1250.0
2019-11-27,26.2403,26.2403,26.2403,26.2403,417.0
2019-11-26,26.3,26.3,26.15,26.2089,3237.0
2019-11-25,26.3,26.3,26.15,26.15,6280.0
2019-11-22,26.08,26.39,26.04,26.1236,3365.0
2019-11-21,26.39,26.39,26.2109,26.2452,3336.0
2019-11-20,26.25,26.39,26.06,26.2885,16853.0
2019-11-19,26.2275,26.39,26.22,26.22,6584.0
2019-11-18,26.2551,26.35,26.1826,26.35,4268.0
2019-11-15,26.29,26.29,26.2308,26.2591,1116.0
2019-11-14,26.2014,26.34,26.2014,26.2144,7568.0
2019-11-13,26.3579,26.3579,26.1501,26.2147,5382.0
2019-11-12,26.39,26.39,26.1211,26.18,4056.0
2019-11-11,26.1819,26.2,26.1,26.1,2694.0
2019-11-08,26.2,26.26,26.05,26.1,11603.0
2019-11-07,26.1,26.15,25.95,26.1,24210.0
2019-11-06,26.2,26.3,26.06,26.08,3715.0
2019-11-05,26.35,26.35,26.0,26.05,11591.0
2019-11-04,26.3962,26.3962,26.3,26.3759,1254.0
2019-11-01,26.3844,26.4355,26.3793,26.4289,2238.0
2019-10-31,26.31,26.4,26.25,26.25,9648.0
2019-10-30,26.11,26.3398,26.1,26.25,13941.0
2019-10-29,26.25,26.3,26.1,26.1,12535.0
2019-10-28,26.36,26.4972,26.2,26.22,13406.0
2019-10-25,27.52,27.52,26.3001,26.48,10618.0
2019-10-24,26.32,26.45,26.3,26.4,13798.0
2019-10-23,27.49,27.49,26.25,26.4236,16517.0
2019-10-22,26.5,26.5,26.19,26.22,14063.0
2019-10-21,26.35,26.5,26.1383,26.35,12494.0
2019-10-18,26.2,26.4333,26.19,26.3,15358.0
2019-10-17,26.34,26.34,26.19,26.2001,14654.0
2019-10-16,26.33,26.5,26.2,26.3292,21731.0
2019-10-15,26.49,26.49,26.07,26.37,23158.0
2019-10-14,25.99,26.5,25.853,26.35,77357.0
2019-10-11,25.86,25.99,25.68,25.9,26001.0
2019-10-10,25.91,26.05,25.81,26.0,44686.0
2019-10-09,25.84,25.98,25.75,25.98,51746.0
2019-10-08,25.88,25.88,25.75,25.8232,26796.0
2019-10-07,25.93,25.93,25.6651,25.84,56110.0
2019-10-04,25.75,25.812,25.6,25.8,65400.0
2019-10-03,25.7,26.0,25.6,26.0,331738.0
2019-10-02,25.5,25.7,25.5,25.6,193101.0
2019-10-01,25.7,25.75,25.6,25.68,38992.0
2019-09-30,25.75,25.75,25.5,25.75,43413.0
2019-09-27,25.25,25.7,25.2,25.66,160675.0
2019-09-26,25.3,25.3,25.1,25.25,938239.0
