date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,0.0,0.0,0.0,0.23,0.0
2020-03-27,0.1974,0.23,0.1974,0.23,1750.0
2020-03-17,0.17,0.1701,0.1615,0.1615,28100.0
2020-02-28,0.21,0.21,0.17,0.17,21800.0
2020-02-25,0.3,0.3,0.29,0.29,202.0
2020-02-24,0.22,0.3,0.22,0.3,2200.0
2020-02-21,0.21,0.21,0.21,0.21,15000.0
2020-02-18,0.2,0.2,0.2,0.2,8700.0
2020-02-12,0.19,0.19,0.19,0.19,16300.0
2020-02-11,0.19,0.19,0.19,0.19,5000.0
2020-02-03,0.21,0.22,0.19,0.19,600.0
2020-01-31,0.19,0.1901,0.19,0.19,360300.0
2020-01-28,0.19,0.19,0.19,0.19,1.0
2020-01-23,0.19,0.19,0.1891,0.19,248200.0
2020-01-16,0.18,0.18,0.18,0.18,2000.0
2020-01-15,0.18,0.1801,0.18,0.1801,1300.0
2020-01-13,0.18,0.18,0.18,0.18,1600.0
2020-01-10,0.18,0.18,0.18,0.18,1100.0
2020-01-09,0.18,0.18,0.18,0.18,210.0
2020-01-08,0.18,0.18,0.18,0.18,500.0
2020-01-06,0.19,0.19,0.18,0.18,2100.0
2020-01-03,0.19,0.19,0.19,0.19,50100.0
2020-01-02,0.18,0.18,0.18,0.18,1000.0
2019-12-30,0.18,0.18,0.18,0.18,6000.0
2019-12-27,0.19,0.19,0.19,0.19,4590.0
2019-12-26,0.17,0.17,0.17,0.17,100.0
2019-12-24,0.18,0.18,0.18,0.18,10.0
2019-12-20,0.18,0.18,0.18,0.18,9600.0
2019-12-18,0.195,0.195,0.195,0.195,6300.0
2019-12-17,0.16,0.19,0.16,0.1899,54200.0
2019-12-16,0.195,0.195,0.195,0.195,10.0
2019-12-13,0.195,0.195,0.195,0.195,3000.0
2019-12-12,0.2,0.2,0.195,0.195,22000.0
2019-12-10,0.2,0.2,0.2,0.2,8000.0
2019-12-09,0.16,0.16,0.16,0.16,650000.0
