date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,0.0884,0.0884,0.0737,0.0799,400.0
2020-03-30,0.055,0.0899,0.055,0.07,38300.0
2020-03-27,0.0599,0.0599,0.0599,0.0599,190.0
2020-03-26,0.0694,0.0694,0.05,0.06,3650.0
2020-03-25,0.0398,0.0694,0.0398,0.0694,183413.0
2020-03-24,0.0398,0.0398,0.0389,0.039,10700.0
2020-03-23,0.0397,0.0397,0.026,0.0397,350.0
2020-03-20,0.03,0.0399,0.03,0.0399,70130.0
2020-03-19,0.035,0.035,0.0253,0.03,145560.0
2020-03-18,0.0399,0.0399,0.0399,0.0399,100.0
2020-03-17,0.0499,0.0499,0.0407,0.0407,700.0
2020-03-16,0.0499,0.0501,0.0276,0.0499,176554.0
2020-03-13,0.0399,0.0456,0.0397,0.04,335090.0
2020-03-12,0.039,0.05,0.035,0.035,238400.0
2020-03-11,0.0399,0.0399,0.0262,0.03,22200.0
2020-03-10,0.0398,0.0398,0.029,0.03,259141.0
2020-03-09,0.0398,0.0398,0.0396,0.0396,233.0
2020-03-06,0.03,0.0398,0.025,0.0398,270009.0
2020-03-05,0.03,0.03,0.0253,0.0253,84097.0
2020-03-04,0.0305,0.04,0.03,0.03,31000.0
2020-03-03,0.03,0.03,0.03,0.03,22003.0
2020-03-02,0.0261,0.033,0.0261,0.033,330.0
2020-02-28,0.03,0.03,0.025,0.025,6108.0
2020-02-27,0.04,0.04,0.0325,0.0325,102000.0
2020-02-26,0.032,0.0399,0.03,0.03,129854.0
2020-02-25,0.03,0.035,0.03,0.035,21000.0
2020-02-24,0.04,0.04,0.03,0.03,41024.0
2020-02-21,0.04,0.0599,0.0312,0.036,153567.0
2020-02-20,0.05,0.05,0.04,0.05,69961.0
2020-02-19,0.07,0.07,0.05,0.0525,255228.0
2020-02-18,0.074,0.09,0.07,0.08,405112.0
2020-02-14,0.0498,0.05,0.0498,0.05,100174.0
2020-02-13,0.06,0.07,0.06,0.07,66600.0
2020-02-12,0.0899,0.0899,0.0899,0.0899,100.0
2020-02-10,0.0899,0.0899,0.0899,0.0899,100.0
2020-02-07,0.0501,0.0899,0.05,0.0899,83683.0
2020-01-17,0.06,0.06,0.06,0.06,4000.0
2020-01-16,0.07,0.07,0.07,0.07,100.0
2020-01-15,0.07,0.08,0.07,0.08,3700.0
2020-01-14,0.09,0.09,0.09,0.09,50000.0
2020-01-10,0.0501,0.0501,0.05,0.0501,42900.0
2020-01-09,0.07,0.07,0.07,0.07,205056.0
2020-01-07,0.07,0.07,0.07,0.07,100.0
2019-12-31,0.0651,0.08,0.05,0.06,245016.0
2019-12-30,0.05,0.0501,0.05,0.0501,400.0
2019-12-27,0.0501,0.08,0.0439,0.05,22200.0
2019-12-23,0.05,0.05,0.05,0.05,6.0
2019-12-20,0.0501,0.0501,0.05,0.05,3700.0
2019-12-19,0.06,0.06,0.06,0.06,50.0
2019-12-17,0.06,0.06,0.06,0.06,1000.0
2019-12-16,0.09,0.09,0.09,0.09,100.0
2019-12-13,0.07,0.07,0.07,0.07,453.0
2019-12-12,0.08,0.08,0.07,0.07,300.0
2019-12-11,0.08,0.08,0.08,0.08,70.0
2019-12-10,0.07,0.08,0.06,0.08,15800.0
2019-12-09,0.07,0.08,0.06,0.08,23700.0
2019-12-06,0.07,0.07,0.07,0.07,2488.0
2019-12-05,0.07,0.08,0.07,0.07,19588.0
2019-12-04,0.07,0.07,0.0697,0.0697,2200.0
2019-12-03,0.06,0.07,0.05,0.07,50729.0
2019-12-02,0.07,0.07,0.07,0.07,21500.0
2019-11-29,0.06,0.08,0.06,0.07,120431.0
2019-11-27,0.06,0.06,0.06,0.06,15200.0
2019-11-26,0.06,0.06,0.06,0.06,5000.0
2019-11-22,0.0677,0.0677,0.0601,0.0601,13500.0
2019-11-21,0.07,0.08,0.06,0.065,35903.0
2019-11-20,0.07,0.07,0.07,0.07,100.0
2019-11-19,0.07,0.07,0.067,0.067,5100.0
2019-11-18,0.06,0.06,0.06,0.06,10099.0
2019-11-15,0.07,0.07,0.06,0.06,57132.0
2019-11-14,0.07,0.07,0.03,0.06,111500.0
2019-11-11,0.069,0.0775,0.0622,0.07,51020.0
2019-11-05,0.089,0.089,0.07,0.08,2600.0
2019-11-01,0.08,0.08,0.08,0.08,5000.0
2019-10-31,0.08,0.0801,0.0701,0.08,171300.0
2019-10-30,0.08,0.0801,0.0779,0.0779,133200.0
2019-10-21,0.0801,0.0801,0.08,0.08,2700.0
2019-10-18,0.09,0.09,0.09,0.09,700.0
2019-10-17,0.09,0.09,0.08,0.08,15800.0
2019-10-11,0.075,0.09,0.05,0.08,14200.0
2019-10-10,0.0701,0.0701,0.07,0.07,25300.0
2019-10-07,0.0801,0.0801,0.08,0.08,25500.0
2019-10-03,0.08,0.089,0.0665,0.089,4800.0
2019-10-02,0.09,0.09,0.09,0.09,100.0
2019-10-01,0.09,0.09,0.09,0.09,100.0
2019-09-30,0.09,0.09,0.09,0.09,1000.0
2019-09-27,0.08,0.09,0.08,0.09,45265.0
2019-09-26,0.09,0.09,0.09,0.09,100.0
2019-09-25,0.09,0.09,0.09,0.09,200.0
2019-09-24,0.09,0.09,0.09,0.09,300.0
2019-09-20,0.09,0.09,0.09,0.09,200.0
2019-09-19,0.1,0.1,0.1,0.1,200.0
2019-09-18,0.1,0.1,0.099,0.099,1180.0
2019-09-17,0.1,0.1,0.1,0.1,200.0
2019-09-16,0.1,0.1,0.1,0.1,200.0
2019-09-13,0.1,0.1,0.1,0.1,100.0
2019-09-12,0.1,0.1,0.0999,0.0999,10100.0
2019-09-11,0.1,0.1,0.09,0.09,14800.0
2019-09-10,0.1,0.11,0.08,0.08,44471.0
2019-09-09,0.117,0.12,0.1,0.1,202300.0
2019-09-06,0.077,0.09,0.077,0.09,2520.0
2019-09-03,0.1,0.1,0.085,0.085,1500.0
2019-08-30,0.0725,0.11,0.0725,0.11,99900.0
2019-08-29,0.075,0.075,0.07,0.0745,77733.0
2019-08-28,0.1001,0.1001,0.07,0.0765,37223.0
2019-08-23,0.077,0.077,0.077,0.077,1000.0
2019-08-22,0.075,0.075,0.075,0.075,1000.0
2019-08-21,0.08,0.08,0.08,0.08,5000.0
2019-08-20,0.07,0.084,0.07,0.084,512750.0
2019-08-14,0.08,0.08,0.08,0.08,300.0
2019-08-13,0.08,0.08,0.06,0.07,2300.0
2019-08-12,0.08,0.08,0.07,0.0732,1600.0
2019-08-09,0.08,0.08,0.06,0.08,1500.0
2019-08-07,0.09,0.09,0.09,0.09,200.0
2019-08-06,0.1,0.1,0.1,0.1,200.0
2019-08-05,0.09,0.09,0.09,0.09,1000.0
2019-08-01,0.09,0.09,0.09,0.09,600.0
2019-07-31,0.09,0.09,0.0899,0.09,43000.0
