date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,10.1,10.1,10.1,10.1,1000.0
2020-04-08,10.01,10.25,9.87,10.22,20800.0
2020-04-07,10.11,10.2,10.0,10.2,10935.0
2020-04-06,10.08,10.08,10.08,10.08,1000.0
2020-04-03,10.0,10.05,10.0,10.05,3110.0
2020-04-02,10.1,10.1,10.1,10.1,41.0
2020-03-31,10.1,10.1497,10.0,10.1,29117.0
2020-03-30,9.95,10.2,9.95,10.02,200600.0
2020-03-27,10.05,10.1,9.95,10.1,302500.0
2020-03-26,10.0,10.05,9.9,10.0,107700.0
2020-03-25,10.0,10.0,10.0,10.0,100000.0
2020-03-24,9.7083,10.13,9.66,10.0,6400.0
2020-03-23,9.85,10.0,9.85,10.0,300.0
2020-03-20,9.5,10.0,9.4,9.99,5400.0
2020-03-19,9.8,10.49,9.8,10.34,6047.0
2020-03-18,10.5,10.6,10.5,10.5,6390.0
2020-03-17,10.4,10.6,9.7,10.6,11535.0
2020-03-16,10.01,10.7,10.0,10.6,102250.0
2020-03-13,10.3,10.34,10.05,10.34,682886.0
2020-03-12,10.369,10.4,10.32,10.34,2500.0
2020-03-11,10.36,10.455,10.36,10.455,10165.0
2020-03-10,10.37,10.37,10.37,10.37,387906.0
2020-03-09,10.48,10.5,10.32,10.33,249006.0
2020-03-06,10.5,10.5,10.4759,10.49,4600.0
2020-03-05,10.52,10.54,10.41,10.48,28102.0
2020-03-04,10.5,10.55,10.4,10.45,161800.0
2020-03-03,10.52,10.52,10.52,10.52,1596.0
2020-03-02,10.48,10.54,10.4,10.47,14200.0
2020-02-27,10.53,10.55,10.53,10.55,1000.0
2020-02-26,10.44,10.45,10.39,10.39,41900.0
2020-02-25,10.54,10.54,10.45,10.45,201600.0
2020-02-24,10.45,10.45,10.45,10.45,44.0
2020-02-21,10.43,10.45,10.42,10.45,2400.0
2020-02-20,10.48,10.48,10.4,10.45,11100.0
2020-02-19,10.5658,10.5658,10.45,10.45,4701.0
2020-02-14,10.501,10.501,10.501,10.501,8200.0
2020-02-11,10.5,10.501,10.48,10.501,6599.0
2020-01-31,10.48,10.48,10.48,10.48,1855.0
2020-01-30,10.5,10.5,10.48,10.48,9699.0
2020-01-29,10.49,10.49,10.49,10.49,28000.0
2020-01-28,10.49,10.49,10.49,10.49,1.0
2020-01-27,10.55,10.55,10.49,10.49,12452.0
2020-01-24,10.5,10.5,10.5,10.5,5.0
2020-01-23,10.5,10.5,10.5,10.5,5901.0
2020-01-17,10.45,10.4743,10.45,10.45,3000.0
2020-01-16,10.42,10.42,10.42,10.42,1.0
2020-01-15,10.45,10.45,10.3489,10.42,53666.0
2020-01-14,10.4,10.4,10.38,10.4,233901.0
2020-01-13,10.38,10.38,10.38,10.38,20100.0
2020-01-10,10.38,10.38,10.34,10.34,324076.0
2020-01-09,10.35,10.39,10.35,10.355,11600.0
2020-01-08,10.325,10.35,10.325,10.35,11000.0
2020-01-06,10.35,10.4,10.35,10.36,47413.0
2020-01-02,10.33,10.33,10.33,10.33,250000.0
2019-12-18,10.2851,10.45,10.2851,10.37,1467.0
2019-12-17,10.3,10.45,10.3,10.35,6015.0
2019-12-13,10.3473,10.35,10.33,10.35,82610.0
2019-12-12,10.33,10.33,10.33,10.33,100.0
2019-12-11,10.34,10.3402,10.34,10.3402,300.0
2019-12-10,10.3,10.35,10.3,10.35,5400.0
2019-12-09,10.33,10.4,10.3,10.35,15578.0
2019-12-06,10.33,10.3303,10.33,10.3303,500.0
2019-12-05,10.3,10.33,10.3,10.33,102200.0
2019-12-03,10.32,10.35,10.32,10.35,8700.0
2019-12-02,10.33,10.3301,10.33,10.3301,200.0
2019-11-29,10.34,10.35,10.33,10.33,16100.0
2019-11-27,10.35,10.35,10.2301,10.3002,600.0
2019-11-26,10.3201,10.36,10.32,10.36,900.0
2019-11-25,10.35,10.3501,10.35,10.3501,400.0
2019-11-22,10.3501,10.3502,10.35,10.35,300.0
2019-11-21,10.38,10.38,10.38,10.38,200.0
2019-11-20,10.16,10.4,10.15,10.4,8905.0
2019-11-19,10.3266,10.3266,10.3266,10.3266,100.0
2019-11-18,10.2359,10.32,10.2359,10.32,6750.0
2019-11-15,10.26,10.3064,10.215,10.3064,5729.0
2019-11-13,10.27,10.27,10.27,10.27,4.0
2019-11-08,10.27,10.27,10.27,10.27,200.0
2019-11-07,10.28,10.28,10.2,10.28,87275.0
2019-11-06,10.13,10.23,10.13,10.2,31700.0
2019-11-05,10.2,10.25,10.18,10.2,407311.0
2019-11-04,10.2,10.2,10.2,10.2,3.0
2019-11-01,10.25,10.25,10.1434,10.2,2175.0
2019-10-31,10.09,10.25,10.09,10.19,6092.0
2019-10-28,10.2027,10.25,10.2,10.2,3220.0
2019-10-24,10.19,10.2,10.19,10.2,1300.0
2019-10-22,10.2,10.2,10.2,10.2,32.0
2019-10-21,10.2,10.2,10.2,10.2,1732.0
2019-10-18,10.2,10.21,10.15,10.2,114201.0
2019-10-17,10.21,10.21,10.21,10.21,10200.0
2019-10-16,10.21,10.25,10.19,10.24,9111.0
2019-10-15,10.22,10.22,10.22,10.22,300.0
2019-10-14,10.19,10.19,10.19,10.19,400.0
2019-10-11,10.18,10.2,10.15,10.2,31716.0
2019-10-10,10.22,10.22,10.2,10.2,1100.0
2019-10-09,10.18,10.18,10.18,10.18,200005.0
2019-10-08,10.18,10.18,10.18,10.18,180020.0
2019-10-07,10.18,10.18,10.15,10.15,1401.0
2019-10-04,10.15,10.18,10.13,10.15,451498.0
2019-10-03,10.15,10.18,10.14,10.15,126444.0
2019-10-02,10.12,10.18,10.12,10.18,24103.0
2019-10-01,10.2,10.25,10.15,10.19,140313.0
2019-09-30,10.15,11.09,10.15,11.09,238212.0
2019-09-26,10.15,10.15,10.15,10.15,88.0
2019-09-24,10.1,10.16,10.1,10.15,588725.0
2019-09-20,10.13,10.15,10.13,10.15,1200.0
2019-09-19,10.1323,10.17,10.1323,10.17,1500.0
2019-09-18,10.0865,10.16,10.0865,10.16,9384.0
2019-09-17,10.0952,10.15,10.0935,10.15,16200.0
2019-09-13,10.096,10.14,10.096,10.14,75488.0
2019-09-12,10.14,10.14,10.0919,10.13,25400.0
2019-09-11,10.13,10.15,10.1,10.15,161300.0
2019-09-09,10.0704,10.15,10.07,10.15,10400.0
2019-09-06,10.12,10.15,10.12,10.15,6100.0
2019-09-04,10.13,10.15,10.12,10.15,7500.0
2019-09-03,10.13,10.15,10.12,10.15,42029.0
2019-08-30,10.1,10.19,10.1,10.18,6900.0
2019-08-29,10.08,10.11,10.08,10.1,57015.0
2019-08-28,10.11,10.11,10.11,10.11,200.0
2019-08-27,10.0701,10.15,10.0701,10.12,13300.0
2019-08-26,10.1361,10.1361,10.13,10.13,300.0
2019-08-23,10.13,10.15,10.12,10.14,4700.0
2019-08-22,10.12,10.12,10.07,10.1,28100.0
2019-08-21,10.0801,10.0801,10.08,10.08,50700.0
2019-08-20,10.0484,10.1,10.0484,10.1,1243.0
2019-08-19,10.07,10.1,10.07,10.1,10100.0
2019-08-16,10.07,10.1,10.07,10.085,129006.0
2019-08-15,10.07,10.1,10.07,10.07,36800.0
2019-08-14,10.05,10.07,10.05,10.07,10100.0
2019-08-13,10.07,10.07,10.07,10.07,2500.0
2019-08-12,10.05,10.07,10.04,10.04,34700.0
2019-08-09,10.03,10.07,10.03,10.07,325043.0
2019-08-08,10.06,10.09,10.03,10.08,59289.0
2019-08-07,10.04,10.041,10.04,10.041,2200.0
2019-08-06,10.05,10.05,10.0301,10.05,38347.0
2019-08-02,10.05,10.06,10.04,10.06,7000.0
2019-08-01,10.06,10.06,10.06,10.06,2500.0
2019-07-31,10.03,10.05,10.01,10.04,83005.0
2019-07-30,10.05,10.06,10.01,10.06,34904.0
2019-07-29,10.03,10.03,10.02,10.03,85500.0
2019-07-26,10.05,10.05,10.03,10.03,3000.0
2019-07-25,10.03,10.03,10.02,10.02,47306.0
2019-07-24,10.0585,10.0585,10.04,10.04,31744.0
2019-07-23,10.042,10.06,10.042,10.06,10005.0
2019-07-22,10.06,10.06,10.06,10.06,40000.0
2019-07-19,10.05,10.07,10.05,10.06,15100.0
2019-07-18,10.05,10.08,10.03,10.08,28900.0
2019-07-17,10.06,10.06,10.06,10.06,6492.0
2019-07-16,10.03,10.07,10.03,10.06,155000.0
2019-07-15,10.06,10.08,10.05,10.08,56000.0
2019-07-12,10.05,10.05,10.0,10.047,30450.0
2019-07-11,10.05,10.05,10.045,10.045,58929.0
2019-07-10,10.08,10.08,10.03,10.03,2889.0
2019-07-08,10.05,10.05,10.05,10.05,1800.0
2019-07-05,10.05,10.05,10.05,10.05,1100.0
2019-07-03,10.05,10.06,10.05,10.05,105100.0
2019-07-02,10.052,10.052,10.05,10.05,2900.0
2019-07-01,10.05,10.05,10.01,10.0357,18179.0
2019-06-28,10.05,10.05,10.04,10.05,148900.0
2019-06-27,10.0276,10.04,10.0276,10.03,173669.0
2019-06-26,10.016,10.03,10.016,10.03,7400.0
2019-06-24,10.04,10.04,10.01,10.04,12200.0
2019-06-21,10.04,10.04,10.04,10.04,10479.0
2019-06-20,10.04,10.04,10.02,10.04,161404.0
2019-06-19,10.05,10.05,10.05,10.05,2100.0
2019-06-18,10.03,10.05,10.03,10.05,152500.0
2019-06-17,10.0171,10.0327,10.0171,10.02,106750.0
2019-06-14,10.0,10.05,10.0,10.03,258041.0
2019-06-13,10.02,10.03,10.0,10.01,556300.0
2019-06-12,10.02,10.02,10.02,10.02,77000.0
2019-06-11,10.02,10.04,10.0,10.04,303971.0
2019-06-10,10.03,10.03,10.03,10.03,32010.0
2019-06-07,10.01,10.01,10.0,10.01,12865.0
2019-06-06,10.03,10.03,10.0,10.02,35435.0
2019-06-04,10.05,10.05,10.03,10.03,16000.0
2019-06-03,10.03,10.05,10.02,10.04,25750.0
2019-05-31,10.03,10.03,10.01,10.02,59726.0
2019-05-30,10.01,10.04,10.01,10.03,150101.0
2019-05-29,10.0302,10.04,10.01,10.04,106800.0
2019-05-28,10.0475,10.05,10.03,10.03,232544.0
2019-05-24,10.05,10.0535,10.05,10.05,156063.0
2019-05-23,10.07,10.07,10.0435,10.07,232690.0
2019-05-22,10.07,10.07,10.05,10.06,228085.0
2019-05-21,10.07,10.08,10.03,10.06,3537607.0
