date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,25.22,25.22,24.72,24.9,9290.0
2020-04-23,24.95,24.95,24.7,24.71,2616.0
2020-04-22,24.53,24.77,24.53,24.65,9431.0
2020-04-21,24.75,24.8177,24.47,24.7,3726.0
2020-04-20,24.75,24.97,24.75,24.97,3175.0
2020-04-17,24.875,25.01,24.58,25.01,8537.0
2020-04-16,24.1169,24.58,23.95,24.2,25461.0
2020-04-15,24.18,24.4,23.8723,24.37,13450.0
2020-04-14,24.25,24.5,24.0763,24.25,14418.0
2020-04-13,24.0748,24.0748,23.61,24.05,9873.0
2020-04-09,24.34,24.74,23.5578,24.25,12324.0
2020-04-08,23.25,23.94,22.9309,23.59,8900.0
2020-04-07,23.29,23.33,22.75,23.1865,8840.0
2020-04-06,21.25,22.84,21.25,22.82,11105.0
2020-04-03,21.11,21.46,20.81,21.46,14775.0
2020-04-02,21.8,21.8,20.8536,21.5,19042.0
2020-04-01,23.5,23.5,21.13,21.62,22127.0
2020-03-31,23.9,24.28,23.76,23.85,12601.0
2020-03-30,23.74,24.33,23.25,24.33,10979.0
2020-03-27,23.39,24.05,21.9617,24.05,5556.0
2020-03-26,22.46,23.44,22.46,23.39,20830.0
2020-03-25,20.73,22.946,19.5,21.44,16108.0
2020-03-24,19.13,20.5654,19.01,19.86,17144.0
2020-03-23,18.9605,19.5565,17.02,18.21,16647.0
2020-03-20,19.5599,22.15,19.2488,20.52,33333.0
2020-03-19,18.19,19.1052,16.0,18.2343,37839.0
2020-03-18,22.24,22.2845,14.1,18.6159,30966.0
2020-03-17,22.8,23.1004,22.52,22.52,11166.0
2020-03-16,23.85,24.1622,22.5,22.5,17733.0
2020-03-13,24.455,25.0,23.4002,24.4,19736.0
2020-03-12,25.0,25.0,22.68,24.15,36973.0
2020-03-11,25.2658,25.378,25.17,25.17,3524.0
2020-03-10,25.34,25.7,25.25,25.7,6436.0
2020-03-09,25.58,25.65,24.77,25.54,11910.0
2020-03-06,25.94,26.02,25.77,25.8,3600.0
2020-03-05,26.2485,26.2485,26.2485,26.2485,359.0
2020-03-04,25.96,26.25,25.96,26.2485,2127.0
2020-03-03,25.91,25.94,25.91,25.94,660.0
2020-03-02,25.575,25.82,25.575,25.81,6399.0
2020-02-28,25.605,25.605,25.31,25.55,6435.0
2020-02-27,25.58,25.69,25.53,25.54,4380.0
2020-02-26,25.905,25.9125,25.5,25.6,7165.0
2020-02-25,26.242,26.242,25.86,25.9104,6851.0
2020-02-24,26.04,26.2083,26.04,26.12,2032.0
2020-02-21,26.21,26.21,26.21,26.21,1821.0
2020-02-20,26.2,26.388,26.19,26.388,1878.0
2020-02-19,26.2726,26.2726,26.2726,26.2726,508.0
2020-02-18,26.36,26.3854,26.36,26.363,1062.0
2020-02-14,26.3683,26.3683,26.3683,26.3683,597.0
2020-02-13,26.43,26.43,26.34,26.34,3042.0
2020-02-12,26.45,26.46,26.34,26.34,1539.0
2020-02-11,26.4,26.4,26.4,26.4,953.0
2020-02-10,26.47,26.47,26.45,26.45,769.0
2020-02-07,26.45,26.4721,26.45,26.47,2641.0
2020-02-06,26.45,26.45,26.44,26.44,778.0
2020-02-05,26.44,26.44,26.38,26.385,1154.0
2020-02-04,26.406,26.44,26.406,26.44,1783.0
2020-02-03,26.4,26.4,26.4,26.4,845.0
2020-01-31,26.3,26.44,26.27,26.44,5280.0
2020-01-30,26.38,26.38,26.26,26.38,3973.0
2020-01-29,26.26,26.33,26.26,26.26,3923.0
2020-01-28,26.44,26.44,26.2491,26.4013,1522.0
2020-01-27,26.43,26.43,26.2087,26.3063,1770.0
2020-01-24,26.44,26.44,26.4,26.4,2395.0
2020-01-23,26.44,26.44,26.2691,26.4,11494.0
