date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,5.2,5.24,4.75,4.969,26576.0
2020-03-30,5.47,5.47,5.1,5.23,29343.0
2020-03-27,5.41,5.533,5.0001,5.31,22748.0
2020-03-26,4.92,5.71,4.92,5.46,13087.0
2020-03-25,4.12,4.76,4.1,4.73,26253.0
2020-03-24,4.77,4.78,4.0,4.1616,12859.0
2020-03-23,4.25,4.33,3.74,4.14,23102.0
2020-03-20,4.37,5.19,4.1025,4.35,23774.0
2020-03-19,3.0,4.99,3.0,4.3687,50132.0
2020-03-18,4.16,4.74,2.66,2.72,53514.0
2020-03-17,4.29,4.66,4.21,4.3,22407.0
2020-03-16,4.5,4.78,4.25,4.5265,20506.0
2020-03-13,5.85,5.85,4.71,4.72,20094.0
2020-03-12,5.99,5.99,4.56,4.8255,23766.0
2020-03-11,6.0,6.6709,5.5195,5.5195,21593.0
2020-03-10,6.04,6.261,5.8411,6.0,16229.0
2020-03-09,6.45,6.45,5.27,5.8102,35610.0
2020-03-06,7.3,7.3,6.58,6.61,54644.0
2020-03-05,7.75,7.75,7.24,7.31,22531.0
2020-03-04,7.95,8.035,7.4788,7.69,23043.0
2020-03-03,8.02,8.24,7.5,7.83,10294.0
2020-03-02,7.85,8.4003,7.5765,7.94,21843.0
2020-02-28,8.35,8.35,7.87,7.92,127668.0
2020-02-27,8.49,8.5999,8.35,8.37,40819.0
2020-02-26,8.65,8.6839,8.495,8.5646,25902.0
2020-02-25,8.78,8.8,8.53,8.5301,16862.0
2020-02-24,8.81,8.87,8.7601,8.785,18663.0
2020-02-21,8.87,8.91,8.81,8.8553,9710.0
2020-02-20,8.8,8.8983,8.8,8.865,13937.0
2020-02-19,8.95,8.96,8.881,8.9216,50703.0
2020-02-18,8.86,8.941,8.85,8.8742,24937.0
2020-02-14,8.84,8.92,8.84,8.895,13277.0
2020-02-13,8.89,8.89,8.85,8.87,3741.0
2020-02-12,8.89,8.89,8.83,8.8799,17280.0
2020-02-11,8.85,8.9,8.83,8.84,39796.0
2020-02-10,8.9176,8.9181,8.85,8.8893,6639.0
2020-02-07,8.9,8.92,8.87,8.895,8016.0
2020-02-06,8.925,8.925,8.86,8.91,20061.0
2020-02-05,8.88,8.93,8.86,8.9,23181.0
2020-02-04,8.81,8.89,8.81,8.8771,8504.0
2020-02-03,8.88,8.89,8.81,8.89,17521.0
2020-01-31,8.86,8.89,8.8504,8.89,7998.0
2020-01-30,8.88,8.89,8.845,8.87,13546.0
2020-01-29,8.82,8.89,8.81,8.88,17011.0
2020-01-28,8.82,8.92,8.81,8.81,3766.0
2020-01-27,8.8399,8.8785,8.81,8.8436,18090.0
2020-01-24,8.94,8.94,8.81,8.85,14087.0
2020-01-23,8.88,8.95,8.88,8.93,9263.0
2020-01-22,9.08,9.08,8.97,9.02,33226.0
2020-01-21,8.99,9.04,8.95,9.04,27006.0
2020-01-17,8.93,8.977,8.9,8.9557,11383.0
2020-01-16,8.96,8.99,8.86,8.9,34309.0
2020-01-15,8.96,8.99,8.93,8.97,20730.0
2020-01-14,8.93,8.9468,8.92,8.9301,34159.0
2020-01-13,8.99,8.99,8.93,8.945,15904.0
2020-01-10,8.99,8.99,8.93,8.98,15361.0
2020-01-09,8.93,8.99,8.93,8.963,5708.0
2020-01-08,8.821,8.935,8.815,8.9217,11298.0
2020-01-07,8.8,8.85,8.79,8.8302,8830.0
2020-01-06,8.85,8.85,8.8,8.83,21918.0
2020-01-03,8.76,8.87,8.76,8.85,11494.0
2020-01-02,8.74,8.8,8.74,8.7601,18641.0
2019-12-31,8.69,8.7893,8.68,8.77,37401.0
2019-12-30,8.68,8.75,8.68,8.7,32097.0
2019-12-27,8.7,8.75,8.68,8.69,31619.0
2019-12-26,8.75,8.75,8.69,8.6999,47654.0
2019-12-24,8.72,8.84,8.71,8.805,7284.0
2019-12-23,8.9,8.9,8.71,8.745,21825.0
2019-12-20,8.76,8.9176,8.76,8.81,18877.0
2019-12-19,9.1,9.1155,8.68,8.8001,68397.0
2019-12-18,9.19,9.19,9.1012,9.18,13321.0
2019-12-17,9.16,9.16,9.0609,9.1046,5766.0
2019-12-16,9.09,9.2,9.05,9.0866,16563.0
2019-12-13,9.19,9.2,9.0,9.02,24709.0
2019-12-12,9.0601,9.144,9.0601,9.144,1314.0
2019-12-11,9.1779,9.1779,9.02,9.05,7965.0
2019-12-10,9.11,9.22,9.09,9.12,5373.0
2019-12-09,9.02,9.2154,9.02,9.185,9086.0
2019-12-06,9.08,9.1353,9.02,9.09,21237.0
2019-12-05,9.28,9.28,9.08,9.08,6676.0
2019-12-04,9.2,9.33,9.1577,9.2128,4749.0
2019-12-03,9.25,9.25,9.07,9.1927,14531.0
2019-12-02,9.14,9.397,9.1025,9.3,7859.0
2019-11-29,9.2369,9.2369,9.0768,9.2,9707.0
2019-11-27,9.17,9.4197,9.07,9.15,14280.0
2019-11-26,9.1,9.1999,9.065,9.09,6708.0
2019-11-25,9.04,9.4,9.02,9.05,15067.0
2019-11-22,9.03,9.2216,9.02,9.03,11811.0
2019-11-21,9.1755,9.1755,9.0201,9.066,7004.0
2019-11-20,9.43,9.43,9.1499,9.1499,13947.0
2019-11-19,9.2,9.43,9.13,9.4,20350.0
2019-11-18,9.1,9.25,9.1,9.225,17985.0
2019-11-15,9.1462,9.15,9.051,9.1,9752.0
2019-11-14,9.1,9.2079,8.9519,9.08,9280.0
2019-11-13,9.155,9.155,9.04,9.05,5809.0
2019-11-12,8.896,9.0,8.86,8.95,19178.0
2019-11-11,9.02,9.02,8.8782,8.95,5478.0
2019-11-08,9.04,9.2772,9.04,9.04,19055.0
2019-11-07,8.86,9.0028,8.86,8.91,18500.0
2019-11-06,8.9,9.13,8.84,9.06,21984.0
2019-11-05,9.01,9.02,8.85,8.86,24600.0
2019-11-04,9.26,9.26,8.77,8.8364,52528.0
2019-11-01,9.38,9.3832,9.2,9.3195,28792.0
2019-10-31,9.57,9.6193,9.38,9.41,47429.0
2019-10-30,9.75,9.7986,9.57,9.6,20758.0
2019-10-29,9.84,9.87,9.75,9.78,13761.0
2019-10-28,9.85,9.87,9.83,9.8539,15733.0
2019-10-25,9.8473,9.957,9.82,9.8679,3347.0
2019-10-24,9.98,9.98,9.83,9.9401,6531.0
2019-10-23,9.91,9.9632,9.9,9.9,13867.0
2019-10-22,9.91,9.98,9.86,9.9,6840.0
2019-10-21,9.85,9.9218,9.82,9.8593,14216.0
2019-10-18,9.85,9.896,9.8002,9.8499,13170.0
2019-10-17,9.79,9.94,9.77,9.88,12743.0
2019-10-16,9.79,9.8973,9.77,9.8973,3432.0
2019-10-15,9.95,10.059,9.95,10.059,26828.0
2019-10-14,9.9,10.0,9.9,9.9999,13095.0
2019-10-11,9.9,10.05,9.7131,9.88,10779.0
2019-10-10,9.92,9.95,9.7698,9.81,17027.0
2019-10-09,9.85,10.1,9.85,9.9959,24547.0
2019-10-08,9.83,10.0999,9.83,9.85,10843.0
2019-10-07,10.02,10.02,9.75,9.75,23168.0
2019-10-04,9.9524,9.978,9.89,9.9775,16388.0
2019-10-03,9.93,9.96,9.72,9.875,19966.0
2019-10-02,10.03,10.1795,9.9,9.96,12622.0
2019-10-01,9.96,10.0794,9.96,9.99,6963.0
2019-09-30,10.18,10.18,9.95,9.95,7710.0
2019-09-27,10.07,10.175,10.04,10.11,10196.0
2019-09-26,10.09,10.15,10.0811,10.15,6822.0
2019-09-25,10.0,10.1,9.95,10.1,4004.0
2019-09-24,10.07,10.18,9.9798,10.0,8561.0
2019-09-23,10.01,10.07,9.9336,10.0247,838.0
2019-09-20,10.03,10.1,9.9,10.05,12758.0
2019-09-19,9.9,10.085,9.9,10.02,20963.0
2019-09-18,10.0,10.06,9.9238,9.96,24748.0
2019-09-17,10.0,10.1,9.97,10.1,27574.0
2019-09-16,9.98,10.1,9.98,10.1,4651.0
2019-09-13,10.1,10.1,9.9601,10.05,6680.0
2019-09-12,9.9716,10.0444,9.9716,9.99,1740.0
2019-09-11,9.98,10.05,9.8993,9.96,13841.0
2019-09-10,9.95,10.05,9.7102,10.05,6903.0
2019-09-09,9.96,10.05,9.809,9.98,16316.0
2019-09-06,9.9,9.91,9.69,9.91,45241.0
2019-09-05,9.9,9.98,9.85,9.85,22637.0
2019-09-04,9.75,9.85,9.75,9.85,5988.0
2019-09-03,9.935,9.99,9.83,9.83,20264.0
2019-08-30,10.0366,10.08,9.79,9.9553,21940.0
2019-08-29,9.92,10.028,9.85,9.85,16911.0
2019-08-28,9.9,9.98,9.85,9.85,23461.0
2019-08-27,9.97,10.19,9.85,9.9,36326.0
2019-08-26,9.86,10.1,9.86,9.97,17851.0
2019-08-23,10.05,10.05,9.81,9.9,14248.0
2019-08-22,9.94,10.06,9.8515,9.9859,19713.0
2019-08-21,9.86,9.97,9.72,9.96,23207.0
2019-08-20,9.84,10.09,9.84,9.9324,13103.0
2019-08-19,10.05,10.1,9.85,9.88,14848.0
2019-08-16,9.92,10.01,9.92,9.95,11425.0
2019-08-15,9.94,10.0115,9.94,10.01,9645.0
2019-08-14,9.95,10.09,9.92,10.0,8806.0
2019-08-13,10.18,10.2,9.92,10.0498,16417.0
2019-08-12,9.93,10.2,9.93,10.18,15877.0
2019-08-09,10.12,10.12,9.92,9.975,14941.0
2019-08-08,10.17,10.1706,10.12,10.129,6946.0
2019-08-07,10.1,10.1751,10.05,10.1751,5352.0
2019-08-06,10.1,10.25,10.1,10.145,13613.0
2019-08-05,10.16,10.2,10.0,10.1,12398.0
2019-08-02,10.16,10.23,10.16,10.23,684.0
2019-08-01,10.2,10.25,10.1973,10.24,5173.0
2019-07-31,10.13,10.2057,10.13,10.2,4929.0
2019-07-30,10.2,10.25,10.17,10.1964,10336.0
2019-07-29,10.25,10.265,10.21,10.22,10208.0
2019-07-26,10.17,10.266,10.17,10.26,3526.0
2019-07-25,10.3,10.35,10.2,10.2,6614.0
2019-07-24,10.2,10.2425,10.2,10.2425,6482.0
2019-07-23,10.33,10.33,10.21,10.2328,15902.0
2019-07-22,10.17,10.3399,10.16,10.275,10563.0
2019-07-19,10.2,10.2,10.15,10.1689,15183.0
2019-07-18,10.35,10.35,10.26,10.26,11571.0
2019-07-17,10.27,10.3945,10.27,10.37,9485.0
2019-07-16,10.45,10.455,10.32,10.38,24749.0
2019-07-15,10.32,10.4782,10.32,10.38,24446.0
2019-07-12,10.35,10.49,10.335,10.35,10690.0
2019-07-11,10.27,10.385,10.27,10.3,25641.0
2019-07-10,10.3,10.5,10.3,10.36,9902.0
2019-07-09,10.38,10.4235,10.27,10.3,17773.0
2019-07-08,10.47,10.49,10.31,10.31,8732.0
2019-07-05,10.5,10.5,10.445,10.4734,12730.0
2019-07-03,10.54,10.56,10.54,10.55,3348.0
2019-07-02,10.47,10.539,10.4,10.5227,3390.0
2019-07-01,10.51,10.5599,10.434,10.504,6546.0
