date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,6.65,6.98,6.6,6.88,199029.0
2020-04-23,6.56,7.0,6.38,6.64,321589.0
2020-04-22,6.37,6.69,6.21,6.58,187038.0
2020-04-21,6.16,6.38,6.0,6.26,178667.0
2020-04-20,6.42,6.6,6.1,6.31,251723.0
2020-04-17,6.51,6.81,6.3,6.31,190797.0
2020-04-16,6.84,6.86,6.11,6.29,246121.0
2020-04-15,7.15,7.4696,6.36,6.84,226845.0
2020-04-14,6.61,7.16,6.26,7.09,319036.0
2020-04-13,5.86,6.38,5.5,6.36,264979.0
2020-04-09,5.33,6.0,5.15,5.79,293435.0
2020-04-08,5.7,5.7,5.04,5.36,333199.0
2020-04-07,6.0,6.1827,5.31,5.47,348774.0
2020-04-06,6.39,6.5,5.85,5.9,189694.0
2020-04-03,6.68,6.88,6.05,6.07,187392.0
2020-04-02,7.09,7.2999,6.5,6.73,175209.0
2020-04-01,7.77,8.2059,7.0,7.09,356152.0
2020-03-31,8.3,8.44,7.63,8.39,252426.0
2020-03-30,8.02,8.79,8.02,8.3,141047.0
2020-03-27,8.99,9.0,8.0,8.0,198660.0
2020-03-26,9.01,9.6,8.775,9.16,209207.0
2020-03-25,9.11,9.6,8.51,9.04,253778.0
2020-03-24,10.17,10.56,9.09,9.66,236384.0
2020-03-23,11.13,11.49,9.72,9.8,405265.0
2020-03-20,11.16,15.39,10.64,12.32,1860652.0
2020-03-19,8.84,12.0,8.59,11.3,243496.0
2020-03-18,9.09,9.83,8.42,8.68,88108.0
2020-03-17,8.01,10.0,8.01,9.3,169756.0
2020-03-16,9.68,9.69,7.5,7.82,144884.0
2020-03-13,10.61,11.18,9.57,10.9,189692.0
2020-03-12,14.02,14.5622,10.27,10.44,153289.0
2020-03-11,16.25,16.85,15.39,15.99,63152.0
2020-03-10,18.89,19.49,16.166,16.5,176215.0
2020-03-09,18.12,19.14,17.38,18.72,53813.0
2020-03-06,18.34,19.3,18.146,18.75,72198.0
2020-03-05,17.68,18.9,17.38,18.76,91874.0
2020-03-04,18.43,18.99,17.76,18.0,75287.0
2020-03-03,19.08,19.9,17.83,18.12,133062.0
2020-03-02,18.2,19.76,16.82,19.18,104791.0
2020-02-28,19.52,19.975,16.94,17.91,97731.0
2020-02-27,19.22,20.245,18.85,19.51,83201.0
2020-02-26,18.3,20.6393,18.0373,19.57,57430.0
2020-02-25,18.5961,18.71,17.07,17.96,12803.0
2020-02-24,18.39,19.24,18.13,18.22,25998.0
2020-02-21,18.95,19.6,18.64,18.88,25462.0
2020-02-20,19.17,19.5,18.64,18.89,14647.0
2020-02-19,19.24,19.465,18.58,19.1,21959.0
