date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.133,0.1331,0.133,0.1331,200.0
2020-04-08,0.17,0.17,0.17,0.17,0.0
2020-04-07,0.17,0.17,0.17,0.17,0.0
2020-04-06,0.17,0.17,0.17,0.17,200.0
2020-04-03,0.19,0.19,0.19,0.19,0.0
2020-04-02,0.19,0.19,0.19,0.19,4040.0
2020-04-01,0.25,0.25,0.2,0.2,2208.0
2020-03-31,0.17,0.17,0.17,0.17,100.0
2020-03-30,0.17,0.17,0.17,0.17,4.0
2020-03-27,0.091,0.17,0.091,0.17,5076.0
2020-03-26,0.18,0.18,0.07,0.07,4925.0
2020-03-25,0.1751,0.235,0.1751,0.235,1650.0
2020-03-24,0.25,0.25,0.25,0.25,205.0
2020-03-23,0.07,0.2215,0.07,0.22,2495.0
2020-03-20,0.1,0.1,0.1,0.1,1000.0
2020-03-19,0.08,0.1,0.08,0.1,14990.0
2020-03-18,0.1,0.1005,0.1,0.1005,6000.0
2020-03-17,0.14,0.14,0.14,0.14,100.0
2020-03-16,0.185,0.185,0.185,0.185,0.0
2020-03-13,0.185,0.185,0.185,0.185,0.0
2020-03-12,0.185,0.185,0.185,0.185,0.0
2020-03-11,0.185,0.185,0.185,0.185,0.0
2020-03-10,0.2,0.2,0.14,0.185,6070.0
2020-03-09,0.22,0.22,0.22,0.22,0.0
2020-03-06,0.22,0.22,0.22,0.22,0.0
2020-03-05,0.22,0.22,0.22,0.22,0.0
2020-03-04,0.215,0.22,0.2129,0.2198,6094.0
2020-03-03,0.215,0.215,0.215,0.215,0.0
2020-03-02,0.215,0.215,0.215,0.215,500.0
2020-02-28,0.215,0.215,0.215,0.215,1276.0
2020-02-27,0.215,0.215,0.215,0.215,4418.0
2020-02-26,0.23,0.23,0.23,0.23,0.0
2020-02-25,0.23,0.23,0.23,0.23,2919.0
2020-02-24,0.16,0.16,0.1592,0.1592,10156.0
2020-02-21,0.231,0.26,0.1471,0.215,72219.0
2020-02-20,0.1699,0.2522,0.1698,0.251,28596.0
2020-02-19,0.185,0.185,0.18,0.18,2100.0
2020-02-18,0.185,0.185,0.185,0.185,0.0
2020-02-14,0.185,0.185,0.185,0.185,8897.0
2020-02-13,0.19,0.19,0.19,0.19,210.0
2020-02-12,0.1201,0.185,0.1201,0.185,1480.0
2020-02-11,0.185,0.185,0.185,0.185,0.0
2020-02-10,0.185,0.185,0.185,0.185,50.0
2020-02-07,0.185,0.185,0.185,0.185,834.0
