date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,8.9,9.05,8.5441,8.62,17931.0
2020-04-08,8.33,8.93,7.7573,8.89,16507.0
2020-04-07,7.8768,8.33,7.482,8.33,23456.0
2020-04-06,7.48,8.0,6.912,7.58,9587.0
2020-04-03,6.77,7.49,6.51,7.49,19943.0
2020-04-02,7.33,7.84,7.3,7.3,16935.0
2020-04-01,7.34,7.95,7.2489,7.49,12691.0
2020-03-31,7.38,8.0,7.28,7.59,18482.0
2020-03-30,8.2,8.4,7.4,7.6,22624.0
2020-03-27,8.1701,8.2996,7.75,8.2996,15649.0
2020-03-26,7.93,8.609,7.93,8.49,3859.0
2020-03-25,6.9898,7.85,6.84,7.84,25569.0
2020-03-24,7.21,7.21,6.0,6.96,39839.0
2020-03-23,6.15,7.2,5.71,6.99,13593.0
2020-03-20,6.6,7.4,6.59,7.17,12649.0
2020-03-19,6.395,6.45,5.685,6.21,70776.0
2020-03-18,7.2,7.44,6.35,6.58,22964.0
2020-03-17,7.98,8.5284,6.68,7.81,32790.0
2020-03-16,8.15,8.4899,6.915,7.47,50038.0
2020-03-13,8.8506,9.1813,8.2998,8.88,32326.0
2020-03-12,8.86,9.73,8.85,8.85,12326.0
2020-03-11,9.14,9.46,8.9,9.01,17156.0
2020-03-10,9.73,9.79,9.18,9.19,27399.0
2020-03-09,9.7,9.81,9.43,9.57,18757.0
2020-03-06,10.24,10.24,9.8339,9.9,16756.0
2020-03-05,10.24,10.5,10.0208,10.34,10295.0
2020-03-04,10.55,10.6606,10.11,10.5803,10840.0
2020-03-03,10.23,10.55,10.23,10.51,16625.0
2020-03-02,10.08,10.29,9.81,10.285,43975.0
2020-02-28,10.0,10.2415,9.8111,10.15,22102.0
2020-02-27,10.2783,10.2783,10.05,10.19,13339.0
2020-02-26,10.24,10.346,10.0948,10.28,16661.0
2020-02-25,10.36,10.42,10.05,10.09,17268.0
2020-02-24,10.6,10.6,10.36,10.425,16708.0
2020-02-21,10.84,10.8731,10.61,10.72,15015.0
2020-02-20,11.11,11.11,11.0,11.07,11249.0
2020-02-19,10.9329,11.15,10.92,11.0334,17016.0
2020-02-18,10.61,10.98,10.61,10.93,8542.0
2020-02-14,10.75,10.99,10.6262,10.6262,14907.0
2020-02-13,10.3487,10.6651,10.2571,10.6651,5967.0
2020-02-12,10.139,10.55,10.139,10.41,7740.0
2020-02-11,10.34,10.5,10.11,10.45,22899.0
2020-02-10,10.158,10.55,10.0601,10.44,26604.0
2020-02-07,10.3155,10.5,10.15,10.2014,33847.0
2020-02-06,10.2165,10.445,10.16,10.445,24549.0
2020-02-05,10.1151,10.3,10.01,10.29,20172.0
2020-02-04,10.0625,10.3,10.0,10.01,26007.0
2020-02-03,10.16,10.3,10.03,10.04,15868.0
