date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,0.31,0.3285,0.3,0.3,676519.0
2020-04-08,0.3094,0.3299,0.3,0.3067,613857.0
2020-04-07,0.3,0.32,0.283,0.32,1130270.0
2020-04-06,0.3,0.3,0.27,0.29,568129.0
2020-04-03,0.296,0.303,0.2671,0.29,832036.0
2020-04-02,0.3097,0.32,0.291,0.291,608924.0
2020-04-01,0.3175,0.33,0.291,0.3219,1228811.0
2020-03-31,0.3301,0.3498,0.305,0.325,499897.0
2020-03-30,0.3621,0.3621,0.32,0.334,901627.0
2020-03-27,0.328,0.355,0.2901,0.3419,3898549.0
2020-03-26,0.385,0.385,0.32,0.328,4105025.0
2020-03-25,0.313,0.3788,0.313,0.335,1719648.0
2020-03-24,0.3386,0.39,0.3215,0.35,849053.0
2020-03-23,0.393,0.399,0.318,0.344,483875.0
2020-03-20,0.36,0.399,0.34,0.35,589128.0
2020-03-19,0.355,0.3671,0.2999,0.346,875461.0
2020-03-18,0.385,0.3998,0.352,0.36,524300.0
2020-03-17,0.3744,0.418,0.331,0.3859,433031.0
2020-03-16,0.35,0.3899,0.32,0.37,786487.0
2020-03-13,0.354,0.4499,0.32,0.37,978207.0
2020-03-12,0.37,0.4099,0.31,0.354,514487.0
2020-03-11,0.4028,0.425,0.366,0.3942,479553.0
2020-03-10,0.39,0.43,0.38,0.3993,398408.0
2020-03-09,0.4,0.4054,0.3,0.3801,907021.0
2020-03-06,0.495,0.495,0.432,0.445,815877.0
2020-03-05,0.58,0.58,0.4701,0.495,680670.0
2020-03-04,0.504,0.5399,0.467,0.52,1372728.0
2020-03-03,0.501,0.53,0.4618,0.5,1709032.0
2020-03-02,0.6,0.627,0.501,0.55,3712108.0
2020-02-28,0.5443,0.72,0.5001,0.58,9602970.0
2020-02-27,0.5401,0.55,0.5001,0.5465,179005.0
2020-02-26,0.6,0.6,0.5401,0.5497,351265.0
2020-02-25,0.6,0.6,0.57,0.5796,173832.0
2020-02-24,0.5902,0.61,0.5598,0.6058,180923.0
2020-02-21,0.602,0.6321,0.5921,0.6139,148069.0
2020-02-20,0.6,0.64,0.5901,0.6163,482374.0
2020-02-19,0.585,0.6,0.585,0.6,104853.0
2020-02-18,0.561,0.6,0.55,0.5956,524646.0
2020-02-14,0.578,0.578,0.5401,0.5498,391331.0
2020-02-13,0.59,0.6,0.5395,0.56,585296.0
2020-02-12,0.6085,0.6249,0.592,0.6054,398020.0
2020-02-11,0.58,0.615,0.562,0.61,665388.0
2020-02-10,0.59,0.59,0.56,0.5798,184555.0
2020-02-07,0.6,0.6,0.56,0.5656,230169.0
2020-02-06,0.597,0.6,0.56,0.58,378557.0
2020-02-05,0.6,0.61,0.5632,0.596,520423.0
2020-02-04,0.562,0.6,0.562,0.562,439302.0
2020-02-03,0.5579,0.57,0.555,0.562,168195.0
2020-01-31,0.5624,0.595,0.556,0.556,429441.0
2020-01-30,0.57,0.57,0.5616,0.562,272925.0
2020-01-29,0.575,0.575,0.562,0.565,244399.0
2020-01-28,0.6,0.605,0.5616,0.5735,291389.0
2020-01-27,0.6202,0.6202,0.55,0.5826,984637.0
2020-01-24,0.6619,0.67,0.6,0.6166,827501.0
2020-01-23,0.62,0.6649,0.5701,0.6586,3662480.0
2020-01-22,0.62,0.62,0.6,0.6091,365613.0
2020-01-21,0.66,0.66,0.6,0.62,542355.0
2020-01-17,0.68,0.69,0.6502,0.6577,276638.0
2020-01-16,0.67,0.68,0.65,0.67,372577.0
2020-01-15,0.7,0.7,0.66,0.6664,373345.0
2020-01-14,0.72,0.7298,0.6888,0.6894,294322.0
2020-01-13,0.8,0.8,0.7111,0.73,280257.0
2020-01-10,0.72,0.795,0.7001,0.795,672391.0
2020-01-09,0.7107,0.72,0.68,0.7071,309735.0
2020-01-08,0.73,0.75,0.7,0.72,231721.0
2020-01-07,0.785,0.79,0.71,0.7534,375775.0
2020-01-06,0.85,0.85,0.7504,0.77,320547.0
2020-01-03,0.7562,0.87,0.7562,0.825,580641.0
2020-01-02,0.679,0.7697,0.679,0.7562,267543.0
2019-12-31,0.68,0.73,0.6735,0.7019,341149.0
2019-12-30,0.705,0.71,0.6604,0.67,426216.0
2019-12-27,0.7,0.75,0.6601,0.699,498396.0
2019-12-26,0.75,0.7623,0.6864,0.6975,952824.0
2019-12-24,0.73,0.76,0.73,0.749,170378.0
2019-12-23,0.72,0.77,0.7068,0.73,401694.0
2019-12-20,0.6501,0.7279,0.6363,0.7135,644057.0
2019-12-19,0.715,0.72,0.6311,0.64,524524.0
2019-12-18,0.72,0.7399,0.6883,0.695,277028.0
2019-12-17,0.68,0.76,0.65,0.7192,1126735.0
2019-12-16,0.7,0.7,0.65,0.68,482800.0
2019-12-13,0.65,0.7,0.62,0.69,136321.0
2019-12-12,0.6571,0.668,0.615,0.663,242285.0
2019-12-11,0.6656,0.6999,0.6285,0.65,218085.0
2019-12-10,0.6401,0.68,0.605,0.6653,421077.0
2019-12-09,0.7,0.7,0.5586,0.634,465827.0
2019-12-06,0.6351,0.66,0.61,0.62,176036.0
2019-12-05,0.6402,0.6598,0.6102,0.6204,239771.0
2019-12-04,0.6599,0.66,0.6383,0.6402,99233.0
2019-12-03,0.665,0.6698,0.6488,0.6548,107748.0
2019-12-02,0.693,0.693,0.64,0.6601,237773.0
2019-11-29,0.6566,0.6699,0.64,0.66,109351.0
2019-11-27,0.6599,0.66,0.6383,0.65,66967.0
2019-11-26,0.74,0.74,0.63,0.65,224430.0
2019-11-25,0.65,0.67,0.64,0.64,174517.0
2019-11-22,0.6617,0.719,0.645,0.65,219528.0
2019-11-21,0.6921,0.704,0.6439,0.65,667905.0
2019-11-20,0.681,0.71,0.665,0.6739,111069.0
2019-11-19,0.726,0.726,0.6701,0.6901,115825.0
2019-11-18,0.675,0.7095,0.67,0.6993,491250.0
2019-11-15,0.69,0.69,0.663,0.6744,382515.0
2019-11-14,0.7,0.715,0.672,0.6799,873013.0
2019-11-13,0.748,0.7592,0.66,0.7,760657.0
2019-11-12,0.816,0.816,0.7601,0.7805,172225.0
2019-11-11,0.83,0.85,0.7453,0.8065,203252.0
2019-11-08,0.88,0.9,0.8298,0.8298,195899.0
2019-11-07,0.93,0.93,0.852,0.8735,153820.0
2019-11-06,0.9,0.9299,0.9,0.92,163700.0
2019-11-05,0.93,0.9399,0.92,0.92,69065.0
2019-11-04,0.9,0.94,0.89,0.93,195230.0
2019-11-01,0.97,0.98,0.85,0.9599,317364.0
2019-10-31,0.97,0.99,0.95,0.9512,209888.0
2019-10-30,0.95,0.96,0.9068,0.9486,225185.0
2019-10-29,0.8837,0.9401,0.8262,0.93,236882.0
2019-10-28,0.92,0.9298,0.87,0.872,157316.0
2019-10-25,0.86,0.89,0.779,0.89,187964.0
2019-10-24,0.8032,0.88,0.802,0.8454,272990.0
2019-10-23,0.784,0.84,0.7679,0.8001,256855.0
2019-10-22,0.75,0.797,0.73,0.78,249690.0
2019-10-21,0.731,0.78,0.7232,0.73,91592.0
2019-10-18,0.84,0.84,0.7257,0.7321,139777.0
2019-10-17,0.7736,0.8178,0.7554,0.772,180082.0
2019-10-16,0.794,0.8178,0.7702,0.78,80859.0
2019-10-15,0.835,0.85,0.77,0.79,87107.0
2019-10-14,0.8536,0.86,0.8062,0.83,85054.0
2019-10-11,0.8272,0.87,0.8115,0.855,245385.0
2019-10-10,0.8421,0.8706,0.83,0.83,89709.0
2019-10-09,0.8597,0.88,0.846,0.8515,79180.0
2019-10-08,0.869,0.8704,0.8015,0.87,179171.0
2019-10-07,0.7704,0.9,0.77,0.8704,764946.0
2019-10-04,0.74,0.78,0.7131,0.7704,1064419.0
2019-10-03,0.7118,0.7663,0.7018,0.7251,625554.0
2019-10-02,0.77,0.785,0.703,0.733,220473.0
2019-10-01,0.75,0.8,0.7021,0.7657,570839.0
2019-09-30,0.6293,0.7075,0.6293,0.6645,689557.0
2019-09-27,0.6501,0.714,0.6,0.6214,569953.0
2019-09-26,0.7314,0.76,0.6501,0.6717,310199.0
2019-09-25,0.706,0.7478,0.68,0.716,234613.0
2019-09-24,0.79,0.8188,0.69,0.705,654509.0
2019-09-23,0.72,0.88,0.72,0.7876,1150908.0
2019-09-20,0.71,0.77,0.68,0.77,2058679.0
2019-09-19,0.82,0.8242,0.7951,0.8,125629.0
2019-09-18,0.85,0.8506,0.795,0.7951,67932.0
2019-09-17,0.85,0.8773,0.82,0.83,124628.0
2019-09-16,0.794,0.8669,0.782,0.8408,208892.0
2019-09-13,0.78,0.82,0.7101,0.7836,346067.0
2019-09-12,0.8557,0.8557,0.79,0.8005,294867.0
2019-09-11,0.85,0.88,0.8259,0.8426,494914.0
2019-09-10,0.825,0.88,0.8125,0.8387,195054.0
2019-09-09,0.862,0.876,0.812,0.8299,145808.0
2019-09-06,0.86,0.9142,0.8452,0.866,199992.0
2019-09-05,0.8682,0.87,0.8337,0.8337,201071.0
2019-09-04,0.8459,0.87,0.8459,0.85,183904.0
2019-09-03,0.92,0.94,0.83,0.8468,399974.0
2019-08-30,0.95,0.95,0.89,0.93,230779.0
2019-08-29,0.9564,0.98,0.94,0.9483,238666.0
2019-08-28,0.95,0.9628,0.94,0.94,47834.0
2019-08-27,1.02,1.02,0.935,0.9474,102786.0
2019-08-26,0.9515,0.9597,0.931,0.9597,69003.0
2019-08-23,0.95,0.97,0.92,0.9517,208798.0
2019-08-22,1.02,1.04,0.925,0.93,268017.0
2019-08-21,0.97,1.0,0.9564,1.0,88015.0
2019-08-20,0.99,1.03,0.9564,0.9681,78577.0
2019-08-19,1.02,1.07,0.98,0.98,151527.0
2019-08-16,0.99,1.02,0.9302,1.0,245777.0
2019-08-15,1.05,1.05,0.93,0.9536,262824.0
2019-08-14,1.04,1.0985,1.0,1.04,187949.0
2019-08-13,1.09,1.16,1.02,1.06,259921.0
2019-08-12,1.09,1.15,1.06,1.1,110533.0
2019-08-09,1.15,1.19,1.04,1.11,556702.0
2019-08-08,1.33,1.33,1.0917,1.18,507138.0
2019-08-07,1.35,1.4,1.25,1.28,448729.0
2019-08-06,1.37,1.4,1.3,1.38,192376.0
2019-08-05,1.33,1.37,1.27,1.36,189867.0
2019-08-02,1.33,1.36,1.29,1.36,107743.0
2019-08-01,1.33,1.38,1.32,1.33,199479.0
2019-07-31,1.3668,1.39,1.31,1.33,86653.0
2019-07-30,1.37,1.4,1.35,1.36,82050.0
2019-07-29,1.37,1.42,1.35,1.37,59179.0
2019-07-26,1.35,1.42,1.34,1.39,106092.0
2019-07-25,1.32,1.37,1.32,1.36,76984.0
2019-07-24,1.39,1.3969,1.2801,1.34,340196.0
2019-07-23,1.46,1.46,1.3,1.38,513180.0
2019-07-22,1.5,1.55,1.43,1.45,210247.0
2019-07-19,1.47,1.5,1.43,1.49,199456.0
2019-07-18,1.49,1.51,1.45,1.45,165735.0
2019-07-17,1.47,1.53,1.45,1.48,290900.0
2019-07-16,1.54,1.541,1.46,1.46,210357.0
2019-07-15,1.52,1.57,1.5,1.53,155233.0
2019-07-12,1.55,1.5795,1.52,1.52,158845.0
2019-07-11,1.63,1.64,1.53,1.55,358956.0
2019-07-10,1.51,1.62,1.4948,1.58,463691.0
2019-07-09,1.52,1.56,1.486,1.5,207504.0
2019-07-08,1.53,1.57,1.4601,1.51,166292.0
2019-07-05,1.55,1.59,1.5001,1.52,169599.0
2019-07-03,1.53,1.57,1.48,1.56,129602.0
2019-07-02,1.55,1.62,1.44,1.56,261505.0
2019-07-01,1.69,1.69,1.51,1.51,694010.0
2019-06-28,1.72,1.74,1.64,1.66,461037.0
2019-06-27,1.69,1.78,1.69,1.7,281546.0
2019-06-26,1.7,1.7103,1.65,1.69,373104.0
2019-06-25,1.75,1.82,1.7,1.7,164676.0
2019-06-24,1.83,1.8464,1.69,1.74,240579.0
2019-06-21,1.91,1.9174,1.78,1.81,197183.0
2019-06-20,1.97,2.05,1.82,1.89,189350.0
2019-06-19,1.82,1.98,1.75,1.96,172995.0
2019-06-18,1.94,2.01,1.81,1.84,316075.0
2019-06-17,1.9,2.06,1.85,1.93,523004.0
2019-06-14,2.19,2.28,2.12,2.15,151296.0
