date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,9.7502,10.02,9.75,9.79,49443.0
2020-03-30,9.81,9.87,9.71,9.87,7513.0
2020-03-27,9.68,9.96,9.68,9.9,2137388.0
2020-03-26,9.69,9.8088,9.69,9.7988,221777.0
2020-03-25,9.5,9.8,9.5,9.62,1032865.0
2020-03-24,9.84,10.1,9.49,9.49,12010.0
2020-03-23,9.57,9.57,9.57,9.57,70005.0
2020-03-20,9.55,9.57,9.55,9.57,50110.0
2020-03-19,9.19,9.54,9.02,9.4,1184222.0
2020-03-18,9.09,9.665,9.09,9.36,2908421.0
2020-03-17,9.7,9.9,9.5,9.62,1040176.0
2020-03-16,9.88,9.945,9.62,9.62,17400.0
2020-03-13,9.9,10.22,9.82,9.9,689914.0
2020-03-12,10.19,10.19,10.19,10.19,0.0
2020-03-11,10.19,10.19,10.19,10.19,0.0
2020-03-10,10.2492,10.2492,9.865,10.19,23018.0
2020-03-09,10.21,10.3,10.19,10.2,85761.0
2020-03-06,10.22,10.38,10.21,10.31,204740.0
2020-03-05,10.26,10.26,10.26,10.26,3940.0
2020-03-04,10.32,10.32,10.26,10.26,1102.0
2020-03-03,10.21,10.21,10.21,10.21,112.0
2020-03-02,10.24,10.4,10.24,10.33,28231.0
2020-02-28,10.34,10.34,10.23,10.32,1843.0
2020-02-27,10.24,10.28,10.2,10.28,345455.0
2020-02-26,10.29,10.32,10.25,10.25,1274.0
2020-02-25,10.32,10.32,10.32,10.32,0.0
2020-02-24,10.27,10.465,10.27,10.32,39640.0
2020-02-21,10.26,11.27,10.26,10.32,238928.0
2020-02-20,10.25,10.29,10.25,10.29,2231.0
2020-02-19,10.23,10.3,10.23,10.25,273449.0
2020-02-18,10.21,10.25,10.18,10.23,61241.0
2020-02-14,10.22,10.22,10.16,10.22,21046.0
2020-02-13,10.21,10.24,10.2,10.24,8214.0
2020-02-12,10.2,10.24,10.2,10.21,234237.0
2020-02-11,10.21,10.21,10.18,10.18,410189.0
2020-02-10,10.2,10.2,10.2,10.2,0.0
2020-02-07,10.2,10.2,10.2,10.2,7952.0
2020-02-06,10.1899,10.28,10.1899,10.2,191222.0
2020-02-05,10.185,10.2,10.185,10.2,19410.0
2020-02-04,10.19,10.29,10.17,10.19,18517.0
2020-02-03,10.18,10.18,10.18,10.18,23.0
2020-01-31,10.15,10.2,10.15,10.18,13600.0
2020-01-30,10.15,10.2,10.15,10.18,68885.0
2020-01-29,10.16,10.19,10.15,10.15,655.0
2020-01-28,10.15,10.19,10.15,10.19,1255.0
2020-01-27,10.16,10.19,10.15,10.18,6639.0
2020-01-24,10.19,10.19,10.15,10.15,51314.0
2020-01-23,10.2,10.2,10.1935,10.2,93224.0
2020-01-22,10.25,10.25,10.17,10.2,11031.0
2020-01-21,10.2,10.2,10.17,10.19,14078.0
2020-01-17,10.3,10.3,10.18,10.19,16659.0
2020-01-16,10.39,10.39,10.2,10.25,17191.0
2020-01-15,10.17,10.25,10.17,10.2,226237.0
2020-01-14,10.2,10.2,10.17,10.2,322270.0
2020-01-13,10.14,10.97,10.1299,10.15,14120.0
2020-01-10,10.12,10.14,10.12,10.13,832300.0
2020-01-09,10.08,10.12,10.08,10.11,394534.0
2020-01-08,10.05,10.08,10.05,10.08,3791.0
2020-01-07,10.04,10.08,10.04,10.08,198844.0
2020-01-06,10.03,10.05,10.03,10.05,150261.0
2020-01-03,10.03,10.06,10.03,10.03,255787.0
2020-01-02,10.051,10.051,10.051,10.051,92.0
2019-12-31,10.0415,10.06,10.03,10.051,60611.0
2019-12-30,10.0498,10.0498,10.0398,10.04,1800.0
2019-12-27,10.03,10.03,10.03,10.03,434.0
2019-12-26,10.0,10.05,10.0,10.03,81217.0
2019-12-24,10.05,10.05,10.0,10.0,976.0
2019-12-23,9.9998,10.0,9.9996,9.9996,1543.0
2019-12-20,10.0,10.0,9.99,10.0,1317.0
2019-12-19,10.0,10.0,10.0,10.0,23.0
2019-12-18,10.0,10.0,10.0,10.0,1533.0
2019-12-17,10.0,10.0,10.0,10.0,101027.0
2019-12-16,10.0,10.02,9.99,10.0,10807.0
2019-12-13,10.02,10.02,10.02,10.02,1.0
2019-12-12,9.98,10.02,9.9788,10.02,33324.0
2019-12-11,9.97,9.97,9.965,9.965,9524.0
2019-12-10,9.95,9.98,9.95,9.965,14520.0
2019-12-09,9.98,9.98,9.95,9.98,69300.0
2019-12-06,9.9666,9.9666,9.9666,9.9666,35.0
2019-12-05,9.9666,9.9666,9.9666,9.9666,1.0
2019-12-04,9.97,9.97,9.9666,9.9666,2000.0
2019-12-03,9.98,9.98,9.98,9.98,0.0
2019-12-02,9.95,9.98,9.95,9.98,235.0
2019-11-29,9.94,9.98,9.9,9.98,4500.0
2019-11-27,9.97,9.97,9.95,9.95,30100.0
2019-11-26,9.97,9.97,9.955,9.955,101082.0
2019-11-25,9.92,9.97,9.92,9.96,250803.0
2019-11-22,9.94,9.96,9.94,9.96,30600.0
2019-11-21,9.96,9.96,9.96,9.96,0.0
2019-11-20,9.95,9.96,9.95,9.9598,12142.0
2019-11-19,9.95,9.95,9.9371,9.9452,31100.0
2019-11-18,9.95,9.95,9.9498,9.9498,1397.0
2019-11-15,9.95,9.95,9.95,9.95,1000.0
2019-11-14,9.941,9.95,9.92,9.95,3217.0
2019-11-13,9.95,9.95,9.92,9.944,7146.0
2019-11-12,9.95,9.95,9.95,9.95,100.0
2019-11-11,9.92,9.92,9.92,9.92,0.0
2019-11-08,9.93,9.93,9.92,9.92,287090.0
2019-11-07,9.92,9.97,9.92,9.92,413958.0
2019-11-06,9.871,9.93,9.871,9.899,27600.0
2019-11-05,9.9147,9.92,9.9147,9.92,34898.0
2019-11-04,9.92,9.92,9.92,9.92,502.0
2019-11-01,9.9,9.9,9.9,9.9,52666.0
2019-10-31,9.89,9.89,9.89,9.89,0.0
2019-10-30,9.89,9.89,9.89,9.89,4.0
2019-10-29,9.9,9.9,9.89,9.89,100000.0
2019-10-28,9.89,9.9,9.885,9.885,46000.0
2019-10-25,9.87,9.93,9.85,9.86,510797.0
2019-10-24,9.89,9.89,9.89,9.89,1.0
2019-10-23,9.86,9.89,9.86,9.89,400099.0
2019-10-22,9.9,9.9,9.9,9.9,100000.0
2019-10-21,9.85,9.85,9.85,9.85,0.0
2019-10-18,9.85,9.85,9.85,9.85,0.0
2019-10-17,9.85,9.85,9.85,9.85,1.0
2019-10-16,9.85,9.85,9.85,9.85,100.0
2019-10-15,9.89,9.89,9.85,9.85,174122.0
2019-10-14,9.85,9.85,9.85,9.85,200.0
2019-10-11,9.9,9.9,9.9,9.9,2.0
2019-10-10,9.86,9.91,9.85,9.9,1185206.0
2019-10-09,9.93,9.93,9.93,9.93,3.0
2019-10-08,9.9,9.93,9.9,9.93,67455.0
2019-10-07,9.91,9.91,9.91,9.91,3.0
2019-10-04,9.91,9.91,9.91,9.91,166.0
2019-10-03,9.85,9.91,9.85,9.91,75435.0
2019-10-02,9.9,9.9,9.9,9.9,105000.0
2019-10-01,9.9,9.9,9.9,9.9,2010.0
2019-09-30,9.85,9.9,9.85,9.9,266.0
2019-09-27,9.91,9.91,9.91,9.91,215.0
2019-09-26,9.9,9.9,9.9,9.9,18.0
2019-09-25,9.9,9.9,9.874,9.9,740.0
2019-09-24,9.8788,9.9,9.8788,9.9,317.0
2019-09-23,16.09,16.55,15.96,16.43,311800.0
2019-09-20,16.13,16.58,15.96,16.21,330200.0
2019-09-19,9.9,9.9,9.9,9.9,40.0
2019-09-18,9.86,9.91,9.86,9.9,1413.0
2019-09-17,9.915,9.915,9.915,9.915,11.0
2019-09-16,9.9,9.9248,9.9,9.915,17655.0
2019-09-13,9.895,9.9,9.89,9.9,5769.0
2019-09-12,9.83,9.9,9.83,9.9,60003.0
2019-09-11,9.84,9.88,9.83,9.88,346271.0
2019-09-10,9.85,9.93,9.85,9.9,7338.0
2019-09-09,9.86,9.93,9.85,9.93,7793.0
2019-09-06,9.83,9.93,9.83,9.93,10021.0
2019-09-05,9.93,9.93,9.93,9.93,5010.0
2019-09-04,9.93,9.93,9.83,9.83,505048.0
2019-09-03,9.97,9.97,9.83,9.83,1025441.0
2019-08-30,9.94,9.94,9.94,9.94,8.0
2019-08-29,9.94,9.94,9.94,9.94,25.0
2019-08-28,9.94,9.94,9.94,9.94,16.0
2019-08-27,9.94,9.94,9.94,9.94,25.0
2019-08-26,9.94,9.94,9.94,9.94,14.0
2019-08-23,9.94,9.94,9.94,9.94,8.0
2019-08-22,9.94,9.94,9.94,9.94,2.0
2019-08-21,9.94,9.94,9.94,9.94,1086.0
2019-08-20,9.95,9.95,9.95,9.95,1000.0
2019-08-19,9.95,9.95,9.95,9.95,0.0
2019-08-16,9.95,9.95,9.95,9.95,0.0
2019-08-15,9.96,9.97,9.96,9.97,474.0
2019-08-14,9.91,9.97,9.91,9.97,473.0
2019-08-13,9.94,9.95,9.94,9.95,20003.0
2019-08-12,15.47,15.6,15.1,15.27,73900.0
2019-08-09,9.85,9.85,9.85,9.85,0.0
2019-08-08,9.85,9.85,9.85,9.85,2.0
2019-08-07,9.85,9.85,9.85,9.85,0.0
2019-08-06,9.85,9.85,9.85,9.85,150.0
2019-08-05,9.9388,9.9388,9.9388,9.9388,83.0
2019-08-02,9.9388,9.9388,9.9388,9.9388,50.0
2019-08-01,9.9388,9.9388,9.9388,9.9388,5.0
2019-07-31,9.9388,9.9388,9.9388,9.9388,56.0
2019-07-30,9.923,9.9499,9.923,9.9388,902.0
2019-07-29,9.8942,9.8942,9.8942,9.8942,108.0
2019-07-26,9.8942,9.8942,9.8942,9.8942,425.0
2019-07-25,9.82,9.94,9.82,9.8942,1311.0
2019-07-24,9.9,10.0,9.8275,9.94,205258.0
2019-07-23,9.86,9.9,9.86,9.9,55152.0
2019-03-19,11.99,12.0799,11.78,11.85,967362.0
2019-03-18,11.61,11.9,11.5756,11.83,860290.0
2019-03-15,11.53,11.65,11.53,11.64,353377.0
2019-03-14,11.5,11.65,11.5,11.64,206439.0
2019-03-13,11.65,11.73,11.46,11.5,124098.0
2019-03-12,11.65,11.76,11.6,11.65,493427.0
2019-03-11,11.51,11.7499,11.51,11.64,871524.0
2019-03-08,11.39,11.65,11.26,11.58,1839361.0
2019-03-07,11.36,11.5,11.23,11.39,1687848.0
2019-03-06,10.9,11.39,10.85,11.18,1642393.0
2019-03-05,10.35,10.75,10.3275,10.73,870595.0
2019-03-04,10.22,10.4,10.22,10.38,1719881.0
2019-03-01,10.29,10.29,10.19,10.19,1583101.0
2019-02-28,10.27,10.27,10.12,10.23,4190357.0
2019-02-27,10.25,10.3,10.22,10.24,1225539.0
2019-02-26,10.3699,10.3699,10.2289,10.28,899217.0
2019-02-25,10.23,10.35,10.23,10.29,2792394.0
2019-02-22,10.26,10.27,10.21,10.25,293462.0
2019-02-21,10.3,10.3,10.21,10.21,560731.0
2019-02-20,10.39,10.39,10.23,10.27,870687.0
2019-02-19,10.55,10.55,10.25,10.29,501428.0
2019-02-15,10.55,10.6,10.47,10.5,1375727.0
2019-02-14,10.39,10.65,10.39,10.52,1155244.0
2019-02-13,10.37,10.45,10.3499,10.42,1088420.0
2019-02-12,10.25,10.35,10.24,10.33,3526531.0
2019-02-11,10.25,10.27,10.24,10.24,1133439.0
