date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,42.05,42.69,41.96,41.98,787767.0
2020-03-30,41.85,42.3,41.85,42.06,706274.0
2020-03-27,41.96,42.08,41.45,41.99,645765.0
2020-03-26,39.98,41.43,39.98,41.29,417762.0
2020-03-25,39.71,40.26,38.85,39.52,230974.0
2020-03-24,38.19,39.2,37.74,38.9884,211302.0
2020-03-23,37.95,39.02,37.4562,37.725,423319.0
2020-03-20,38.94,40.0249,37.51,37.51,273021.0
2020-03-19,39.24,40.6399,38.81,39.37,305649.0
2020-03-18,41.52,42.0894,39.42,40.89,417487.0
2020-03-17,42.26,42.9821,41.5,42.38,458769.0
2020-03-16,42.67,43.9271,41.39,43.69,389903.0
2020-03-13,45.11,45.129,43.8701,44.58,360847.0
2020-03-12,44.41,45.4763,42.95,44.4,472795.0
2020-03-11,45.6,46.61,45.43,45.6267,297228.0
2020-03-10,45.85,46.68,45.505,46.0004,477311.0
2020-03-09,45.81,46.168,42.82,45.925,788315.0
2020-03-06,47.19,47.5317,46.9707,47.18,193164.0
2020-03-05,47.69,47.98,47.5282,47.62,162816.0
2020-03-04,47.98,48.06,47.83,47.99,110061.0
2020-03-03,47.85,48.01,47.4201,47.64,343720.0
2020-03-02,47.71,47.73,47.36,47.64,879736.0
2020-02-28,47.76,47.88,47.3872,47.88,1401546.0
2020-02-27,47.96,48.2,47.73,47.75,517929.0
2020-02-26,48.26,48.3603,48.0631,48.3,287413.0
2020-02-25,48.46,48.46,48.06,48.14,171646.0
2020-02-24,48.57,48.57,48.3,48.39,203413.0
2020-02-21,48.55,48.64,48.47,48.5319,160787.0
2020-02-20,48.84,48.9,48.7448,48.7797,270500.0
2020-02-19,48.84,48.8408,48.7761,48.79,138868.0
2020-02-18,48.73,48.8654,48.71,48.76,255884.0
2020-02-14,48.82,48.85,48.72,48.795,205791.0
2020-02-13,48.81,48.88,48.7607,48.81,284816.0
2020-02-12,48.81,48.9,48.74,48.9,113568.0
2020-02-11,48.76,48.82,48.71,48.75,201898.0
2020-02-10,49.11,49.11,48.6701,48.745,145613.0
2020-02-07,48.65,48.75,48.6458,48.72,103967.0
2020-02-06,48.71,48.7504,48.68,48.74,125455.0
2020-02-05,48.72,48.735,48.6301,48.71,190585.0
2020-02-04,48.62,48.7452,48.6,48.7,160754.0
2020-02-03,48.66,48.69,48.5419,48.6101,215953.0
2020-01-31,48.66,48.67,48.38,48.64,173261.0
2020-01-30,48.55,48.7076,48.43,48.68,78549.0
2020-01-29,48.62,48.78,48.5076,48.78,119277.0
2020-01-28,48.51,48.64,48.47,48.64,110215.0
2020-01-27,48.47,48.62,48.47,48.6,200796.0
2020-01-24,48.8,48.83,48.6801,48.71,141869.0
2020-01-23,48.9,48.9185,48.75,48.82,194882.0
2020-01-22,48.79,48.916,48.79,48.8824,202524.0
2020-01-21,49.09,49.09,49.0,49.05,146898.0
2020-01-17,49.06,49.17,48.96,49.04,229856.0
2020-01-16,49.04,49.09,48.91,49.02,563973.0
2020-01-15,49.0,49.04,48.9411,49.02,176012.0
