date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,14.18,14.3,13.96,14.3,46985.0
2020-04-23,14.35,14.35,14.35,14.35,728.0
2020-04-22,14.1259,14.465,14.1259,14.465,28587.0
2020-04-21,14.83,14.83,14.18,14.27,167818.0
2020-04-20,14.92,15.135,14.92,14.9597,5670.0
2020-04-17,15.11,15.11,14.8408,14.92,23151.0
2020-04-16,14.96,15.43,14.945,14.9732,5134.0
2020-04-15,15.04,15.1688,14.74,14.98,19048.0
2020-04-14,15.14,15.19,15.0763,15.17,19586.0
2020-04-13,14.96,15.05,14.74,15.0,23657.0
2020-04-09,14.81,15.01,14.68,14.96,17711.0
2020-04-08,14.5,14.6,14.3667,14.43,3113.0
2020-04-07,14.32,14.32,14.05,14.28,4589.0
2020-04-06,14.25,14.25,14.06,14.1945,1656.0
2020-04-03,14.2966,14.2966,14.05,14.05,1538.0
2020-04-02,14.3427,14.3427,14.14,14.325,851.0
2020-04-01,13.35,14.1,13.35,14.1,7223.0
2020-03-31,14.2,14.3587,13.55,14.115,9779.0
2020-03-30,14.33,15.0955,14.14,14.27,3983.0
2020-03-27,14.6,14.6,14.26,14.58,10321.0
2020-03-26,13.83,14.3,13.41,14.3,28969.0
2020-03-25,13.8,14.3,13.02,14.01,30641.0
2020-03-24,13.65,14.31,12.92,14.02,1085.0
2020-03-23,13.92,14.3799,13.44,13.965,51010.0
2020-03-20,14.0262,14.09,14.0262,14.09,1727.0
2020-03-19,14.6,14.705,13.87,14.5,29205.0
2020-03-18,14.915,14.915,14.0802,14.58,16394.0
2020-03-17,15.2,15.2,14.4,14.4,49672.0
2020-03-16,15.01,15.5979,14.91,15.5979,1325.0
2020-03-13,15.6,15.7,15.0,15.7,17598.0
2020-03-12,14.51,15.66,14.3,15.2,13100.0
2020-03-11,15.64,15.65,15.51,15.65,5753.0
2020-03-10,15.88,15.88,15.64,15.64,7058.0
2020-03-09,15.92,15.92,15.3,15.4,2879.0
2020-03-06,16.41,16.45,16.35,16.365,1947.0
2020-03-05,17.02,17.02,16.7,16.7,1580.0
2020-03-04,16.9006,17.19,16.85,17.19,5043.0
2020-03-03,16.93,17.1479,16.74,16.81,29000.0
2020-03-02,16.98,17.15,16.8228,17.15,20912.0
2020-02-28,17.18,17.32,17.0,17.075,10398.0
2020-02-27,17.59,17.59,17.4,17.465,14249.0
2020-02-26,17.7046,17.7299,17.7046,17.7299,1757.0
2020-02-25,18.14,18.14,17.62,17.7129,7511.0
2020-02-24,17.9,17.9422,17.875,17.9,4968.0
2020-02-21,18.08,18.122,18.04,18.106,7349.0
2020-02-20,18.235,18.2499,18.13,18.24,3042.0
2020-02-19,18.21,18.2755,18.19,18.2755,2114.0
2020-02-18,17.94,18.2699,17.94,18.2699,3564.0
2020-02-14,18.3001,18.342,18.3001,18.334,10555.0
