date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,25.69,25.7,25.675,25.675,416.0
2020-04-08,25.67,25.67,25.62,25.645,589.0
2020-04-07,25.69,25.69,25.63,25.63,129.0
2020-04-06,25.74,25.74,25.65,25.655,458.0
2020-04-03,25.74,25.75,25.64,25.7,1012.0
2020-04-02,25.73,25.73,25.695,25.695,1400.0
2020-04-01,25.72,25.7293,25.695,25.7,895.0
2020-03-31,25.75,25.75,25.705,25.705,3456.0
2020-03-30,25.72,25.7927,25.6658,25.68,52673.0
2020-03-27,25.6188,25.68,25.6188,25.68,2069.0
2020-03-26,25.54,25.54,25.54,25.54,23.0
2020-03-25,25.6,25.6,25.54,25.57,859.0
2020-03-24,25.6,25.6,25.53,25.535,5513.0
2020-03-23,25.77,25.77,25.63,25.64,3155.0
2020-03-20,25.444,25.58,25.444,25.53,2702.0
2020-03-19,25.34,25.4316,25.34,25.415,4732.0
2020-03-18,25.38,25.44,25.2708,25.3127,5351.0
2020-03-17,25.525,25.525,25.4021,25.4021,537.0
2020-03-16,25.56,25.58,25.5,25.51,31072.0
2020-03-13,25.43,27.94,25.37,25.37,379163.0
2020-03-12,25.45,25.45,25.45,25.45,1900.0
2020-03-11,25.44,25.44,25.39,25.39,600.0
2020-03-10,25.53,25.53,25.53,25.53,100.0
2020-03-09,25.61,25.63,25.56,25.56,7356.0
2020-03-06,25.49,25.49,25.46,25.46,159.0
2020-03-03,25.36,25.36,25.3028,25.34,2700.0
