date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,26.045,26.12,26.045,26.12,2845.0
2020-03-30,26.065,26.09,26.0,26.015,50683.0
2020-03-27,25.921,26.01,25.92,26.01,843.0
2020-03-26,25.78,25.78,25.78,25.78,17.0
2020-03-25,25.85,25.85,25.78,25.8219,678.0
2020-03-24,25.869,25.869,25.8,25.8,2903.0
2020-03-23,25.83,25.985,25.83,25.985,1119.0
2020-03-20,25.67,25.75,25.67,25.75,578.0
2020-03-19,25.48,25.632,25.47,25.47,3836.0
2020-03-18,25.5114,25.57,25.32,25.4163,6739.0
2020-03-17,25.82,25.82,25.57,25.57,1535.0
2020-03-16,25.74,25.81,25.67,25.81,20070.0
2020-03-13,25.53,26.32,25.49,25.49,306415.0
2020-03-12,25.695,25.79,25.56,25.56,20300.0
2020-03-11,25.74,25.74,25.6,25.6,139825.0
2020-03-10,25.84,25.85,25.7,25.7,5500.0
2020-03-09,25.99,25.99,25.9,25.9,8648.0
2020-03-06,25.81,25.81,25.7502,25.7502,800.0
2020-03-05,25.58,25.58,25.58,25.58,0.0
2020-03-04,25.58,25.58,25.58,25.58,0.0
2020-03-03,25.45,25.61,25.45,25.58,3325.0
2020-03-02,25.39,25.39,25.37,25.37,4000.0
2020-02-28,25.27,25.33,25.27,25.33,3997.0
