date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,45.79,46.84,45.47,46.139,72364.0
2020-04-08,43.12,44.97,43.12,44.8062,104548.0
2020-04-07,43.65,44.28,42.6286,42.93,34000.0
2020-04-06,40.73,42.31,40.72,42.05,30331.0
2020-04-03,39.2,39.625,38.37,38.83,42296.0
2020-04-02,39.51,40.06,38.7555,39.41,32884.0
2020-04-01,40.26,40.755,39.5788,39.74,35555.0
2020-03-31,41.29,42.559,41.2,41.51,48575.0
2020-03-30,41.03,41.62,40.42,41.62,46163.0
2020-03-27,41.18,41.615,40.57,40.71,68900.0
2020-03-26,41.29,42.56,41.23,42.5078,55562.0
2020-03-25,40.62,42.76,39.98,40.9112,92881.0
2020-03-24,39.16,40.38,38.96,40.34,43678.0
2020-03-23,36.46,37.355,35.51,36.99,86085.0
2020-03-20,38.35,39.16,36.37,36.57,64303.0
2020-03-19,35.55,38.225,35.46,37.741,75340.0
2020-03-18,35.9,37.37,34.71,35.95,55509.0
2020-03-17,37.02,38.68,35.13,38.26,50057.0
2020-03-16,33.11,37.56,33.11,36.2,54102.0
2020-03-13,40.12,40.38,37.32,40.38,79936.0
2020-03-12,39.19,39.72,37.49,38.27,125704.0
2020-03-11,44.49,44.53,42.1209,42.6008,64259.0
2020-03-10,46.05,46.0714,43.69,45.64,52774.0
2020-03-09,43.98,46.26,43.34,44.91,63654.0
2020-03-06,47.74,48.84,47.21,48.0979,29004.0
2020-03-05,49.27,49.98,48.9,49.3803,40901.0
2020-03-04,49.77,50.44,49.28,50.44,19679.0
2020-03-03,50.22,50.5758,48.2151,49.03,48972.0
2020-03-02,50.02,50.17,48.67,50.12,41184.0
2020-02-28,47.82,49.6,47.8,49.08,74438.0
2020-02-27,50.05,51.1303,48.52,49.37,91343.0
2020-02-26,51.85,52.44,50.79,51.0506,46881.0
2020-02-25,53.92,54.18,51.49,51.7,103010.0
2020-02-24,53.99,53.99,52.96,53.56,64704.0
2020-02-21,56.2,56.2,55.25,55.8443,13450.0
2020-02-20,55.49,56.46,55.31,56.2333,21601.0
2020-02-19,54.56,55.39,54.46,55.18,21068.0
2020-02-18,53.93,54.53,53.93,54.36,26804.0
2020-02-14,54.23,54.23,53.8456,54.05,15927.0
2020-02-13,54.15,54.3101,53.92,53.94,33294.0
2020-02-12,54.17,54.65,54.05,54.6016,21681.0
2020-02-11,53.62,54.2,53.6,53.7784,24386.0
2020-02-10,52.74,53.364,52.71,53.29,25236.0
2020-02-07,53.05,53.05,52.602,52.78,9011.0
2020-02-06,53.09,53.47,53.0,53.26,16686.0
2020-02-05,53.78,53.78,52.91,52.97,17109.0
2020-02-04,52.81,53.45,52.81,53.2563,13868.0
