date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,17.44,19.18,17.44,18.5,9525.0
2020-03-30,17.14,18.0,16.4326,17.77,6376.0
2020-03-27,16.0,16.98,16.0,16.98,3362.0
2020-03-26,15.28,17.0,15.28,16.41,12990.0
2020-03-25,14.86,15.915,14.184,15.38,21729.0
2020-03-24,13.55,16.5,13.55,14.54,9708.0
2020-03-23,15.08,15.79,13.572,13.76,5124.0
2020-03-20,14.3,16.22,14.3,15.75,8099.0
2020-03-19,15.5,16.29,14.08,14.46,44284.0
2020-03-18,15.11,16.475,15.0,15.4,63980.0
2020-03-17,15.3878,15.495,15.12,15.28,12872.0
2020-03-16,16.66,16.66,14.9,15.12,26226.0
2020-03-13,18.834,20.05,18.3,18.3,8176.0
2020-03-12,19.64,20.18,18.1,18.1,9595.0
2020-03-11,21.0,21.34,20.57,20.62,24994.0
2020-03-10,22.47,22.47,20.785,21.29,10659.0
2020-03-09,22.5,22.5,20.81,21.04,107445.0
2020-03-06,24.16,24.4,23.87,23.87,14851.0
2020-03-05,24.21,24.68,23.28,24.17,98454.0
2020-03-04,24.71,25.0,24.7,25.0,9903.0
2020-03-03,24.6185,24.92,24.0,24.76,15220.0
2020-03-02,24.745,24.99,24.7,24.99,3751.0
2020-02-28,25.2,25.24,24.255,24.64,30616.0
2020-02-27,26.15,26.15,26.0,26.1,102726.0
2020-02-26,26.6931,26.6931,26.22,26.25,18566.0
2020-02-25,26.64,26.85,26.25,26.85,8111.0
2020-02-24,26.01,26.92,26.01,26.89,3022.0
2020-02-21,26.74,26.9755,26.5,26.51,29044.0
2020-02-20,26.5,27.08,26.45,27.08,11581.0
2020-02-19,26.38,26.5,26.25,26.5,6960.0
2020-02-18,26.18,26.5,26.12,26.49,9403.0
2020-02-14,26.5,26.5,26.5,26.5,590.0
2020-02-13,26.17,26.5,26.17,26.5,3194.0
2020-02-12,26.0,26.79,25.95,26.51,5498.0
2020-02-11,26.0,26.0,25.8252,25.99,2413.0
2020-02-10,25.75,25.99,25.75,25.99,2489.0
2020-02-07,25.6312,25.78,25.6,25.78,6044.0
2020-02-06,26.31,26.38,25.51,25.69,3565.0
2020-02-05,24.99,25.13,24.88,25.13,4699.0
2020-02-04,25.35,25.35,24.49,25.2,24009.0
2020-02-03,25.2,25.75,24.72,24.73,5258.0
2020-01-31,25.3,25.8,25.0,25.25,4373.0
2020-01-30,25.62,25.62,25.19,25.2,1127.0
2020-01-29,25.86,25.96,25.7,25.76,9390.0
2020-01-28,25.84,25.89,25.59,25.6,4844.0
2020-01-27,25.6,26.15,25.55,25.55,8123.0
2020-01-24,26.7,26.7,25.012,26.42,17132.0
2020-01-23,26.8,27.04,26.55,26.95,15486.0
2020-01-22,26.98,27.1,26.74,26.8,5842.0
2020-01-21,26.7285,26.96,26.5,26.5,5303.0
2020-01-17,26.6,26.87,25.97,26.87,8662.0
2020-01-16,26.87,27.0,26.2627,26.88,3440.0
2020-01-15,26.66,27.19,26.59,27.085,3607.0
2020-01-14,26.49,26.88,26.1819,26.66,8140.0
2020-01-13,26.39,26.51,25.9615,26.51,11301.0
2020-01-10,25.51,26.23,25.3,26.23,4041.0
2020-01-09,25.5,25.65,25.115,25.57,5022.0
2020-01-08,25.1101,25.5,25.1101,25.5,3873.0
2020-01-07,25.43,25.51,25.045,25.11,23948.0
2020-01-06,25.1,25.1991,24.875,25.1991,2037.0
2020-01-03,25.29,25.45,24.95,25.05,7452.0
2020-01-02,26.05,26.05,25.0,25.08,12091.0
2019-12-31,26.87,26.87,25.63,25.63,5022.0
2019-12-30,26.13,26.5,25.285,26.2,5887.0
2019-12-27,25.97,26.32,25.25,26.0,2499.0
2019-12-26,24.51,26.43,24.5,26.24,7581.0
2019-12-24,25.62,25.95,25.46,25.47,1223.0
2019-12-23,26.3,27.145,25.24,25.61,17183.0
2019-12-20,27.86,27.98,26.29,26.29,24747.0
2019-12-19,27.55,27.97,27.55,27.94,11667.0
2019-12-18,27.67,27.77,27.4368,27.76,3187.0
2019-12-17,27.0,27.8,27.0,27.57,8941.0
2019-12-16,26.3,26.98,26.3,26.98,7558.0
2019-12-13,26.47,26.47,26.3437,26.47,3890.0
2019-12-12,25.95,26.47,25.85,26.47,7473.0
2019-12-11,25.94,26.02,25.7992,25.85,11550.0
2019-12-10,25.51,25.795,25.51,25.51,5207.0
2019-12-09,24.92,25.66,24.5,25.51,18982.0
2019-12-06,25.15,25.45,25.15,25.2,13468.0
2019-12-05,24.8832,25.24,24.85,25.15,5662.0
2019-12-04,24.6,24.98,24.6,24.74,4978.0
2019-12-03,24.4464,24.9687,24.1101,24.5,3708.0
2019-12-02,23.99,23.99,23.99,23.99,474.0
2019-11-29,24.0,24.0,24.0,24.0,420.0
2019-11-27,24.47,24.5,23.75,24.0,3101.0
2019-11-26,24.15,24.48,24.02,24.48,4524.0
2019-11-25,23.9,24.41,23.6178,23.6178,5321.0
2019-11-22,23.8215,23.8215,23.31,23.65,1615.0
2019-11-21,23.815,24.0875,23.8007,24.0875,653.0
2019-11-20,23.7344,24.43,23.55,23.55,5411.0
2019-11-19,23.69,24.12,23.65,24.11,14191.0
2019-11-18,23.79,23.92,23.4,23.65,6347.0
2019-11-15,23.5,23.84,22.0,23.84,2695.0
2019-11-14,23.56,23.7749,23.56,23.71,5199.0
2019-11-13,23.38,23.68,23.38,23.45,5433.0
2019-11-12,23.03,23.3756,22.9241,23.3756,4793.0
2019-11-11,22.35,22.7973,22.35,22.65,2565.0
2019-11-08,23.68,23.68,22.4,22.66,1708.0
2019-11-07,23.01,23.57,23.01,23.57,692.0
2019-11-06,23.85,23.85,23.1,23.62,4030.0
2019-11-05,24.0,24.0,23.42,23.68,8755.0
2019-11-04,22.46,22.985,21.719,22.985,5740.0
2019-11-01,22.49,22.49,21.75,22.3,4355.0
2019-10-31,22.0,22.0,21.05,21.99,5579.0
2019-10-30,21.1559,22.2,21.1559,22.11,2103.0
2019-10-29,22.25,22.46,22.22,22.22,1766.0
2019-10-28,21.6,22.3,21.6,22.27,8984.0
2019-10-25,21.8816,21.995,21.795,21.795,2712.0
2019-10-24,21.6601,21.89,21.6,21.89,2242.0
2019-10-23,22.0,22.0,21.79,21.89,1824.0
2019-10-22,21.96,21.96,21.71,21.84,3843.0
2019-10-21,21.14,21.921,20.945,21.63,14808.0
2019-10-18,19.82,21.29,19.82,20.87,11784.0
2019-10-17,19.38,19.38,19.38,19.38,870.0
2019-10-16,19.62,19.62,19.25,19.3,7156.0
2019-10-15,19.3,19.425,19.3,19.425,1415.0
2019-10-14,19.13,19.3,19.13,19.3,3390.0
2019-10-11,19.14,19.2185,19.13,19.19,2727.0
2019-10-10,19.23,19.23,19.12,19.13,863.0
2019-10-09,19.14,19.16,19.1,19.16,1832.0
2019-10-08,19.1,19.1,19.1,19.1,751.0
2019-10-07,18.76,19.08,18.76,19.08,3773.0
2019-10-04,19.36,19.36,19.29,19.3,3208.0
2019-10-03,19.36,19.5291,19.3,19.35,4116.0
