date,1. open,2. high,3. low,4. close,5. volume
2020-04-23,10.34,10.34,10.34,10.34,55.0
2020-04-22,10.34,10.34,10.34,10.34,12.0
2020-04-21,10.34,10.34,10.34,10.34,50.0
2020-04-20,10.34,10.34,10.34,10.34,53.0
2020-04-17,10.34,10.34,10.34,10.34,2.0
2020-04-16,10.34,10.34,10.34,10.34,105.0
2020-04-15,10.34,10.34,10.34,10.34,1.0
2020-04-14,10.34,10.34,10.34,10.34,213.0
2020-04-13,10.34,10.34,10.34,10.34,6.0
2020-04-09,10.34,10.34,10.34,10.34,3.0
2020-04-08,10.39,10.39,10.34,10.34,492.0
2020-04-07,10.45,10.45,10.45,10.45,96.0
2020-04-06,10.45,10.45,10.45,10.45,306.0
2020-04-03,10.565,10.565,10.565,10.565,132.0
2020-04-02,11.25,11.25,11.25,11.25,699.0
2020-04-01,11.02,11.03,11.02,11.03,8201.0
2020-03-31,10.97,11.0249,10.97,11.0249,1268.0
2020-03-30,10.97,10.97,10.97,10.97,167.0
2020-03-27,11.09,11.09,11.09,11.09,160.0
2020-03-26,11.09,11.09,11.09,11.09,205.0
2020-03-25,10.4,10.4,10.4,10.4,49.0
2020-03-24,10.4,10.4,10.4,10.4,163.0
2020-03-23,9.61,9.61,9.6,9.6,5671.0
2020-03-20,10.26,10.26,10.26,10.26,0.0
2020-03-19,10.261,10.261,10.261,10.261,1.0
2020-03-18,10.261,10.261,10.261,10.261,33.0
2020-03-17,10.35,10.8,10.2,10.261,2608.0
2020-03-16,12.0,12.0,11.5,11.5,736.0
2020-03-13,12.0201,12.0201,12.0201,12.0201,196.0
2020-03-12,13.93,13.93,13.2487,13.2487,1252.0
2020-03-11,12.66,12.66,12.66,12.66,1106.0
2020-03-10,13.65,13.65,13.65,13.65,258.0
2020-03-09,13.8786,13.8786,13.8786,13.8786,15.0
2020-03-06,13.65,13.8786,13.65,13.8786,963.0
2020-03-05,13.6038,13.6038,13.6038,13.6038,128.0
2020-03-04,13.4,13.4,13.4,13.4,407.0
2020-03-03,13.6505,13.6505,13.3,13.6038,1018.0
2020-03-02,13.0876,13.0876,13.0876,13.0876,120.0
2020-02-28,13.1531,13.1531,13.05,13.0876,710.0
2020-02-27,13.1,13.1,13.1,13.1,800.0
2020-02-26,13.05,13.6587,13.05,13.6587,1983.0
2020-02-25,13.15,13.15,13.15,13.15,300.0
