date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,2.2419,2.51,2.2284,2.4599,46687.0
2020-03-30,2.47,2.6657,2.05,2.2,43304.0
2020-03-27,2.74,3.02,2.38,2.44,70831.0
2020-03-26,2.73,3.28,2.58,2.66,96297.0
2020-03-25,2.7,3.23,2.65,2.67,53148.0
2020-03-24,2.35,3.22,2.35,2.64,56219.0
2020-03-23,2.55,2.55,2.047,2.15,44656.0
2020-03-20,1.9,2.58,1.9,2.4,43372.0
2020-03-19,1.5,2.1,1.5,1.82,95765.0
2020-03-18,2.44,2.61,1.38,1.49,110473.0
2020-03-17,2.7,2.75,2.2969,2.61,65663.0
2020-03-16,2.63,3.08,2.5434,2.77,67045.0
2020-03-13,3.9,4.0567,3.0,3.325,86298.0
2020-03-12,5.64,5.64,3.25,3.7,192582.0
2020-03-11,6.4,6.6368,5.8951,6.07,46130.0
2020-03-10,6.69,6.703,6.45,6.49,27684.0
2020-03-09,6.55,6.91,6.55,6.59,47870.0
2020-03-06,6.86,6.86,6.61,6.67,48295.0
2020-03-05,6.99,7.1181,6.96,6.96,37274.0
2020-03-04,7.07,7.12,6.791,6.95,28739.0
2020-03-03,6.86,6.99,6.6301,6.99,37509.0
2020-03-02,6.85,7.052,6.7,6.7,51003.0
2020-02-28,7.24,7.24,6.88,6.88,84229.0
2020-02-27,7.38,7.42,7.22,7.24,21078.0
2020-02-26,7.48,7.4882,7.4,7.45,23044.0
2020-02-25,7.46,7.54,7.4,7.48,31965.0
2020-02-24,7.58,7.65,7.45,7.45,43723.0
2020-02-21,7.7,7.7,7.55,7.55,20316.0
2020-02-20,7.66,7.7,7.55,7.65,34702.0
2020-02-19,7.4911,7.64,7.45,7.62,53036.0
2020-02-18,7.37,7.56,7.31,7.47,22810.0
2020-02-14,7.51,7.51,7.3788,7.4,28871.0
2020-02-13,7.3,7.51,7.3,7.51,29531.0
2020-02-12,7.31,7.4,7.276,7.35,40650.0
2020-02-11,7.28,7.4,7.22,7.4,73198.0
2020-02-10,7.25,7.38,7.22,7.22,24604.0
2020-02-07,7.225,7.2796,7.21,7.22,17869.0
2020-02-06,7.18,7.29,7.1116,7.22,49983.0
2020-02-05,7.09,7.25,7.06,7.18,49857.0
2020-02-04,7.06,7.17,7.0452,7.09,13266.0
2020-02-03,7.09,7.18,7.03,7.06,36351.0
2020-01-31,7.08,7.18,7.035,7.18,60980.0
2020-01-30,7.09,7.11,7.0,7.08,21384.0
2020-01-29,7.03,7.0864,7.02,7.06,13236.0
2020-01-28,7.01,7.15,7.01,7.04,22655.0
2020-01-27,7.15,7.15,7.0,7.01,21630.0
2020-01-24,7.11,7.15,7.1,7.14,27829.0
2020-01-23,7.01,7.11,7.01,7.11,32798.0
2020-01-22,7.01,7.0499,7.0,7.01,20728.0
2020-01-21,7.01,7.05,6.95,7.04,25425.0
2020-01-17,7.0382,7.05,7.0,7.01,5506.0
2020-01-16,7.04,7.05,7.03,7.03,7785.0
2020-01-15,6.9372,7.06,6.9372,7.04,20264.0
2020-01-14,7.0156,7.0488,6.91,6.93,15435.0
2020-01-13,7.1,7.1,7.055,7.1,17224.0
2020-01-10,7.07,7.1,7.02,7.1,5258.0
2020-01-09,7.01,7.09,6.95,7.04,17075.0
2020-01-08,6.82,7.01,6.82,7.01,22661.0
2020-01-07,6.9626,7.09,6.92,6.93,13000.0
2020-01-06,6.96,6.98,6.92,6.95,12904.0
2020-01-03,6.74,6.99,6.74,6.99,23871.0
2020-01-02,6.84,6.84,6.7,6.73,47524.0
2019-12-31,6.74,6.85,6.69,6.7,168726.0
2019-12-30,6.84,6.885,6.71,6.77,52921.0
2019-12-27,6.81,6.9589,6.8,6.8,38944.0
2019-12-26,7.03,7.03,6.77,6.8,58052.0
2019-12-24,7.05,7.05,6.95,6.95,8784.0
2019-12-23,6.96,7.06,6.96,7.0,20259.0
2019-12-20,6.87,7.0107,6.87,6.96,23597.0
2019-12-19,7.02,7.06,6.91,6.93,29070.0
2019-12-18,7.0,7.069,7.0,7.05,70702.0
2019-12-17,6.96,6.99,6.96,6.97,20498.0
2019-12-16,7.0,7.0,6.95,6.99,26529.0
2019-12-13,6.91,6.99,6.91,6.95,27572.0
2019-12-12,6.81,7.0,6.81,6.99,25074.0
2019-12-11,7.15,7.2227,7.0,7.12,85450.0
2019-12-10,7.23,7.25,7.046,7.0882,79000.0
2019-12-09,7.47,7.47,7.22,7.23,29220.0
2019-12-06,7.24,7.2838,7.17,7.17,17901.0
2019-12-05,7.18,7.3442,7.13,7.32,18702.0
2019-12-04,7.11,7.1799,7.11,7.1425,19754.0
2019-12-03,7.17,7.2241,7.1,7.11,22530.0
2019-12-02,7.25,7.2878,7.06,7.22,17619.0
2019-11-29,7.195,7.21,7.06,7.21,12224.0
2019-11-27,7.24,7.29,7.12,7.255,11815.0
2019-11-26,6.96,7.27,6.95,7.25,53701.0
2019-11-25,7.06,7.07,6.95,7.0699,37832.0
2019-11-22,7.0521,7.08,7.0,7.0,20055.0
2019-11-21,7.17,7.17,6.9718,7.05,21226.0
2019-11-20,7.03,7.05,6.98,7.05,7146.0
2019-11-19,6.9,6.99,6.7613,6.99,14617.0
2019-11-18,6.7097,6.9002,6.7,6.9,8070.0
2019-11-15,6.81,6.92,6.72,6.79,9904.0
2019-11-14,6.81,6.9539,6.81,6.87,20209.0
2019-11-13,6.71,7.1999,6.7,6.86,34926.0
2019-11-12,6.78,6.89,6.71,6.89,9836.0
2019-11-11,6.8,6.86,6.69,6.83,12567.0
2019-11-08,6.7,6.82,6.6723,6.8,41795.0
2019-11-07,6.77,6.77,6.67,6.67,7654.0
2019-11-06,6.7506,6.7506,6.6609,6.74,10291.0
2019-11-05,6.66,6.75,6.6539,6.74,8089.0
2019-11-04,6.67,6.77,6.67,6.68,10186.0
2019-11-01,6.6507,6.76,6.6507,6.71,14410.0
2019-10-31,6.66,6.78,6.64,6.67,6894.0
2019-10-30,6.7,6.78,6.65,6.71,22188.0
2019-10-29,6.63,6.75,6.63,6.75,13962.0
2019-10-28,6.55,6.6994,6.5068,6.63,35829.0
2019-10-25,6.61,6.6954,6.6,6.65,13979.0
2019-10-24,6.69,6.69,6.605,6.63,6512.0
2019-10-23,6.47,6.71,6.47,6.66,18047.0
2019-10-22,6.17,6.66,6.13,6.505,41535.0
2019-10-21,6.54,6.71,6.54,6.66,13373.0
2019-10-18,6.75,6.7691,6.63,6.64,13950.0
2019-10-17,6.46,6.7872,6.4,6.72,41310.0
2019-10-16,6.56,6.6,6.49,6.5,29400.0
2019-10-15,6.45,6.6,6.37,6.53,46610.0
2019-10-14,6.46,6.5437,6.41,6.445,14177.0
2019-10-11,6.5,6.55,6.45,6.5,32510.0
