date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,50.99,51.12,49.04,49.92,154559.0
2020-04-08,47.45,51.0,47.45,49.31,146838.0
2020-04-07,49.0,50.5138,47.31,47.43,110763.0
2020-04-06,47.75,48.72,46.97,47.43,126311.0
2020-04-03,47.46,47.76,44.0638,45.32,111071.0
2020-04-02,46.6,48.3777,46.0,47.94,63835.0
2020-04-01,46.36,47.89,45.73,45.85,115644.0
2020-03-31,48.0,49.7,47.8101,48.42,71186.0
2020-03-30,49.01,50.722,47.02,48.23,135225.0
2020-03-27,48.3,50.835,46.36,49.14,164520.0
2020-03-26,47.77,52.0,47.77,50.09,238772.0
2020-03-25,45.73,51.99,43.5,47.16,343053.0
2020-03-24,39.25,44.8099,39.0,43.23,291223.0
2020-03-23,41.79,41.99,34.0,36.05,531878.0
2020-03-20,45.0,46.23,41.95,41.95,260192.0
2020-03-19,45.0,48.0,43.0,44.56,285854.0
2020-03-18,50.0,52.805,45.2,46.97,447927.0
2020-03-17,51.0,54.6,49.6,51.19,268357.0
2020-03-16,50.0,53.4517,49.0,49.6,299737.0
2020-03-13,52.12,55.145,49.8938,54.62,252459.0
2020-03-12,52.53,53.56,48.31,50.02,426631.0
2020-03-11,57.38,57.65,54.75,55.53,198122.0
2020-03-10,58.0271,58.8,55.51,58.45,162616.0
2020-03-09,58.02,58.49,53.0,55.01,364506.0
2020-03-06,60.78,60.8567,59.66,59.86,308283.0
2020-03-05,62.59,62.92,61.0849,61.2,146974.0
2020-03-04,64.12,64.96,62.14,62.95,157409.0
2020-03-03,65.24,65.3089,62.14,63.11,158364.0
2020-03-02,63.43,65.48,63.0,64.63,160747.0
2020-02-28,60.0,65.5995,58.4,62.73,353123.0
2020-02-27,64.0,64.3337,60.33,62.46,238761.0
2020-02-26,63.64,66.0405,63.5543,64.42,123707.0
2020-02-25,67.98,67.98,63.385,64.0,232179.0
2020-02-24,66.79,67.92,66.05,67.77,150448.0
2020-02-21,68.68,68.9,67.695,68.12,64549.0
2020-02-20,67.95,69.1,67.5,68.78,124793.0
2020-02-19,67.64,68.0,67.3318,67.95,80591.0
2020-02-18,66.75,67.95,66.73,67.42,96244.0
2020-02-14,66.5,67.498,66.5,66.94,79349.0
2020-02-13,66.28,66.6213,66.0005,66.34,59031.0
2020-02-12,67.54,67.54,66.04,66.52,89699.0
