date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,53.4,58.8,53.07,56.15,165042.0
2020-03-30,47.69,54.88,47.69,52.99,81339.0
2020-03-27,41.13,46.95,40.84,46.48,110717.0
2020-03-26,47.81,48.0,42.205,43.0,95745.0
2020-03-25,49.75,50.0,44.52,47.31,72725.0
2020-03-24,54.43,54.8416,48.26,49.32,48580.0
2020-03-23,45.95,51.76,43.22,51.64,64286.0
2020-03-20,43.73,46.57,38.98,46.39,141365.0
2020-03-19,33.81,47.0,33.81,43.18,95123.0
2020-03-18,35.0,36.0,32.0006,34.11,151993.0
2020-03-17,31.97,40.82,31.97,36.91,140951.0
2020-03-16,33.61,40.92,27.55,31.51,183974.0
2020-03-13,39.21,43.53,32.01,36.49,203932.0
2020-03-12,49.49,49.49,34.73,37.04,159397.0
2020-03-11,49.14,52.95,43.1756,52.32,153930.0
2020-03-10,52.75,56.2748,44.7,50.41,169784.0
2020-03-09,61.68,61.68,47.5,51.85,177909.0
2020-03-06,58.0,63.73,54.8,63.1,140083.0
2020-03-05,71.95,72.75,58.5589,58.71,244421.0
2020-03-04,64.42,74.13,63.74,73.75,94385.0
2020-03-03,63.0,69.89,60.0,63.5,333837.0
2020-03-02,52.46,67.7642,51.515,62.73,167710.0
2020-02-28,52.0,53.51,48.01,51.41,97153.0
2020-02-27,52.99,54.83,47.61,54.01,162599.0
2020-02-26,52.18,54.85,52.18,53.5,94067.0
2020-02-25,54.43,55.8373,47.5,52.05,144169.0
2020-02-24,58.37,58.37,51.01,54.5,234422.0
2020-02-21,50.54,61.5,49.8,60.69,351444.0
2020-02-20,49.1,50.79,47.62,50.47,195203.0
2020-02-19,45.54,50.0,45.27,47.9,147727.0
2020-02-18,43.99,46.695,43.44,45.27,227562.0
2020-02-14,45.98,46.96,43.01,43.24,167340.0
2020-02-13,42.39,45.33,42.13,45.33,51077.0
2020-02-12,43.21,44.2387,42.25,42.77,102456.0
2020-02-11,39.55,43.36,39.37,42.96,75250.0
2020-02-10,40.16,41.3611,39.58,39.64,206939.0
2020-02-07,39.55,41.08,38.4229,40.27,78387.0
2020-02-06,40.93,40.93,39.73,40.5,34904.0
2020-02-05,40.23,41.405,39.1131,40.27,37811.0
2020-02-04,38.84,40.24,37.98,39.76,61806.0
2020-02-03,35.14,39.33,34.5753,38.89,61415.0
2020-01-31,35.2,36.14,33.505,33.99,35795.0
2020-01-30,35.77,36.8,34.2908,35.41,126666.0
2020-01-29,40.0,41.86,36.53,36.84,90330.0
2020-01-28,39.98,42.55,39.63,39.95,131294.0
2020-01-27,38.95,39.96,37.51,39.67,170461.0
2020-01-24,40.72,41.89,39.47,39.83,127199.0
2020-01-23,39.57,41.49,38.51,40.04,217356.0
2020-01-22,36.33,40.5478,36.33,39.37,252865.0
2020-01-21,35.93,39.18,35.71,36.21,337673.0
2020-01-17,33.85,37.12,33.2,35.93,225515.0
2020-01-16,32.55,34.365,32.55,33.55,180704.0
2020-01-15,32.03,33.59,32.0208,32.5,142779.0
2020-01-14,32.4,33.12,31.48,32.02,125130.0
2020-01-13,34.44,35.226,32.02,32.42,122105.0
2020-01-10,34.43,35.42,32.6601,34.36,149926.0
2020-01-09,33.52,36.86,33.04,34.29,189199.0
2020-01-08,32.61,33.79,32.1975,33.15,137855.0
2020-01-07,33.14,33.51,31.5,32.82,89304.0
2020-01-06,33.8,34.97,32.0001,33.07,107588.0
2020-01-03,35.02,35.98,32.42,33.29,119562.0
2020-01-02,38.07,38.07,35.76,36.34,76969.0
2019-12-31,42.84,42.84,35.24,38.16,233901.0
2019-12-30,40.5,42.89,37.96,42.48,194539.0
2019-12-27,49.24,49.4651,40.76,40.91,122285.0
2019-12-26,45.95,57.4154,45.95,49.51,242357.0
2019-12-24,46.93,47.6758,43.9522,46.53,41277.0
2019-12-23,43.56,48.93,42.2483,46.08,217849.0
2019-12-20,37.49,48.14,35.0,42.19,1236850.0
2019-12-19,35.0,37.3108,35.0,36.69,145286.0
2019-12-18,30.26,40.0,29.8,34.39,205780.0
2019-12-17,30.21,32.03,28.22,30.29,158109.0
2019-12-16,29.29,33.18,29.26,30.14,158861.0
2019-12-13,28.11,30.7099,27.195,29.08,109809.0
2019-12-12,27.49,28.3022,26.555,28.07,101572.0
2019-12-11,27.47,28.2,25.0499,26.33,74632.0
2019-12-10,26.0,28.43,25.5,27.36,103126.0
2019-12-09,23.85,26.9045,23.8,25.75,143711.0
2019-12-06,21.64,23.0,20.34,22.72,207271.0
2019-12-05,22.56,23.3,20.95,21.52,84735.0
2019-12-04,20.13,23.0,19.95,22.21,126733.0
2019-12-03,20.03,20.625,19.605,19.9,110983.0
2019-12-02,23.0,23.636,19.81,20.02,230121.0
2019-11-29,23.05,23.05,21.4006,22.61,81441.0
2019-11-27,23.04,23.375,22.32,22.84,72340.0
2019-11-26,22.8,24.08,22.06,23.06,224404.0
2019-11-25,20.11,23.0,19.955,22.52,251375.0
2019-11-22,20.81,21.5,19.43,20.06,81846.0
2019-11-21,24.2,24.95,20.54,20.73,143583.0
2019-11-20,24.6,26.04,23.24,24.26,132118.0
