date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,6.85,7.7,6.85,7.69,1333884.0
2020-04-08,5.74,6.69,5.71,6.53,871621.0
2020-04-07,5.04,6.22,5.04,5.71,1293686.0
2020-04-06,5.11,5.33,4.7501,4.79,650193.0
2020-04-03,5.5,5.68,4.31,4.87,1025768.0
2020-04-02,6.38,6.64,5.41,5.5,1224531.0
2020-04-01,6.67,6.67,6.0,6.34,1606424.0
2020-03-31,7.18,7.465,6.97,7.31,670314.0
2020-03-30,7.0,7.57,6.6,7.11,1116804.0
2020-03-27,7.51,7.604,6.76,6.95,900392.0
2020-03-26,8.32,8.66,7.26,7.51,781421.0
2020-03-25,9.2,9.5,7.74,7.93,1067477.0
2020-03-24,8.97,9.23,8.71,9.02,507114.0
2020-03-23,8.1,8.29,7.42,8.29,570033.0
2020-03-20,7.05,8.49,6.9,8.27,1301952.0
2020-03-19,6.29,7.3499,6.28,7.01,625269.0
2020-03-18,7.12,7.45,5.865,6.38,792281.0
2020-03-17,7.9,8.94,7.35,7.45,797109.0
2020-03-16,8.98,9.31,7.57,7.61,747166.0
2020-03-13,8.58,11.08,8.16,10.39,1011675.0
2020-03-12,9.87,10.47,7.51,8.29,1240215.0
2020-03-11,10.98,11.13,10.39,10.64,711355.0
2020-03-10,11.91,11.91,10.71,11.07,889191.0
2020-03-09,11.89,12.0709,11.14,11.43,933534.0
2020-03-06,13.29,13.84,12.75,12.76,562142.0
2020-03-05,14.12,14.131,13.2,13.35,581847.0
2020-03-04,14.83,14.8635,14.18,14.4,367088.0
2020-03-03,15.13,15.13,14.525,14.72,409162.0
2020-03-02,15.03,15.15,14.34,15.0,910313.0
2020-02-28,15.99,15.99,14.16,15.11,1156970.0
2020-02-27,15.43,17.8153,14.78,14.96,529948.0
2020-02-26,16.87,16.87,15.48,15.93,885953.0
2020-02-25,17.41,17.41,16.38,16.8,388114.0
2020-02-24,17.6,17.92,16.84,17.31,227696.0
2020-02-21,17.88,18.07,17.76,17.82,310133.0
2020-02-20,17.87,18.02,17.82,17.88,320625.0
2020-02-19,18.29,18.31,17.75,17.85,375702.0
2020-02-18,17.96,18.05,17.6,17.9,265825.0
2020-02-14,18.0,18.125,17.75,17.91,172279.0
2020-02-13,17.76,18.13,17.59,17.99,215057.0
2020-02-12,17.62,17.87,17.62,17.7,185255.0
2020-02-11,17.76,17.98,17.59,17.61,106614.0
2020-02-10,18.11,18.1221,17.57,17.69,141852.0
2020-02-07,18.14,18.24,17.82,18.0,412864.0
2020-02-06,17.97,18.27,17.92,18.14,143001.0
2020-02-05,18.17,18.4175,17.85,17.97,321086.0
2020-02-04,17.94,18.25,17.81,18.07,257669.0
2020-02-03,17.7,17.8959,17.47,17.86,402529.0
2020-01-31,18.01,18.1,17.52,17.68,473656.0
2020-01-30,18.1,18.19,17.71,18.0,265953.0
2020-01-29,18.17,18.27,17.89,18.15,366451.0
2020-01-28,19.69,19.69,17.665,18.15,411859.0
2020-01-27,17.82,18.03,17.732,17.84,707756.0
2020-01-24,17.89,18.08,17.6635,17.86,144307.0
2020-01-23,18.18,18.38,17.66,17.9,394244.0
2020-01-22,18.13,18.35,17.9869,18.22,623344.0
2020-01-21,18.2,18.2757,17.86,17.96,309333.0
2020-01-17,17.58,18.34,17.58,17.99,327698.0
2020-01-16,17.64,17.66,17.3543,17.57,387907.0
2020-01-15,17.1,17.65,17.0,17.57,583965.0
2020-01-14,17.16,17.315,16.88,17.1,501125.0
2020-01-13,17.37,17.45,17.0545,17.14,242078.0
2020-01-10,17.39,17.58,17.2,17.32,717732.0
2020-01-09,17.25,17.43,17.14,17.28,242605.0
2020-01-08,17.35,17.49,16.9,16.97,464873.0
2020-01-07,16.97,17.33,16.86,17.27,986104.0
2020-01-06,16.54,16.87,16.23,16.84,499601.0
2020-01-03,16.6,16.73,16.11,16.61,270839.0
2020-01-02,16.97,16.97,16.16,16.56,300362.0
2019-12-31,16.05,16.95,16.0032,16.9,203460.0
2019-12-30,15.89,16.13,15.61,16.06,136100.0
2019-12-27,16.35,16.64,15.91,16.01,161336.0
