date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,20.33,21.14,18.39,19.09,364458.0
2020-03-30,20.02,20.94,18.58,20.55,330849.0
2020-03-27,17.96,20.88,17.095,19.83,351625.0
2020-03-26,16.54,20.125,16.54,18.9,363656.0
2020-03-25,14.45,16.84,14.05,16.51,290668.0
2020-03-24,15.05,16.32,14.04,14.51,567997.0
2020-03-23,14.89,15.85,13.51,14.0,373358.0
2020-03-20,14.87,15.89,13.09,14.48,302646.0
2020-03-19,14.0,14.95,13.01,14.78,637997.0
2020-03-18,19.48,20.425,14.04,14.05,285826.0
2020-03-17,20.91,21.53,19.89,20.76,280724.0
2020-03-16,22.9,22.99,20.35,20.62,318085.0
2020-03-13,23.28,25.31,22.215,24.9,292997.0
2020-03-12,23.68,23.68,21.86,22.36,353511.0
2020-03-11,25.72,26.1,24.68,25.23,344720.0
2020-03-10,26.0,26.565,25.435,25.87,253385.0
2020-03-09,24.7,25.56,24.01,25.21,236609.0
2020-03-06,26.0,26.34,25.64,26.15,394364.0
2020-03-05,27.95,28.4,26.67,26.83,116854.0
2020-03-04,28.93,29.0,27.5,28.61,136308.0
2020-03-03,29.04,29.555,27.96,28.5,244438.0
2020-03-02,29.23,29.8899,28.4,29.05,127073.0
2020-02-28,29.71,30.0,28.26,28.98,333751.0
2020-02-27,29.82,30.3,28.16,28.37,200856.0
2020-02-26,31.02,31.54,30.32,30.5,115611.0
2020-02-25,31.7,31.7,30.18,30.77,102717.0
2020-02-24,30.34,31.87,30.16,31.45,165369.0
2020-02-21,32.89,32.95,30.91,31.55,173242.0
2020-02-20,32.7,33.57,32.4,32.89,142442.0
2020-02-19,31.97,33.12,31.75,32.72,224483.0
2020-02-18,31.87,32.45,31.7,31.9,116448.0
2020-02-14,32.4,32.64,31.81,31.87,167073.0
2020-02-13,31.22,33.005,30.75,32.25,1241876.0
2020-02-12,34.15,34.15,30.51,31.44,1247352.0
2020-02-11,32.16,35.89,30.77,35.21,344543.0
2020-02-10,36.44,37.8525,35.36,36.15,169064.0
2020-02-07,35.57,36.5,35.43,36.27,117977.0
2020-02-06,35.1,35.65,34.71,35.6,161712.0
2020-02-05,34.82,35.12,34.42,34.98,184016.0
2020-02-04,33.96,34.94,33.7062,34.78,80998.0
2020-02-03,32.33,33.75,32.33,33.51,156275.0
2020-01-31,32.23,32.88,31.9,32.29,128058.0
2020-01-30,32.14,32.9745,32.0,32.39,85076.0
2020-01-29,32.43,32.69,32.01,32.2,76682.0
2020-01-28,31.62,32.74,31.49,32.19,71733.0
2020-01-27,31.31,31.825,30.8588,31.48,75356.0
2020-01-24,33.65,33.89,31.22,32.17,134048.0
2020-01-23,32.81,34.19,32.64,33.48,138590.0
2020-01-22,32.34,33.07,32.33,33.07,197469.0
2020-01-21,31.53,32.3,31.53,32.21,96336.0
2020-01-17,31.68,31.91,31.28,31.8,98845.0
2020-01-16,31.2,31.46,31.0,31.4,152407.0
2020-01-15,30.8,31.46,30.78,31.0,123233.0
2020-01-14,30.64,31.035,30.295,30.8,193503.0
2020-01-13,30.13,30.795,30.13,30.69,86946.0
2020-01-10,30.09,30.32,29.7504,30.09,107497.0
2020-01-09,29.55,30.7,29.4,30.02,209528.0
2020-01-08,29.26,29.81,29.13,29.3,123758.0
2020-01-07,29.13,29.51,28.81,29.13,76902.0
2020-01-06,28.95,29.335,28.46,29.24,66008.0
2020-01-03,28.89,29.465,28.55,28.98,115457.0
2020-01-02,28.41,29.68,28.2262,29.31,110142.0
2019-12-31,27.27,28.51,27.26,28.25,184876.0
2019-12-30,28.17,28.17,27.0,27.3,260154.0
2019-12-27,28.54,28.58,27.89,28.3,56521.0
2019-12-26,27.95,28.61,27.81,28.43,84172.0
2019-12-24,28.37,28.495,27.46,28.03,72307.0
2019-12-23,29.33,29.33,28.26,28.4,113268.0
2019-12-20,29.03,29.48,28.93,29.36,262677.0
2019-12-19,28.87,29.12,28.35,29.06,119598.0
2019-12-18,28.72,29.03,28.45,28.95,138304.0
2019-12-17,28.3,28.85,28.21,28.66,248720.0
2019-12-16,28.52,28.86,28.13,28.48,125722.0
2019-12-13,27.78,28.75,27.78,28.49,129492.0
2019-12-12,28.0,28.33,27.41,27.97,88199.0
2019-12-11,27.79,28.28,27.27,28.0,85448.0
2019-12-10,27.93,28.1,27.3,27.57,120392.0
2019-12-09,28.24,28.24,27.34,28.09,129252.0
2019-12-06,28.4,28.58,28.161,28.24,145588.0
2019-12-05,28.06,28.38,27.9401,28.18,118550.0
2019-12-04,27.48,28.25,27.25,28.11,128684.0
2019-12-03,26.88,27.56,26.73,27.51,161245.0
2019-12-02,27.33,27.35,26.51,27.21,141348.0
2019-11-29,26.97,27.49,26.76,27.32,112045.0
2019-11-27,26.96,27.36,26.37,26.95,159261.0
2019-11-26,26.93,27.59,26.413,26.91,150119.0
2019-11-25,26.02,27.82,26.02,27.0,447458.0
2019-11-22,25.35,26.33,23.55,26.13,368197.0
2019-11-21,22.87,23.28,22.03,22.3,149278.0
2019-11-20,22.58,23.49,22.44,22.81,157622.0
2019-11-19,21.81,22.98,21.65,22.79,106716.0
2019-11-18,22.1,22.22,21.34,21.75,269411.0
2019-11-15,22.55,22.55,21.9,22.08,102401.0
