date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,0.6701,0.6802,0.6701,0.6802,595.0
2020-04-23,0.7099,0.71,0.6701,0.71,1272.0
2020-04-22,0.71,0.71,0.71,0.71,552.0
2020-04-21,0.65,0.73,0.65,0.729,797.0
2020-04-20,0.74,0.74,0.6923,0.74,5413.0
2020-04-17,0.69,0.739,0.69,0.739,2128.0
2020-04-16,0.655,0.7,0.655,0.695,1846.0
2020-04-15,0.6654,0.6998,0.6309,0.6998,8186.0
2020-04-14,0.6315,0.695,0.6315,0.69,2715.0
2020-04-13,0.67,0.67,0.64,0.65,23119.0
2020-04-09,0.7398,0.7398,0.6641,0.6641,1653.0
2020-04-08,0.6641,0.6641,0.6641,0.6641,470.0
2020-04-07,0.714,0.75,0.6632,0.6632,2042.0
2020-04-06,0.6628,0.7598,0.6628,0.75,2358.0
2020-04-03,0.6624,0.7665,0.6624,0.7295,4037.0
2020-04-02,0.7697,0.7699,0.65,0.7499,1365.0
2020-04-01,0.74,0.77,0.7,0.7043,4362.0
2020-03-31,0.7405,0.77,0.7395,0.7399,4155.0
2020-03-30,0.6902,0.7382,0.6601,0.7382,7186.0
2020-03-27,0.6633,0.728,0.66,0.726,756.0
2020-03-26,0.71,0.77,0.65,0.654,10995.0
2020-03-25,0.63,0.71,0.63,0.67,16496.0
2020-03-24,0.6599,0.66,0.63,0.64,4867.0
2020-03-23,0.6536,0.66,0.63,0.65,1843.0
2020-03-20,0.74,0.76,0.652,0.6542,3376.0
2020-03-19,0.61,0.7699,0.595,0.6501,8412.0
2020-03-18,0.6301,0.6428,0.62,0.625,87007.0
2020-03-17,0.65,0.66,0.62,0.62,47917.0
2020-03-16,0.675,0.675,0.63,0.63,14657.0
2020-03-13,0.68,0.71,0.68,0.68,21608.0
2020-03-12,0.7786,0.7799,0.68,0.68,28591.0
2020-03-11,0.7201,0.79,0.72,0.7201,13895.0
2020-03-10,0.74,0.7799,0.74,0.7799,2091.0
2020-03-09,0.7,0.79,0.7,0.7201,10755.0
2020-03-06,0.75,0.79,0.745,0.7663,1848.0
2020-03-05,0.79,0.79,0.745,0.75,14052.0
2020-03-04,0.7899,0.7899,0.751,0.7775,1519.0
2020-03-03,0.75,0.79,0.75,0.7502,6883.0
2020-03-02,0.78,0.78,0.75,0.75,6689.0
