date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,12.39,12.77,12.3,12.77,22142.0
2020-03-30,11.0,12.52,10.53,12.51,13144.0
2020-03-27,11.45,12.15,10.83,11.04,73541.0
2020-03-26,10.92,12.38,10.65,12.07,45789.0
2020-03-25,11.17,11.57,10.195,10.98,40754.0
2020-03-24,9.87,10.8299,9.5,10.36,48034.0
2020-03-23,11.84,12.33,8.49,9.25,44880.0
2020-03-20,12.01,12.2899,10.83,11.6,79155.0
2020-03-19,12.0,14.0,11.51,12.22,47371.0
2020-03-18,12.08,13.05,10.9,11.94,42419.0
2020-03-17,12.51,13.4,11.54,13.0,170544.0
2020-03-16,16.5,16.5,12.31,12.51,98824.0
2020-03-13,17.37,18.245,16.5,16.75,25647.0
2020-03-12,16.51,17.4177,16.51,16.62,34239.0
2020-03-11,18.0,18.23,17.23,17.42,20512.0
2020-03-10,17.35,18.39,16.55,18.25,15065.0
2020-03-09,17.92,17.92,16.27,16.76,127055.0
2020-03-06,20.3,20.94,18.47,18.88,16176.0
2020-03-05,21.2,22.6,20.72,20.84,22235.0
2020-03-04,21.0,21.51,21.0,21.5,18779.0
2020-03-03,21.5,21.5,21.0,21.0,222013.0
2020-03-02,21.53,21.63,21.25,21.46,23039.0
2020-02-28,21.99,21.99,21.18,21.36,29346.0
2020-02-27,22.19,22.51,22.0,22.0,15776.0
2020-02-26,22.42,22.885,22.42,22.56,10540.0
2020-02-25,22.61,23.0878,22.0001,22.28,20035.0
2020-02-24,22.0,22.64,22.0,22.41,11365.0
2020-02-21,22.72,22.78,22.48,22.48,13504.0
2020-02-20,22.7,23.06,22.5,22.5,17092.0
2020-02-19,23.26,23.34,22.91,22.91,5958.0
2020-02-18,23.18,23.55,22.7,22.81,12300.0
2020-02-14,23.89,23.89,23.07,23.07,36975.0
2020-02-13,23.76,23.9,23.62,23.9,10352.0
2020-02-12,24.19,24.22,23.6,23.74,16138.0
2020-02-11,23.79,24.0,23.79,23.93,11221.0
2020-02-10,23.39,23.9,23.35,23.86,19187.0
2020-02-07,22.8125,23.41,22.5415,23.26,17456.0
2020-02-06,23.34,23.375,23.1,23.11,15806.0
2020-02-05,22.51,23.0,22.51,23.0,32767.0
2020-02-04,22.4,22.8,22.14,22.14,15542.0
2020-02-03,22.01,22.7434,22.01,22.04,9628.0
2020-01-31,22.93,22.93,22.11,22.11,16760.0
2020-01-30,22.63,23.2,22.63,22.83,7657.0
2020-01-29,22.9,23.38,22.69,22.69,14995.0
2020-01-28,23.01,23.21,22.5867,22.98,14557.0
2020-01-27,22.85,22.96,22.24,22.63,10267.0
2020-01-24,23.52,24.2099,23.0,23.24,6117.0
2020-01-23,24.01,24.4,23.56,23.6,14709.0
2020-01-22,23.5586,24.11,23.5586,24.03,3294.0
2020-01-21,23.6923,24.0856,23.51,23.72,10425.0
2020-01-17,24.4,24.4,23.905,23.96,7898.0
2020-01-16,24.23,24.35,24.23,24.23,6137.0
2020-01-15,24.05,24.14,23.99,24.1,7854.0
2020-01-14,24.36,24.38,24.0,24.0,21883.0
2020-01-13,24.2,24.37,24.0,24.37,7043.0
2020-01-10,24.0,24.24,24.0,24.03,10412.0
2020-01-09,24.0,24.09,24.0,24.09,8126.0
2020-01-08,24.0,24.185,24.0,24.0,6228.0
2020-01-07,24.14,24.16,24.0,24.0,4684.0
2020-01-06,24.16,24.38,24.05,24.05,5915.0
2020-01-03,24.14,24.34,24.0,24.2,8649.0
2020-01-02,23.85,24.27,23.85,24.14,5871.0
2019-12-31,24.19,24.2,24.0,24.0,9584.0
2019-12-30,24.26,24.32,24.075,24.09,9309.0
2019-12-27,24.49,24.49,24.04,24.12,6464.0
2019-12-26,24.38,24.65,24.18,24.18,8179.0
2019-12-24,24.93,24.94,24.23,24.24,4194.0
2019-12-23,25.12,25.12,24.67,24.67,5868.0
2019-12-20,25.42,25.5,24.87,25.21,32665.0
2019-12-19,25.42,25.55,25.32,25.32,12756.0
2019-12-18,25.56,25.74,25.4,25.62,15241.0
2019-12-17,25.5,25.63,25.25,25.36,35416.0
2019-12-16,26.0,26.46,25.43,25.63,17337.0
2019-12-13,25.63,26.0,25.42,25.92,6664.0
2019-12-12,25.47,25.85,25.43,25.63,8117.0
2019-12-11,25.335,25.53,25.0,25.49,6846.0
2019-12-10,24.46,25.28,24.46,25.28,6540.0
2019-12-09,25.39,25.5521,24.3,24.3,19296.0
2019-12-06,25.0,25.85,24.87,25.61,13249.0
2019-12-05,24.66,24.7698,24.64,24.69,3640.0
2019-12-04,24.36,24.78,24.15,24.46,8604.0
2019-12-03,24.47,24.47,24.285,24.43,2961.0
2019-12-02,24.77,24.77,24.37,24.6,4809.0
2019-11-29,25.16,25.225,24.67,25.02,4067.0
2019-11-27,25.48,25.48,25.16,25.3,2134.0
2019-11-26,25.05,25.67,25.05,25.48,16714.0
2019-11-25,24.12,25.27,24.12,25.17,7781.0
2019-11-22,24.15,24.39,23.66,24.22,14192.0
2019-11-21,24.99,24.99,24.0,24.0,12227.0
2019-11-20,25.35,25.45,24.51,24.81,18055.0
2019-11-19,25.35,26.0,25.205,25.4,43023.0
2019-11-18,25.43,25.44,25.1,25.37,4193.0
2019-11-15,25.34,25.43,23.987,25.16,14682.0
2019-11-14,24.4309,25.3,24.2524,25.3,9845.0
2019-11-13,23.51,25.11,23.51,24.71,2945.0
2019-11-12,25.13,25.44,25.13,25.16,4761.0
2019-11-11,25.0,25.3818,24.8112,25.2,4457.0
2019-11-08,25.3,25.63,25.2,25.3,40644.0
2019-11-07,25.35,25.6,25.14,25.21,6464.0
2019-11-06,25.0,25.51,24.9107,25.03,15394.0
2019-11-05,25.0,25.875,25.0,25.15,27690.0
2019-11-04,24.95,25.0,24.79,25.0,12576.0
2019-11-01,24.94,24.95,24.63,24.94,8726.0
2019-10-31,24.84,24.84,24.585,24.81,9192.0
2019-10-30,25.0,25.0,24.57,24.74,10367.0
2019-10-29,24.19,25.0,23.925,24.97,10843.0
2019-10-28,23.88,24.6,23.7175,24.29,12253.0
2019-10-25,23.84,24.02,23.84,23.88,37431.0
2019-10-24,24.05,24.16,23.85,23.9,45913.0
2019-10-23,23.97,24.0,23.87,23.92,8836.0
2019-10-22,23.9577,24.05,23.85,24.0,10718.0
2019-10-21,24.0,24.085,23.92,24.0,14192.0
2019-10-18,23.81,24.0025,23.7801,23.84,17234.0
2019-10-17,23.96,24.17,23.95,23.96,12064.0
2019-10-16,24.02,24.02,23.89,24.0,4792.0
2019-10-15,23.95,23.95,23.79,23.92,8845.0
2019-10-14,23.7975,24.01,23.62,23.9,9944.0
2019-10-11,24.0,24.2374,23.678,23.8,12709.0
2019-10-10,23.84,24.4,23.76,23.76,14247.0
2019-10-09,23.64,24.0,23.64,23.98,13360.0
2019-10-08,23.29,23.47,23.29,23.37,4026.0
2019-10-07,23.51,23.6,23.44,23.44,2473.0
2019-10-04,23.2036,23.69,23.2036,23.57,7053.0
2019-10-03,23.38,23.67,23.1,23.67,4885.0
2019-10-02,23.56,23.8,23.4,23.47,7134.0
2019-10-01,23.89,24.0,23.65,23.65,5472.0
2019-09-30,23.6,24.0,23.4427,23.8,14673.0
2019-09-27,23.75,24.1,23.61,23.61,10211.0
2019-09-26,24.16,24.16,23.62,23.68,12359.0
2019-09-25,23.81,23.88,23.3192,23.8,17639.0
2019-09-24,23.84,24.16,23.5523,23.72,14103.0
2019-09-23,23.52,24.02,23.52,23.94,10128.0
2019-09-20,23.9,24.04,23.57,23.6,153728.0
2019-09-19,23.92,24.35,23.92,23.96,27742.0
2019-09-18,24.25,24.5,23.92,24.09,15052.0
2019-09-17,23.8,24.25,23.8,24.22,13203.0
2019-09-16,23.68,24.1,23.68,24.1,19918.0
2019-09-13,23.74,23.97,23.44,23.83,7131.0
2019-09-12,23.25,23.74,23.1613,23.63,20243.0
2019-09-11,23.5,23.5,23.26,23.5,14166.0
2019-09-10,23.04,23.495,23.04,23.33,10646.0
2019-09-09,22.94,23.25,22.84,23.11,8049.0
2019-09-06,23.1,23.1,22.77,22.87,7896.0
2019-09-05,23.0,23.25,21.78,23.02,6657.0
2019-09-04,22.99,23.0,22.73,22.98,4502.0
2019-09-03,23.07,23.0901,22.72,22.89,7209.0
2019-08-30,23.11,23.22,22.94,23.22,7168.0
2019-08-29,23.0,23.485,22.75,22.75,10083.0
2019-08-28,22.59,22.99,22.519,22.88,21245.0
2019-08-27,22.9,22.91,22.25,22.58,10814.0
2019-08-26,22.37,22.88,22.09,22.88,11746.0
2019-08-23,22.75,23.02,21.82,22.02,13873.0
2019-08-22,23.05,23.05,23.05,23.05,2773.0
2019-08-21,23.15,23.33,23.05,23.06,4302.0
2019-08-20,23.36,23.5,23.05,23.2,5209.0
2019-08-19,23.3,23.75,23.3,23.73,2482.0
2019-08-16,22.93,23.25,22.92,23.25,18583.0
2019-08-15,23.05,23.09,22.74,22.74,32220.0
2019-08-14,23.1,23.34,23.05,23.06,9160.0
2019-08-13,23.33,23.92,23.33,23.8,5285.0
2019-08-12,23.19,23.384,23.19,23.21,2053.0
2019-08-09,23.43,23.5,22.835,23.15,6575.0
2019-08-08,23.49,23.5,23.3,23.3,6564.0
2019-08-07,22.17,23.28,21.48,23.06,4205.0
2019-08-06,23.44,23.49,23.35,23.35,7962.0
2019-08-05,23.42,23.42,23.21,23.25,13018.0
2019-08-02,24.02,24.02,23.53,23.7,2916.0
2019-08-01,24.23,24.5,23.76,23.85,11530.0
2019-07-31,24.42,24.43,24.04,24.11,33503.0
2019-07-30,24.05,24.5,24.05,24.25,10386.0
2019-07-29,23.52,24.435,23.52,24.1,12696.0
2019-07-26,23.5,24.49,23.3779,24.26,11450.0
2019-07-25,23.42,23.52,23.25,23.25,6899.0
2019-07-24,23.43,23.63,23.25,23.63,23259.0
2019-07-23,23.25,23.62,23.25,23.62,5947.0
2019-07-22,23.18,23.68,23.1,23.36,5833.0
2019-07-19,23.48,23.79,23.2,23.3,9590.0
2019-07-18,23.8,23.8,23.5,23.66,6570.0
2019-07-17,23.7221,23.835,23.7221,23.8,3421.0
2019-07-16,23.71,23.975,23.71,23.9,2837.0
2019-07-15,23.81,23.93,23.61,23.9,5034.0
2019-07-12,23.75,23.98,23.67,23.82,10710.0
