date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,46.63,47.39,46.445,47.01,2679965.0
2020-03-30,46.34,47.03,45.98,47.03,5224421.0
2020-03-27,45.95,46.95,45.61,46.07,4891359.0
2020-03-26,46.34,47.9399,46.23,47.74,2698703.0
2020-03-25,45.01,46.66,44.39,46.0,9522306.0
2020-03-24,43.84,44.54,43.47,44.52,5883315.0
2020-03-23,41.84,41.89,40.65,40.8,6384432.0
2020-03-20,43.17,43.662,41.64,41.82,3811728.0
2020-03-19,41.11,42.68,40.72,41.96,3533825.0
2020-03-18,41.38,42.62,40.35,41.55,6767797.0
2020-03-17,43.06,44.45,42.32,43.5,6916819.0
2020-03-16,41.99,43.983,41.23,42.12,3228230.0
2020-03-13,47.88,47.89,44.8601,47.06,8958426.0
2020-03-12,46.22,46.48,44.121,44.77,3603482.0
2020-03-11,51.56,51.64,49.94,50.19,3206931.0
2020-03-10,52.96,53.02,51.35,52.94,3093972.0
2020-03-09,51.58,52.38,50.85,51.0,1996917.0
2020-03-06,55.1,55.52,54.72,55.33,877325.0
2020-03-05,56.46,56.81,55.9,56.13,1465454.0
2020-03-04,57.01,57.58,56.67,57.52,719835.0
2020-03-03,56.95,57.64,55.77,56.12,2725631.0
2020-03-02,55.78,56.67,55.34,56.67,2639936.0
2020-02-28,54.68,55.78,54.29,55.74,5074522.0
2020-02-27,56.81,57.35,56.1,56.11,1763590.0
2020-02-26,58.07,58.46,57.66,57.77,1384964.0
2020-02-25,58.88,58.89,57.5472,57.6,2530859.0
2020-02-24,58.42,58.8254,58.3,58.48,2327002.0
2020-02-21,60.87,60.9366,60.64,60.79,845241.0
2020-02-20,61.24,61.34,60.74,61.06,957192.0
2020-02-19,61.53,61.605,61.47,61.53,1004380.0
2020-02-18,61.21,61.34,61.12,61.27,614106.0
2020-02-14,61.77,61.77,61.47,61.63,728620.0
2020-02-13,61.61,61.85,61.515,61.68,826326.0
2020-02-12,62.02,62.16,61.95,62.11,2461962.0
2020-02-11,61.69,61.895,61.62,61.77,920026.0
2020-02-10,61.0,61.25,60.98,61.21,931988.0
2020-02-07,61.25,61.256,60.9866,61.07,936640.0
2020-02-06,61.81,61.81,61.6137,61.65,790711.0
2020-02-05,61.73,61.761,61.38,61.61,1418124.0
2020-02-04,61.06,61.21,61.0,61.13,3277679.0
2020-02-03,59.97,60.285,59.97,60.0,1164517.0
2020-01-31,60.19,60.26,59.605,59.93,3550052.0
2020-01-30,60.43,60.83,60.21,60.82,798610.0
2020-01-29,61.23,61.28,61.0,61.04,542952.0
2020-01-28,60.76,61.0955,60.635,61.09,680803.0
2020-01-27,60.49,60.79,60.34,60.56,1657209.0
2020-01-24,62.48,62.48,61.8,61.94,2041326.0
2020-01-23,62.12,62.335,61.8253,62.31,1247784.0
2020-01-22,62.67,62.67,62.43,62.51,1015987.0
2020-01-21,62.52,62.62,62.28,62.28,1259039.0
2020-01-17,62.94,63.03,62.83,63.03,781348.0
2020-01-16,62.69,62.81,62.63,62.77,3224310.0
2020-01-15,62.52,62.6,62.425,62.47,802194.0
2020-01-14,62.47,62.665,62.41,62.65,669874.0
2020-01-13,62.32,62.66,62.195,62.66,735666.0
2020-01-10,62.29,62.4,62.07,62.13,2002042.0
2020-01-09,62.23,62.24,62.08,62.23,676562.0
2020-01-08,61.78,62.1962,61.78,62.01,1062552.0
2020-01-07,61.96,61.995,61.805,61.85,972696.0
2020-01-06,61.64,61.98,61.64,61.97,915326.0
2020-01-03,61.85,62.2,61.8484,61.85,2020807.0
2020-01-02,62.39,62.65,62.3753,62.6,926011.0
2019-12-31,61.72,61.96,61.615,61.9,1183371.0
2019-12-30,62.18,62.18,61.65,61.73,1027344.0
2019-12-27,62.17,62.205,62.02,62.1,815131.0
2019-12-26,61.75,61.93,61.7,61.89,478967.0
2019-12-24,61.65,61.65,61.5227,61.62,483253.0
2019-12-23,61.56,61.64,61.54,61.64,1447097.0
2019-12-20,61.66,61.66,61.52,61.56,3589088.0
2019-12-19,61.31,61.46,61.265,61.41,1396082.0
2019-12-18,61.41,61.45,61.315,61.45,709767.0
2019-12-17,61.39,61.505,61.315,61.39,4520511.0
2019-12-16,61.47,61.56,61.42,61.48,680428.0
2019-12-13,61.83,62.19,61.665,61.87,1198410.0
2019-12-12,61.03,61.61,61.01,61.58,1207948.0
2019-12-11,60.68,61.08,60.68,61.0,660357.0
2019-12-10,60.56,60.71,60.43,60.62,665419.0
2019-12-09,60.73,60.83,60.54,60.57,784112.0
2019-12-06,60.77,60.84,60.7,60.84,513024.0
2019-12-05,60.38,60.404,60.2043,60.32,582921.0
2019-12-04,60.22,60.34,60.15,60.29,918935.0
2019-12-03,59.53,59.83,59.3501,59.83,1010928.0
2019-12-02,60.24,60.26,59.83,59.99,1111819.0
2019-11-29,60.35,60.4,60.26,60.28,574264.0
2019-11-27,60.69,60.8,60.63,60.8,388779.0
2019-11-26,60.54,60.67,60.46,60.6,540432.0
2019-11-25,60.48,60.67,60.4532,60.67,631199.0
2019-11-22,60.27,60.31,60.065,60.21,308869.0
2019-11-21,60.12,60.14,59.9,60.09,396407.0
2019-11-20,60.24,60.35,59.967,60.2,676592.0
2019-11-19,60.73,60.75,60.41,60.48,436919.0
2019-11-18,60.45,60.59,60.335,60.55,368420.0
2019-11-15,60.32,60.52,60.2958,60.52,521337.0
2019-11-14,59.97,60.1,59.87,60.07,886053.0
2019-11-13,59.98,60.22,59.94,60.19,1172976.0
2019-11-12,60.46,60.54,60.31,60.42,356869.0
2019-11-11,60.28,60.51,60.2297,60.47,355136.0
