date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,10.05,10.05,9.98,10.0,129939.0
2020-03-30,10.22,10.22,10.22,10.22,54.0
2020-03-27,10.39,10.39,10.2,10.22,10105.0
2020-03-26,10.19,13.0,9.8708,10.16,26077.0
2020-03-25,9.98,10.105,9.98,10.0401,4217.0
2020-03-24,10.02,10.02,9.6,10.0,3056.0
2020-03-23,9.41,10.0444,9.41,9.985,6187.0
2020-03-20,9.0,9.0,7.36,7.36,6378.0
2020-03-19,10.19,10.7,10.055,10.055,732.0
2020-03-18,9.7,9.7,9.7,9.7,149.0
2020-03-17,9.8,9.8,9.7,9.7,877.0
2020-03-16,10.17,10.17,10.17,10.17,151.0
2020-03-13,10.17,10.17,9.78,10.1,24306.0
2020-03-12,10.19,10.19,9.57,10.12,16707.0
2020-03-11,10.14,10.14,10.129,10.129,20107.0
2020-03-10,10.15,10.15,10.12,10.12,15209.0
2020-03-09,10.17,10.17,9.52,10.1198,2900.0
2020-03-06,10.17,10.17,10.1,10.15,37218.0
2020-03-05,10.1399,10.17,10.1,10.17,698.0
2020-03-04,10.14,10.14,10.14,10.14,495.0
2020-03-03,10.14,10.14,10.14,10.14,3698.0
2020-03-02,10.15,10.17,10.13,10.14,7452.0
2020-02-28,10.18,10.18,10.1658,10.1658,1346.0
2020-02-27,10.19,10.19,10.17,10.17,710.0
2020-02-26,10.19,10.19,10.145,10.17,802.0
2020-02-25,10.2,10.2,10.0562,10.18,3459.0
2020-02-24,10.2,10.2,10.2,10.2,250.0
2020-02-21,10.15,10.15,10.15,10.15,0.0
2020-02-20,10.15,10.15,10.15,10.15,11.0
2020-02-19,10.2,10.2,10.15,10.15,1409.0
2020-02-18,10.18,10.18,10.17,10.18,731.0
2020-02-14,10.1,10.1,10.1,10.1,1.0
2020-02-13,10.1,10.1,10.1,10.1,0.0
2020-02-12,10.1,10.1,10.1,10.1,18780.0
2020-02-11,10.1,10.145,10.1,10.1,13086.0
2020-02-10,10.05,10.05,10.05,10.05,9.0
2020-02-07,10.14,10.14,10.05,10.05,17260.0
2020-02-06,10.1395,10.1724,10.1395,10.1697,4370.0
2020-02-04,10.13,10.13,10.13,10.13,0.0
2020-02-03,10.13,10.13,10.13,10.13,25.0
2020-01-31,10.06,10.16,10.05,10.13,21329.0
2020-01-30,10.13,10.13,10.13,10.13,76403.0
2020-01-29,10.14,10.14,10.13,10.13,4118.0
2020-01-28,10.14,10.14,10.14,10.14,700.0
2020-01-27,10.14,10.14,10.1,10.13,125000.0
2020-01-24,10.19,10.19,10.19,10.19,2.0
2020-01-23,10.1653,10.19,10.15,10.19,6510.0
2020-01-22,10.162,10.162,10.1528,10.1528,421.0
2020-01-21,10.143,10.143,10.143,10.143,0.0
2020-01-17,10.1428,10.1428,10.1428,10.1428,400.0
2020-01-16,10.15,10.15,10.15,10.15,0.0
2020-01-15,10.135,10.18,10.135,10.15,5000.0
2020-01-14,10.07,10.07,10.07,10.07,5000.0
2020-01-13,10.06,10.06,10.03,10.03,83498.0
2020-01-10,10.0327,10.0327,10.03,10.03,310.0
2020-01-09,10.03,10.05,10.03,10.05,129449.0
2020-01-08,10.04,10.04,10.04,10.04,500.0
2020-01-07,10.03,10.05,10.03,10.05,5300.0
2020-01-06,10.02,10.02,10.02,10.02,22000.0
2020-01-03,10.02,10.02,10.02,10.02,0.0
2020-01-02,10.02,10.02,10.02,10.02,2.0
2019-12-31,10.04,10.04,10.02,10.02,1100.0
2019-12-30,10.01,10.03,10.01,10.02,6253.0
2019-12-27,10.0,10.06,10.0,10.01,5100.0
2019-12-26,10.06,10.06,10.06,10.06,50000.0
2019-12-24,10.0227,10.03,10.02,10.03,25249.0
2019-12-23,10.01,10.01,10.01,10.01,25002.0
2019-12-20,10.0,10.0,10.0,10.0,40050.0
2019-12-19,10.0,10.0,10.0,10.0,20.0
2019-12-18,10.0,10.0,9.98,10.0,225280.0
2019-12-17,10.02,10.02,10.02,10.02,0.0
2019-12-16,10.02,10.02,10.02,10.02,0.0
2019-12-13,10.02,10.02,10.02,10.02,50.0
2019-12-12,10.02,10.02,10.02,10.02,5.0
2019-12-11,10.02,10.02,10.02,10.02,300.0
2019-12-10,9.99,9.99,9.99,9.99,500.0
2019-12-09,10.02,10.02,10.02,10.02,0.0
2019-12-06,10.02,10.02,10.02,10.02,0.0
2019-12-05,10.09,10.09,10.02,10.02,5188.0
2019-12-04,10.04,10.04,10.04,10.04,1.0
2019-12-03,10.01,10.04,10.0,10.04,3874.0
2019-12-02,10.02,10.02,10.02,10.02,0.0
2019-11-29,10.04,10.04,10.02,10.02,400.0
2019-11-27,10.04,10.0409,9.9588,10.04,600.0
2019-11-26,10.05,10.05,10.02,10.04,600.0
2019-11-25,10.02,10.02,10.02,10.02,200.0
2019-11-22,10.0,10.04,10.0,10.04,300.0
2019-11-21,10.03,10.03,10.03,10.03,507.0
2019-11-20,9.98,9.98,9.98,9.98,0.0
2019-11-19,9.98,9.98,9.98,9.98,205.0
2019-11-18,10.0,10.0,9.96,9.98,601.0
2019-11-15,10.0,10.01,9.91,9.98,2400.0
2019-11-14,9.918,10.05,9.918,10.01,3538.0
2019-11-13,9.99,9.99,9.99,9.99,0.0
2019-11-12,9.97,9.99,9.96,9.99,1200.0
2019-11-11,9.95,9.98,9.95,9.98,1500.0
2019-11-08,9.96,9.96,9.9,9.96,108491.0
2019-11-07,9.95,9.95,9.94,9.94,6115.0
2019-11-06,9.96,9.96,9.93,9.95,93749.0
2019-11-05,9.96,9.97,9.96,9.97,300.0
2019-11-04,9.9601,9.9601,9.96,9.96,3005.0
2019-11-01,9.96,9.96,9.96,9.96,198.0
2019-10-31,9.961,9.97,9.96,9.97,2800.0
2019-10-30,9.96,9.9654,9.96,9.96,430.0
2019-10-29,9.97,9.97,9.97,9.97,219.0
2019-10-28,9.97,9.97,9.97,9.97,299.0
2019-10-25,9.95,9.97,9.95,9.97,8600.0
2019-10-24,9.98,9.98,9.98,9.98,0.0
2019-10-23,9.98,9.98,9.98,9.98,0.0
2019-10-22,9.98,9.98,9.98,9.98,0.0
2019-10-21,9.95,9.98,9.93,9.98,4100.0
2019-10-18,9.99,9.99,9.9709,9.9709,3350.0
2019-10-17,9.97,9.97,9.97,9.97,135.0
2019-10-16,9.975,9.975,9.9701,9.9701,290.0
2019-10-15,9.98,9.98,9.98,9.98,1100.0
2019-10-14,9.97,9.97,9.97,9.97,0.0
2019-10-11,9.97,9.97,9.97,9.97,50.0
2019-10-10,9.93,9.97,9.93,9.97,5600.0
2019-10-09,9.96,9.97,9.93,9.97,4228.0
2019-10-08,9.98,9.98,9.98,9.98,0.0
2019-10-07,9.96,9.98,9.96,9.98,9900.0
2019-10-04,9.95,9.98,9.95,9.98,1100.0
2019-10-03,9.99,9.99,9.99,9.99,0.0
2019-10-02,9.99,9.99,9.99,9.99,0.0
2019-10-01,9.97,9.99,9.97,9.99,1300.0
2019-09-30,9.99,9.99,9.99,9.99,406.0
2019-09-27,9.97,9.97,9.97,9.97,300.0
2019-09-26,9.99,9.99,9.99,9.99,0.0
2019-09-25,9.99,9.99,9.99,9.99,0.0
2019-09-24,9.9883,9.99,9.96,9.99,6675.0
2019-09-23,9.97,9.99,9.97,9.99,1100.0
2019-09-20,9.9806,10.0,9.9806,9.999,2058.0
2019-09-19,10.0,10.0,9.94,9.99,177778.0
2019-09-18,9.965,9.965,9.93,9.93,18250.0
2019-09-17,9.98,9.98,9.98,9.98,0.0
2019-09-16,9.98,9.98,9.98,9.98,6.0
2019-09-13,9.95,9.98,9.95,9.98,35229.0
2019-09-12,9.97,9.97,9.97,9.97,0.0
2019-09-11,9.97,9.97,9.97,9.97,0.0
2019-09-10,9.97,9.97,9.97,9.97,42.0
2019-09-09,9.97,9.97,9.95,9.97,23799.0
2019-09-06,9.97,9.97,9.97,9.97,83.0
2019-09-05,9.97,9.97,9.97,9.97,0.0
2019-09-04,9.94,9.97,9.93,9.97,2130.0
2019-09-03,9.96,9.96,9.96,9.96,2.0
2019-08-30,9.93,9.96,9.93,9.96,15208.0
2019-08-29,9.94,9.94,9.94,9.94,0.0
2019-08-28,9.93,9.94,9.93,9.94,50601.0
2019-08-27,9.95,9.95,9.94,9.94,700.0
2019-08-26,9.95,9.95,9.95,9.95,200.0
2019-08-23,9.96,9.96,9.96,9.96,0.0
2019-08-22,9.96,9.96,9.96,9.96,0.0
2019-08-21,9.96,9.96,9.96,9.96,0.0
2019-08-20,9.96,9.96,9.96,9.96,100.0
2019-08-19,9.95,9.98,9.95,9.98,3394.0
2019-08-16,9.95,9.97,9.95,9.97,15913.0
2019-08-15,9.98,9.98,9.98,9.98,87.0
2019-08-14,9.92,9.98,9.92,9.98,5582.0
2019-08-13,9.98,9.98,9.98,9.98,0.0
2019-08-12,9.98,9.98,9.98,9.98,3.0
2019-08-09,9.98,9.98,9.98,9.98,60.0
2019-08-08,9.98,9.98,9.98,9.98,54.0
2019-08-07,10.0,10.0,9.91,9.98,18374.0
2019-08-06,10.18,10.18,9.985,9.985,454.0
2019-08-05,9.96,9.97,9.95,9.97,3501.0
2019-08-02,9.98,9.98,9.98,9.98,3389.0
2019-08-01,9.95,10.0,9.95,10.0,27800.0
2019-07-31,9.904,9.904,9.904,9.904,0.0
2019-07-30,9.904,9.904,9.904,9.904,0.0
2019-07-29,9.904,9.904,9.904,9.904,1.0
2019-07-26,9.904,9.904,9.904,9.904,0.0
2019-07-25,9.904,9.904,9.904,9.904,11.0
2019-07-24,9.95,9.95,9.904,9.904,550.0
2019-07-23,9.95,9.95,9.95,9.95,0.0
2019-07-22,9.94,9.95,9.94,9.95,201.0
2019-07-19,9.94,9.98,9.88,9.88,21726.0
