date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,18.982,19.99,18.982,19.9,20697.0
2020-04-23,18.0,19.32,18.0,19.15,14920.0
2020-04-22,18.0,18.7272,17.93,18.1899,11034.0
2020-04-21,18.2208,18.2208,17.4525,18.08,20206.0
2020-04-20,17.92,18.3895,17.372,17.98,17196.0
2020-04-17,18.06,18.06,17.6,17.69,9283.0
2020-04-16,17.36,17.7126,17.15,17.18,20015.0
2020-04-15,17.8,18.75,17.02,17.24,16331.0
2020-04-14,18.5,18.5,17.5913,17.8914,22955.0
2020-04-13,17.73,18.9999,16.9,17.75,26673.0
2020-04-09,17.2,18.5,17.17,18.5,61255.0
2020-04-08,16.03,17.09,16.03,17.08,27141.0
2020-04-07,16.15,16.965,15.7,16.67,28694.0
2020-04-06,14.76,16.3739,14.76,15.22,12823.0
2020-04-03,14.92,15.0,13.68,14.2,35473.0
2020-04-02,16.14,17.2355,15.25,15.39,9497.0
2020-04-01,16.54,17.4232,14.69,15.93,31339.0
2020-03-31,17.08,17.6,16.3873,17.3865,18314.0
2020-03-30,16.5,17.89,16.0,17.17,12592.0
2020-03-27,16.5,16.88,15.51,16.4,22236.0
2020-03-26,16.28,18.5,15.51,17.2,45448.0
2020-03-25,13.36,17.5,13.36,15.69,78632.0
2020-03-24,12.45,15.53,12.45,13.685,33514.0
2020-03-23,16.51,16.51,11.85,12.51,40564.0
2020-03-20,15.91,19.32,14.675,16.85,22792.0
2020-03-19,11.75,15.84,8.11,15.8,73528.0
2020-03-18,13.76,13.895,7.01,11.62,95737.0
2020-03-17,16.78,16.78,13.9501,14.51,45448.0
2020-03-16,17.0,18.56,15.8,15.8,20171.0
2020-03-13,19.12,19.2069,17.0,18.57,34205.0
2020-03-12,20.51,20.51,17.0,19.0,49247.0
2020-03-11,22.12,22.12,20.7708,21.4775,17205.0
2020-03-10,22.87,22.87,21.042,22.12,25097.0
2020-03-09,21.99,22.45,20.5,22.0,62269.0
2020-03-06,22.94,23.6195,22.32,22.8,21013.0
2020-03-05,23.28,24.2303,23.28,23.65,26897.0
2020-03-04,23.2,23.94,23.1,23.94,22316.0
2020-03-03,23.37,23.7121,22.88,23.0,21925.0
2020-03-02,22.75,23.5504,22.3144,22.89,31940.0
2020-02-28,23.79,24.13,22.02,22.45,52056.0
2020-02-27,23.18,24.205,22.62,23.83,40296.0
2020-02-26,23.43,23.82,23.43,23.65,32792.0
2020-02-25,24.1,24.25,23.4,23.5,36441.0
2020-02-24,24.2,24.3489,23.9,23.93,22388.0
2020-02-21,24.47,24.76,24.29,24.31,17906.0
2020-02-20,24.61,24.78,24.34,24.64,30986.0
2020-02-19,24.64,24.79,24.58,24.58,27795.0
2020-02-18,24.62,24.67,24.28,24.5698,10906.0
2020-02-14,24.4438,24.51,24.283,24.47,4285.0
2020-02-13,24.68,24.68,24.21,24.35,33994.0
2020-02-12,24.56,24.7484,24.56,24.68,14032.0
2020-02-11,24.6,24.6981,24.5119,24.62,29814.0
2020-02-10,24.61,24.79,24.56,24.69,10292.0
2020-02-07,24.79,24.9363,24.51,24.51,35242.0
2020-02-06,24.88,24.95,24.8539,24.93,10431.0
2020-02-05,24.94,24.94,24.73,24.78,29594.0
