date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,7.54,7.75,7.4,7.65,184568.0
2020-03-30,7.34,7.93,7.34,7.55,118235.0
2020-03-27,7.57,7.75,7.27,7.28,148477.0
2020-03-26,7.33,7.78,7.21,7.69,336932.0
2020-03-25,7.7,8.0,6.91,7.29,156130.0
2020-03-24,7.39,7.82,7.14,7.68,170310.0
2020-03-23,7.05,7.445,6.5301,7.06,164833.0
2020-03-20,6.49,7.145,5.63,6.85,203237.0
2020-03-19,5.74,6.58,5.64,6.58,191300.0
2020-03-18,7.2,7.54,5.605,5.8,225904.0
2020-03-17,7.36,7.64,6.58,7.54,177225.0
2020-03-16,6.55,7.56,6.55,7.22,193034.0
2020-03-13,8.21,8.21,6.92,7.07,330577.0
2020-03-12,8.34,9.33,7.545,7.83,149031.0
2020-03-11,10.25,10.27,8.72,8.86,260902.0
2020-03-10,12.07,12.07,10.3001,10.4,250391.0
2020-03-09,12.56,12.65,11.935,12.02,103765.0
2020-03-06,13.1,13.5,12.2998,13.29,203995.0
2020-03-05,13.89,14.41,13.008,13.52,227501.0
2020-03-04,14.55,14.85,13.88,14.2,126826.0
2020-03-03,14.61,14.81,14.0,14.26,133756.0
2020-03-02,13.64,14.33,13.4278,14.33,533412.0
2020-02-28,12.94,13.81,12.94,13.45,164814.0
2020-02-27,13.44,14.5,13.21,13.38,134839.0
2020-02-26,13.47,13.78,13.3,13.76,233309.0
2020-02-25,13.36,13.62,13.16,13.35,66741.0
2020-02-24,13.46,13.56,12.925,13.29,47309.0
2020-02-21,14.13,14.18,13.84,13.96,43330.0
2020-02-20,14.41,14.81,13.92,14.15,49024.0
2020-02-19,15.21,15.535,14.51,14.54,53246.0
2020-02-18,15.07,15.43,14.82,15.12,43956.0
2020-02-14,14.94,15.17,14.745,15.12,56859.0
2020-02-13,15.71,15.71,14.79,15.02,212705.0
2020-02-12,15.32,16.595,15.32,15.79,121741.0
2020-02-11,15.48,15.62,14.07,15.23,89705.0
2020-02-10,15.56,16.08,15.54,15.67,51737.0
2020-02-07,15.88,15.89,15.31,15.55,48396.0
2020-02-06,16.56,16.56,15.73,15.92,88362.0
2020-02-05,16.39,17.22,16.28,16.47,89968.0
2020-02-04,16.13,16.805,15.91,16.39,90622.0
2020-02-03,15.43,16.0,15.01,15.89,125101.0
2020-01-31,15.3,15.83,14.88,15.3,53993.0
2020-01-30,15.97,16.01,13.355,15.37,144403.0
2020-01-29,16.56,16.56,16.13,16.17,54129.0
2020-01-28,16.57,16.8,16.23,16.46,52478.0
2020-01-27,16.68,16.95,16.48,16.56,42280.0
