date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,10.16,10.89,10.16,10.5,2624.0
2020-04-23,10.74,10.8682,9.61,10.33,7398.0
2020-04-22,8.46,12.8,8.46,10.97,41246.0
2020-04-21,7.8,8.36,7.8,8.36,3897.0
2020-04-20,7.8102,7.8102,7.8,7.8,1046.0
2020-04-17,7.99,8.0,7.8317,7.8317,2130.0
2020-04-16,7.99,8.0,7.8,7.8,1023.0
2020-04-15,8.0,8.0,8.0,8.0,7.0
2020-04-14,7.96,8.0,7.7,8.0,3823.0
2020-04-13,7.94,7.989,7.57,7.78,1061.0
2020-04-09,7.65,8.0,7.65,8.0,5227.0
2020-04-08,7.75,8.0,7.75,8.0,1315.0
2020-04-07,7.38,7.6,7.2743,7.51,2483.0
2020-04-06,7.19,7.25,6.96,7.25,4612.0
2020-04-03,7.05,7.2,7.0,7.15,2215.0
2020-04-02,7.168,7.25,7.05,7.07,1795.0
2020-04-01,7.63,7.63,7.05,7.21,12900.0
2020-03-31,7.44,7.97,7.44,7.97,7737.0
2020-03-30,7.6907,7.95,7.45,7.45,5751.0
2020-03-27,7.44,7.9343,7.44,7.52,6476.0
2020-03-26,8.6,8.6,7.56,7.56,1548.0
2020-03-25,7.49,8.18,7.451,8.18,17295.0
2020-03-24,7.4423,8.142,7.27,7.5,13747.0
2020-03-23,8.0,8.0,7.19,7.19,5267.0
2020-03-20,7.29,9.1,7.29,7.91,12581.0
2020-03-19,7.7346,7.7346,7.345,7.3501,1176.0
2020-03-18,7.8407,7.8407,7.26,7.35,19417.0
2020-03-17,7.6721,8.34,7.6,8.34,7783.0
2020-03-16,8.28,8.2801,7.81,8.0305,5405.0
2020-03-13,8.5,8.5,8.3,8.4,7245.0
2020-03-12,8.23,8.8515,8.13,8.5248,11363.0
2020-03-11,9.01,9.36,9.0033,9.0033,4267.0
2020-03-10,9.47,9.54,8.8,9.15,37157.0
2020-03-09,10.01,10.0366,9.4,9.76,5792.0
2020-03-06,10.1,10.49,10.1,10.2,2960.0
2020-03-05,10.4,10.55,10.4,10.4,11583.0
2020-03-04,11.251,11.376,10.19,10.5,40682.0
2020-03-03,11.8,11.8,10.8,10.81,11678.0
2020-03-02,11.69,11.8675,11.38,11.38,15257.0
2020-02-28,11.52,11.93,11.52,11.55,3053.0
2020-02-27,11.52,11.9,11.44,11.53,3231.0
2020-02-26,11.91,11.91,11.7,11.75,1831.0
2020-02-25,11.96,11.9873,11.58,11.58,6725.0
2020-02-24,11.9,11.925,11.85,11.87,1879.0
2020-02-21,12.0,12.05,11.9,12.025,6940.0
2020-02-20,12.0,12.04,12.0,12.0,2008.0
2020-02-19,12.07,12.07,12.01,12.01,13612.0
2020-02-18,12.2,12.2,11.85,12.1,27142.0
2020-02-14,12.15,12.3057,12.15,12.201,2874.0
2020-02-13,12.14,12.21,12.1056,12.21,1397.0
2020-02-12,12.31,12.35,12.25,12.3,4989.0
2020-02-11,12.11,12.39,12.11,12.215,8544.0
2020-02-10,12.0,12.15,12.0,12.1,9670.0
2020-02-07,12.19,12.19,12.1,12.1,11355.0
2020-02-06,12.231,12.2409,12.18,12.18,3156.0
2020-02-05,12.25,12.3281,12.1235,12.1235,16505.0
2020-02-04,12.34,12.34,12.14,12.34,19590.0
2020-02-03,12.58,12.58,12.3919,12.4,3326.0
2020-01-31,12.52,12.72,12.3,12.5569,4663.0
2020-01-30,12.5724,12.5724,12.45,12.45,6912.0
