date,1. open,2. high,3. low,4. close,5. volume
2020-04-09,5.84,5.962,5.75,5.91,6494.0
2020-04-08,5.75,5.7788,5.75,5.7788,1067.0
2020-04-07,5.5,5.83,5.5,5.83,2241.0
2020-04-06,5.67,5.67,5.5,5.5,687.0
2020-04-03,5.5,5.731,5.5,5.6013,3536.0
2020-04-02,5.73,5.73,5.5,5.5,3208.0
2020-04-01,6.0,6.0,6.0,6.0,39.0
2020-03-31,5.56,6.005,5.31,6.0,10032.0
2020-03-30,5.53,5.6512,5.53,5.6428,1164.0
2020-03-27,5.3885,5.5,4.85,5.391,9836.0
2020-03-26,5.8059,5.859,5.179,5.179,14147.0
2020-03-25,5.9505,6.0519,5.81,6.038,1313.0
2020-03-24,5.75,5.829,5.75,5.829,1789.0
2020-03-23,5.01,5.75,5.0,5.75,6436.0
2020-03-20,5.37,5.37,5.35,5.35,512.0
2020-03-19,4.56,5.72,4.56,5.4045,8214.0
2020-03-18,6.26,6.29,4.4,4.4,10742.0
2020-03-17,6.59,6.792,6.59,6.792,639.0
2020-03-16,6.49,7.0,6.49,6.619,11259.0
2020-03-13,6.525,6.796,6.5,6.52,3249.0
2020-03-12,6.66,6.7436,6.22,6.442,6245.0
2020-03-11,7.0,7.033,6.8,6.8,5013.0
2020-03-10,6.88,7.2384,6.84,7.0612,3966.0
2020-03-09,7.45,7.49,6.3,6.75,15686.0
2020-03-06,7.55,7.55,7.45,7.5,3125.0
2020-03-05,7.5964,7.5964,7.5964,7.5964,606.0
2020-03-04,7.55,7.6516,7.55,7.6516,1614.0
2020-03-03,7.55,7.55,7.5,7.5,3008.0
2020-03-02,7.5438,7.676,7.5438,7.676,2078.0
2020-02-28,7.527,7.527,7.527,7.527,75.0
2020-02-27,7.6238,7.6238,7.527,7.527,2888.0
2020-02-26,7.78,7.78,7.5,7.5,2187.0
2020-02-25,7.6098,7.6098,7.57,7.59,1123.0
2020-02-24,7.7,7.7302,7.7,7.716,4246.0
2020-02-21,7.77,7.8139,7.77,7.8,5724.0
2020-02-20,7.7656,7.7656,7.7656,7.7656,431.0
2020-02-19,8.02,8.09,7.7039,7.7039,10838.0
2020-02-18,7.9281,7.99,7.9281,7.969,1373.0
2020-02-14,8.0738,8.14,7.7,7.753,10057.0
2020-02-13,7.9671,8.0,7.9671,8.0,1437.0
2020-02-12,7.865,7.975,7.865,7.975,969.0
2020-02-11,7.98,8.0,7.98,8.0,3480.0
2020-02-10,7.8872,7.9,7.8871,7.8999,2639.0
2020-02-07,7.79,7.9,7.77,7.8,5667.0
2020-02-06,7.88,7.89,7.7,7.7,4367.0
2020-02-05,7.7835,7.8153,7.7835,7.804,1973.0
2020-02-04,7.7988,7.7988,7.795,7.795,1479.0
2020-02-03,7.89,7.89,7.85,7.85,810.0
2020-01-31,7.8,7.89,7.74,7.8,2000.0
2020-01-30,7.65,7.65,7.65,7.65,26.0
2020-01-29,7.75,7.75,7.75,7.75,174.0
2020-01-28,7.75,7.75,7.75,7.75,17.0
2020-01-27,7.756,7.8,7.75,7.75,809.0
2020-01-24,7.9,7.9,7.8374,7.84,1092.0
2020-01-23,7.837,7.84,7.837,7.84,733.0
2020-01-22,7.87,7.8994,7.87,7.8994,619.0
2020-01-21,7.835,7.9,7.8325,7.8605,6273.0
2020-01-17,7.8029,7.8029,7.8029,7.8029,106.0
2020-01-16,7.816,7.816,7.8029,7.8029,315.0
2020-01-15,7.8422,7.8422,7.8422,7.8422,386.0
2020-01-14,7.75,7.82,7.75,7.75,5314.0
2020-01-13,7.8199,7.82,7.8199,7.82,437.0
2020-01-10,7.75,7.774,7.75,7.774,211.0
2020-01-09,7.77,7.77,7.77,7.77,101.0
2020-01-08,7.7649,7.7649,7.7649,7.7649,58.0
2020-01-07,7.75,7.7649,7.75,7.7649,2819.0
2020-01-06,7.8,7.8,7.7655,7.7655,683.0
2020-01-03,7.82,7.87,7.81,7.81,2266.0
2020-01-02,7.8015,7.8015,7.8015,7.8015,345.0
2019-12-31,7.79,7.79,7.75,7.75,1154.0
2019-12-30,7.75,7.7888,7.71,7.7888,6501.0
2019-12-27,7.75,7.78,7.75,7.7507,5680.0
2019-12-26,7.81,7.8109,7.78,7.78,1674.0
2019-12-24,7.81,7.81,7.81,7.81,300.0
2019-12-23,7.8123,7.8123,7.8123,7.8123,105.0
2019-12-20,7.75,7.8611,7.75,7.8123,2352.0
2019-12-19,7.71,7.71,7.71,7.71,161.0
2019-12-18,7.71,7.71,7.71,7.71,329.0
2019-12-17,7.75,7.75,7.75,7.75,2591.0
2019-12-16,7.78,7.78,7.78,7.78,69.0
2019-12-13,7.77,7.8088,7.77,7.78,541.0
2019-12-12,7.612,7.75,7.612,7.75,606.0
2019-12-11,7.75,7.75,7.66,7.75,2562.0
2019-12-10,7.75,7.75,7.74,7.75,1228.0
2019-12-09,7.45,7.72,7.45,7.72,3195.0
2019-12-06,7.51,7.5419,7.4,7.45,7286.0
2019-12-05,7.5,7.5285,7.5,7.5,4933.0
2019-12-04,7.625,7.72,7.5,7.5,763.0
2019-12-03,7.501,7.5375,7.5,7.503,2382.0
2019-12-02,7.51,7.51,7.5008,7.5008,378.0
2019-11-29,7.35,7.35,7.35,7.35,292.0
2019-11-27,7.625,7.625,7.625,7.625,53.0
2019-11-26,7.625,7.625,7.625,7.625,171.0
2019-11-25,7.64,7.75,7.64,7.6939,6371.0
2019-11-22,7.37,7.7142,7.25,7.39,21835.0
2019-11-21,7.7,7.7,7.7,7.7,5.0
2019-11-20,7.5096,7.7,7.41,7.7,2806.0
2019-11-19,7.4,7.4,7.4,7.4,18.0
2019-11-18,7.68,7.68,7.4,7.4,3020.0
2019-11-15,7.6584,7.77,7.6584,7.675,1185.0
2019-11-14,7.6309,7.6309,7.6309,7.6309,1050.0
2019-11-13,7.944,7.944,7.9,7.9,609.0
2019-11-12,7.83,7.95,7.51,7.6292,11114.0
2019-11-11,7.8414,8.1468,7.7844,8.04,18866.0
2019-11-08,7.81,7.81,7.81,7.81,709.0
2019-11-07,7.5665,7.65,7.5,7.5,1834.0
2019-11-06,7.625,7.625,7.5,7.54,19965.0
2019-11-05,7.51,7.5152,7.45,7.45,5988.0
2019-11-04,7.5,7.5,7.5,7.5,649.0
2019-11-01,7.5629,7.5629,7.5629,7.5629,314.0
2019-10-31,7.65,7.65,7.6278,7.6278,1375.0
2019-10-30,7.832,7.832,7.5869,7.5869,464.0
2019-10-29,7.72,7.72,7.6,7.6,873.0
2019-10-28,7.5,7.6,7.46,7.6,15748.0
2019-10-25,7.4886,7.5,7.425,7.4861,10707.0
2019-10-24,7.3112,7.5,7.3,7.4,6993.0
2019-10-23,7.21,7.21,7.2,7.21,2498.0
2019-10-22,7.25,7.25,7.2,7.2,2176.0
2019-10-21,7.2824,7.35,7.275,7.275,1677.0
2019-10-18,7.22,7.22,7.22,7.22,113.0
2019-10-17,7.2918,7.2918,7.2918,7.2918,350.0
2019-10-16,7.2354,7.2582,7.2146,7.25,6252.0
2019-10-15,7.3482,7.3482,7.3482,7.3482,496.0
2019-10-14,7.3753,7.3753,7.3753,7.3753,1.0
2019-10-11,7.47,7.47,7.3753,7.3753,303.0
2019-10-10,7.26,7.26,7.1,7.1211,8394.0
2019-10-09,7.2692,7.2692,7.2692,7.2692,182.0
2019-10-08,7.22,7.326,7.22,7.23,1068.0
2019-10-07,7.5,7.5,7.22,7.22,629.0
2019-10-04,7.3708,7.41,7.3708,7.41,275.0
2019-10-03,7.5,7.5,7.5,7.5,1.0
2019-10-02,7.5,7.5,7.5,7.5,4.0
2019-10-01,7.185,7.5,7.185,7.5,706.0
2019-09-30,7.1352,7.5,7.1352,7.5,943.0
2019-09-27,7.25,7.37,7.25,7.25,396.0
2019-09-26,7.32,7.32,7.1825,7.25,5337.0
2019-09-25,7.35,7.35,7.35,7.35,246.0
2019-09-24,7.4351,7.4351,7.2909,7.35,1042.0
2019-09-23,7.36,7.5,7.25,7.5,2286.0
2019-09-20,7.95,7.95,7.95,7.95,241.0
2019-09-19,7.5,7.75,7.41,7.41,12213.0
2019-09-18,7.47,7.5,7.47,7.5,414.0
2019-09-17,7.5,7.5105,7.45,7.45,4172.0
2019-09-16,7.4,7.4,7.4,7.4,270.0
2019-09-13,7.2,7.5,7.2,7.4873,2389.0
2019-09-12,7.5,7.52,7.5,7.52,302.0
2019-09-11,7.5999,7.5999,7.5999,7.5999,137.0
2019-09-10,7.6,7.6,7.6,7.6,18.0
2019-09-09,7.3,7.6,7.3,7.6,14106.0
2019-09-06,7.201,7.25,7.201,7.25,221.0
2019-09-05,7.3,7.3,7.3,7.3,5134.0
2019-09-04,7.1601,7.3,7.1601,7.29,12178.0
2019-09-03,7.6,7.6,6.78,6.8,2460.0
2019-08-30,7.6025,7.6025,7.6025,7.6025,39.0
2019-08-29,7.6025,7.6025,7.6025,7.6025,100.0
2019-08-28,7.6,7.6,7.6,7.6,0.0
2019-08-27,7.6025,7.6025,7.6025,7.6025,2091.0
2019-08-26,7.55,7.55,7.55,7.55,2.0
2019-08-23,7.55,7.55,7.55,7.55,1.0
2019-08-22,7.55,7.55,7.55,7.55,116.0
2019-08-21,7.55,7.55,7.55,7.55,0.0
2019-08-20,7.55,7.55,7.55,7.55,250.0
2019-08-19,7.7136,7.7136,7.7136,7.7136,613.0
2019-08-16,7.6822,7.6822,7.6822,7.6822,219.0
2019-08-15,7.64,7.7878,7.64,7.6575,4374.0
2019-08-14,7.58,7.5841,7.58,7.5841,565.0
2019-08-13,7.8195,7.95,7.59,7.839,797.0
2019-08-12,7.9,7.9,7.89,7.9,5696.0
2019-08-09,7.5503,7.9,7.5503,7.6,762.0
2019-08-08,7.78,7.98,7.735,7.92,2290.0
2019-08-07,8.04,8.1173,7.51,7.5576,3513.0
2019-08-06,7.6,7.6,7.6,7.6,74.0
2019-08-05,7.6,7.6,7.6,7.6,68.0
2019-08-02,7.6,7.6,7.6,7.6,5479.0
2019-08-01,7.6,7.75,7.6,7.6,4641.0
2019-07-31,7.6327,7.77,7.6,7.6,2273.0
2019-07-30,7.7178,7.77,7.7178,7.77,928.0
2019-07-29,7.9499,7.95,7.72,7.72,1714.0
2019-07-26,7.8428,7.8428,7.72,7.72,878.0
2019-07-25,7.7,7.82,7.7,7.8,2738.0
2019-07-24,7.65,7.65,7.65,7.65,292.0
2019-07-23,7.65,7.65,7.65,7.65,0.0
2019-07-22,7.71,7.71,7.52,7.65,4303.0
2019-07-19,7.6376,7.6376,7.6376,7.6376,205.0
2019-07-18,7.708,7.708,7.51,7.51,1431.0
2019-07-17,7.5779,7.5779,7.5779,7.5779,50.0
2019-07-16,7.5779,7.5779,7.5779,7.5779,439.0
2019-07-15,7.717,7.717,7.56,7.56,1521.0
2019-07-12,7.54,7.9,7.54,7.56,3420.0
2019-07-11,7.86,7.86,7.86,7.86,237.0
2019-07-10,7.51,7.51,7.51,7.51,201.0
2019-07-09,7.52,7.57,7.52,7.57,376.0
2019-07-08,7.6,7.8,7.6,7.7879,3335.0
2019-07-05,7.62,7.62,7.62,7.62,5.0
2019-07-03,7.8,7.85,7.62,7.62,2568.0
2019-07-02,7.5,7.515,7.47,7.515,3202.0
2019-07-01,7.5,7.51,7.4,7.4999,6095.0
2019-06-28,7.53,7.85,7.5,7.85,5609.0
2019-06-27,7.52,7.82,7.5,7.5,711.0
2019-06-26,7.6,7.896,7.53,7.54,1710.0
2019-06-25,7.78,7.9,7.5476,7.5476,2102.0
2019-06-24,7.58,7.684,7.5,7.5,1608.0
2019-06-21,7.51,7.71,7.51,7.71,1284.0
2019-06-20,7.4778,7.7,7.4,7.65,10463.0
2019-06-19,7.41,7.41,7.41,7.41,203.0
2019-06-18,7.2863,7.2863,7.2863,7.2863,292.0
2019-06-17,7.2,7.2863,7.2,7.2863,2313.0
2019-06-14,7.4632,7.4632,7.4632,7.4632,125.0
2019-06-13,7.4632,7.4632,7.4632,7.4632,501.0
2019-06-12,7.4791,7.4791,7.4791,7.4791,102.0
2019-06-11,7.4791,7.4791,7.4791,7.4791,150.0
2019-06-10,7.55,7.55,7.35,7.35,12928.0
2019-06-06,7.55,7.55,7.5,7.5,957.0
2019-06-05,7.34,7.51,7.34,7.5,2896.0
2019-06-04,7.65,7.75,7.64,7.67,15744.0
2019-06-03,7.7,7.7,7.5,7.7,4755.0
2019-05-31,7.65,7.66,7.64,7.65,2863.0
2019-05-30,7.75,7.75,7.75,7.75,612.0
2019-05-29,7.85,7.88,7.75,7.75,11600.0
2019-05-28,7.9999,8.0,7.85,7.91,4630.0
2019-05-24,8.08,8.08,8.08,8.08,0.0
2019-05-23,8.09,8.09,8.08,8.08,551.0
2019-05-22,8.0606,8.0606,8.0606,8.0606,40.0
2019-05-21,8.1632,8.1632,8.0101,8.0606,845.0
2019-05-20,8.04,8.27,8.04,8.2,9158.0
2019-05-17,8.25,8.25,7.91,7.91,390.0
2019-05-16,7.7949,8.23,7.7949,8.17,3115.0
2019-05-15,7.7,7.8924,7.7,7.74,965.0
2019-05-14,7.6,8.05,7.6,7.9,21271.0
2019-05-13,7.5712,7.5712,7.5162,7.53,1522.0
2019-05-10,7.525,7.525,7.525,7.525,8.0
2019-05-09,7.55,7.55,7.525,7.525,503.0
2019-05-08,7.5,7.5328,7.5,7.5,770.0
2019-05-07,7.57,7.579,7.4,7.4,7631.0
2019-05-06,7.5727,7.5727,7.57,7.57,1071.0
2019-05-03,7.605,7.605,7.605,7.605,196.0
2019-05-02,7.46,7.46,7.46,7.46,791.0
2019-05-01,7.75,7.75,7.75,7.75,1.0
2019-04-30,7.75,7.75,7.75,7.75,1.0
2019-04-29,7.75,7.75,7.75,7.75,361.0
2019-04-26,7.7475,7.7475,7.7475,7.7475,2.0
2019-04-25,7.75,7.75,7.75,7.75,0.0
2019-04-24,7.7146,7.7475,7.7146,7.7475,650.0
2019-04-23,7.55,7.55,7.3491,7.3491,7086.0
2019-04-22,7.6,7.6,7.6,7.6,913.0
2019-04-18,7.6226,7.6226,7.6226,7.6226,852.0
2019-04-17,7.73,7.73,7.55,7.55,369.0
2019-04-16,7.7,7.7,7.7,7.7,60.0
2019-04-15,7.7,7.7,7.7,7.7,14.0
2019-04-12,7.75,7.75,7.6874,7.7,1422.0
2019-04-11,7.7273,7.7273,7.7273,7.7273,1001.0
2019-04-10,7.74,7.75,7.51,7.51,1211.0
2019-04-09,7.727,7.727,7.65,7.691,3751.0
2019-04-08,7.74,7.75,7.65,7.65,2425.0
2019-04-05,7.65,7.65,7.65,7.65,87.0
2019-04-04,7.65,7.65,7.65,7.65,709.0
2019-04-03,7.5,7.55,7.5,7.5375,1516.0
2019-04-02,7.52,7.75,7.52,7.75,10393.0
2019-04-01,7.5,7.5272,7.395,7.395,815.0
2019-03-29,7.92,7.92,7.5,7.5,6182.0
2019-03-28,8.0,8.015,7.9217,7.9217,1736.0
2019-03-27,8.0,8.0,7.7,7.7,3286.0
2019-03-26,7.839,7.96,7.839,7.96,340.0
2019-03-25,7.9,7.9,7.85,7.85,5416.0
2019-03-22,7.75,7.75,7.7,7.7,4337.0
2019-03-21,7.92,7.92,7.92,7.92,440.0
2019-03-20,8.08,8.1062,8.08,8.1062,654.0
2019-03-19,7.9921,7.9921,7.9,7.9,329.0
2019-03-18,7.9,7.9976,7.9,7.92,726.0
2019-03-15,7.9,7.95,7.8535,7.9,9238.0
2019-03-14,7.8491,7.8491,7.8491,7.8491,51.0
2019-03-13,7.943,7.943,7.81,7.8491,8121.0
2019-03-12,7.83,7.83,7.81,7.81,1254.0
2019-03-11,7.83,7.8491,7.81,7.8491,742.0
2019-03-08,7.9,7.91,7.81,7.81,1899.0
2019-03-07,7.95,7.9847,7.95,7.9847,1510.0
