date,1. open,2. high,3. low,4. close,5. volume
2020-04-24,42.71,42.71,40.6003,42.5,80518.0
2020-04-23,42.57,43.49,42.27,42.82,66085.0
2020-04-22,42.99,42.99,41.09,42.2,107772.0
2020-04-21,42.62,43.23,41.51,42.33,86789.0
2020-04-20,44.23,44.25,43.495,43.87,103420.0
2020-04-17,43.11,45.0,42.04,44.49,152790.0
2020-04-16,43.46,44.3347,41.18,42.1,68149.0
2020-04-15,43.1,43.715,42.0,43.01,77177.0
2020-04-14,43.35,44.64,42.36,44.4,55990.0
2020-04-13,42.71,43.05,40.83,42.43,55080.0
2020-04-09,42.35,42.99,41.03,42.94,66426.0
2020-04-08,43.81,43.83,40.34,41.42,138160.0
2020-04-07,41.84,44.03,40.97,43.85,184862.0
2020-04-06,37.07,41.29,37.07,41.22,87454.0
2020-04-03,36.48,37.93,34.69,36.07,78506.0
2020-04-02,37.69,38.09,35.2125,36.93,96793.0
2020-04-01,38.04,39.9,37.26,37.63,93892.0
2020-03-31,40.32,40.32,37.42,39.64,124943.0
2020-03-30,36.02,40.67,35.4769,40.34,150903.0
2020-03-27,35.32,37.99,34.825,36.25,132624.0
2020-03-26,35.56,37.49,34.87,36.25,203706.0
2020-03-25,36.19,36.79,34.04,35.25,246004.0
2020-03-24,36.98,38.92,35.44,36.15,260136.0
2020-03-23,38.26,38.94,34.7132,35.94,307384.0
2020-03-20,38.35,39.7,36.515,37.81,283906.0
2020-03-19,36.02,39.41,35.52,38.07,141093.0
2020-03-18,36.0,36.9,34.325,36.19,251844.0
2020-03-17,34.18,38.27,34.13,38.21,153793.0
2020-03-16,34.08,34.9,32.55,33.64,252680.0
2020-03-13,35.21,36.39,32.21,36.39,218973.0
2020-03-12,37.5,37.5,32.92,34.19,290120.0
2020-03-11,42.0,42.12,39.2,39.75,215137.0
2020-03-10,43.78,44.63,40.545,42.0,160549.0
2020-03-09,42.51,44.64,40.88,42.81,134064.0
2020-03-06,44.61,46.81,43.0,44.5,178263.0
2020-03-05,41.98,46.71,41.98,45.33,192329.0
2020-03-04,45.54,46.64,44.64,45.81,73967.0
2020-03-03,47.27,48.0,44.35,44.83,252641.0
2020-03-02,46.5,49.345,45.835,47.4,158332.0
2020-02-28,47.43,47.82,46.0,46.42,232325.0
2020-02-27,48.15,49.8,46.995,48.73,116000.0
2020-02-26,48.03,50.28,48.03,48.82,137649.0
2020-02-25,48.69,49.13,47.05,47.92,133973.0
2020-02-24,46.91,48.665,46.0,48.43,93429.0
2020-02-21,48.87,49.0597,48.1627,48.61,101973.0
2020-02-20,48.76,49.38,48.07,49.0,95454.0
2020-02-19,48.38,50.49,48.12,49.04,73690.0
2020-02-18,48.05,48.95,47.7,48.26,89132.0
2020-02-14,48.33,49.19,47.8,48.29,141942.0
2020-02-13,47.62,48.61,47.37,48.37,111818.0
2020-02-12,48.21,48.46,47.48,47.81,140960.0
2020-02-11,48.4,48.8,47.1,47.92,144809.0
2020-02-10,47.32,48.4,47.13,48.4,83898.0
2020-02-07,48.48,48.97,45.9,47.4,182955.0
2020-02-06,48.95,49.47,48.13,48.53,110238.0
2020-02-05,46.77,49.0,46.39,48.79,120311.0
2020-02-04,46.79,47.205,45.9036,46.28,68993.0
2020-02-03,46.35,46.66,45.6,46.12,82161.0
2020-01-31,47.21,48.05,45.75,45.93,136668.0
2020-01-30,46.81,47.72,46.58,47.55,62981.0
2020-01-29,47.51,48.15,46.72,47.34,92564.0
2020-01-28,47.84,48.45,47.22,47.4,72425.0
2020-01-27,46.44,48.4754,46.29,47.53,101990.0
2020-01-24,47.92,48.4,47.14,47.63,48457.0
2020-01-23,47.59,48.69,47.075,47.9,83497.0
2020-01-22,48.99,48.99,47.48,47.98,71865.0
2020-01-21,47.3,49.0,47.11,48.41,109858.0
2020-01-17,48.04,48.04,46.8776,47.8,95266.0
2020-01-16,47.43,48.5,46.24,47.69,110868.0
2020-01-15,46.9,47.57,46.3,46.65,97686.0
2020-01-14,47.3,47.895,46.16,46.82,125051.0
2020-01-13,48.5,48.8,46.01,46.89,73887.0
2020-01-10,48.71,49.02,47.52,48.39,160143.0
2020-01-09,48.06,48.9477,46.78,48.31,146628.0
2020-01-08,48.95,48.95,46.91,47.8,125714.0
2020-01-07,51.48,51.48,47.8,48.02,140275.0
2020-01-06,47.5,49.21,47.36,48.81,153982.0
2020-01-03,45.93,47.61,45.15,47.49,79025.0
2020-01-02,47.53,47.53,44.6,46.73,137589.0
2019-12-31,46.21,47.47,45.86,46.99,111438.0
2019-12-30,46.5,46.5,44.97,46.26,74545.0
2019-12-27,46.0,46.78,45.21,46.5,104217.0
2019-12-26,45.28,45.98,44.49,45.82,55061.0
2019-12-24,44.3,45.92,43.75,45.08,63907.0
2019-12-23,42.92,45.29,42.05,44.22,99012.0
2019-12-20,42.43,43.49,41.66,42.5,78289.0
2019-12-19,41.99,42.9,41.26,42.32,108036.0
2019-12-18,43.32,44.29,41.77,41.98,82671.0
2019-12-17,45.0,45.0,42.81,43.23,87705.0
2019-12-16,44.5,45.56,43.0065,44.64,65923.0
2019-12-13,42.99,44.58,42.4,44.2,111007.0
2019-12-12,40.0,43.0,40.0,43.0,212710.0
2019-12-11,38.5,41.04,38.0,39.84,696398.0
2019-12-10,38.63,38.71,37.88,38.57,63468.0
2019-12-09,39.21,39.34,37.67,38.62,66760.0
2019-12-06,38.93,39.59,38.36,39.24,45414.0
2019-12-05,38.15,39.215,37.77,38.51,45371.0
2019-12-04,38.26,38.39,37.5,38.03,51836.0
2019-12-03,38.19,38.65,37.65,38.09,40823.0
2019-12-02,39.42,39.59,38.51,38.65,65786.0
2019-11-29,39.74,40.4,39.21,39.34,21642.0
2019-11-27,39.08,40.375,38.56,39.79,42500.0
2019-11-26,39.04,39.73,38.38,39.0,93232.0
2019-11-25,38.97,40.37,38.55,38.99,108003.0
2019-11-22,38.94,39.08,38.11,38.71,39071.0
2019-11-21,38.79,38.94,38.075,38.6,31196.0
2019-11-20,38.67,39.45,37.9,38.79,64076.0
2019-11-19,38.65,39.0,38.05,38.96,66965.0
2019-11-18,39.1,39.39,38.41,38.67,68437.0
2019-11-15,38.83,39.6,37.81,39.1,93293.0
2019-11-14,39.16,39.25,38.11,38.56,116893.0
2019-11-13,38.45,39.11,38.27,38.87,79446.0
2019-11-12,38.39,39.0,38.09,38.61,29562.0
2019-11-11,37.22,38.63,37.02,38.07,83999.0
2019-11-08,36.59,39.33,32.49,37.5,125316.0
2019-11-07,34.7,36.11,33.95,35.92,55974.0
2019-11-06,37.51,37.51,35.34,35.47,69155.0
2019-11-05,38.92,39.35,37.07,37.55,28191.0
2019-11-04,38.6,39.5,38.38,39.0,78123.0
2019-11-01,38.94,39.72,38.54,38.65,61945.0
2019-10-31,38.59,39.99,37.91,38.68,55177.0
2019-10-30,38.09,39.26,37.69,38.54,58378.0
2019-10-29,38.9,39.025,37.83,38.09,36961.0
2019-10-28,35.7,39.42,35.7,38.94,98409.0
2019-10-25,36.41,37.3,36.41,37.0,34971.0
2019-10-24,36.51,36.93,36.22,36.46,34887.0
2019-10-23,36.1,36.75,35.735,36.61,49764.0
2019-10-22,36.25,36.3,35.43,36.1,38138.0
2019-10-21,36.49,36.59,35.83,36.18,59361.0
2019-10-18,36.71,36.995,35.91,35.99,53285.0
2019-10-17,36.49,37.18,36.07,37.01,39194.0
2019-10-16,35.32,36.39,34.15,36.28,30133.0
2019-10-15,35.71,36.41,35.29,35.42,26574.0
2019-10-14,34.93,35.66,33.97,35.55,45176.0
2019-10-11,35.18,35.74,34.965,35.01,40107.0
2019-10-10,33.65,35.03,32.66,34.68,56356.0
2019-10-09,33.5,34.17,32.85,33.65,59112.0
2019-10-08,34.15,34.4,33.23,33.24,53466.0
2019-10-07,34.51,34.985,34.07,34.39,40348.0
2019-10-04,34.06,35.08,33.21,34.64,41419.0
2019-10-03,33.72,34.22,32.25,33.93,47086.0
2019-10-02,34.36,34.36,32.54,33.72,60602.0
2019-10-01,35.89,38.07,34.15,34.68,94570.0
2019-09-30,35.22,36.31,34.65,35.26,51269.0
2019-09-27,36.31,36.31,33.71,35.37,126753.0
2019-09-26,36.57,36.83,35.62,36.03,111132.0
2019-09-25,37.79,37.79,35.85,36.65,122898.0
2019-09-24,37.72,38.11,36.92,37.8,60828.0
2019-09-23,37.79,37.92,36.91,37.69,45472.0
2019-09-20,38.83,39.65,37.44,38.0,108892.0
2019-09-19,38.62,39.0,38.0,38.72,44445.0
2019-09-18,38.4,38.899,36.66,38.56,97413.0
2019-09-17,38.39,38.77,37.52,38.39,46911.0
2019-09-16,37.16,38.66,36.4,38.39,96369.0
2019-09-13,36.93,37.67,36.93,37.47,89053.0
2019-09-12,36.99,37.48,36.7,36.93,119731.0
2019-09-11,35.64,36.98,35.41,36.85,59434.0
2019-09-10,35.09,35.66,34.24,35.58,75051.0
2019-09-09,35.18,35.895,33.72,35.13,87497.0
2019-09-06,33.14,35.38,31.71,35.1,137330.0
2019-09-05,31.64,33.1,30.65,33.08,72658.0
2019-09-04,32.35,32.6,30.98,31.34,43741.0
2019-09-03,32.12,33.18,31.69,32.13,72568.0
2019-08-30,32.26,33.4,31.495,32.19,97835.0
2019-08-29,31.15,32.42,31.13,32.14,57993.0
2019-08-28,30.3,31.02,29.94,30.8,52673.0
