date,1. open,2. high,3. low,4. close,5. volume
2020-03-31,112.77,114.69,110.12,110.72,1194921.0
2020-03-30,111.59,114.5,110.75,114.04,621451.0
2020-03-27,109.2,114.4,108.55,111.35,643229.0
2020-03-26,103.08,114.06,102.38,113.22,1037824.0
2020-03-25,99.56,107.205,98.39,101.31,741272.0
2020-03-24,96.14,102.46,95.15,101.67,926545.0
2020-03-23,91.27,94.58,88.14,91.88,1421922.0
2020-03-20,94.43,98.42,90.53,90.67,968976.0
2020-03-19,93.48,100.34,90.59,96.09,1216640.0
2020-03-18,95.67,97.07,86.2,94.05,1561797.0
2020-03-17,95.97,100.92,95.03,100.72,1481223.0
2020-03-16,102.83,104.02,93.9,94.5,1558075.0
2020-03-13,111.22,112.51,103.82,112.29,1084051.0
2020-03-12,105.87,111.99,105.02,107.16,1031045.0
2020-03-11,115.63,117.38,111.49,112.8,841880.0
2020-03-10,116.17,118.48,114.28,118.22,816714.0
2020-03-09,117.61,118.39,113.78,114.2,1189326.0
2020-03-06,123.91,125.37,121.21,123.65,1548190.0
2020-03-05,132.11,134.23,127.33,127.42,801578.0
2020-03-04,130.89,134.37,130.05,134.19,495742.0
2020-03-03,128.64,131.16,127.56,128.57,1086753.0
2020-03-02,126.92,128.56,125.95,128.56,1167630.0
2020-02-28,126.54,129.16,123.6,125.89,1975618.0
2020-02-27,132.5,133.26,129.77,129.85,1276921.0
2020-02-26,133.91,135.67,132.92,133.36,482627.0
2020-02-25,136.94,137.39,133.16,133.35,665803.0
2020-02-24,135.2,136.813,134.65,136.02,466796.0
2020-02-21,138.4,138.46,136.32,137.02,747492.0
2020-02-20,139.12,140.0,137.29,138.27,630783.0
2020-02-19,138.37,139.975,138.12,139.24,538468.0
2020-02-18,137.07,138.14,136.86,138.01,450554.0
2020-02-14,137.17,137.5,136.34,137.07,359068.0
2020-02-13,136.06,137.28,136.06,136.81,369483.0
2020-02-12,136.1,137.06,135.82,136.5,287705.0
2020-02-11,136.17,136.19,134.25,135.94,524590.0
2020-02-10,133.31,135.71,133.31,135.46,397101.0
2020-02-07,134.51,134.945,133.8,134.38,445217.0
2020-02-06,134.08,135.38,134.08,134.83,343123.0
2020-02-05,135.63,135.63,133.76,133.96,489318.0
2020-02-04,135.27,136.91,134.25,136.26,1455467.0
2020-02-03,133.72,137.23,133.68,136.48,685972.0
2020-01-31,128.14,133.61,127.69,132.93,850571.0
2020-01-30,126.36,127.91,126.22,127.84,579838.0
2020-01-29,129.57,129.84,126.95,127.43,498364.0
2020-01-28,130.74,130.74,129.53,129.75,619984.0
2020-01-27,128.35,130.41,128.35,129.82,479392.0
2020-01-24,131.9,132.07,130.13,130.17,330894.0
2020-01-23,131.09,131.995,130.24,131.91,508521.0
2020-01-22,130.64,131.75,130.4,131.17,438019.0
2020-01-21,129.44,130.61,128.31,130.22,848800.0
